,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,2.1581015094339624,2.3211393134328357,-0.12345123291015625,bigfish
1,1,16384,2.0604550699999997,1.8455602999999998,0.9970210194587708,bigfish
2,2,24576,1.87396498,1.47066104,1.0,bigfish
3,3,32768,1.78575635,2.0311245600000003,0.9905474781990051,bigfish
4,4,40960,1.53146186,1.4515528599999998,0.968174934387207,bigfish
5,5,49152,1.62245754,1.34544913,0.9955633878707886,bigfish
6,6,57344,2.1695836600000002,1.29702967,1.0,bigfish
7,7,65536,1.45461904,1.4773770199999998,0.13109490275382996,bigfish
8,8,73728,1.45518708,1.6411964100000003,-0.19184055924415588,bigfish
9,9,81920,1.8330108699999998,1.52837543,1.0,bigfish
10,10,90112,1.82923185,1.41175005,1.0,bigfish
11,11,98304,1.43715014,1.40568852,1.0,bigfish
12,12,106496,1.27690427,1.16437287,1.0,bigfish
13,13,114688,1.4565778599999997,1.56291202,1.0,bigfish
14,14,122880,1.7569616199999998,1.7960784199999997,1.0,bigfish
15,15,131072,2.21183895,2.1800108,1.0,bigfish
16,16,139264,1.4804284699999999,1.43493359,1.0,bigfish
17,17,147456,1.15949085,1.5267442500000001,1.0,bigfish
18,18,155648,1.5555474700000003,1.22757031,1.0,bigfish
19,19,163840,1.2534261400000002,1.56124065,1.0,bigfish
20,20,172032,1.3468881099999999,2.21125639,1.0,bigfish
21,21,180224,1.3499614199999999,1.1754635299999998,1.0,bigfish
22,22,188416,1.7085553100000002,0.9562064100000001,1.0,bigfish
23,23,196608,1.6169393799999998,1.14555407,1.0,bigfish
24,24,204800,1.64537603,1.2458526099999998,1.0,bigfish
25,25,212992,1.37126071,1.88697659,1.0,bigfish
26,26,221184,1.59369372,1.6105595100000003,1.0,bigfish
27,27,229376,1.5393769,1.3900771500000002,1.0,bigfish
28,28,237568,1.60529375,1.4400374100000002,1.0,bigfish
29,29,245760,1.6218537800000001,1.4852642699999998,1.0,bigfish
30,30,253952,1.20459485,1.5897467899999997,1.0,bigfish
31,31,262144,1.4676389899999998,1.08541852,1.0,bigfish
32,32,270336,1.30895758,1.1712363999999997,1.0,bigfish
33,33,278528,1.26408153,1.22023372,1.0,bigfish
34,34,286720,1.1557342700000002,1.19138141,1.0,bigfish
35,35,294912,2.08175795,1.11077968,1.0,bigfish
36,36,303104,1.5725371299999997,1.1148075199999998,1.0,bigfish
37,37,311296,1.6229290899999997,1.44611539,1.0,bigfish
38,38,319488,1.3809149399999998,1.39346756,1.0,bigfish
39,39,327680,1.4983039100000002,1.75035104,1.0,bigfish
40,40,335872,1.7421979200000002,1.70001422,1.0,bigfish
41,41,344064,1.31929679,1.3918299099999998,1.0,bigfish
42,42,352256,1.6156621500000004,1.34653537,1.0,bigfish
43,43,360448,1.68334456,1.4969204699999994,1.0,bigfish
44,44,368640,1.7503881499999998,1.52991308,1.0,bigfish
45,45,376832,1.3418610099999997,1.6292362000000002,1.0,bigfish
46,46,385024,1.5406243800000001,1.4677179800000002,1.0,bigfish
47,47,393216,1.59254344,1.27261838,1.0,bigfish
48,48,401408,1.2671654699999997,1.54004166,1.0,bigfish
49,49,409600,1.50265695,1.8367840099999997,1.0,bigfish
50,50,417792,1.4892173800000001,1.58885209,1.0,bigfish
51,51,425984,1.65845449,1.4240808999999999,1.0,bigfish
52,52,434176,1.9406353900000002,1.2937733800000002,1.0,bigfish
53,53,442368,1.6537780999999998,1.49832837,1.0,bigfish
54,54,450560,1.7657474499999999,1.2664038299999998,1.0,bigfish
55,55,458752,1.8608157600000002,1.5336146599999998,1.0,bigfish
56,56,466944,1.83808217,1.86624811,1.0,bigfish
57,57,475136,1.68529077,1.6621872499999997,1.0,bigfish
58,58,483328,1.8617874399999998,1.90484816,1.0,bigfish
59,59,491520,1.9053987899999998,1.83247324,1.0,bigfish
60,60,499712,1.69094398,1.28623274,1.0,bigfish
61,61,507904,1.51345601,1.3534768,1.0,bigfish
62,62,516096,1.73892704,1.45131252,1.0,bigfish
63,63,524288,1.58949065,1.4299367800000005,1.0,bigfish
64,64,532480,1.96224575,1.95196354,1.0,bigfish
65,65,540672,1.97735098,2.14580955,1.0,bigfish
66,66,548864,1.60369639,1.6196739299999998,1.0,bigfish
67,67,557056,1.7493842000000002,1.7172502200000002,1.0,bigfish
68,68,565248,1.6684146100000001,1.52185792,1.0,bigfish
69,69,573440,1.6204106000000003,1.4563974100000001,1.0,bigfish
70,70,581632,1.26529181,1.2762023500000002,1.0,bigfish
71,71,589824,1.5419177499999999,0.9022426700000001,1.0,bigfish
72,72,598016,1.4615855899999999,1.3485387300000002,1.0,bigfish
73,73,606208,1.65810706,1.8897924299999997,1.0,bigfish
74,74,614400,1.8535543799999998,1.9354712899999997,1.0,bigfish
75,75,622592,1.6105201299999998,0.9987144899999998,1.0,bigfish
76,76,630784,1.8562288500000002,0.95123203,1.0,bigfish
77,77,638976,1.46548237,1.5599741500000002,1.0,bigfish
78,78,647168,1.51500042,1.8231968300000003,1.0,bigfish
79,79,655360,1.5323722600000003,1.5283309,1.0,bigfish
80,80,663552,1.3387518000000003,1.44583945,1.0,bigfish
81,81,671744,1.4870613399999997,1.3146369599999996,1.0,bigfish
82,82,679936,1.89698441,1.6442613599999998,1.0,bigfish
83,83,688128,1.9302332700000002,1.4798022900000003,1.0,bigfish
84,84,696320,1.9141616,1.51455253,1.0,bigfish
85,85,704512,1.9955828199999999,1.26911042,1.0,bigfish
86,86,712704,1.8956514899999999,1.66467647,1.0,bigfish
87,87,720896,1.9522586800000001,1.53053474,1.0,bigfish
88,88,729088,1.8660389499999999,1.56177906,1.0,bigfish
89,89,737280,1.5089118199999998,1.44620823,1.0,bigfish
90,90,745472,1.65657689,1.2659241300000001,1.0,bigfish
91,91,753664,1.6252519900000002,1.34898998,1.0,bigfish
92,92,761856,1.85193145,1.6452332500000002,1.0,bigfish
93,93,770048,1.67175575,1.92423723,1.0,bigfish
94,94,778240,2.17278366,1.4636928099999997,1.0,bigfish
95,95,786432,1.94265255,1.64265903,1.0,bigfish
96,96,794624,1.86083523,1.8045003000000002,1.0,bigfish
97,97,802816,2.2966788399999998,2.3885496899999996,1.0,bigfish
98,98,811008,1.9870109000000002,2.21969561,1.0,bigfish
99,99,819200,1.5194847999999999,1.7259328600000001,1.0,bigfish
100,100,827392,1.5540139099999999,2.2567955900000003,1.0,bigfish
101,101,835584,1.9600700700000002,2.0996319999999997,1.0,bigfish
102,102,843776,2.5241149700000003,1.5614923099999998,1.0,bigfish
103,103,851968,2.27798758,1.4630087700000005,1.0,bigfish
104,104,860160,2.1959944700000005,1.59096392,1.0,bigfish
105,105,868352,1.9863999900000002,1.76691619,1.0,bigfish
106,106,876544,2.5326540200000003,2.2115348999999997,1.0,bigfish
107,107,884736,2.7030987000000004,2.6218764599999997,1.0,bigfish
108,108,892928,2.26378124,2.53671896,1.0,bigfish
109,109,901120,2.06656392,1.92592594,1.0,bigfish
110,110,909312,2.1929357300000003,1.9750647900000002,1.0,bigfish
111,111,917504,1.84048409,1.8935390400000003,1.0,bigfish
112,112,925696,1.7599757800000004,2.1644993199999996,1.0,bigfish
113,113,933888,2.15828884,2.35402048,1.0,bigfish
114,114,942080,2.99720427,2.40092355,1.0,bigfish
115,115,950272,2.6565285800000003,2.08005886,1.0,bigfish
116,116,958464,2.12966937,2.1737710499999996,1.0,bigfish
117,117,966656,1.9073197900000003,2.70305497,1.0,bigfish
118,118,974848,1.9390450000000001,2.4635514,1.0,bigfish
119,119,983040,2.16120737,1.5206172699999998,1.0,bigfish
120,120,991232,2.11313289,1.80521496,1.0,bigfish
121,121,999424,2.0010205,2.26231306,1.0,bigfish
122,122,1007616,1.8095118,2.33752083,1.0,bigfish
123,123,1015808,1.72963595,2.30124972,1.0,bigfish
124,124,1024000,1.95130579,2.13632385,1.0,bigfish
125,125,1032192,2.12275074,1.7500972099999998,1.0,bigfish
126,126,1040384,2.23038965,1.3654261500000002,1.0,bigfish
127,127,1048576,2.11803384,1.8524785499999998,1.0,bigfish
128,128,1056768,2.47956187,2.43316879,1.0,bigfish
129,129,1064960,2.38151086,1.8357957800000002,1.0,bigfish
