,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,2.6290999433962265,1.9442325084745762,-0.17223940789699554,bigfish
1,1,16384,2.24095776,2.15392344,-0.04865192621946335,bigfish
2,2,24576,1.7963188599999997,1.67017673,-0.18825681507587433,bigfish
3,3,32768,1.70472617,1.23953265,1.0,bigfish
4,4,40960,1.5650384800000001,1.2527588,0.8774086236953735,bigfish
5,5,49152,1.7296952300000001,1.59605029,0.9994073510169983,bigfish
6,6,57344,1.99104699,1.6512850000000001,1.0,bigfish
7,7,65536,1.5449848,1.3166024099999998,1.0,bigfish
8,8,73728,1.4904968600000001,1.40243168,1.0,bigfish
9,9,81920,1.6180432400000004,1.59941566,1.0,bigfish
10,10,90112,1.09317633,1.1223321099999999,0.9937631487846375,bigfish
11,11,98304,1.62843042,1.24693999,0.9941529631614685,bigfish
12,12,106496,2.00275028,1.44176547,1.0,bigfish
13,13,114688,1.26744499,1.5038713900000003,1.0,bigfish
14,14,122880,1.58885046,1.4815170199999996,1.0,bigfish
15,15,131072,1.6300184299999998,1.75692442,1.0,bigfish
16,16,139264,1.7422688199999998,1.3762263099999998,1.0,bigfish
17,17,147456,1.6578350700000002,1.28016298,1.0,bigfish
18,18,155648,1.75795072,1.88208003,1.0,bigfish
19,19,163840,2.08429588,1.28219903,1.0,bigfish
20,20,172032,1.36950315,1.09250253,1.0,bigfish
21,21,180224,1.4714670300000001,1.29408292,1.0,bigfish
22,22,188416,1.4327034900000002,1.34956481,1.0,bigfish
23,23,196608,1.4627662600000002,1.4364022699999999,1.0,bigfish
24,24,204800,1.3589518699999998,1.31255312,1.0,bigfish
25,25,212992,1.4877172900000002,1.60399632,1.0,bigfish
26,26,221184,1.72671315,1.57559641,1.0,bigfish
27,27,229376,1.7706857299999998,1.49877839,1.0,bigfish
28,28,237568,1.6403482199999997,1.28636189,1.0,bigfish
29,29,245760,1.5112308300000001,1.25973948,1.0,bigfish
30,30,253952,1.6113935600000002,1.3496007399999999,1.0,bigfish
31,31,262144,1.43711942,1.27952842,1.0,bigfish
32,32,270336,1.3589998699999999,1.45163455,1.0,bigfish
33,33,278528,1.52527792,1.33235515,1.0,bigfish
34,34,286720,1.62395841,1.3330727100000002,1.0,bigfish
35,35,294912,1.9119411299999998,1.7281893199999998,1.0,bigfish
36,36,303104,1.56617145,1.6768430799999998,1.0,bigfish
37,37,311296,1.55382013,1.72115799,1.0,bigfish
38,38,319488,1.13221578,1.62846034,1.0,bigfish
39,39,327680,1.21841187,1.21899002,1.0,bigfish
40,40,335872,1.4350114100000002,1.64146936,1.0,bigfish
41,41,344064,1.38732015,1.539358,1.0,bigfish
42,42,352256,1.3912756199999998,1.4073165600000002,1.0,bigfish
43,43,360448,1.79090343,1.12069126,1.0,bigfish
44,44,368640,1.67612223,1.15859157,1.0,bigfish
45,45,376832,1.5468372099999999,1.28309955,1.0,bigfish
46,46,385024,1.41680405,1.8502732100000001,1.0,bigfish
47,47,393216,1.31852976,1.31917947,1.0,bigfish
48,48,401408,1.6521705500000001,1.69664055,1.0,bigfish
49,49,409600,1.65294063,1.7620366699999999,1.0,bigfish
50,50,417792,1.6053827699999998,1.7416930800000003,1.0,bigfish
51,51,425984,1.6094458299999996,1.7056500499999998,1.0,bigfish
52,52,434176,1.6108461400000003,2.14215966,1.0,bigfish
53,53,442368,1.6290301999999999,1.76334899,1.0,bigfish
54,54,450560,1.9151662200000001,1.7252061600000002,1.0,bigfish
55,55,458752,1.89983993,1.21837288,1.0,bigfish
56,56,466944,1.64987221,1.43904798,1.0,bigfish
57,57,475136,1.6320490900000002,1.63868561,1.0,bigfish
58,58,483328,1.7653138,1.78703793,1.0,bigfish
59,59,491520,1.98236798,1.81764036,1.0,bigfish
60,60,499712,2.1949925500000003,1.5296131200000003,1.0,bigfish
61,61,507904,1.9659322100000003,1.46414118,1.0,bigfish
62,62,516096,1.4452971700000001,1.41321001,1.0,bigfish
63,63,524288,1.7606946399999999,1.4285564400000001,1.0,bigfish
64,64,532480,2.02509931,1.3614229699999998,1.0,bigfish
65,65,540672,2.07197041,1.4461679,1.0,bigfish
66,66,548864,2.2181142200000004,2.0327428,1.0,bigfish
67,67,557056,1.8996541100000002,1.4399160500000001,1.0,bigfish
68,68,565248,1.58467782,1.55454898,1.0,bigfish
69,69,573440,1.91355018,1.7531549900000005,1.0,bigfish
70,70,581632,2.48715921,2.51553315,1.0,bigfish
71,71,589824,2.39538231,2.2436668099999997,1.0,bigfish
72,72,598016,2.17410533,1.8400870300000003,1.0,bigfish
73,73,606208,1.877722,1.9010090599999998,1.0,bigfish
74,74,614400,2.08936418,2.2943718399999997,1.0,bigfish
75,75,622592,2.62831164,2.0734288999999997,1.0,bigfish
76,76,630784,2.36726573,2.3916452899999996,1.0,bigfish
77,77,638976,1.7468477999999998,2.5390949700000003,1.0,bigfish
78,78,647168,1.72914059,1.7084531799999996,1.0,bigfish
79,79,655360,1.62962389,2.36352501,1.0,bigfish
80,80,663552,1.8742430200000002,2.42388026,1.0,bigfish
81,81,671744,2.02047048,2.02378683,1.0,bigfish
82,82,679936,1.9194808399999999,1.6972693800000003,1.0,bigfish
83,83,688128,2.0472658100000003,1.7451193499999997,1.0,bigfish
84,84,696320,2.22204951,1.5606011499999999,1.0,bigfish
85,85,704512,2.4113992,1.89740625,1.0,bigfish
86,86,712704,2.18039878,1.7158406400000001,1.0,bigfish
87,87,720896,2.23616731,1.6171932600000003,1.0,bigfish
88,88,729088,2.7555321299999997,1.63261649,1.0,bigfish
89,89,737280,2.17024044,1.6317977399999994,1.0,bigfish
90,90,745472,2.56076508,2.1930983299999998,1.0,bigfish
91,91,753664,1.8334630200000002,2.17085853,1.0,bigfish
92,92,761856,1.51668813,1.6846230599999998,1.0,bigfish
93,93,770048,1.7384917899999996,1.3321419400000003,1.0,bigfish
