,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,1.54757565,1.997264109375,-0.1370082050561905,bigfish
1,1,16384,1.6764273200000002,1.7393611999999998,0.5102142095565796,bigfish
2,2,24576,1.6285440800000002,1.55810363,0.9356748461723328,bigfish
3,3,32768,1.4897117699999998,1.61495505,0.9679139852523804,bigfish
4,4,40960,1.5754710599999995,1.77476825,0.990328311920166,bigfish
5,5,49152,1.38374394,1.5997858600000001,0.9737887382507324,bigfish
6,6,57344,1.5241062100000002,1.3693661,0.9902651309967041,bigfish
7,7,65536,1.5954259299999998,1.3304269599999998,0.997100830078125,bigfish
8,8,73728,1.6504006599999999,1.2199378,1.0,bigfish
9,9,81920,1.7249292400000005,1.51665895,1.0,bigfish
10,10,90112,1.80099173,1.5446812200000002,1.0,bigfish
11,11,98304,1.9696507600000002,1.83387269,1.0,bigfish
12,12,106496,1.8457823499999997,1.32816615,0.9714721441268921,bigfish
13,13,114688,1.5356636799999999,1.8385786100000001,1.0,bigfish
14,14,122880,1.98626381,1.89361392,0.9979526996612549,bigfish
15,15,131072,1.4962629900000002,2.1146146000000003,0.9999639987945557,bigfish
16,16,139264,1.4693089600000002,1.71468894,1.0,bigfish
17,17,147456,1.9779546500000003,1.30065399,1.0,bigfish
18,18,155648,1.61337824,1.3796355400000002,0.9988796710968018,bigfish
19,19,163840,1.3578910300000002,1.2092691400000002,0.9938299655914307,bigfish
20,20,172032,1.43082594,1.28959326,1.0,bigfish
21,21,180224,1.6833916399999997,1.4884768800000001,1.0,bigfish
22,22,188416,1.75326652,1.5100938099999999,0.9978926181793213,bigfish
23,23,196608,1.45619039,1.3990135799999999,0.9971312880516052,bigfish
24,24,204800,1.19311181,1.34583602,0.9979842901229858,bigfish
25,25,212992,1.5847354700000003,1.15460509,0.997956395149231,bigfish
26,26,221184,1.5904430500000002,1.3421861099999999,0.9979828596115112,bigfish
27,27,229376,1.52680554,1.01981178,1.0,bigfish
28,28,237568,1.8124718699999998,1.28771805,1.0,bigfish
29,29,245760,1.4434279099999998,1.7800929000000003,0.9979842901229858,bigfish
30,30,253952,1.3610564500000002,1.6609831800000001,1.0,bigfish
31,31,262144,1.6641794499999998,1.2178503699999998,1.0,bigfish
32,32,270336,1.79782229,1.6025968,1.0,bigfish
33,33,278528,1.54850032,1.6049718000000002,1.0,bigfish
34,34,286720,1.3513040299999997,1.4427148600000002,1.0,bigfish
35,35,294912,1.6754459700000002,1.42655382,0.9979289770126343,bigfish
36,36,303104,1.6556477200000002,1.2898236500000002,1.0,bigfish
37,37,311296,1.75581671,1.27525286,1.0,bigfish
38,38,319488,1.5702067800000001,1.40653575,0.9939233064651489,bigfish
39,39,327680,1.48961634,1.2406352,1.0,bigfish
40,40,335872,1.50757459,1.2870706699999999,1.0,bigfish
41,41,344064,1.6588067399999997,1.5133963599999998,1.0,bigfish
42,42,352256,1.7743674,1.5740908299999998,1.0,bigfish
43,43,360448,1.7043798000000001,1.56985527,1.0,bigfish
44,44,368640,1.63425783,1.87533129,1.0,bigfish
45,45,376832,1.7365272099999998,1.93488508,1.0,bigfish
46,46,385024,1.70524479,1.5108293100000003,1.0,bigfish
47,47,393216,1.90468372,1.47991306,1.0,bigfish
48,48,401408,1.4615051799999998,1.62840249,1.0,bigfish
