,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,1.8061982575757576,1.503436197183099,-0.10869242250919342,bigfish
1,1,16384,2.14905972,1.70024806,0.6557189226150513,bigfish
2,2,24576,1.7430676500000002,1.95562786,0.029681209474802017,bigfish
3,3,32768,1.6672980999999998,2.1823730300000004,-0.08261440694332123,bigfish
4,4,40960,1.8150573600000002,1.5102917500000002,-0.08598736673593521,bigfish
5,5,49152,1.2085658300000002,1.53017497,0.7078633308410645,bigfish
6,6,57344,1.3354020400000002,1.2460331,1.0,bigfish
7,7,65536,1.26921368,1.52693007,0.998046875,bigfish
8,8,73728,1.5529162600000002,1.6054112999999994,1.0,bigfish
9,9,81920,1.52374748,1.6467736400000001,1.0,bigfish
10,10,90112,1.54184149,1.28340034,1.0,bigfish
11,11,98304,1.18263549,1.44987291,1.0,bigfish
12,12,106496,1.3916795400000002,1.7532310999999998,1.0,bigfish
13,13,114688,1.62160547,1.41674849,1.0,bigfish
14,14,122880,1.4043601900000002,1.5576520700000003,1.0,bigfish
15,15,131072,1.23418826,1.80981593,0.998046875,bigfish
16,16,139264,1.52453605,1.99929566,0.998046875,bigfish
17,17,147456,1.61717759,1.5207773,1.0,bigfish
18,18,155648,1.9025995900000001,1.28403155,1.0,bigfish
19,19,163840,1.54128244,1.74386546,1.0,bigfish
20,20,172032,1.31582449,1.6223197200000001,0.998046875,bigfish
21,21,180224,1.63425987,1.43607087,0.998046875,bigfish
22,22,188416,1.64578889,1.40224243,1.0,bigfish
23,23,196608,1.52308266,1.12355976,1.0,bigfish
24,24,204800,1.7240645899999998,1.22912983,1.0,bigfish
25,25,212992,1.4741353700000002,1.94218458,1.0,bigfish
26,26,221184,1.20854379,1.9504604899999998,1.0,bigfish
27,27,229376,1.33272504,1.23674346,1.0,bigfish
28,28,237568,1.6393256299999999,1.24224209,1.0,bigfish
29,29,245760,1.5647027300000003,1.1291290600000001,0.998046875,bigfish
30,30,253952,1.47415361,1.09892889,1.0,bigfish
31,31,262144,1.77267898,1.13668562,1.0,bigfish
32,32,270336,1.40999634,1.4779617799999998,1.0,bigfish
33,33,278528,1.1083100299999997,1.4124765199999998,1.0,bigfish
34,34,286720,1.2969807100000004,1.16449684,1.0,bigfish
35,35,294912,1.1995161499999998,1.25104694,1.0,bigfish
36,36,303104,1.6195218699999998,1.21944236,1.0,bigfish
37,37,311296,1.41409887,1.3603296299999998,1.0,bigfish
38,38,319488,1.24945771,1.22839969,1.0,bigfish
39,39,327680,1.3856223099999996,1.3138780300000001,1.0,bigfish
40,40,335872,1.88443647,1.1431958800000002,1.0,bigfish
41,41,344064,1.8540741400000003,1.5354029,1.0,bigfish
42,42,352256,1.8785534,1.4490746099999998,1.0,bigfish
43,43,360448,1.5755667799999997,1.12830337,1.0,bigfish
44,44,368640,1.4750716300000002,1.3033092199999998,1.0,bigfish
45,45,376832,1.61106006,1.41089864,1.0,bigfish
46,46,385024,1.6975372400000004,1.7221834,1.0,bigfish
47,47,393216,1.72910408,2.12679061,0.9983527064323425,bigfish
48,48,401408,0.8965062400000001,1.8071907700000003,1.0,bigfish
49,49,409600,0.88214302,1.6164318,1.0,bigfish
50,50,417792,1.5132642299999999,1.6841301899999999,1.0,bigfish
51,51,425984,1.70889962,1.17290042,1.0,bigfish
52,52,434176,2.19219122,1.3262953800000004,1.0,bigfish
53,53,442368,1.89700289,1.5303038500000001,0.998046875,bigfish
54,54,450560,1.4970110300000001,1.6497027599999998,1.0,bigfish
55,55,458752,2.03943762,1.75089271,1.0,bigfish
56,56,466944,1.7691210499999999,1.46149195,1.0,bigfish
57,57,475136,1.17076669,1.5801532500000002,1.0,bigfish
58,58,483328,1.2375398,1.4292966,1.0,bigfish
59,59,491520,1.5619059800000001,1.46611131,0.998046875,bigfish
60,60,499712,1.25599984,1.83839125,1.0,bigfish
61,61,507904,1.14405416,1.51258221,1.0,bigfish
62,62,516096,1.43497773,1.7482757899999999,1.0,bigfish
63,63,524288,1.2438262000000002,2.32079404,1.0,bigfish
64,64,532480,1.4398227,1.3862692099999998,1.0,bigfish
65,65,540672,1.39275041,1.4370946699999998,1.0,bigfish
66,66,548864,1.4084234,1.3541835800000002,1.0,bigfish
67,67,557056,1.18199417,1.70978316,0.998046875,bigfish
68,68,565248,1.7196232599999999,1.8245377600000003,1.0,bigfish
69,69,573440,1.88462559,1.81853084,1.0,bigfish
