,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,2.153758125,1.6385282857142858,0.14031845331192017,bigfish
1,1,16384,2.08173855,1.5348571499999997,-0.13177452981472015,bigfish
2,2,24576,1.70950122,1.4963629400000003,1.0,bigfish
3,3,32768,1.6555566300000002,1.60907687,-0.17218439280986786,bigfish
4,4,40960,1.5813963799999997,1.4687506,0.46023815870285034,bigfish
5,5,49152,1.33937236,1.44418281,1.0,bigfish
6,6,57344,1.3658838400000002,1.13466497,1.0,bigfish
7,7,65536,1.3389849200000001,1.8916544000000002,1.0,bigfish
8,8,73728,1.3094678400000002,1.21064853,1.0,bigfish
9,9,81920,1.7173604900000001,1.28857584,1.0,bigfish
10,10,90112,1.62267965,1.3329625,1.0,bigfish
11,11,98304,2.0562130899999995,1.3867598399999996,1.0,bigfish
12,12,106496,1.77222082,1.1923813300000001,1.0,bigfish
13,13,114688,1.4992335600000002,1.35411606,1.0,bigfish
14,14,122880,1.8315792899999999,1.9427108899999999,1.0,bigfish
15,15,131072,1.5742977999999999,1.39423358,1.0,bigfish
16,16,139264,2.2322781700000003,1.0896384899999998,1.0,bigfish
17,17,147456,1.8779015600000002,1.4026173700000002,1.0,bigfish
18,18,155648,1.67289029,1.7042902999999998,1.0,bigfish
19,19,163840,1.70433929,1.5484921300000003,1.0,bigfish
20,20,172032,1.3970203799999998,1.6796366,1.0,bigfish
21,21,180224,1.6587209099999998,1.36342883,1.0,bigfish
22,22,188416,1.56007277,1.1069626700000001,1.0,bigfish
23,23,196608,1.43176049,1.40076459,1.0,bigfish
24,24,204800,1.26687749,1.52369808,1.0,bigfish
25,25,212992,1.3060300299999996,1.5130170199999997,1.0,bigfish
26,26,221184,1.4136734199999998,1.3235397599999998,1.0,bigfish
27,27,229376,1.7989117299999997,1.3405740499999999,1.0,bigfish
28,28,237568,1.53434405,1.13744284,1.0,bigfish
29,29,245760,1.4667135,1.35152549,1.0,bigfish
30,30,253952,1.33444989,1.6306725,1.0,bigfish
31,31,262144,1.8655478399999998,1.4923097499999998,1.0,bigfish
32,32,270336,2.2180081799999996,1.23015968,1.0,bigfish
33,33,278528,1.7760981900000001,1.38499607,1.0,bigfish
34,34,286720,1.83830254,1.9362219700000003,1.0,bigfish
35,35,294912,1.8857489700000003,1.96986365,1.0,bigfish
36,36,303104,1.6973854600000002,1.2954185200000001,1.0,bigfish
37,37,311296,1.5927580600000002,1.4638809400000001,1.0,bigfish
38,38,319488,1.37941926,1.6286611399999997,1.0,bigfish
39,39,327680,1.5915009000000004,1.6033489399999998,1.0,bigfish
40,40,335872,1.12197271,1.2945651999999999,1.0,bigfish
41,41,344064,1.46644802,1.7207383499999998,1.0,bigfish
42,42,352256,1.5488430499999999,1.96990539,1.0,bigfish
43,43,360448,1.87663898,2.07651941,1.0,bigfish
44,44,368640,1.7281219300000001,1.22408494,1.0,bigfish
45,45,376832,1.3684810100000002,1.60798856,1.0,bigfish
46,46,385024,1.7920242599999994,1.3398420199999999,1.0,bigfish
47,47,393216,1.56397581,1.7732802300000001,1.0,bigfish
48,48,401408,1.3398734700000003,1.4386830599999998,1.0,bigfish
49,49,409600,1.53559005,1.40880415,1.0,bigfish
50,50,417792,1.3374499499999999,1.31068276,1.0,bigfish
51,51,425984,1.32342271,1.3796234200000002,1.0,bigfish
52,52,434176,1.35911538,1.0962462600000002,1.0,bigfish
53,53,442368,1.6678358000000002,1.4540089600000001,1.0,bigfish
54,54,450560,1.7133673799999998,1.6069702599999998,1.0,bigfish
55,55,458752,1.72648998,1.4871369700000003,1.0,bigfish
56,56,466944,1.62798262,1.7843003799999997,1.0,bigfish
57,57,475136,1.5334250000000003,1.49576497,1.0,bigfish
58,58,483328,1.3709931600000003,1.6813130699999999,1.0,bigfish
59,59,491520,1.33998564,1.36199654,1.0,bigfish
60,60,499712,1.6031077399999998,1.3979474100000002,1.0,bigfish
61,61,507904,1.8165086999999998,1.5002757299999998,1.0,bigfish
62,62,516096,1.8652465700000003,1.4005440900000001,1.0,bigfish
63,63,524288,1.29373193,1.60261447,1.0,bigfish
64,64,532480,1.80119023,2.0042092499999997,1.0,bigfish
65,65,540672,1.8316982700000002,1.98108085,1.0,bigfish
66,66,548864,1.5043795199999999,2.2234402,1.0,bigfish
67,67,557056,1.49040751,1.56682842,1.0,bigfish
68,68,565248,1.5240588799999997,1.2986890799999997,1.0,bigfish
69,69,573440,1.55652471,1.4156370699999998,1.0,bigfish
70,70,581632,1.53983924,1.33417679,1.0,bigfish
71,71,589824,1.9009386799999999,1.3347687099999999,1.0,bigfish
72,72,598016,1.7699357700000002,1.68426227,1.0,bigfish
73,73,606208,1.6394309900000001,1.5302105,1.0,bigfish
74,74,614400,1.7053928200000001,1.99123858,1.0,bigfish
75,75,622592,1.8007508,1.9050750099999996,1.0,bigfish
76,76,630784,2.4832783900000006,1.7367369300000002,1.0,bigfish
77,77,638976,2.1698701799999998,1.36896242,1.0,bigfish
78,78,647168,1.6437201200000002,1.48230113,1.0,bigfish
79,79,655360,1.9694821000000002,1.2030097499999999,1.0,bigfish
80,80,663552,1.8065444300000002,1.3848645300000002,1.0,bigfish
81,81,671744,1.7392243100000002,1.69835753,1.0,bigfish
82,82,679936,2.4366470000000002,1.25412352,1.0,bigfish
83,83,688128,2.1929156499999998,1.42042319,1.0,bigfish
84,84,696320,2.0631816799999996,1.7680841800000002,1.0,bigfish
85,85,704512,1.9322979200000001,1.58785705,1.0,bigfish
86,86,712704,1.6713101700000002,1.86864921,1.0,bigfish
87,87,720896,1.6227598800000005,2.24198263,1.0,bigfish
88,88,729088,1.7052185599999998,1.49516358,1.0,bigfish
89,89,737280,1.6586986200000005,1.49366827,1.0,bigfish
90,90,745472,1.72413861,1.6084511600000002,1.0,bigfish
91,91,753664,1.75609339,1.9027320999999997,1.0,bigfish
92,92,761856,2.0654271300000002,2.01462499,1.0,bigfish
93,93,770048,1.9844053300000002,1.7184250999999997,1.0,bigfish
94,94,778240,2.1795253900000002,1.57199296,1.0,bigfish
