,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,1.9512366949152546,1.7496482424242423,-0.06398802995681763,bigfish
1,1,16384,1.7536933800000003,1.61019417,1.0,bigfish
2,2,24576,1.6125926899999998,1.4963574499999999,1.0,bigfish
3,3,32768,1.7574406800000002,1.4152659600000002,1.0,bigfish
4,4,40960,1.79101889,1.4363901199999998,1.0,bigfish
5,5,49152,1.7139342599999998,1.2763882,1.0,bigfish
6,6,57344,1.5668215600000002,1.6834445500000002,1.0,bigfish
7,7,65536,1.8775564300000003,1.5052941100000001,1.0,bigfish
8,8,73728,2.47441551,1.2334052,1.0,bigfish
9,9,81920,1.94022908,1.23109352,1.0,bigfish
10,10,90112,1.8207883399999998,1.23960906,1.0,bigfish
11,11,98304,1.85972112,1.7675947499999998,1.0,bigfish
12,12,106496,1.8787190299999998,1.66861768,1.0,bigfish
13,13,114688,1.9122074099999997,1.2560925000000003,1.0,bigfish
14,14,122880,1.6031880699999999,1.2651644600000003,1.0,bigfish
15,15,131072,1.2892755599999999,1.45057659,1.0,bigfish
16,16,139264,1.1059902,1.3497429499999998,1.0,bigfish
17,17,147456,1.6740535199999997,1.4110738099999998,1.0,bigfish
18,18,155648,1.69134448,1.7740781,1.0,bigfish
19,19,163840,1.25458333,1.55503224,1.0,bigfish
20,20,172032,1.9202413900000002,1.6349548200000001,1.0,bigfish
21,21,180224,1.3749147199999998,1.58044968,1.0,bigfish
22,22,188416,1.39644689,1.4153447800000003,1.0,bigfish
23,23,196608,1.7254508000000002,1.26525656,1.0,bigfish
24,24,204800,1.8240546,1.42012937,1.0,bigfish
25,25,212992,1.8531315099999999,1.2681628500000002,1.0,bigfish
26,26,221184,1.3931412999999997,1.94079859,1.0,bigfish
27,27,229376,1.57510591,1.7172178899999997,1.0,bigfish
28,28,237568,1.59457501,1.78250063,1.0,bigfish
29,29,245760,1.40341946,1.49645318,1.0,bigfish
30,30,253952,1.7664715999999998,1.18148199,1.0,bigfish
31,31,262144,1.9947412199999999,1.40648163,1.0,bigfish
32,32,270336,1.9744367900000004,1.8925125000000003,1.0,bigfish
33,33,278528,1.66525208,1.23141733,1.0,bigfish
34,34,286720,1.40937422,1.6379180799999997,1.0,bigfish
35,35,294912,1.5112825699999999,1.1514945,1.0,bigfish
36,36,303104,1.41638982,1.3907516600000003,1.0,bigfish
37,37,311296,1.49980472,1.52553522,1.0,bigfish
38,38,319488,1.56637318,1.5081581000000002,1.0,bigfish
39,39,327680,1.63474774,1.39110455,1.0,bigfish
40,40,335872,1.7216532100000002,1.8102479200000006,1.0,bigfish
41,41,344064,1.45940559,1.6965521899999998,1.0,bigfish
42,42,352256,1.34628108,1.17355082,1.0,bigfish
43,43,360448,1.63300857,1.47743035,1.0,bigfish
44,44,368640,1.5322331400000002,1.5598279300000002,1.0,bigfish
45,45,376832,1.1509144400000002,1.6242771500000004,1.0,bigfish
46,46,385024,1.2895756,1.3749438299999996,1.0,bigfish
47,47,393216,1.7230020300000002,1.3095272900000001,1.0,bigfish
48,48,401408,1.64518046,1.62781381,1.0,bigfish
49,49,409600,2.0156106400000002,1.4736848799999998,1.0,bigfish
50,50,417792,1.52684236,1.5857739600000003,1.0,bigfish
51,51,425984,1.5101338600000003,1.21839661,1.0,bigfish
52,52,434176,1.90407808,1.5059470799999997,1.0,bigfish
53,53,442368,1.80564057,1.50742925,1.0,bigfish
54,54,450560,1.87268131,1.2237508400000001,1.0,bigfish
55,55,458752,1.9388755699999998,1.30793745,1.0,bigfish
56,56,466944,1.96654177,0.92423118,1.0,bigfish
57,57,475136,1.7820054799999996,1.1283095699999999,1.0,bigfish
58,58,483328,1.6823607,1.4125709499999999,1.0,bigfish
59,59,491520,1.5182025300000002,1.22696292,1.0,bigfish
60,60,499712,1.7485906900000001,1.14357697,1.0,bigfish
61,61,507904,1.62107302,1.66368294,1.0,bigfish
62,62,516096,1.39621122,1.7281773900000001,1.0,bigfish
63,63,524288,1.48059132,1.35731765,1.0,bigfish
64,64,532480,1.5489027899999999,1.70700403,1.0,bigfish
65,65,540672,2.09419268,2.1007445399999995,1.0,bigfish
66,66,548864,1.94519351,1.8792820399999999,1.0,bigfish
67,67,557056,1.5981633800000004,1.4801647100000002,1.0,bigfish
68,68,565248,1.69638015,1.56360285,1.0,bigfish
69,69,573440,2.0746955199999997,1.79289097,1.0,bigfish
70,70,581632,1.9243392700000002,1.49188901,1.0,bigfish
71,71,589824,1.49671084,1.6886171,1.0,bigfish
72,72,598016,1.90873504,1.8817719599999998,1.0,bigfish
73,73,606208,1.8921935099999998,1.64581565,1.0,bigfish
74,74,614400,2.0050045200000004,1.30044768,1.0,bigfish
75,75,622592,1.83795115,1.72708306,1.0,bigfish
76,76,630784,1.8522587300000004,1.54505101,1.0,bigfish
77,77,638976,1.67132512,1.3958435100000002,1.0,bigfish
78,78,647168,1.6375021,1.62623745,1.0,bigfish
79,79,655360,1.7342857199999997,1.88696536,1.0,bigfish
80,80,663552,1.86450242,1.50857578,1.0,bigfish
81,81,671744,1.8809613200000002,1.6393888900000002,1.0,bigfish
82,82,679936,1.8958902100000001,1.7686168699999998,1.0,bigfish
83,83,688128,1.9771862599999996,1.32702035,1.0,bigfish
84,84,696320,2.33398007,1.5394752899999997,1.0,bigfish
85,85,704512,2.13339876,1.50417742,1.0,bigfish
86,86,712704,1.7715026,1.65031859,1.0,bigfish
87,87,720896,1.83587166,2.08940029,1.0,bigfish
88,88,729088,2.50411312,1.82679394,1.0,bigfish
89,89,737280,2.3077765,1.51437288,1.0,bigfish
90,90,745472,1.9779033100000003,1.9178685800000002,1.0,bigfish
91,91,753664,2.08951146,2.02947394,1.0,bigfish
92,92,761856,1.84545023,1.7355174299999998,1.0,bigfish
93,93,770048,1.76384227,1.8015050500000003,1.0,bigfish
94,94,778240,1.60202433,1.6573739200000004,1.0,bigfish
95,95,786432,1.9417757099999997,1.5934878399999997,1.0,bigfish
96,96,794624,2.10195391,1.83514459,1.0,bigfish
97,97,802816,2.0030343999999998,1.63719914,1.0,bigfish
98,98,811008,2.5658673000000003,1.7977940900000002,1.0,bigfish
99,99,819200,2.82142308,1.45508054,1.0,bigfish
100,100,827392,2.44587241,1.8461477799999997,1.0,bigfish
101,101,835584,2.42712122,2.3782592599999997,1.0,bigfish
102,102,843776,2.0890480600000005,2.33808933,1.0,bigfish
103,103,851968,2.11999177,2.3839601800000003,1.0,bigfish
104,104,860160,2.9355829100000004,1.7538619,1.0,bigfish
105,105,868352,2.5628295,2.25138124,1.0,bigfish
106,106,876544,2.07845471,1.9917038,1.0,bigfish
107,107,884736,2.33340701,1.7177358200000001,1.0,bigfish
108,108,892928,2.1559429399999996,2.16469341,1.0,bigfish
109,109,901120,2.47120073,2.09661859,1.0,bigfish
110,110,909312,2.32383347,1.7747858200000002,1.0,bigfish
111,111,917504,2.28985392,1.8390546,1.0,bigfish
112,112,925696,2.78150415,2.27064033,1.0,bigfish
113,113,933888,2.6680927599999995,2.0930553499999998,1.0,bigfish
114,114,942080,2.91472921,2.86066888,1.0,bigfish
115,115,950272,2.92456475,2.2929145,1.0,bigfish
116,116,958464,2.9210453600000004,1.94121153,1.0,bigfish
117,117,966656,3.12517828,2.33746249,1.0,bigfish
118,118,974848,3.0670074699999996,2.19148004,1.0,bigfish
119,119,983040,2.2307867499999996,1.7783974699999998,1.0,bigfish
120,120,991232,1.5920186099999998,1.7158086499999998,1.0,bigfish
121,121,999424,1.89243552,2.4308249799999997,1.0,bigfish
122,122,1007616,2.4926520599999997,2.33606118,1.0,bigfish
123,123,1015808,2.3822529899999996,1.8768270900000001,1.0,bigfish
124,124,1024000,2.0987811699999996,1.7351661299999999,1.0,bigfish
125,125,1032192,2.11440628,2.05396789,1.0,bigfish
126,126,1040384,2.34998326,2.32408372,1.0,bigfish
127,127,1048576,2.7802242300000004,2.5942322,1.0,bigfish
128,128,1056768,2.8732449300000003,2.51308208,1.0,bigfish
129,129,1064960,2.21987356,2.0030234700000005,1.0,bigfish
130,130,1073152,2.1878856300000002,2.1606956499999996,1.0,bigfish
131,131,1081344,2.26710402,2.5252772599999997,1.0,bigfish
132,132,1089536,2.60443281,3.5455606500000005,1.0,bigfish
133,133,1097728,2.5728707600000003,2.75099466,1.0,bigfish
134,134,1105920,2.5402856099999997,2.7524025,1.0,bigfish
135,135,1114112,2.18662506,2.27290392,1.0,bigfish
136,136,1122304,2.3435229,2.00364189,1.0,bigfish
137,137,1130496,2.3903856899999996,2.6273642699999997,1.0,bigfish
138,138,1138688,2.6888708199999996,2.53020797,1.0,bigfish
139,139,1146880,2.9596216999999996,1.8310111599999999,1.0,bigfish
140,140,1155072,2.4557248199999995,1.72072432,1.0,bigfish
141,141,1163264,1.78910054,1.6375915900000002,1.0,bigfish
142,142,1171456,1.9768747899999999,1.9720993499999997,1.0,bigfish
143,143,1179648,2.6799757200000003,1.8293312,1.0,bigfish
144,144,1187840,3.3099095500000004,1.6238001100000004,1.0,bigfish
145,145,1196032,3.416762870000001,1.52955626,1.0,bigfish
146,146,1204224,2.8042357699999996,2.0405966300000005,1.0,bigfish
147,147,1212416,2.25027365,1.80207733,1.0,bigfish
148,148,1220608,3.1962287299999996,1.99290213,1.0,bigfish
149,149,1228800,3.3361685600000004,2.2149720200000003,1.0,bigfish
150,150,1236992,3.09102852,2.8705947399999996,1.0,bigfish
151,151,1245184,3.1653902100000004,3.2247356899999993,1.0,bigfish
152,152,1253376,2.7869325399999996,2.8547936700000007,1.0,bigfish
153,153,1261568,2.7279628799999993,2.8070499699999996,1.0,bigfish
154,154,1269760,3.4289594900000004,1.97393016,1.0,bigfish
155,155,1277952,4.24071878,1.9258388199999998,1.0,bigfish
156,156,1286144,3.09826456,2.00456426,1.0,bigfish
157,157,1294336,1.99179323,1.87624006,1.0,bigfish
158,158,1302528,2.48447164,1.8594633900000002,1.0,bigfish
159,159,1310720,2.05126388,1.9388246299999998,1.0,bigfish
160,160,1318912,2.03493373,2.05058277,1.0,bigfish
161,161,1327104,2.51115968,2.00167986,1.0,bigfish
162,162,1335296,2.6782545200000003,2.2697619,1.0,bigfish
163,163,1343488,2.8143751499999996,1.88740723,1.0,bigfish
164,164,1351680,2.6285516500000004,1.41126235,1.0,bigfish
165,165,1359872,2.56534498,2.0838421200000004,1.0,bigfish
166,166,1368064,2.7330918299999998,2.43326485,1.0,bigfish
167,167,1376256,2.45558088,2.07819314,1.0,bigfish
168,168,1384448,2.22535668,2.66323544,1.0,bigfish
169,169,1392640,2.1798077200000003,3.02224401,1.0,bigfish
170,170,1400832,2.7194208300000002,2.9512374999999995,1.0,bigfish
171,171,1409024,2.27155709,2.6002420799999997,1.0,bigfish
172,172,1417216,2.13347167,2.67879006,1.0,bigfish
173,173,1425408,2.37899503,2.9986171499999994,1.0,bigfish
174,174,1433600,2.24106538,2.60239495,1.0,bigfish
175,175,1441792,2.74799493,1.9498851,1.0,bigfish
176,176,1449984,2.87151409,2.1393076399999997,1.0,bigfish
177,177,1458176,2.97874846,2.16987168,1.0,bigfish
178,178,1466368,3.3234276600000006,2.13754467,1.0,bigfish
179,179,1474560,3.3367434400000002,1.90170705,1.0,bigfish
180,180,1482752,2.1147077000000003,1.5090629100000001,1.0,bigfish
181,181,1490944,1.9598923300000002,1.6197398800000002,1.0,bigfish
182,182,1499136,2.0650893499999996,1.88737638,1.0,bigfish
183,183,1507328,2.6146484099999996,1.9816390399999997,1.0,bigfish
184,184,1515520,2.56869326,2.39560154,1.0,bigfish
185,185,1523712,2.92875574,3.26458805,1.0,bigfish
186,186,1531904,2.5150235000000003,3.09003229,1.0,bigfish
187,187,1540096,2.5669692299999998,3.5742515399999992,1.0,bigfish
188,188,1548288,2.9483660000000005,2.5853138799999997,1.0,bigfish
189,189,1556480,2.85600622,2.41106141,1.0,bigfish
190,190,1564672,2.47403106,2.01892461,1.0,bigfish
191,191,1572864,2.35205169,2.22211051,1.0,bigfish
192,192,1581056,2.80437963,2.20696347,1.0,bigfish
193,193,1589248,3.18633584,2.30126953,1.0,bigfish
194,194,1597440,3.09458044,1.97261681,1.0,bigfish
195,195,1605632,2.5501555,2.03522228,1.0,bigfish
196,196,1613824,2.3204027099999998,2.08250575,1.0,bigfish
197,197,1622016,2.5032929599999996,1.97290349,1.0,bigfish
198,198,1630208,2.6255244899999997,1.6601422900000002,1.0,bigfish
199,199,1638400,2.9463411799999992,1.64527077,1.0,bigfish
200,200,1646592,2.8543690099999997,1.61412543,1.0,bigfish
201,201,1654784,3.03688466,1.4261079900000002,1.0,bigfish
202,202,1662976,2.79162783,2.02180564,1.0,bigfish
203,203,1671168,3.47656035,2.06887759,1.0,bigfish
204,204,1679360,3.6423675099999997,2.6231124599999998,1.0,bigfish
205,205,1687552,3.3352977900000003,2.84160375,1.0,bigfish
206,206,1695744,3.39462664,3.07590911,1.0,bigfish
207,207,1703936,3.4918424299999997,3.32614773,1.0,bigfish
208,208,1712128,4.0467960099999996,2.34867082,1.0,bigfish
209,209,1720320,2.94081341,3.07550744,1.0,bigfish
210,210,1728512,2.802884240000001,3.20097438,1.0,bigfish
211,211,1736704,2.24624837,2.42751223,1.0,bigfish
212,212,1744896,2.53444556,2.6458067499999998,1.0,bigfish
213,213,1753088,2.3221908300000003,2.41031456,1.0,bigfish
214,214,1761280,2.6111213999999996,1.81521409,1.0,bigfish
215,215,1769472,2.58105845,2.0508199200000004,1.0,bigfish
216,216,1777664,3.859517399999999,2.02039851,1.0,bigfish
217,217,1785856,4.450304549999999,2.22505315,1.0,bigfish
218,218,1794048,4.731668330000001,2.28828949,1.0,bigfish
219,219,1802240,3.9382344900000006,3.0465541500000004,1.0,bigfish
220,220,1810432,3.4671159399999993,2.560995,1.0,bigfish
221,221,1818624,2.53116999,1.8815246100000003,1.0,bigfish
222,222,1826816,2.3796250700000003,1.9448735400000001,1.0,bigfish
223,223,1835008,2.66769398,2.08681229,1.0,bigfish
224,224,1843200,3.0104982199999997,1.97781823,1.0,bigfish
225,225,1851392,3.8523762599999998,2.2765610799999996,1.0,bigfish
226,226,1859584,4.18462218,2.0728384199999996,1.0,bigfish
227,227,1867776,4.15852957,2.68479578,1.0,bigfish
228,228,1875968,3.0579303099999997,2.66816952,1.0,bigfish
229,229,1884160,3.0725636499999998,2.5577489300000003,1.0,bigfish
230,230,1892352,2.98139992,3.6457042200000007,1.0,bigfish
231,231,1900544,3.6921192599999997,3.8079498600000004,1.0,bigfish
232,232,1908736,2.90449908,4.23133527,1.0,bigfish
233,233,1916928,2.8889392500000004,3.34634803,1.0,bigfish
234,234,1925120,2.52480072,2.7909101899999995,1.0,bigfish
235,235,1933312,4.02340128,3.2414713199999987,1.0,bigfish
236,236,1941504,3.4320568499999995,2.81830873,1.0,bigfish
237,237,1949696,2.2932111400000004,2.3887618099999997,1.0,bigfish
238,238,1957888,2.4584185,2.14702791,1.0,bigfish
239,239,1966080,3.29662155,2.84252829,1.0,bigfish
240,240,1974272,3.9829631800000005,3.15521369,1.0,bigfish
241,241,1982464,3.5437497299999996,3.8744725399999997,1.0,bigfish
242,242,1990656,3.4855149599999997,4.777157890000001,1.0,bigfish
243,243,1998848,3.0684739000000003,4.4293033500000005,1.0,bigfish
244,244,2007040,3.397623489999999,4.23064465,1.0,bigfish
245,245,2015232,3.03558873,2.8877129000000004,1.0,bigfish
246,246,2023424,2.5233853000000006,2.9826514299999998,1.0,bigfish
247,247,2031616,2.68887172,2.8198284,1.0,bigfish
248,248,2039808,2.6148041899999996,2.6950715899999995,1.0,bigfish
249,249,2048000,2.1495474199999998,2.3285053199999997,1.0,bigfish
250,250,2056192,2.20956502,2.2655871,1.0,bigfish
251,251,2064384,2.56913681,2.6785029299999996,1.0,bigfish
252,252,2072576,3.1089990700000003,2.58411431,1.0,bigfish
253,253,2080768,2.61252838,2.4176526899999997,1.0,bigfish
254,254,2088960,2.5516826800000003,2.870202089999999,1.0,bigfish
255,255,2097152,2.8512820700000003,2.0918297399999997,1.0,bigfish
256,256,2105344,2.7155134600000004,2.0451066,1.0,bigfish
257,257,2113536,2.7853991199999997,2.2637676,1.0,bigfish
258,258,2121728,3.5801045899999995,2.7003882600000004,1.0,bigfish
259,259,2129920,3.6096877999999992,2.5901917400000003,1.0,bigfish
260,260,2138112,3.2086980200000004,3.23507036,1.0,bigfish
261,261,2146304,2.6234848299999998,3.1406743199999996,1.0,bigfish
262,262,2154496,2.5932753999999996,2.7583792199999992,1.0,bigfish
263,263,2162688,2.6231374000000005,2.13437727,1.0,bigfish
264,264,2170880,2.6378277699999995,1.80726477,1.0,bigfish
265,265,2179072,2.6674351399999994,2.53120557,1.0,bigfish
266,266,2187264,2.90656474,2.7812816700000003,1.0,bigfish
267,267,2195456,3.46988279,2.6977295900000002,1.0,bigfish
268,268,2203648,3.13918941,2.5425676999999998,1.0,bigfish
269,269,2211840,2.7184480499999997,2.46565724,1.0,bigfish
270,270,2220032,2.83815515,2.02974079,1.0,bigfish
271,271,2228224,2.8235052299999994,2.24838037,1.0,bigfish
272,272,2236416,2.7391198300000004,2.66029442,1.0,bigfish
273,273,2244608,3.2491707400000003,1.88000791,1.0,bigfish
274,274,2252800,2.39674159,1.4062212799999998,1.0,bigfish
275,275,2260992,1.7681988000000002,2.03148318,1.0,bigfish
276,276,2269184,1.81336086,2.21840907,1.0,bigfish
277,277,2277376,2.18795846,2.5977454,1.0,bigfish
278,278,2285568,3.28147611,2.58712965,1.0,bigfish
279,279,2293760,2.9511501300000003,1.8783235800000002,1.0,bigfish
280,280,2301952,2.0515312000000003,1.9333390899999996,1.0,bigfish
281,281,2310144,2.1107121,2.08805315,1.0,bigfish
282,282,2318336,2.79887411,2.9200793700000003,1.0,bigfish
283,283,2326528,2.7981911000000004,2.77927845,1.0,bigfish
284,284,2334720,2.3934390499999996,2.47431103,1.0,bigfish
285,285,2342912,2.45267295,2.4260970299999998,1.0,bigfish
286,286,2351104,2.63138491,1.9427451400000002,1.0,bigfish
287,287,2359296,3.3437481399999998,1.8329451100000003,1.0,bigfish
288,288,2367488,3.13336055,1.70833794,1.0,bigfish
289,289,2375680,2.61342917,2.01867255,1.0,bigfish
290,290,2383872,2.2549867800000003,2.26663799,1.0,bigfish
291,291,2392064,2.37438779,2.48376894,1.0,bigfish
292,292,2400256,2.5981048200000005,2.40609166,1.0,bigfish
293,293,2408448,2.22425912,1.90914621,1.0,bigfish
294,294,2416640,2.23825667,2.07994491,1.0,bigfish
295,295,2424832,2.6842945099999995,2.2970405699999996,1.0,bigfish
296,296,2433024,3.4283213099999994,2.15684371,1.0,bigfish
297,297,2441216,2.80006104,2.38905126,1.0,bigfish
298,298,2449408,2.24781139,2.9302756500000005,1.0,bigfish
299,299,2457600,1.9349874900000001,2.51021471,1.0,bigfish
300,300,2465792,2.2325884200000004,1.9829485300000003,1.0,bigfish
301,301,2473984,2.5894047099999993,1.58018441,1.0,bigfish
302,302,2482176,3.1086038399999993,1.90574258,1.0,bigfish
303,303,2490368,3.5977162799999998,1.93687027,1.0,bigfish
304,304,2498560,3.4620442399999996,1.8592400699999998,1.0,bigfish
305,305,2506752,2.7922865000000003,2.2923495099999998,1.0,bigfish
306,306,2514944,2.3309694300000006,2.1987876500000003,1.0,bigfish
307,307,2523136,3.0131038200000004,2.0896127100000004,1.0,bigfish
308,308,2531328,3.0712368999999997,2.30530656,1.0,bigfish
309,309,2539520,2.7727561100000004,2.8454981499999996,1.0,bigfish
310,310,2547712,2.57927421,2.85964946,1.0,bigfish
311,311,2555904,2.3267307799999997,2.2710890800000003,1.0,bigfish
312,312,2564096,2.7112177799999997,2.08538296,1.0,bigfish
313,313,2572288,2.87256462,2.27108583,1.0,bigfish
314,314,2580480,2.97393561,2.02409993,1.0,bigfish
315,315,2588672,2.85336897,2.1783715800000003,1.0,bigfish
316,316,2596864,3.6487786099999995,2.03824838,1.0,bigfish
317,317,2605056,3.1582270800000005,2.7593205100000002,1.0,bigfish
318,318,2613248,2.2563115800000006,2.95536861,1.0,bigfish
319,319,2621440,2.40356311,2.5496866,1.0,bigfish
320,320,2629632,2.68328415,2.33162163,1.0,bigfish
321,321,2637824,2.94755981,2.57387139,1.0,bigfish
322,322,2646016,2.4602497100000003,2.41914997,1.0,bigfish
323,323,2654208,2.0911503,2.0969255099999997,1.0,bigfish
324,324,2662400,2.14960509,2.40142445,1.0,bigfish
325,325,2670592,2.45801867,2.40076148,1.0,bigfish
326,326,2678784,3.5743504199999996,1.6349769600000001,1.0,bigfish
327,327,2686976,3.4985364500000005,2.58053948,1.0,bigfish
328,328,2695168,3.51016027,3.0826497800000006,1.0,bigfish
329,329,2703360,3.28637043,3.2782194200000006,1.0,bigfish
330,330,2711552,3.4015072300000004,2.71161006,1.0,bigfish
331,331,2719744,3.062536849999999,2.07037889,1.0,bigfish
332,332,2727936,3.22247085,2.1752629600000004,1.0,bigfish
333,333,2736128,3.1473749300000002,2.24888763,1.0,bigfish
334,334,2744320,3.56659792,3.4388431199999996,1.0,bigfish
335,335,2752512,3.43241431,3.25295051,1.0,bigfish
336,336,2760704,2.8335729999999995,2.14918482,1.0,bigfish
337,337,2768896,2.8908846799999997,2.63265604,1.0,bigfish
338,338,2777088,2.9620078899999998,2.34516949,1.0,bigfish
339,339,2785280,2.93112053,2.08733447,1.0,bigfish
340,340,2793472,2.4474238500000003,2.35751843,1.0,bigfish
341,341,2801664,2.751257,2.5220953600000002,1.0,bigfish
342,342,2809856,2.80701846,2.24869649,1.0,bigfish
343,343,2818048,3.1377287200000006,2.05101741,1.0,bigfish
344,344,2826240,3.4107763799999997,1.9438531499999998,1.0,bigfish
345,345,2834432,2.52397108,2.5600862,1.0,bigfish
346,346,2842624,2.98730759,2.43364965,1.0,bigfish
347,347,2850816,3.00064876,2.01190663,1.0,bigfish
348,348,2859008,3.1721584399999996,2.0611876899999997,1.0,bigfish
349,349,2867200,2.95289498,2.27085513,1.0,bigfish
350,350,2875392,2.7348961499999995,2.7650516799999996,1.0,bigfish
351,351,2883584,3.12540235,2.22278616,1.0,bigfish
352,352,2891776,3.42863264,1.9069553800000003,1.0,bigfish
353,353,2899968,3.2539291500000003,2.44681091,1.0,bigfish
354,354,2908160,3.6126150800000003,2.76126759,1.0,bigfish
355,355,2916352,3.3645139299999993,2.2657264199999996,1.0,bigfish
356,356,2924544,3.4921959100000004,1.8458812700000002,1.0,bigfish
357,357,2932736,3.3171245199999997,2.04157537,1.0,bigfish
358,358,2940928,3.4739624799999995,2.44608564,1.0,bigfish
359,359,2949120,3.55820404,2.62423514,1.0,bigfish
360,360,2957312,3.9011047499999996,2.62232309,1.0,bigfish
361,361,2965504,4.27401256,2.84611266,1.0,bigfish
362,362,2973696,3.59695753,2.65043861,1.0,bigfish
363,363,2981888,3.8257705,3.1736321700000008,1.0,bigfish
364,364,2990080,3.2622725500000005,2.72368246,1.0,bigfish
365,365,2998272,3.00213832,2.6336941,1.0,bigfish
366,366,3006464,2.97217822,1.9300732799999998,1.0,bigfish
367,367,3014656,3.1569371999999993,2.9731793799999995,1.0,bigfish
368,368,3022848,3.0548573900000004,3.0629827900000004,1.0,bigfish
369,369,3031040,3.2537307200000005,2.6487692299999996,1.0,bigfish
370,370,3039232,3.19333739,2.0059126800000002,1.0,bigfish
371,371,3047424,4.165086400000001,1.90104603,1.0,bigfish
372,372,3055616,4.618521439999999,2.40944044,1.0,bigfish
373,373,3063808,5.1270890399999995,3.2970549200000003,1.0,bigfish
374,374,3072000,3.537004130000001,3.3259383399999995,1.0,bigfish
375,375,3080192,3.10765152,2.65707836,1.0,bigfish
376,376,3088384,2.6502235,2.45134445,1.0,bigfish
377,377,3096576,3.26150011,3.7153337000000004,1.0,bigfish
378,378,3104768,3.28903943,3.4144956200000003,1.0,bigfish
379,379,3112960,3.5307038299999998,2.6399408000000006,1.0,bigfish
380,380,3121152,3.1882759,2.1620631300000004,1.0,bigfish
381,381,3129344,3.5576011800000003,1.93849243,1.0,bigfish
382,382,3137536,3.14389082,2.3553379600000004,1.0,bigfish
383,383,3145728,3.2996523900000003,3.0691633400000002,1.0,bigfish
384,384,3153920,3.4823088799999997,3.7022690099999993,1.0,bigfish
385,385,3162112,3.2529724499999997,3.01416526,1.0,bigfish
386,386,3170304,4.0327309200000006,2.2575172599999997,1.0,bigfish
387,387,3178496,4.8542518800000005,2.37537075,1.0,bigfish
388,388,3186688,4.565570699999999,3.0101214899999995,1.0,bigfish
389,389,3194880,3.9355903100000007,2.7568354100000003,1.0,bigfish
390,390,3203072,3.51807486,2.7710430400000003,1.0,bigfish
391,391,3211264,3.52988244,2.34241646,1.0,bigfish
392,392,3219456,3.73886521,2.7562684599999994,1.0,bigfish
393,393,3227648,3.42629152,3.6116727399999995,1.0,bigfish
394,394,3235840,3.2977745799999996,3.4911450600000005,1.0,bigfish
395,395,3244032,2.91636623,3.4604326100000002,1.0,bigfish
396,396,3252224,3.3382596800000006,2.4108238500000003,1.0,bigfish
397,397,3260416,3.5346412599999995,2.779676029999999,1.0,bigfish
398,398,3268608,3.548014569999999,2.4970135599999996,1.0,bigfish
399,399,3276800,3.0121365500000006,2.5407352100000002,1.0,bigfish
400,400,3284992,3.29296014,2.56951214,1.0,bigfish
401,401,3293184,3.9253359200000006,2.9972630199999997,1.0,bigfish
402,402,3301376,3.9386926,2.6269587800000007,1.0,bigfish
403,403,3309568,3.67072514,4.0931184,1.0,bigfish
404,404,3317760,3.7257563800000004,4.468824859999999,1.0,bigfish
405,405,3325952,3.27462125,3.4227947000000007,1.0,bigfish
406,406,3334144,3.87978231,1.99964053,1.0,bigfish
407,407,3342336,3.9349251599999997,2.69003644,1.0,bigfish
408,408,3350528,4.32660055,2.9091530200000006,1.0,bigfish
409,409,3358720,4.11140955,3.1857396399999995,1.0,bigfish
410,410,3366912,3.8267506000000004,2.25985816,1.0,bigfish
411,411,3375104,3.9932845999999995,2.2734483500000002,1.0,bigfish
412,412,3383296,3.920860259999999,2.53793126,1.0,bigfish
413,413,3391488,3.3587699100000004,1.8785892100000003,1.0,bigfish
414,414,3399680,3.51173797,2.61065866,1.0,bigfish
415,415,3407872,3.5107133599999996,3.22590506,1.0,bigfish
416,416,3416064,3.8023869399999994,2.78543793,1.0,bigfish
417,417,3424256,3.897476900000001,2.32933284,1.0,bigfish
418,418,3432448,3.8114819900000003,2.27000743,1.0,bigfish
419,419,3440640,3.54387573,2.65010979,1.0,bigfish
420,420,3448832,3.0688268,3.14705081,1.0,bigfish
