,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,2.4978356538461535,2.324753303571429,-0.24212461709976196,bigfish
1,1,16384,2.4065587699999997,2.10609365,0.9090921878814697,bigfish
2,2,24576,2.3221859599999997,1.26892631,1.0,bigfish
3,3,32768,2.3197251800000003,1.2924161299999997,1.0,bigfish
4,4,40960,2.1595973699999997,1.65300128,1.0,bigfish
5,5,49152,1.7004099200000002,1.62812657,1.0,bigfish
6,6,57344,1.42882024,1.3926079899999997,1.0,bigfish
7,7,65536,1.50481967,1.51220862,1.0,bigfish
8,8,73728,1.6343225,1.4783157199999999,1.0,bigfish
9,9,81920,1.65097915,1.5035818799999998,1.0,bigfish
10,10,90112,1.2996731099999999,1.6882303,1.0,bigfish
11,11,98304,1.2026139,1.6922093200000001,1.0,bigfish
12,12,106496,1.2617562299999998,1.6202233099999999,1.0,bigfish
13,13,114688,1.31930505,1.40875416,1.0,bigfish
14,14,122880,1.2815798,1.3361969199999997,1.0,bigfish
15,15,131072,1.6238895400000002,1.3399170800000002,1.0,bigfish
16,16,139264,1.5331628199999998,2.0273937799999997,1.0,bigfish
17,17,147456,1.32152007,1.66690461,1.0,bigfish
18,18,155648,1.4867830899999999,1.80478973,1.0,bigfish
19,19,163840,1.38903434,1.3039166,1.0,bigfish
20,20,172032,1.3782647900000002,1.25792292,1.0,bigfish
21,21,180224,1.4594860699999999,1.3179763699999998,1.0,bigfish
22,22,188416,1.58630826,1.8237048299999998,1.0,bigfish
23,23,196608,1.95026637,1.36039795,0.9979373812675476,bigfish
24,24,204800,1.8202850499999998,1.5643405899999998,1.0,bigfish
25,25,212992,1.49786529,1.6931059600000002,1.0,bigfish
26,26,221184,1.8362953299999998,1.86323746,1.0,bigfish
27,27,229376,1.37887465,1.4892467499999997,1.0,bigfish
28,28,237568,1.1834317,1.5556745900000002,1.0,bigfish
29,29,245760,1.4766469,1.8284644999999997,1.0,bigfish
30,30,253952,1.4134087299999998,1.2955189099999997,1.0,bigfish
31,31,262144,1.35109819,1.54277097,1.0,bigfish
32,32,270336,1.3331899200000001,1.18284562,1.0,bigfish
33,33,278528,1.14049136,1.2848544100000001,1.0,bigfish
34,34,286720,1.50437014,1.6512200300000002,1.0,bigfish
35,35,294912,1.5074177899999999,1.73137958,1.0,bigfish
36,36,303104,1.13142021,1.8711112100000002,1.0,bigfish
37,37,311296,1.52634286,1.4544498300000002,1.0,bigfish
38,38,319488,1.6577143899999998,1.6311954599999998,1.0,bigfish
39,39,327680,1.9040867999999997,1.27070117,1.0,bigfish
40,40,335872,1.73847973,1.23935203,1.0,bigfish
41,41,344064,1.87082628,1.3246332700000003,1.0,bigfish
42,42,352256,1.8732367799999998,1.1499197099999998,1.0,bigfish
43,43,360448,2.07160051,1.6637073800000002,0.9978905320167542,bigfish
44,44,368640,1.8204131299999997,1.7458413499999998,1.0,bigfish
45,45,376832,1.31019035,1.5143219700000001,1.0,bigfish
46,46,385024,1.4614489800000001,1.3655659800000002,1.0,bigfish
47,47,393216,1.47693047,1.3831309100000002,1.0,bigfish
48,48,401408,1.64013094,1.3030702899999997,1.0,bigfish
49,49,409600,1.7893549300000005,1.4547926800000002,1.0,bigfish
50,50,417792,1.51069274,1.48774272,0.9942218065261841,bigfish
51,51,425984,1.91800062,2.0121057600000003,1.0,bigfish
52,52,434176,1.47480995,1.7723877299999997,0.9979220032691956,bigfish
53,53,442368,1.47718033,2.4332189300000002,1.0,bigfish
54,54,450560,1.8544679200000003,1.64609178,1.0,bigfish
55,55,458752,1.9965962399999997,1.45823176,1.0,bigfish
56,56,466944,2.3777694400000002,1.6625026,1.0,bigfish
57,57,475136,1.9967293500000003,1.52426852,1.0,bigfish
58,58,483328,2.43989558,1.37492377,1.0,bigfish
59,59,491520,2.36584898,1.4859175100000002,1.0,bigfish
60,60,499712,2.02031382,1.6951039600000002,1.0,bigfish
61,61,507904,2.3039905800000002,2.0001985999999996,1.0,bigfish
62,62,516096,1.6636122599999998,2.0308856900000003,1.0,bigfish
63,63,524288,1.96559271,2.07308367,1.0,bigfish
64,64,532480,2.35731455,1.74937146,1.0,bigfish
65,65,540672,1.8441419099999998,1.22392385,1.0,bigfish
66,66,548864,1.5576374800000001,1.0034986399999999,1.0,bigfish
67,67,557056,1.6669342100000002,1.56143902,1.0,bigfish
68,68,565248,2.31341958,1.8913908500000003,1.0,bigfish
69,69,573440,1.83537259,1.54030888,1.0,bigfish
70,70,581632,1.8650964700000001,1.41305873,0.9972712397575378,bigfish
71,71,589824,1.7067056399999998,1.4276442,1.0,bigfish
72,72,598016,1.72255495,1.0158674099999998,1.0,bigfish
73,73,606208,1.16850929,1.61878721,0.9948999285697937,bigfish
74,74,614400,1.8478624499999998,1.6961838500000002,1.0,bigfish
75,75,622592,1.9437772899999999,1.631423,1.0,bigfish
76,76,630784,1.9594956200000002,1.7726715299999998,1.0,bigfish
77,77,638976,2.16214343,1.5345995100000003,1.0,bigfish
78,78,647168,1.8443617700000001,1.6458434499999999,1.0,bigfish
79,79,655360,1.7961300999999998,1.67945473,1.0,bigfish
80,80,663552,2.12544907,1.7289929000000002,1.0,bigfish
81,81,671744,2.28181021,1.62017782,1.0,bigfish
82,82,679936,2.07707806,1.6701521799999997,1.0,bigfish
83,83,688128,1.85751396,1.5583169299999997,1.0,bigfish
84,84,696320,2.0156970999999997,1.8915102300000002,1.0,bigfish
85,85,704512,2.0315006199999996,1.9388517899999997,1.0,bigfish
86,86,712704,1.8271508699999999,2.3721840100000002,1.0,bigfish
87,87,720896,1.6068624200000001,2.19188724,1.0,bigfish
88,88,729088,1.7817167299999996,2.0468172,1.0,bigfish
89,89,737280,1.7996174600000001,2.3289728299999997,1.0,bigfish
90,90,745472,1.72112754,1.81816237,1.0,bigfish
91,91,753664,1.76886814,2.05113226,1.0,bigfish
92,92,761856,1.92733701,1.9069823000000001,1.0,bigfish
93,93,770048,2.4626951999999993,1.5291326600000001,1.0,bigfish
94,94,778240,2.5706772900000003,1.8445921500000002,1.0,bigfish
95,95,786432,1.96957796,2.09422583,1.0,bigfish
96,96,794624,1.9205803000000001,1.4465058100000001,1.0,bigfish
97,97,802816,2.0274160100000005,1.5251150700000002,1.0,bigfish
98,98,811008,2.3710654100000004,1.6828519599999998,1.0,bigfish
99,99,819200,2.19709586,1.7933392999999997,1.0,bigfish
100,100,827392,2.0717261100000006,1.99825611,1.0,bigfish
101,101,835584,2.27639616,1.3846162500000003,1.0,bigfish
102,102,843776,2.29121984,1.68442499,1.0,bigfish
103,103,851968,2.1794575800000002,2.0458768299999996,1.0,bigfish
104,104,860160,2.27146394,1.8871220599999998,1.0,bigfish
105,105,868352,2.25499193,1.6339684799999998,1.0,bigfish
106,106,876544,1.76955858,1.5382164799999998,1.0,bigfish
107,107,884736,1.7677806400000002,1.6164762799999999,1.0,bigfish
108,108,892928,1.9683505600000002,1.46060359,1.0,bigfish
109,109,901120,1.5445164300000003,1.99508829,0.9960356950759888,bigfish
110,110,909312,2.10523938,1.91677535,1.0,bigfish
111,111,917504,2.7273704500000004,1.8542221899999998,1.0,bigfish
112,112,925696,2.15055532,1.9156757000000002,1.0,bigfish
113,113,933888,2.0267334200000002,2.0708658399999997,1.0,bigfish
114,114,942080,2.44729446,1.63171424,1.0,bigfish
115,115,950272,2.19616244,1.4913672900000001,1.0,bigfish
116,116,958464,2.36657773,1.61770723,1.0,bigfish
117,117,966656,2.2086245599999996,1.68123176,1.0,bigfish
118,118,974848,2.22284422,2.32416403,1.0,bigfish
119,119,983040,2.40926152,2.5732922400000002,1.0,bigfish
120,120,991232,2.02084796,2.16416458,1.0,bigfish
121,121,999424,1.9274884999999997,1.9435569599999996,1.0,bigfish
122,122,1007616,1.81821531,1.9272508300000002,1.0,bigfish
123,123,1015808,2.08125129,1.9727825000000003,1.0,bigfish
124,124,1024000,2.1102386500000003,2.29790184,1.0,bigfish
125,125,1032192,2.8967162599999994,2.04371538,1.0,bigfish
126,126,1040384,2.53697399,2.0679976100000004,1.0,bigfish
127,127,1048576,1.97750471,2.20513728,1.0,bigfish
128,128,1056768,2.1945046500000003,1.56557323,1.0,bigfish
129,129,1064960,2.04049856,1.47357347,1.0,bigfish
130,130,1073152,2.3498522399999997,1.79996392,1.0,bigfish
131,131,1081344,2.5195742799999996,1.69082434,1.0,bigfish
132,132,1089536,2.6423724600000003,1.87667109,1.0,bigfish
133,133,1097728,2.39298153,1.7833685899999998,1.0,bigfish
134,134,1105920,2.7291718000000005,1.6125362300000001,1.0,bigfish
135,135,1114112,2.60312446,1.5493956700000004,1.0,bigfish
136,136,1122304,1.8467664300000004,1.8741466900000001,1.0,bigfish
137,137,1130496,2.19987009,2.02905662,0.9975995421409607,bigfish
138,138,1138688,2.47544482,1.8437684200000002,1.0,bigfish
139,139,1146880,2.2284687800000005,1.5968685,1.0,bigfish
140,140,1155072,2.04377472,1.5521567899999997,1.0,bigfish
141,141,1163264,2.8970590900000004,1.84800577,1.0,bigfish
142,142,1171456,3.1237914899999994,2.2657034499999997,1.0,bigfish
143,143,1179648,2.34306682,2.1240678,1.0,bigfish
144,144,1187840,2.399601,1.65839689,1.0,bigfish
145,145,1196032,2.36573814,1.7664318200000002,1.0,bigfish
146,146,1204224,2.2865556600000003,2.3072332400000004,1.0,bigfish
147,147,1212416,2.9842224700000006,1.8551627000000002,1.0,bigfish
148,148,1220608,2.93551357,1.99190941,1.0,bigfish
149,149,1228800,2.00546336,2.17544289,0.9963580965995789,bigfish
150,150,1236992,2.23099633,1.91246248,1.0,bigfish
151,151,1245184,2.41059327,1.49587256,1.0,bigfish
152,152,1253376,2.6361162899999995,1.69703314,1.0,bigfish
153,153,1261568,2.0285040800000003,1.97449162,1.0,bigfish
154,154,1269760,1.81667087,1.9730071800000002,1.0,bigfish
155,155,1277952,2.55795627,2.1876780399999998,1.0,bigfish
156,156,1286144,2.7068262400000003,1.57094216,1.0,bigfish
157,157,1294336,2.5228097600000003,1.27843502,1.0,bigfish
158,158,1302528,2.95879064,1.77101409,1.0,bigfish
159,159,1310720,2.92369657,1.47806997,1.0,bigfish
160,160,1318912,2.49487186,1.6784898500000003,1.0,bigfish
161,161,1327104,2.42974904,1.84806258,1.0,bigfish
162,162,1335296,2.02232645,1.9248264899999998,1.0,bigfish
163,163,1343488,1.75200017,1.86263753,1.0,bigfish
164,164,1351680,2.2303466600000004,2.01557444,1.0,bigfish
165,165,1359872,2.6472981300000002,2.0454418299999997,1.0,bigfish
166,166,1368064,2.8080409299999998,2.07613825,1.0,bigfish
167,167,1376256,3.2213434300000006,2.1836709599999997,1.0,bigfish
168,168,1384448,2.51746937,2.50521557,1.0,bigfish
169,169,1392640,1.95137237,2.1349147299999998,1.0,bigfish
170,170,1400832,2.2354638799999997,1.7355303899999999,1.0,bigfish
171,171,1409024,2.28030108,1.88844453,1.0,bigfish
172,172,1417216,2.5468699,2.1188678000000003,1.0,bigfish
173,173,1425408,2.6046236000000005,1.6740479199999998,1.0,bigfish
174,174,1433600,2.2163307800000003,1.72050488,1.0,bigfish
175,175,1441792,2.48216295,1.93545464,1.0,bigfish
176,176,1449984,2.52438421,2.16514885,1.0,bigfish
177,177,1458176,2.41859065,1.76546906,1.0,bigfish
178,178,1466368,2.0612049100000003,1.6113332500000002,1.0,bigfish
179,179,1474560,2.44544516,2.1926359800000004,1.0,bigfish
180,180,1482752,3.06429867,2.4657351199999997,1.0,bigfish
181,181,1490944,3.3551005500000004,2.08138162,1.0,bigfish
182,182,1499136,2.6565778099999995,2.2340644700000003,0.9978970289230347,bigfish
183,183,1507328,1.9464901500000003,1.9426524500000002,1.0,bigfish
184,184,1515520,1.9757036700000004,2.03352304,1.0,bigfish
185,185,1523712,2.0779213199999997,1.72649808,1.0,bigfish
186,186,1531904,2.56275347,2.30576982,0.9979221224784851,bigfish
187,187,1540096,2.9290373,2.03022582,1.0,bigfish
188,188,1548288,3.6627349300000005,1.74075367,1.0,bigfish
189,189,1556480,3.3486594999999992,2.16888308,1.0,bigfish
190,190,1564672,3.6817296699999997,2.2448448300000003,1.0,bigfish
191,191,1572864,3.2522606300000003,1.89291036,1.0,bigfish
192,192,1581056,3.07440481,1.9689476199999998,1.0,bigfish
193,193,1589248,2.2093625,2.5179031500000004,1.0,bigfish
194,194,1597440,1.88676478,2.4713176100000003,1.0,bigfish
195,195,1605632,2.2672107699999997,2.4090275599999997,1.0,bigfish
196,196,1613824,2.9839393799999994,2.11873721,1.0,bigfish
197,197,1622016,2.96901407,2.34704257,1.0,bigfish
198,198,1630208,2.6030706300000004,2.46934099,1.0,bigfish
199,199,1638400,2.89366296,2.5153166700000003,1.0,bigfish
200,200,1646592,3.0944138499999996,2.39273398,1.0,bigfish
201,201,1654784,2.63769848,2.6206338200000006,1.0,bigfish
202,202,1662976,2.6943624,2.8776944999999996,1.0,bigfish
203,203,1671168,2.64913953,2.6617399900000005,1.0,bigfish
204,204,1679360,2.7648340299999994,2.5207590599999996,1.0,bigfish
205,205,1687552,3.0400397399999997,2.73125272,1.0,bigfish
206,206,1695744,2.77680821,2.8356320999999998,1.0,bigfish
207,207,1703936,3.47237065,3.64604298,1.0,bigfish
208,208,1712128,3.5130772,3.21863283,1.0,bigfish
209,209,1720320,3.30689098,2.6319952,1.0,bigfish
210,210,1728512,2.75448656,2.7525343299999996,1.0,bigfish
211,211,1736704,2.8257008899999994,2.1470478299999995,1.0,bigfish
212,212,1744896,2.76522688,3.10116209,1.0,bigfish
213,213,1753088,3.2387667199999997,3.31165985,1.0,bigfish
214,214,1761280,2.98814939,2.74817218,0.9957273006439209,bigfish
215,215,1769472,2.68011171,2.5936720600000003,1.0,bigfish
216,216,1777664,3.02314391,2.5594604999999997,1.0,bigfish
217,217,1785856,3.06478343,2.35916076,1.0,bigfish
218,218,1794048,3.322835129999999,2.4021631,1.0,bigfish
219,219,1802240,2.78870508,2.5796556400000004,1.0,bigfish
220,220,1810432,2.98754703,2.6358504700000003,1.0,bigfish
221,221,1818624,4.060482620000001,2.6475199800000007,1.0,bigfish
222,222,1826816,4.300531889999999,2.9735814499999993,1.0,bigfish
223,223,1835008,3.937761440000001,3.091403019999999,1.0,bigfish
224,224,1843200,3.2906128,3.1787183399999996,1.0,bigfish
225,225,1851392,2.8709562899999996,2.93715414,1.0,bigfish
226,226,1859584,3.04225635,3.039149460000001,1.0,bigfish
227,227,1867776,3.3990585299999996,3.9122905299999995,1.0,bigfish
228,228,1875968,3.28369872,3.8470935700000006,1.0,bigfish
229,229,1884160,3.43787086,3.2875031300000006,1.0,bigfish
230,230,1892352,2.8504197500000004,2.705149870000001,1.0,bigfish
231,231,1900544,2.54903555,2.92992353,1.0,bigfish
232,232,1908736,3.12937532,2.973415530000001,1.0,bigfish
233,233,1916928,3.54796331,2.1872322,1.0,bigfish
234,234,1925120,2.7196666799999996,2.55429277,1.0,bigfish
235,235,1933312,3.07142817,2.65358679,1.0,bigfish
236,236,1941504,3.7602734400000006,2.9734398000000004,1.0,bigfish
237,237,1949696,4.123453550000001,2.940357149999999,1.0,bigfish
238,238,1957888,2.91798404,2.67228061,1.0,bigfish
239,239,1966080,2.8881442999999996,2.9921398399999997,1.0,bigfish
240,240,1974272,3.4489369300000003,2.30046486,1.0,bigfish
241,241,1982464,3.1349390799999997,2.38530456,1.0,bigfish
242,242,1990656,2.8209394899999993,2.96571303,1.0,bigfish
243,243,1998848,3.05682388,3.38504816,1.0,bigfish
244,244,2007040,3.5295157699999997,3.1922214600000003,1.0,bigfish
245,245,2015232,3.1326205400000005,2.9260526200000005,1.0,bigfish
246,246,2023424,3.0471687899999993,2.7638856599999992,1.0,bigfish
247,247,2031616,2.56888676,2.3832515000000005,0.9968467950820923,bigfish
248,248,2039808,2.9027905499999997,2.33804489,1.0,bigfish
249,249,2048000,3.05471563,2.77070442,1.0,bigfish
250,250,2056192,3.4664542300000005,2.7826229000000002,1.0,bigfish
251,251,2064384,3.50329522,3.1841800399999998,1.0,bigfish
252,252,2072576,2.80556407,3.23696085,1.0,bigfish
253,253,2080768,2.94365225,2.68555055,1.0,bigfish
254,254,2088960,2.9280466700000005,2.74042895,1.0,bigfish
255,255,2097152,4.02239683,3.0259056099999992,1.0,bigfish
256,256,2105344,4.34758356,2.9217460900000005,1.0,bigfish
257,257,2113536,2.87085887,2.24198691,1.0,bigfish
258,258,2121728,2.5918558800000007,2.0523768600000003,1.0,bigfish
259,259,2129920,2.9334191300000003,2.2079337799999994,1.0,bigfish
260,260,2138112,3.08292029,3.0800320599999997,1.0,bigfish
261,261,2146304,3.1493114099999997,3.2333435400000003,1.0,bigfish
262,262,2154496,3.66943037,2.88468544,1.0,bigfish
263,263,2162688,3.8025743100000007,2.62475029,1.0,bigfish
264,264,2170880,4.061892459999999,2.9398128,1.0,bigfish
265,265,2179072,3.5613923300000003,2.4492895900000002,1.0,bigfish
266,266,2187264,3.4065305200000005,2.6761330000000005,1.0,bigfish
267,267,2195456,3.1928198100000005,2.70343811,1.0,bigfish
268,268,2203648,3.5352431400000004,2.64414992,1.0,bigfish
269,269,2211840,4.038912219999999,2.8700058999999998,1.0,bigfish
270,270,2220032,3.89338011,2.92531992,1.0,bigfish
271,271,2228224,3.9302691199999997,3.22075447,1.0,bigfish
272,272,2236416,3.5525241700000003,3.4476298,1.0,bigfish
273,273,2244608,3.2784353599999996,3.48789983,1.0,bigfish
274,274,2252800,3.8961962200000007,2.5898350399999996,1.0,bigfish
275,275,2260992,4.504720560000001,3.2673929299999998,1.0,bigfish
276,276,2269184,3.62059689,3.0938085399999995,1.0,bigfish
277,277,2277376,3.81700263,3.17301665,1.0,bigfish
278,278,2285568,3.2940022800000004,4.026159169999999,1.0,bigfish
279,279,2293760,3.6003151799999995,3.9197417000000003,1.0,bigfish
280,280,2301952,3.54394878,3.43367595,1.0,bigfish
281,281,2310144,2.84368873,3.03581212,1.0,bigfish
282,282,2318336,3.15523687,2.9481845399999997,1.0,bigfish
283,283,2326528,3.8877552300000002,2.87284318,1.0,bigfish
284,284,2334720,3.944265,3.24537852,1.0,bigfish
285,285,2342912,3.9402902199999996,3.32379498,1.0,bigfish
286,286,2351104,4.062356360000001,2.62306739,1.0,bigfish
287,287,2359296,3.4445975599999996,3.0104301399999995,1.0,bigfish
288,288,2367488,3.999710630000001,3.35513433,1.0,bigfish
289,289,2375680,3.5999684299999997,3.7210027500000002,1.0,bigfish
290,290,2383872,3.8137071199999997,3.1510689899999993,1.0,bigfish
291,291,2392064,3.1566998399999995,2.1590109899999996,1.0,bigfish
292,292,2400256,3.2209700799999994,2.79393646,1.0,bigfish
293,293,2408448,3.65263937,3.537791849999999,1.0,bigfish
294,294,2416640,3.873043599999999,3.0635957699999996,1.0,bigfish
295,295,2424832,3.3009113,2.88224454,1.0,bigfish
296,296,2433024,3.3763519699999995,2.93470783,1.0,bigfish
297,297,2441216,3.2465683100000002,3.37233989,1.0,bigfish
298,298,2449408,3.7559054700000005,3.31264843,1.0,bigfish
299,299,2457600,4.09179022,3.19521571,1.0,bigfish
300,300,2465792,4.15220699,3.4365493400000005,1.0,bigfish
301,301,2473984,3.76808194,3.0224971999999997,1.0,bigfish
302,302,2482176,3.5931579,2.41754791,1.0,bigfish
303,303,2490368,3.1457232099999994,3.3683494800000005,1.0,bigfish
304,304,2498560,2.9873433099999995,3.5675725,1.0,bigfish
305,305,2506752,3.50289629,3.4848308500000003,1.0,bigfish
306,306,2514944,4.04751788,3.1150614500000002,0.9959624409675598,bigfish
307,307,2523136,4.12346302,2.9774643799999994,1.0,bigfish
308,308,2531328,3.5522842999999993,3.37158259,1.0,bigfish
309,309,2539520,2.92716644,3.5864150499999994,1.0,bigfish
310,310,2547712,3.16057685,2.9112011300000002,1.0,bigfish
311,311,2555904,3.58745155,2.9489012100000003,1.0,bigfish
312,312,2564096,3.76670713,2.85233527,1.0,bigfish
313,313,2572288,2.8169070699999996,3.14800401,1.0,bigfish
314,314,2580480,2.8296343299999993,3.01136803,1.0,bigfish
315,315,2588672,3.1014027599999996,2.80815769,1.0,bigfish
316,316,2596864,3.1914011999999996,2.36236487,0.9965677857398987,bigfish
317,317,2605056,3.82121244,2.24091946,1.0,bigfish
318,318,2613248,3.8694601200000007,2.96873442,1.0,bigfish
319,319,2621440,3.2593470499999997,3.0615239200000004,1.0,bigfish
320,320,2629632,3.1781541,2.93734991,1.0,bigfish
321,321,2637824,3.666350979999999,2.97652521,1.0,bigfish
322,322,2646016,4.270554239999999,3.0959159900000004,1.0,bigfish
323,323,2654208,4.38173434,3.026767289999999,1.0,bigfish
324,324,2662400,3.8578204600000006,2.7419724100000002,1.0,bigfish
325,325,2670592,4.632272339999999,2.75426218,1.0,bigfish
326,326,2678784,3.8943732,2.88586229,1.0,bigfish
327,327,2686976,4.28664487,4.17145129,1.0,bigfish
328,328,2695168,4.18910443,3.5906200999999998,1.0,bigfish
329,329,2703360,4.171085840000001,2.9881737599999996,1.0,bigfish
330,330,2711552,3.55315766,2.9051069499999995,1.0,bigfish
331,331,2719744,3.29456949,2.90110864,1.0,bigfish
332,332,2727936,4.355516669999999,3.2883282299999994,1.0,bigfish
333,333,2736128,4.9693507,4.38902918,1.0,bigfish
334,334,2744320,5.738323049999999,4.70211851,1.0,bigfish
335,335,2752512,5.219224159999999,4.45783615,1.0,bigfish
336,336,2760704,4.589881709999999,2.8580908700000003,1.0,bigfish
337,337,2768896,3.9668615600000003,2.6309813600000003,1.0,bigfish
338,338,2777088,3.7115272999999998,2.6427885900000003,1.0,bigfish
339,339,2785280,3.8328205200000007,2.93096342,1.0,bigfish
