,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,1.883470633333333,2.034362573770492,0.2551223039627075,bigfish
1,1,16384,1.9081902800000001,1.84274899,0.9260023236274719,bigfish
2,2,24576,1.7065646,1.2474982799999998,0.9698635339736938,bigfish
3,3,32768,2.1205279399999997,1.5139961499999999,0.9779543280601501,bigfish
4,4,40960,1.44462336,1.4551795200000002,0.9979659914970398,bigfish
5,5,49152,1.5321762599999997,1.7739569100000003,0.9956508874893188,bigfish
6,6,57344,1.56019517,1.4575355199999995,0.9915106296539307,bigfish
7,7,65536,1.7701678600000001,1.9294846300000001,0.9959220886230469,bigfish
8,8,73728,1.3458193800000005,1.74634589,0.9950605034828186,bigfish
9,9,81920,1.40850139,1.11408229,0.9915890097618103,bigfish
10,10,90112,1.62455442,1.3425139799999999,0.9944755434989929,bigfish
11,11,98304,1.8289836800000001,1.49001618,0.9853233695030212,bigfish
12,12,106496,1.9043648900000003,1.36951677,0.9791178703308105,bigfish
13,13,114688,1.7587332199999997,1.24811408,0.9782659411430359,bigfish
14,14,122880,1.4468070899999999,1.2538703,0.9976372122764587,bigfish
15,15,131072,1.2691011100000003,1.30260753,0.9875867962837219,bigfish
16,16,139264,1.4417823799999996,1.01990918,0.9997861981391907,bigfish
17,17,147456,1.8756110000000001,1.31955318,1.0,bigfish
18,18,155648,1.4593274299999999,1.18442622,0.991840124130249,bigfish
19,19,163840,1.79930162,1.5060251699999998,0.9950847029685974,bigfish
20,20,172032,1.3028443,1.31895476,1.0,bigfish
21,21,180224,1.3084037899999998,1.4755696399999996,1.0,bigfish
22,22,188416,1.3419527399999998,1.6311169799999998,0.9937590956687927,bigfish
23,23,196608,1.16417258,1.4710183200000002,0.9956867098808289,bigfish
24,24,204800,1.54346361,1.1620595,0.9977372884750366,bigfish
25,25,212992,1.5393521400000003,1.4351855299999996,0.9959127306938171,bigfish
26,26,221184,1.35915002,0.9032614600000001,1.0,bigfish
27,27,229376,1.5583248900000002,1.4675072900000001,0.9969960451126099,bigfish
28,28,237568,1.59660078,1.6722229400000002,0.9956308007240295,bigfish
29,29,245760,1.74883591,1.06829747,1.0,bigfish
30,30,253952,1.27139886,1.44297481,0.9975425004959106,bigfish
31,31,262144,1.60126934,1.6206460299999998,1.0,bigfish
32,32,270336,1.5494420599999998,1.3517661299999997,0.9944080710411072,bigfish
33,33,278528,1.05624571,1.29001797,1.0,bigfish
34,34,286720,1.2082740699999999,1.4678278800000002,0.988636314868927,bigfish
35,35,294912,1.47451165,1.30452259,0.997718095779419,bigfish
36,36,303104,1.9352049100000002,1.4016892699999999,0.9937682151794434,bigfish
37,37,311296,1.63492558,1.4817063399999997,1.0,bigfish
38,38,319488,1.20663567,1.37057321,0.9942752718925476,bigfish
39,39,327680,1.5543478699999997,1.6576692699999998,0.9916703104972839,bigfish
40,40,335872,1.35659964,1.80146438,1.0,bigfish
41,41,344064,1.65711412,2.0154621200000005,0.9979555606842041,bigfish
42,42,352256,1.65845598,1.8050148700000002,1.0,bigfish
43,43,360448,1.29499107,1.7238259200000001,1.0,bigfish
44,44,368640,1.6095195100000002,1.78101252,1.0,bigfish
45,45,376832,1.4749406899999997,1.43353317,1.0,bigfish
46,46,385024,1.6898663999999997,1.1818292099999999,0.9935945272445679,bigfish
47,47,393216,1.37656907,1.41928235,0.9977136254310608,bigfish
48,48,401408,1.4772981099999998,1.16883093,0.9876478314399719,bigfish
49,49,409600,1.4618455999999997,1.0775849000000002,0.9854577779769897,bigfish
50,50,417792,1.24965831,1.27097509,0.9997308254241943,bigfish
51,51,425984,1.7202978800000002,1.2905003400000001,1.0,bigfish
52,52,434176,1.6216322499999996,1.4349345400000002,1.0,bigfish
53,53,442368,1.82328838,1.5411510900000003,0.9978849291801453,bigfish
54,54,450560,1.8333201699999997,1.4598933100000002,1.0,bigfish
55,55,458752,1.67720088,1.3821880600000003,0.9979382157325745,bigfish
56,56,466944,1.3772233399999998,1.4789887499999999,1.0,bigfish
57,57,475136,1.21179139,1.5901416600000002,1.0,bigfish
58,58,483328,1.72421751,1.31877427,0.9933117628097534,bigfish
59,59,491520,1.5737684500000002,1.5226768099999999,1.0,bigfish
60,60,499712,1.46000159,1.28396712,0.9690742492675781,bigfish
61,61,507904,1.49516255,1.2365430899999998,1.0,bigfish
62,62,516096,1.7418345199999998,0.9516556899999999,0.9973973631858826,bigfish
63,63,524288,1.40738179,1.3969991,1.0,bigfish
64,64,532480,1.73711681,1.6824664600000003,0.9900703430175781,bigfish
65,65,540672,1.65419957,1.6001123900000003,0.9969775676727295,bigfish
66,66,548864,2.09829822,1.21865171,0.9961113333702087,bigfish
67,67,557056,1.8151207,1.5527841599999999,0.988783597946167,bigfish
68,68,565248,1.94679721,1.64757124,1.0,bigfish
69,69,573440,1.6504790900000001,1.8027520400000001,0.9978671073913574,bigfish
70,70,581632,1.52026306,1.8749004600000003,1.0,bigfish
71,71,589824,1.5376615100000002,1.58501318,1.0,bigfish
72,72,598016,1.5225022000000004,1.5698999199999997,0.9978085160255432,bigfish
73,73,606208,1.6383462300000002,1.5564243299999998,1.0,bigfish
74,74,614400,1.7207493400000002,1.22731025,0.965108335018158,bigfish
75,75,622592,1.6375975399999998,1.22836926,0.9968265295028687,bigfish
76,76,630784,1.63622835,1.41772862,0.9984073042869568,bigfish
77,77,638976,1.6528778700000002,1.35526752,1.0,bigfish
78,78,647168,1.7509423499999999,1.54566346,0.9977622032165527,bigfish
79,79,655360,1.22258322,1.60877864,0.9876503348350525,bigfish
80,80,663552,1.4232940299999999,1.43553155,1.0,bigfish
81,81,671744,1.6889713600000003,1.89123564,0.9944804906845093,bigfish
82,82,679936,1.5235968900000003,2.09051901,1.0,bigfish
83,83,688128,1.7882214399999996,1.5686035600000003,1.0,bigfish
84,84,696320,1.8206660599999998,1.5346788599999999,0.9735293388366699,bigfish
85,85,704512,1.9023689000000001,1.2679747300000002,0.9905856251716614,bigfish
86,86,712704,1.6850701000000001,1.09607609,0.9997338056564331,bigfish
87,87,720896,1.46885537,1.31589829,1.0,bigfish
88,88,729088,1.3542500899999996,1.3013659899999999,0.997197687625885,bigfish
89,89,737280,1.5540901100000002,1.5680389699999997,1.0,bigfish
90,90,745472,1.8362014000000002,1.47390642,0.9978222846984863,bigfish
91,91,753664,1.57269256,1.1919345300000002,1.0,bigfish
92,92,761856,1.49246692,1.64432274,1.0,bigfish
93,93,770048,2.00749633,1.36989552,1.0,bigfish
94,94,778240,2.15654131,1.76990221,0.9887681603431702,bigfish
95,95,786432,1.9553348599999998,1.5014315399999998,0.9898315668106079,bigfish
96,96,794624,1.81967773,1.50240069,1.0,bigfish
97,97,802816,2.0992509100000003,1.50369703,0.9699985384941101,bigfish
98,98,811008,1.93183374,1.79852188,1.0,bigfish
99,99,819200,1.8634900200000002,1.90518091,0.997892439365387,bigfish
100,100,827392,2.2222197,1.5483663800000003,1.0,bigfish
101,101,835584,2.29911916,1.6419520600000002,1.0,bigfish
102,102,843776,2.0488980199999998,1.17821585,0.9918232560157776,bigfish
103,103,851968,2.03209569,1.7060447399999996,0.9845088720321655,bigfish
104,104,860160,2.39090676,1.9990685300000002,0.9956578612327576,bigfish
105,105,868352,2.3887161399999997,2.1204835199999996,1.0,bigfish
106,106,876544,2.04445703,1.88830938,1.0,bigfish
107,107,884736,2.0929238,1.3478393499999999,1.0,bigfish
