,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,1.8294283833333334,1.5188437826086956,-0.1594090312719345,bigfish
1,1,16384,1.92707419,1.7386329,-0.15109452605247498,bigfish
2,2,24576,1.6225963099999998,1.73589891,-0.15896959602832794,bigfish
3,3,32768,1.60832863,1.65574175,-0.19176483154296875,bigfish
4,4,40960,1.2613675800000002,1.8114870899999997,-0.13900476694107056,bigfish
5,5,49152,1.5003600599999998,1.1737668899999998,-0.1081920713186264,bigfish
6,6,57344,1.5751172900000001,1.2495482,-0.02768588997423649,bigfish
7,7,65536,1.6903677400000001,1.06170638,-0.15213218331336975,bigfish
8,8,73728,1.9478416700000003,1.64321173,-0.15761110186576843,bigfish
9,9,81920,1.78173337,1.2532959700000001,-0.17070670425891876,bigfish
10,10,90112,1.71657136,1.14281316,-0.22505423426628113,bigfish
11,11,98304,1.4833627200000004,0.97599802,-0.2194143533706665,bigfish
12,12,106496,1.05630162,1.3590739600000001,-0.15346994996070862,bigfish
13,13,114688,1.5120229900000002,1.43194028,-0.16088490188121796,bigfish
14,14,122880,1.89825412,1.45383997,-0.1585538536310196,bigfish
15,15,131072,1.7143473999999999,1.3535483300000002,-0.1438843309879303,bigfish
16,16,139264,1.7053344600000002,1.51306551,-0.19257915019989014,bigfish
17,17,147456,1.3368526399999998,1.09276887,-0.0540434792637825,bigfish
18,18,155648,1.7427791299999997,1.43722328,-0.18029914796352386,bigfish
19,19,163840,1.5201549600000002,1.2627649499999998,-0.1738840639591217,bigfish
20,20,172032,1.93272764,1.7064656400000002,-0.18202273547649384,bigfish
21,21,180224,1.6927934899999997,1.58206796,-0.13748811185359955,bigfish
22,22,188416,1.3391754000000002,1.50089868,-0.1482110470533371,bigfish
23,23,196608,1.49259557,1.61463552,-0.1620038002729416,bigfish
24,24,204800,1.71362347,1.33596088,-0.1855492740869522,bigfish
25,25,212992,1.5496157799999997,1.33181097,-0.1833675056695938,bigfish
26,26,221184,1.47144498,1.0196045499999997,-0.14157266914844513,bigfish
27,27,229376,1.5938412799999997,1.2925535400000001,-0.184536412358284,bigfish
28,28,237568,1.6465971699999997,1.56438133,-0.11953906714916229,bigfish
29,29,245760,1.6313971,1.37988044,-0.1300860494375229,bigfish
30,30,253952,1.3801368999999999,1.3945097999999998,-0.16275815665721893,bigfish
31,31,262144,1.47162632,1.10965808,-0.11488603055477142,bigfish
32,32,270336,1.61563862,1.37848941,-0.15688228607177734,bigfish
33,33,278528,1.6676708499999997,1.7603316599999999,-0.14268888533115387,bigfish
34,34,286720,1.6123425800000002,1.6055042600000002,-0.15595820546150208,bigfish
35,35,294912,1.62731317,1.4634313400000003,-0.1864149272441864,bigfish
36,36,303104,1.9862011299999998,1.02151002,-0.1846359223127365,bigfish
37,37,311296,1.8235483100000003,1.09066484,-0.14354145526885986,bigfish
38,38,319488,2.1256025800000002,1.558625,-0.12125525623559952,bigfish
39,39,327680,1.6570156600000003,1.3679963700000002,-0.15074597299098969,bigfish
40,40,335872,1.5536066900000003,1.7211364599999999,-0.127619206905365,bigfish
41,41,344064,1.6567899299999995,1.5779076900000002,-0.13591913878917694,bigfish
42,42,352256,1.31915065,1.56407059,-0.13214576244354248,bigfish
43,43,360448,1.4267745399999998,1.14655825,-0.16415101289749146,bigfish
44,44,368640,1.4813238499999997,1.15162014,-0.11443129181861877,bigfish
45,45,376832,1.3103670600000001,1.17181944,-0.16211503744125366,bigfish
46,46,385024,1.6375207100000002,1.46692544,-0.1042870506644249,bigfish
47,47,393216,1.9432547399999998,1.4026918300000002,-0.12277714908123016,bigfish
