,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,0.0,0.1,-0.10669269412755966,bossfight
1,1,16384,0.1,0.0,0.9849189519882202,bossfight
2,2,24576,0.19645926,0.3,1.0,bossfight
3,3,32768,0.09469319999999999,0.0,1.0,bossfight
4,4,40960,0.2,0.28653206,1.0,bossfight
5,5,49152,0.0,0.1,1.0,bossfight
6,6,57344,0.19874704,0.0,1.0,bossfight
7,7,65536,0.1,0.0,1.0,bossfight
8,8,73728,0.0,0.19010378000000003,1.0,bossfight
9,9,81920,0.1,0.09338326999999999,1.0,bossfight
10,10,90112,0.0,0.18840862000000003,1.0,bossfight
11,11,98304,0.2,0.0,1.0,bossfight
12,12,106496,0.2,0.1,1.0,bossfight
13,13,114688,0.1,0.09830781,1.0,bossfight
14,14,122880,0.1,0.09318931,1.0,bossfight
15,15,131072,0.0,0.19500185000000003,1.0,bossfight
16,16,139264,0.09554811,0.0,1.0,bossfight
17,17,147456,0.09551045999999999,0.09019377,1.0,bossfight
18,18,155648,0.295942,0.35537571,1.0,bossfight
19,19,163840,0.27552438,0.18680421000000003,1.0,bossfight
20,20,172032,0.540741,0.18176096,1.0,bossfight
21,21,180224,0.18195478,0.26211434000000006,1.0,bossfight
22,22,188416,0.35755874,0.41670308,1.0,bossfight
23,23,196608,0.30949167,0.71518934,1.0,bossfight
24,24,204800,0.47793311000000005,0.29593796,1.0,bossfight
25,25,212992,0.68161618,0.29104594,1.0,bossfight
26,26,221184,0.58951245,0.8115422000000001,1.0,bossfight
27,27,229376,0.77564807,0.26842296,1.0,bossfight
28,28,237568,0.68263036,0.63934894,1.0,bossfight
29,29,245760,0.6038584000000001,0.75168488,1.0,bossfight
30,30,253952,0.91793608,0.57374277,1.0,bossfight
31,31,262144,0.7347792799999999,0.64088883,1.0,bossfight
32,32,270336,1.1031912700000002,1.1545541,1.0,bossfight
33,33,278528,1.11900267,0.5135717,1.0,bossfight
34,34,286720,1.02779695,0.69578001,1.0,bossfight
35,35,294912,0.8056460200000001,1.01322142,1.0,bossfight
36,36,303104,0.60291914,0.33874827,1.0,bossfight
37,37,311296,0.6482700700000001,0.91350498,1.0,bossfight
38,38,319488,0.8412892500000001,0.7713676799999999,1.0,bossfight
39,39,327680,0.9906807999999999,1.09080207,1.0,bossfight
40,40,335872,0.8765055100000001,0.8302151999999999,1.0,bossfight
41,41,344064,0.67734238,0.8227914300000001,1.0,bossfight
42,42,352256,0.8185447,0.7637663,1.0,bossfight
43,43,360448,0.76395342,1.01387081,1.0,bossfight
44,44,368640,0.71271899,0.55104787,1.0,bossfight
45,45,376832,0.38112406,0.6455198999999999,1.0,bossfight
46,46,385024,0.9664292700000001,0.5430447,1.0,bossfight
47,47,393216,0.64883172,0.9419906600000002,1.0,bossfight
48,48,401408,0.6868551299999999,1.27866806,1.0,bossfight
49,49,409600,1.28853332,1.0217733900000001,1.0,bossfight
50,50,417792,0.44606576000000003,1.25847269,1.0,bossfight
51,51,425984,0.6592553200000001,1.24201784,1.0,bossfight
52,52,434176,0.45732554000000003,0.41343026,1.0,bossfight
53,53,442368,0.83977126,0.86610251,1.0,bossfight
54,54,450560,1.5016162200000003,0.9084043400000001,1.0,bossfight
55,55,458752,0.30778841999999995,1.4185994199999998,1.0,bossfight
