,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,0.1,0.5,-0.2007392793893814,bossfight
1,1,16384,0.1519863,0.2219675,0.9955233335494995,bossfight
2,2,24576,0.0,0.0,1.0,bossfight
3,3,32768,0.2,0.06861094,0.9978393912315369,bossfight
4,4,40960,0.0,0.17637033,1.0,bossfight
5,5,49152,0.0,0.07315177,1.0,bossfight
6,6,57344,0.2,0.0,1.0,bossfight
7,7,65536,0.0,0.0,1.0,bossfight
8,8,73728,0.0,0.0,1.0,bossfight
9,9,81920,0.0,0.1743534,1.0,bossfight
10,10,90112,0.1,0.08901221,1.0,bossfight
11,11,98304,0.1,0.26800752,1.0,bossfight
12,12,106496,0.3,0.0,1.0,bossfight
13,13,114688,0.1,0.0,1.0,bossfight
14,14,122880,0.2,0.08957148,1.0,bossfight
15,15,131072,0.0,0.09282577,1.0,bossfight
16,16,139264,0.1,0.34590737000000005,1.0,bossfight
17,17,147456,0.0,0.17284047000000002,1.0,bossfight
18,18,155648,0.1,0.08622632,1.0,bossfight
19,19,163840,0.0,0.08822846999999999,1.0,bossfight
20,20,172032,0.3,0.0,1.0,bossfight
21,21,180224,0.0,0.46328163000000006,1.0,bossfight
22,22,188416,0.2,0.08327311999999999,1.0,bossfight
23,23,196608,0.1,0.18449033,1.0,bossfight
24,24,204800,0.0,0.1,1.0,bossfight
25,25,212992,0.1,0.33798936999999996,1.0,bossfight
26,26,221184,0.1,0.33635502,1.0,bossfight
27,27,229376,0.5,0.54443193,1.0,bossfight
28,28,237568,0.49080987,0.1545926,1.0,bossfight
29,29,245760,0.46680627999999996,0.7273628699999999,1.0,bossfight
30,30,253952,0.09073377,0.0,1.0,bossfight
31,31,262144,0.18042418999999998,0.34881962,1.0,bossfight
32,32,270336,0.08949455,0.31570715,1.0,bossfight
33,33,278528,0.53295146,0.21258089,1.0,bossfight
34,34,286720,0.26603974999999996,0.5115696599999999,1.0,bossfight
35,35,294912,0.16603164,0.40618848999999996,1.0,bossfight
36,36,303104,0.899078,0.9076719299999999,1.0,bossfight
37,37,311296,0.6937555900000001,0.22921569000000003,1.0,bossfight
38,38,319488,0.51750011,0.35840801,1.0,bossfight
39,39,327680,0.35303367,0.25380915,1.0,bossfight
40,40,335872,0.7537635699999999,0.44073504,1.0,bossfight
41,41,344064,0.5024808199999999,0.45168933999999994,1.0,bossfight
42,42,352256,1.0856016099999999,0.6946307500000001,1.0,bossfight
43,43,360448,1.0229149400000002,0.80768931,1.0,bossfight
44,44,368640,0.60740904,0.9546434199999999,1.0,bossfight
45,45,376832,0.8071169899999999,0.37403560999999996,1.0,bossfight
46,46,385024,0.49552904999999997,0.8474854099999999,0.9975317120552063,bossfight
47,47,393216,0.95939331,0.49845773,1.0,bossfight
48,48,401408,0.8574813299999999,0.59310828,1.0,bossfight
49,49,409600,0.6374331200000001,0.7121744799999999,1.0,bossfight
50,50,417792,0.6554311999999999,0.83890759,1.0,bossfight
51,51,425984,0.27685382000000003,0.7011052699999999,1.0,bossfight
52,52,434176,0.27699788000000003,0.53101393,1.0,bossfight
53,53,442368,0.48761500999999996,0.15348636,1.0,bossfight
54,54,450560,0.26561167,0.72797853,1.0,bossfight
55,55,458752,0.38589739,0.15864204,1.0,bossfight
56,56,466944,0.37532103,0.51876676,1.0,bossfight
57,57,475136,0.16454732,0.41734695,1.0,bossfight
58,58,483328,0.5478843699999999,0.4698541599999999,1.0,bossfight
59,59,491520,0.6917568199999999,0.52105297,0.9988616108894348,bossfight
60,60,499712,0.48033322,0.6709538,1.0,bossfight
61,61,507904,0.6781463999999999,0.81551727,1.0,bossfight
62,62,516096,1.10158999,0.50776337,1.0,bossfight
63,63,524288,0.52047397,0.5572094799999999,1.0,bossfight
64,64,532480,0.46223672,0.5552380100000001,1.0,bossfight
65,65,540672,0.50928092,0.70548898,1.0,bossfight
66,66,548864,0.35935108,0.75225171,1.0,bossfight
67,67,557056,0.80672325,0.35009161,0.9978771805763245,bossfight
68,68,565248,0.3529349,0.54837922,1.0,bossfight
69,69,573440,0.40490173999999995,0.49714437000000006,1.0,bossfight
70,70,581632,0.5549514,0.69312426,1.0,bossfight
71,71,589824,1.1028345199999998,1.23267565,1.0,bossfight
72,72,598016,0.9473903699999999,0.53447057,1.0,bossfight
73,73,606208,0.8825183600000002,0.48451020000000006,1.0,bossfight
74,74,614400,0.29228948000000005,0.8296583799999999,1.0,bossfight
