,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,0.0,0.2,-0.017226291820406914,bossfight
1,1,16384,0.2,0.2,-0.010054866783320904,bossfight
2,2,24576,0.0,0.09566150999999999,-0.0249701589345932,bossfight
3,3,32768,0.2,0.19940099,-0.028521474450826645,bossfight
4,4,40960,0.1,0.08834826,-0.044971074908971786,bossfight
5,5,49152,0.09823934,0.09186064,-0.036766570061445236,bossfight
6,6,57344,0.08291670999999999,0.09480211000000001,-0.003468530485406518,bossfight
7,7,65536,0.18295424000000002,0.45878806,-0.019610825926065445,bossfight
8,8,73728,0.15869898,0.26154187,-0.025152968242764473,bossfight
9,9,81920,0.30187746,0.48955584,-0.06319741904735565,bossfight
10,10,90112,0.14903915999999998,0.15087775,-0.033720601350069046,bossfight
11,11,98304,0.17655661000000003,0.24894289999999997,-0.04569005221128464,bossfight
12,12,106496,0.24801673999999999,0.23981961000000002,-0.026006612926721573,bossfight
13,13,114688,0.15006455,0.26939136999999996,-0.026164256036281586,bossfight
14,14,122880,0.25327692,0.23474312,-0.04984687268733978,bossfight
15,15,131072,0.3,0.06639317,-0.02769419550895691,bossfight
16,16,139264,0.0,0.46329329999999996,-0.028385376557707787,bossfight
17,17,147456,0.14489662,0.12780519,-0.05978741496801376,bossfight
18,18,155648,0.48872563,0.49214707,-0.055929627269506454,bossfight
19,19,163840,0.21045178,0.3072906,-0.059377823024988174,bossfight
20,20,172032,0.14060137,0.42512583,-0.05550292506814003,bossfight
21,21,180224,0.20661010000000002,0.24239212,-0.026963789016008377,bossfight
22,22,188416,0.6063389699999999,0.30271382,-0.041901201009750366,bossfight
23,23,196608,0.4619350299999999,0.24220922,-0.06674739718437195,bossfight
24,24,204800,0.39039699999999994,0.28231901,-0.025805672630667686,bossfight
25,25,212992,0.56479525,0.17968377,-0.0734444260597229,bossfight
26,26,221184,0.66544173,0.43593018,-0.06364692747592926,bossfight
27,27,229376,0.45422587,0.84347976,-0.04622463509440422,bossfight
28,28,237568,0.5462243,0.58746607,-0.051700957119464874,bossfight
29,29,245760,0.33908879,0.7950539700000001,-0.061236072331666946,bossfight
30,30,253952,0.58009532,0.47629857000000003,-0.03740128129720688,bossfight
31,31,262144,0.55036913,1.5382923099999999,-0.05300864577293396,bossfight
32,32,270336,0.69240486,0.9077985100000001,-0.024414503946900368,bossfight
33,33,278528,0.69977391,0.89234689,-0.0680854469537735,bossfight
34,34,286720,0.41863591,1.03282044,-0.07241051644086838,bossfight
35,35,294912,0.1529908,0.57160666,-0.062205720692873,bossfight
36,36,303104,0.6748522199999999,1.17713492,-0.04575664922595024,bossfight
37,37,311296,0.40735743,0.71932009,-0.040652841329574585,bossfight
38,38,319488,0.8657670399999999,0.74913043,-0.040750328451395035,bossfight
39,39,327680,0.90877294,0.35690047,-0.05502374470233917,bossfight
40,40,335872,0.99401153,0.91259221,-0.0299582127481699,bossfight
41,41,344064,0.6851738900000001,1.10588531,-0.053561609238386154,bossfight
42,42,352256,1.1152636100000002,0.5919687800000001,-0.06203456595540047,bossfight
43,43,360448,0.47257737,1.17956628,-0.06524987518787384,bossfight
44,44,368640,0.47316853000000003,0.9448887100000001,-0.0807979553937912,bossfight
45,45,376832,0.52491973,0.6107161600000001,-0.06231965124607086,bossfight
46,46,385024,0.4765116999999999,1.02057923,-0.05875201150774956,bossfight
47,47,393216,0.32835005,0.5635983999999999,-0.023421652615070343,bossfight
48,48,401408,0.90731216,0.7945712899999999,-0.02619294635951519,bossfight
49,49,409600,0.7005428799999999,0.71529755,-0.10089781135320663,bossfight
50,50,417792,0.7944333,1.22636684,-0.055426113307476044,bossfight
51,51,425984,0.74474698,0.7533316300000001,-0.03760982304811478,bossfight
52,52,434176,1.31196229,0.66418565,-0.07517681270837784,bossfight
53,53,442368,0.46566717999999996,0.76371875,-0.04474673047661781,bossfight
54,54,450560,0.32113595000000006,1.32319333,-0.07834578305482864,bossfight
55,55,458752,0.60915384,1.21429158,-0.08385718613862991,bossfight
56,56,466944,0.7715640500000001,0.65268939,-0.06437018513679504,bossfight
57,57,475136,0.51879005,0.9694231000000001,-0.05527225136756897,bossfight
58,58,483328,0.9549155300000001,1.2443802300000002,-0.033090829849243164,bossfight
59,59,491520,0.7032545400000001,0.84399103,-0.04413846135139465,bossfight
60,60,499712,0.63131549,0.6430910499999999,-0.05892619490623474,bossfight
61,61,507904,0.59968114,0.98770137,-0.03885583207011223,bossfight
62,62,516096,0.9398500300000001,0.33147029000000006,-0.03882887214422226,bossfight
63,63,524288,0.66840581,0.76378762,-0.07043608278036118,bossfight
64,64,532480,1.0086414000000001,0.87886024,-0.06858867406845093,bossfight
65,65,540672,0.795107,0.48462458,-0.07783392071723938,bossfight
66,66,548864,0.7184686,0.99100292,-0.059165582060813904,bossfight
67,67,557056,1.3510071,0.7982201999999998,-0.06377512216567993,bossfight
68,68,565248,0.8374259399999999,1.09642826,-0.061589255928993225,bossfight
69,69,573440,0.76870938,0.71887835,-0.06306051462888718,bossfight
70,70,581632,0.45007096,0.8706033000000001,-0.04065868258476257,bossfight
71,71,589824,0.8090330800000001,0.6800908299999999,-0.04394926875829697,bossfight
72,72,598016,1.1342315399999998,0.7547064900000001,-0.044252701103687286,bossfight
73,73,606208,0.7471414799999999,1.04265686,-0.030152909457683563,bossfight
74,74,614400,0.5048444999999999,0.92685621,-0.04969388619065285,bossfight
75,75,622592,0.42422529000000003,0.78665959,-0.03902671858668327,bossfight
76,76,630784,0.9650733300000001,0.38688206,-0.031925417482852936,bossfight
77,77,638976,0.84350297,0.8982491699999998,-0.05286681279540062,bossfight
78,78,647168,0.76295831,0.97320279,-0.054588623344898224,bossfight
79,79,655360,0.94068646,1.05818832,-0.04631714150309563,bossfight
80,80,663552,0.41988295000000003,1.2668715199999998,-0.02169247530400753,bossfight
81,81,671744,0.49925237,0.88878253,-0.03176974132657051,bossfight
82,82,679936,0.93680684,0.74078665,-0.05530788004398346,bossfight
83,83,688128,0.57646135,1.4078330499999998,-0.06415017694234848,bossfight
84,84,696320,0.63707475,1.22871467,-0.0793386772274971,bossfight
85,85,704512,0.63701579,0.62645217,-0.030209457501769066,bossfight
86,86,712704,1.25230655,0.56279456,-0.05060816928744316,bossfight
87,87,720896,0.71569878,0.99904431,-0.06048429012298584,bossfight
88,88,729088,0.69021048,1.3424184,-0.08094719052314758,bossfight
89,89,737280,0.64895126,1.00460727,-0.03576788306236267,bossfight
90,90,745472,0.83104849,1.1112364000000001,-0.05192335322499275,bossfight
91,91,753664,0.8650362799999999,0.7229536499999999,-0.06618577241897583,bossfight
92,92,761856,0.78590422,0.6585234700000001,-0.056391987949609756,bossfight
93,93,770048,0.9454463700000001,0.76614249,-0.0718608871102333,bossfight
94,94,778240,0.61074204,0.6588094900000001,-0.08462703973054886,bossfight
95,95,786432,0.8436231599999999,1.1016440299999999,-0.062217507511377335,bossfight
96,96,794624,0.6437780500000001,1.13639838,-0.07096592336893082,bossfight
97,97,802816,0.62730333,0.89255741,-0.09245338290929794,bossfight
98,98,811008,0.9653020800000001,1.0920813900000002,-0.027253562584519386,bossfight
99,99,819200,0.46396068,0.9395316,-0.06831897795200348,bossfight
100,100,827392,0.9412550500000001,0.8973451100000002,-0.030756263062357903,bossfight
101,101,835584,0.9627672799999999,1.20324106,-0.03589935973286629,bossfight
102,102,843776,0.80002667,0.6605889399999999,-0.06547525525093079,bossfight
103,103,851968,0.5612187299999999,0.98958901,-0.05383216589689255,bossfight
104,104,860160,0.6994452000000001,0.78275341,-0.061782099306583405,bossfight
105,105,868352,0.6458080100000001,0.6230218399999999,-0.06383547931909561,bossfight
106,106,876544,1.0757424,0.58205215,-0.048205699771642685,bossfight
107,107,884736,0.54490151,0.82880106,-0.061858806759119034,bossfight
108,108,892928,0.11516016000000001,0.8875988300000001,-0.06006902828812599,bossfight
109,109,901120,0.49204486000000003,0.51114858,-0.04709027707576752,bossfight
110,110,909312,0.60697181,0.59292651,-0.043741375207901,bossfight
111,111,917504,0.40714562,0.69313041,-0.06933365762233734,bossfight
112,112,925696,0.6224179,1.3342326599999998,-0.04161403700709343,bossfight
113,113,933888,0.4996114300000001,0.95733848,-0.027428561821579933,bossfight
114,114,942080,0.7150039600000001,1.08610806,-0.03076452761888504,bossfight
115,115,950272,0.93759871,1.5648987600000002,-0.054635435342788696,bossfight
116,116,958464,1.18868342,1.4016198400000002,-0.02798154018819332,bossfight
117,117,966656,0.75802509,1.7371598600000002,-0.03579453006386757,bossfight
118,118,974848,1.1191254,1.3879462599999999,-0.021978067234158516,bossfight
119,119,983040,1.04446496,0.94801414,-0.03435886278748512,bossfight
120,120,991232,0.94160201,1.3206615499999999,-0.05127480998635292,bossfight
121,121,999424,0.7758721199999999,1.38497236,-0.025539159774780273,bossfight
122,122,1007616,0.9006558,1.5808487500000001,-0.03247198089957237,bossfight
123,123,1015808,0.99956223,1.61533143,-0.02923576347529888,bossfight
124,124,1024000,0.5986345900000001,1.34477577,-0.039117876440286636,bossfight
125,125,1032192,0.8863315800000001,0.9062266699999998,-0.03307204693555832,bossfight
126,126,1040384,0.7111506900000001,0.60705948,-0.05053791403770447,bossfight
127,127,1048576,1.32216998,0.90720136,-0.0418606661260128,bossfight
128,128,1056768,1.15715364,1.1742446299999998,-0.042592160403728485,bossfight
129,129,1064960,1.16671061,1.6423936600000002,-0.02482754923403263,bossfight
130,130,1073152,1.00269959,1.53814955,-0.034697502851486206,bossfight
131,131,1081344,1.5275475699999999,0.8358809599999999,-0.052373915910720825,bossfight
132,132,1089536,1.19775772,1.0701024,-0.0553942508995533,bossfight
133,133,1097728,0.94923908,0.73619412,-0.02732621692121029,bossfight
134,134,1105920,0.84758848,1.26926311,-0.058963265269994736,bossfight
135,135,1114112,1.1285120400000002,0.8342119600000001,-0.05248536914587021,bossfight
136,136,1122304,0.25475429,1.40043767,-0.052998725324869156,bossfight
137,137,1130496,1.03695747,0.89942258,-0.019781306385993958,bossfight
138,138,1138688,0.7729059400000001,0.6658898999999999,-0.04310872033238411,bossfight
139,139,1146880,0.84527234,0.9990572000000002,-0.029981108382344246,bossfight
140,140,1155072,1.52552174,1.0658366000000001,-0.032566409558057785,bossfight
141,141,1163264,1.17028164,1.265691,-0.03907296061515808,bossfight
142,142,1171456,1.4496895699999999,1.0980365399999998,8.328434341819957e-05,bossfight
143,143,1179648,1.10329979,1.09760156,-0.011374719440937042,bossfight
144,144,1187840,0.8019748099999998,0.99546254,-0.028292164206504822,bossfight
145,145,1196032,1.20893829,1.4939084,-0.011733031831681728,bossfight
146,146,1204224,1.30734872,0.99341386,-0.018785711377859116,bossfight
147,147,1212416,1.09754258,1.39292712,-0.05426149442791939,bossfight
148,148,1220608,1.14055388,0.7603080099999999,-0.03725224360823631,bossfight
149,149,1228800,1.71707993,0.7602561200000001,-0.05726311728358269,bossfight
150,150,1236992,1.5202731900000002,0.8931385199999999,-0.03881663829088211,bossfight
151,151,1245184,0.6117929599999999,0.9581930599999999,-0.0036704521626234055,bossfight
152,152,1253376,0.7761711800000001,1.4184541400000001,-0.03993187099695206,bossfight
153,153,1261568,1.00329141,1.05489412,-0.03741804510354996,bossfight
154,154,1269760,1.36710982,1.11966107,-0.023702697828412056,bossfight
155,155,1277952,0.31508783999999995,1.55019746,-0.013187166303396225,bossfight
156,156,1286144,1.1199635000000001,1.32080588,-0.021718576550483704,bossfight
157,157,1294336,1.03884,1.8158485,-0.001966142561286688,bossfight
158,158,1302528,1.19351158,0.9201275699999999,-0.020536482334136963,bossfight
159,159,1310720,1.63167871,1.3463038,-0.034672513604164124,bossfight
160,160,1318912,1.18596589,1.28293079,-0.004913570359349251,bossfight
161,161,1327104,1.0928643300000003,1.3113531899999997,0.005675951484590769,bossfight
162,162,1335296,1.52992354,1.5327951600000003,0.023871902376413345,bossfight
163,163,1343488,0.81974482,0.6802254400000001,-0.03286093845963478,bossfight
164,164,1351680,1.3569980000000001,1.4375897600000003,-0.02511853352189064,bossfight
165,165,1359872,1.6902196400000002,1.01828401,-0.029067832976579666,bossfight
166,166,1368064,1.15541967,1.13897912,0.007736991625279188,bossfight
167,167,1376256,1.3198564299999997,0.38891789000000004,-0.03186468034982681,bossfight
168,168,1384448,1.14608544,1.1099456900000002,0.0007784765330143273,bossfight
169,169,1392640,1.1443503700000002,1.27693925,0.001266417559236288,bossfight
170,170,1400832,1.1095213999999998,0.9161496399999999,0.0006912723183631897,bossfight
171,171,1409024,1.5460179499999998,0.95152243,-0.007919877767562866,bossfight
172,172,1417216,1.30944748,2.0301573200000003,0.007077382877469063,bossfight
173,173,1425408,1.5782780399999998,1.33786618,-0.00039544087485410273,bossfight
174,174,1433600,1.5788384899999999,0.8409491199999999,-0.01957388035953045,bossfight
175,175,1441792,1.37394366,1.7908349099999998,0.0060491072945296764,bossfight
176,176,1449984,1.2385359999999999,1.14455691,-0.00018023457960225642,bossfight
177,177,1458176,1.00341308,1.28312145,0.012691088020801544,bossfight
178,178,1466368,1.50358705,1.19212948,-0.00402847770601511,bossfight
179,179,1474560,1.16757427,0.6115627600000001,-0.025387199595570564,bossfight
180,180,1482752,1.4662396100000001,0.8066791000000001,-0.016286050900816917,bossfight
181,181,1490944,1.0319804499999998,1.1015074999999999,-0.020346583798527718,bossfight
182,182,1499136,1.1636148400000002,1.52764096,-0.006694645155221224,bossfight
183,183,1507328,2.0610743400000002,1.55283266,-0.012609235011041164,bossfight
