,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,3.3333333333333335,3.3333333333333335,-0.042867593467235565,caveflyer
1,1,16384,4.5,2.7586206896551726,0.14617721736431122,caveflyer
2,2,24576,4.0,3.142857142857143,0.989976167678833,caveflyer
3,3,32768,2.586206896551724,2.7777777777777777,1.0,caveflyer
4,4,40960,3.116883116883117,2.3529411764705883,0.997927188873291,caveflyer
5,5,49152,3.176470588235294,2.6436781609195403,1.0,caveflyer
6,6,57344,3.0927835051546393,2.7083333333333335,1.0,caveflyer
7,7,65536,2.3,2.3,1.0,caveflyer
8,8,73728,2.3,2.3,1.0,caveflyer
9,9,81920,2.5,1.7,1.0,caveflyer
10,10,90112,2.8,2.3,1.0,caveflyer
11,11,98304,2.4,2.5,1.0,caveflyer
12,12,106496,2.4,2.6,1.0,caveflyer
13,13,114688,2.5,2.7,1.0,caveflyer
14,14,122880,2.9,2.8,1.0,caveflyer
15,15,131072,3.0,2.9,1.0,caveflyer
16,16,139264,2.7,2.8,1.0,caveflyer
17,17,147456,2.7,2.7,1.0,caveflyer
18,18,155648,3.3,2.8,1.0,caveflyer
19,19,163840,3.5,3.2,1.0,caveflyer
20,20,172032,3.7,3.0,1.0,caveflyer
21,21,180224,3.6,3.6,1.0,caveflyer
22,22,188416,4.2,3.8,1.0,caveflyer
23,23,196608,3.8,3.6,1.0,caveflyer
24,24,204800,3.3,3.8,1.0,caveflyer
25,25,212992,3.7,3.5,1.0,caveflyer
26,26,221184,3.2,3.9,1.0,caveflyer
27,27,229376,3.4,3.9,1.0,caveflyer
28,28,237568,3.5,3.8,1.0,caveflyer
29,29,245760,3.5,3.9,1.0,caveflyer
30,30,253952,3.4,3.6,1.0,caveflyer
31,31,262144,3.6,3.7,1.0,caveflyer
32,32,270336,3.7,3.7,1.0,caveflyer
33,33,278528,3.5,3.8,1.0,caveflyer
34,34,286720,3.1,4.0,1.0,caveflyer
35,35,294912,2.5,4.0,1.0,caveflyer
36,36,303104,2.7,3.9,1.0,caveflyer
37,37,311296,3.6,3.4,1.0,caveflyer
38,38,319488,4.4,3.5,1.0,caveflyer
39,39,327680,4.0,3.1,1.0,caveflyer
40,40,335872,4.1,3.1,1.0,caveflyer
41,41,344064,3.7,3.4,1.0,caveflyer
42,42,352256,3.7,3.9,1.0,caveflyer
43,43,360448,3.2,3.7,1.0,caveflyer
44,44,368640,3.7,3.4,1.0,caveflyer
45,45,376832,3.2,3.8,1.0,caveflyer
46,46,385024,3.3,3.9,0.9969667196273804,caveflyer
47,47,393216,3.4,3.7,1.0,caveflyer
48,48,401408,3.1,3.2,1.0,caveflyer
49,49,409600,3.1,3.0,1.0,caveflyer
50,50,417792,3.0,2.7,1.0,caveflyer
