,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,1.1111111111111112,3.3249662222222223,-0.15964119136333466,caveflyer
1,1,16384,2.5806451612903225,4.609592,-0.19860562682151794,caveflyer
2,2,24576,3.0952380952380953,4.162483111111111,-0.16344000399112701,caveflyer
3,3,32768,2.6315789473684212,3.390167714285714,-0.12183193117380142,caveflyer
4,4,40960,2.5,3.2908462439024384,-0.1294492781162262,caveflyer
5,5,49152,2.4705882352941178,3.1984939199999998,-0.1487460732460022,caveflyer
6,6,57344,2.5,2.9,-0.2081555873155594,caveflyer
7,7,65536,2.9,2.6,-0.14342133700847626,caveflyer
8,8,73728,2.4,2.8,-0.17604109644889832,caveflyer
9,9,81920,2.7,2.8,0.4086633026599884,caveflyer
10,10,90112,2.7,3.1,0.8285128474235535,caveflyer
11,11,98304,3.0,3.0,0.7583933472633362,caveflyer
12,12,106496,2.7,3.2,0.901360809803009,caveflyer
13,13,114688,3.0,3.1,0.8918940424919128,caveflyer
14,14,122880,3.1,3.4,0.758921205997467,caveflyer
15,15,131072,2.9,3.1,0.6797504425048828,caveflyer
16,16,139264,3.2,3.1,0.3439462184906006,caveflyer
17,17,147456,3.4,3.5,-0.1483350396156311,caveflyer
18,18,155648,3.6,3.1,-0.17237813770771027,caveflyer
19,19,163840,3.4,3.1,-0.16829678416252136,caveflyer
20,20,172032,3.3,3.2,-0.15314507484436035,caveflyer
21,21,180224,3.3,3.1,-0.10810762643814087,caveflyer
22,22,188416,3.1,3.1,-0.16268204152584076,caveflyer
23,23,196608,3.0,3.3,0.8195775747299194,caveflyer
24,24,204800,3.2,3.6,0.9547669887542725,caveflyer
25,25,212992,3.1,3.0,0.9102149605751038,caveflyer
26,26,221184,3.2,3.4,0.9865546226501465,caveflyer
27,27,229376,3.4,3.4,0.9918560981750488,caveflyer
28,28,237568,2.7,3.5,0.9866034388542175,caveflyer
29,29,245760,2.5,3.4,0.9913429617881775,caveflyer
30,30,253952,2.8,4.2,0.992500901222229,caveflyer
31,31,262144,2.9,3.9,0.9856258630752563,caveflyer
32,32,270336,3.3,3.3,0.9796456694602966,caveflyer
33,33,278528,3.9,3.4,0.9889980554580688,caveflyer
34,34,286720,4.1,2.7,0.990967333316803,caveflyer
35,35,294912,3.7,2.5,0.9927095174789429,caveflyer
36,36,303104,3.8,2.9,0.9863787293434143,caveflyer
37,37,311296,4.0,2.9,0.9903160929679871,caveflyer
38,38,319488,3.6,2.9,0.9836190342903137,caveflyer
39,39,327680,3.5,2.9,0.9885468482971191,caveflyer
40,40,335872,3.4,3.2,0.98175048828125,caveflyer
41,41,344064,3.5,3.5,0.9720883965492249,caveflyer
42,42,352256,4.0,3.4,0.9697989821434021,caveflyer
43,43,360448,4.1,3.2,0.9670360684394836,caveflyer
44,44,368640,3.8,3.0,0.972649872303009,caveflyer
45,45,376832,4.0,2.9,0.9806620478630066,caveflyer
46,46,385024,3.5,3.3,0.9808458089828491,caveflyer
47,47,393216,3.7,3.5,0.9737988710403442,caveflyer
48,48,401408,3.5,3.5,0.9967979192733765,caveflyer
49,49,409600,3.0,3.7,0.957187294960022,caveflyer
50,50,417792,2.7,3.5,0.9836052656173706,caveflyer
51,51,425984,2.7,3.3,0.9202542901039124,caveflyer
52,52,434176,3.1,3.3,0.9707321524620056,caveflyer
53,53,442368,3.3,3.3,0.996336042881012,caveflyer
54,54,450560,3.5,3.6,0.9007161259651184,caveflyer
55,55,458752,3.7,4.0,0.9839043021202087,caveflyer
56,56,466944,4.0,3.8,0.9476785063743591,caveflyer
57,57,475136,3.6,4.1,0.9469316005706787,caveflyer
58,58,483328,4.1,3.9,0.955069899559021,caveflyer
59,59,491520,4.1,4.0,0.9670190215110779,caveflyer
60,60,499712,4.3,4.1,0.9412047266960144,caveflyer
61,61,507904,4.3,3.9,0.9683852791786194,caveflyer
62,62,516096,4.1,3.7,0.9339199662208557,caveflyer
63,63,524288,3.7,3.6,0.9046369791030884,caveflyer
64,64,532480,3.3,3.4,0.8185915350914001,caveflyer
65,65,540672,3.2,3.3,0.7674711346626282,caveflyer
66,66,548864,3.8,3.1,0.6760926246643066,caveflyer
67,67,557056,3.5,3.4,0.5247102975845337,caveflyer
68,68,565248,3.5,3.1,0.6007465124130249,caveflyer
69,69,573440,3.4,3.2,0.48786693811416626,caveflyer
70,70,581632,3.4,3.8,0.4043489098548889,caveflyer
71,71,589824,3.3,3.6,0.6080140471458435,caveflyer
72,72,598016,3.0,3.7,0.7488929033279419,caveflyer
73,73,606208,2.7,3.5,0.8379713296890259,caveflyer
74,74,614400,3.0,3.3,0.9675746560096741,caveflyer
75,75,622592,3.3,3.9,1.0,caveflyer
76,76,630784,3.4,3.79937149,0.9923700094223022,caveflyer
77,77,638976,3.5,3.9993714899999997,0.981807291507721,caveflyer
78,78,647168,3.3,3.79937149,1.0,caveflyer
79,79,655360,3.1,3.4993714899999997,0.9742998480796814,caveflyer
80,80,663552,3.0,3.9,1.0,caveflyer
81,81,671744,3.2,3.8,1.0,caveflyer
82,82,679936,3.8,3.6,0.9909656643867493,caveflyer
83,83,688128,3.6,3.6,0.9853881597518921,caveflyer
84,84,696320,3.5,3.1,1.0,caveflyer
85,85,704512,3.3,3.1,1.0,caveflyer
86,86,712704,3.6,3.2,1.0,caveflyer
87,87,720896,3.7,3.1,1.0,caveflyer
88,88,729088,3.8,3.3,1.0,caveflyer
89,89,737280,3.8,3.7,1.0,caveflyer
90,90,745472,3.3,4.2,1.0,caveflyer
91,91,753664,3.5,4.7,1.0,caveflyer
92,92,761856,3.4,4.8,1.0,caveflyer
93,93,770048,3.7,5.1,1.0,caveflyer
94,94,778240,4.4,4.4,1.0,caveflyer
95,95,786432,4.5,4.1,1.0,caveflyer
96,96,794624,4.5,4.1,1.0,caveflyer
97,97,802816,4.2,3.4,1.0,caveflyer
98,98,811008,4.1,3.2,1.0,caveflyer
99,99,819200,3.9,3.3,1.0,caveflyer
100,100,827392,4.2,3.1,1.0,caveflyer
101,101,835584,4.7,3.5,1.0,caveflyer
102,102,843776,4.8,3.09750856,1.0,caveflyer
103,103,851968,4.6,3.19750856,1.0,caveflyer
104,104,860160,4.1,2.59750856,1.0,caveflyer
105,105,868352,4.1,3.1,1.0,caveflyer
106,106,876544,3.4,3.9,1.0,caveflyer
107,107,884736,3.5,4.6,1.0,caveflyer
108,108,892928,3.5,4.2,1.0,caveflyer
109,109,901120,3.1,3.6,1.0,caveflyer
110,110,909312,2.7,3.3,0.9873676300048828,caveflyer
111,111,917504,2.7,2.8,1.0,caveflyer
112,112,925696,2.5,2.9,1.0,caveflyer
113,113,933888,2.5991706999999997,3.0,1.0,caveflyer
114,114,942080,2.6991707,3.5,1.0,caveflyer
115,115,950272,3.0982538699999997,3.3,1.0,caveflyer
