,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,3.5714285714285716,1.875,-0.06088779494166374,caveflyer
1,1,16384,4.166666666666667,2.5,1.0,caveflyer
2,2,24576,4.571428571428571,2.7027027027027026,1.0,caveflyer
3,3,32768,3.3333333333333335,2.711864406779661,1.0,caveflyer
4,4,40960,3.0434782608695654,2.753623188405797,1.0,caveflyer
5,5,49152,2.962962962962963,3.033707865168539,1.0,caveflyer
6,6,57344,2.857142857142857,3.0,1.0,caveflyer
7,7,65536,2.5,3.0,0.9975916743278503,caveflyer
8,8,73728,2.0,3.1,0.9968605637550354,caveflyer
9,9,81920,2.2,2.8,1.0,caveflyer
10,10,90112,2.6,2.8,1.0,caveflyer
11,11,98304,2.9,2.6,1.0,caveflyer
12,12,106496,3.0,2.6,1.0,caveflyer
13,13,114688,3.0,2.4,1.0,caveflyer
14,14,122880,3.5,2.3,1.0,caveflyer
15,15,131072,3.4,3.0,1.0,caveflyer
16,16,139264,2.8,2.9,1.0,caveflyer
17,17,147456,2.7,3.0,1.0,caveflyer
18,18,155648,2.7,3.5,1.0,caveflyer
19,19,163840,3.0,3.4,1.0,caveflyer
20,20,172032,2.9,3.3,1.0,caveflyer
21,21,180224,3.5,3.1,1.0,caveflyer
22,22,188416,3.3,2.8,1.0,caveflyer
23,23,196608,3.7,3.1,1.0,caveflyer
24,24,204800,4.0,3.3,1.0,caveflyer
25,25,212992,3.9,3.4,1.0,caveflyer
26,26,221184,4.0,3.9,1.0,caveflyer
27,27,229376,4.4,4.3,1.0,caveflyer
28,28,237568,4.2,4.3,1.0,caveflyer
29,29,245760,4.3,4.2,1.0,caveflyer
30,30,253952,4.0,4.3,1.0,caveflyer
31,31,262144,4.3,4.2,1.0,caveflyer
32,32,270336,4.2,3.7,1.0,caveflyer
33,33,278528,3.9,3.4,1.0,caveflyer
34,34,286720,3.9,3.2,1.0,caveflyer
35,35,294912,3.6,3.4,1.0,caveflyer
36,36,303104,3.5,3.4,1.0,caveflyer
