,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,3.076923076923077,3.75,-0.1773741990327835,caveflyer
1,1,16384,3.5,2.857142857142857,-0.14279673993587494,caveflyer
2,2,24576,4.444444444444445,2.4242424242424243,-0.22528111934661865,caveflyer
3,3,32768,2.909090909090909,2.3529411764705883,-0.1800069510936737,caveflyer
4,4,40960,3.0136986301369864,2.8378378378378377,-0.023664040490984917,caveflyer
5,5,49152,3.152173913043478,2.7586206896551726,-0.19973953068256378,caveflyer
6,6,57344,3.3,2.8,-0.26645639538764954,caveflyer
7,7,65536,3.1,2.6,-0.2510856091976166,caveflyer
8,8,73728,2.6,3.0,-0.18229569494724274,caveflyer
9,9,81920,2.8,2.9,1.0,caveflyer
10,10,90112,3.0,3.3,1.0,caveflyer
11,11,98304,3.5,3.4,1.0,caveflyer
12,12,106496,3.6,3.6,1.0,caveflyer
13,13,114688,3.1,3.6,0.9976801872253418,caveflyer
14,14,122880,3.0,3.6,1.0,caveflyer
15,15,131072,3.0,3.7,0.992952823638916,caveflyer
16,16,139264,2.6,3.2,0.9869409203529358,caveflyer
17,17,147456,2.0,3.0,1.0,caveflyer
18,18,155648,2.2,2.6,1.0,caveflyer
19,19,163840,2.7,2.9,0.998249888420105,caveflyer
20,20,172032,3.0,3.3,1.0,caveflyer
21,21,180224,3.6,3.9,0.9964731335639954,caveflyer
22,22,188416,3.9,4.2,0.997367262840271,caveflyer
23,23,196608,3.4,4.4,1.0,caveflyer
24,24,204800,3.7,4.4,0.9988778829574585,caveflyer
25,25,212992,3.8,4.2,0.9937838912010193,caveflyer
26,26,221184,4.1,3.4,0.9953725337982178,caveflyer
27,27,229376,3.7,3.5,0.9975273609161377,caveflyer
28,28,237568,3.8,3.1,1.0,caveflyer
29,29,245760,3.4,3.4,1.0,caveflyer
30,30,253952,3.0,3.5,1.0,caveflyer
31,31,262144,3.4,3.6,1.0,caveflyer
32,32,270336,3.6,3.7,1.0,caveflyer
33,33,278528,3.3,3.7,0.992853581905365,caveflyer
34,34,286720,3.9,3.2,0.9903035163879395,caveflyer
35,35,294912,3.9,3.6,1.0,caveflyer
36,36,303104,3.5,3.5,1.0,caveflyer
37,37,311296,3.7,3.6,0.9967666268348694,caveflyer
38,38,319488,3.3,4.0,1.0,caveflyer
39,39,327680,3.1,3.9,1.0,caveflyer
40,40,335872,3.1,4.2,1.0,caveflyer
41,41,344064,3.0,4.2,0.998638391494751,caveflyer
42,42,352256,3.0,4.1,1.0,caveflyer
43,43,360448,3.2,4.0,0.9961622953414917,caveflyer
44,44,368640,3.4,4.0,0.9992594122886658,caveflyer
45,45,376832,3.1,3.8,0.9947825074195862,caveflyer
46,46,385024,3.3,3.3,0.9972461462020874,caveflyer
47,47,393216,3.3,3.2,0.9932509064674377,caveflyer
48,48,401408,3.4,3.0,1.0,caveflyer
49,49,409600,3.9,3.8,1.0,caveflyer
50,50,417792,4.6,4.2,1.0,caveflyer
51,51,425984,4.1,4.3,1.0,caveflyer
52,52,434176,4.5,4.0,0.9963248372077942,caveflyer
53,53,442368,4.5,4.2,0.9972593188285828,caveflyer
54,54,450560,4.0,3.49770568,1.0,caveflyer
55,55,458752,3.7,3.39770568,0.9965950846672058,caveflyer
56,56,466944,3.9,3.5977056800000002,0.9964314699172974,caveflyer
57,57,475136,3.6,3.6977056800000003,1.0,caveflyer
58,58,483328,3.4,4.2,0.9973142147064209,caveflyer
59,59,491520,3.5,3.5,0.8747422695159912,caveflyer
60,60,499712,3.5,3.8,1.0,caveflyer
61,61,507904,3.5,3.5,0.9975156188011169,caveflyer
62,62,516096,3.2,4.7,0.9968405961990356,caveflyer
63,63,524288,3.5,4.6,0.9926583170890808,caveflyer
64,64,532480,3.6,3.7,0.9973423480987549,caveflyer
65,65,540672,3.9,2.9,0.9928649067878723,caveflyer
66,66,548864,4.6,2.7,1.0,caveflyer
67,67,557056,3.8,3.0,0.9985765218734741,caveflyer
68,68,565248,4.0,3.3,1.0,caveflyer
69,69,573440,3.5,3.0,1.0,caveflyer
70,70,581632,3.6,2.8,0.9952906966209412,caveflyer
71,71,589824,3.6,2.4,0.9930128455162048,caveflyer
72,72,598016,4.0,2.6,1.0,caveflyer
73,73,606208,3.59882547,3.0,0.9969966411590576,caveflyer
74,74,614400,3.99882547,3.6,1.0,caveflyer
75,75,622592,3.99882547,4.0,1.0,caveflyer
76,76,630784,3.49882547,3.8,1.0,caveflyer
77,77,638976,3.1985547,3.7,0.9964390993118286,caveflyer
78,78,647168,3.5985546999999998,3.5,0.9971386194229126,caveflyer
79,79,655360,3.0985546999999998,3.7,1.0,caveflyer
80,80,663552,3.3985546999999996,4.3,1.0,caveflyer
81,81,671744,3.4,4.2,0.9968323111534119,caveflyer
82,82,679936,3.6,4.4935064,0.9972222447395325,caveflyer
83,83,688128,4.2,4.2935064,0.9967787861824036,caveflyer
84,84,696320,4.29725472,4.38647138,0.9906823039054871,caveflyer
85,85,704512,4.397254719999999,4.079079289999999,0.9815892577171326,caveflyer
86,86,712704,4.29418088,4.07863287,1.0,caveflyer
87,87,720896,3.89418088,4.07863287,1.0,caveflyer
88,88,729088,3.59418088,3.7780784500000006,0.9753809571266174,caveflyer
89,89,737280,3.7934950000000005,3.68547054,1.0,caveflyer
90,90,745472,3.49656884,3.48487706,1.0,caveflyer
91,91,753664,3.5965688399999998,3.28487706,0.9981391429901123,caveflyer
92,92,761856,3.89656884,3.2924664999999997,0.9986480474472046,caveflyer
93,93,770048,4.1,3.0924665,1.0,caveflyer
94,94,778240,4.0,3.58539603,1.0,caveflyer
95,95,786432,3.8,3.39292953,0.9959436655044556,caveflyer
96,96,794624,3.4,3.7929295300000003,1.0,caveflyer
97,97,802816,3.3,3.39292953,0.9973793029785156,caveflyer
98,98,811008,4.0,3.6,1.0,caveflyer
99,99,819200,3.4,3.9,0.9968855977058411,caveflyer
100,100,827392,3.5,3.7,0.9969483017921448,caveflyer
101,101,835584,3.1,4.1,1.0,caveflyer
102,102,843776,3.0,4.5,1.0,caveflyer
103,103,851968,2.9,4.49242935,1.0,caveflyer
104,104,860160,3.4,4.39242935,0.9951885342597961,caveflyer
105,105,868352,3.3955220600000002,4.19242935,0.9944385290145874,caveflyer
106,106,876544,3.4955220600000003,3.89242935,1.0,caveflyer
107,107,884736,3.69552206,3.8,0.9976784586906433,caveflyer
108,108,892928,3.3955220600000002,4.3,0.9936972856521606,caveflyer
109,109,901120,3.3,4.19163404,0.9948960542678833,caveflyer
110,110,909312,3.1,4.3916340400000005,0.9925203919410706,caveflyer
111,111,917504,3.1,4.19163404,1.0,caveflyer
112,112,925696,3.0,3.6916340400000003,0.9986596703529358,caveflyer
113,113,933888,2.9,3.4,1.0,caveflyer
114,114,942080,3.2,3.1,0.9973815083503723,caveflyer
115,115,950272,3.6,3.59096506,1.0,caveflyer
116,116,958464,3.6,3.4909650599999997,1.0,caveflyer
117,117,966656,3.5,3.7909650599999996,0.9957382082939148,caveflyer
118,118,974848,3.1,3.4909650599999997,1.0,caveflyer
119,119,983040,2.8,3.2,0.9958660006523132,caveflyer
120,120,991232,3.3,3.8,1.0,caveflyer
121,121,999424,3.7,3.7,0.9973567128181458,caveflyer
122,122,1007616,3.8,4.0,0.9967172741889954,caveflyer
123,123,1015808,4.1,3.8,0.9944567680358887,caveflyer
124,124,1024000,4.2,3.4,1.0,caveflyer
125,125,1032192,4.9,3.1,0.996269941329956,caveflyer
126,126,1040384,5.1,3.5,0.9944107532501221,caveflyer
127,127,1048576,4.7,3.4,1.0,caveflyer
128,128,1056768,4.59404743,3.8,0.9952942728996277,caveflyer
129,129,1064960,3.88756809,4.3,0.9977237582206726,caveflyer
130,130,1073152,4.0875680899999995,3.8,0.9806710481643677,caveflyer
131,131,1081344,3.7875680899999997,3.9903813,0.9973854422569275,caveflyer
132,132,1089536,3.7,4.090381300000001,1.0,caveflyer
133,133,1097728,3.9,3.8903813,0.9976698160171509,caveflyer
134,134,1105920,4.2,4.3903813000000005,0.9947316646575928,caveflyer
135,135,1114112,4.5,4.2,1.0,caveflyer
136,136,1122304,4.6,3.7,1.0,caveflyer
137,137,1130496,4.3,3.2,0.9950084686279297,caveflyer
138,138,1138688,3.9,3.1,0.9956656694412231,caveflyer
139,139,1146880,3.6,3.6,1.0,caveflyer
140,140,1155072,3.4,3.4,1.0,caveflyer
141,141,1163264,3.09296495,3.5,0.9941450357437134,caveflyer
142,142,1171456,3.69296495,3.2,1.0,caveflyer
143,143,1179648,3.59296495,3.5,0.9962645769119263,caveflyer
144,144,1187840,3.6,3.8,1.0,caveflyer
145,145,1196032,3.6,3.9,1.0,caveflyer
146,146,1204224,2.6,3.9,0.995460569858551,caveflyer
147,147,1212416,2.7,3.6,0.994757354259491,caveflyer
148,148,1220608,3.39297804,3.8,0.9749290943145752,caveflyer
149,149,1228800,3.69297804,3.6,0.997174084186554,caveflyer
150,150,1236992,4.49297804,4.2,0.9973995685577393,caveflyer
151,151,1245184,4.7,4.48965789,0.9966210126876831,caveflyer
152,152,1253376,4.6,4.08965789,0.9976595044136047,caveflyer
153,153,1261568,4.4,4.38965789,1.0,caveflyer
154,154,1269760,4.2,3.68965789,1.0,caveflyer
155,155,1277952,4.0,3.7,0.9948233962059021,caveflyer
156,156,1286144,4.3,3.5,1.0,caveflyer
157,157,1294336,4.2,3.6,1.0,caveflyer
158,158,1302528,3.5,3.8,0.9969065189361572,caveflyer
159,159,1310720,3.8,3.3,0.9925480484962463,caveflyer
160,160,1318912,3.7,3.5,0.9959716200828552,caveflyer
161,161,1327104,4.1,3.2,0.9977118968963623,caveflyer
162,162,1335296,4.2,3.8,0.9961127042770386,caveflyer
163,163,1343488,3.7,3.9,1.0,caveflyer
164,164,1351680,3.8,3.7,1.0,caveflyer
165,165,1359872,3.4,3.4,0.9951836466789246,caveflyer
166,166,1368064,3.5,3.58892026,0.9969890117645264,caveflyer
167,167,1376256,3.5,3.38892026,1.0,caveflyer
168,168,1384448,3.2,3.6889202599999997,0.9969624876976013,caveflyer
169,169,1392640,3.5,4.18892026,1.0,caveflyer
170,170,1400832,3.8,4.7,0.9971047043800354,caveflyer
171,171,1409024,4.2,4.8,0.996726393699646,caveflyer
172,172,1417216,4.59151886,4.7,0.9958731532096863,caveflyer
173,173,1425408,4.59151886,4.0,1.0,caveflyer
174,174,1433600,4.79151886,3.8,0.9972376823425293,caveflyer
175,175,1441792,4.49151886,3.5,0.9939606189727783,caveflyer
176,176,1449984,4.2,3.5,1.0,caveflyer
177,177,1458176,4.1,3.3,0.9988902807235718,caveflyer
178,178,1466368,3.9,3.1,0.9977535009384155,caveflyer
179,179,1474560,4.2,3.2,1.0,caveflyer
180,180,1482752,4.5,3.0,0.9922992587089539,caveflyer
181,181,1490944,3.9,3.5,1.0,caveflyer
182,182,1499136,3.7,3.9,1.0,caveflyer
183,183,1507328,3.7,3.4,0.9964651465415955,caveflyer
184,184,1515520,4.1,2.8,1.0,caveflyer
185,185,1523712,4.3,3.0,0.9905495047569275,caveflyer
186,186,1531904,4.2,3.5,1.0,caveflyer
187,187,1540096,4.0,3.7,0.9991863369941711,caveflyer
188,188,1548288,4.2,3.6,1.0,caveflyer
189,189,1556480,3.9,3.2,1.0,caveflyer
190,190,1564672,3.9,3.0,1.0,caveflyer
191,191,1572864,4.3,3.5,0.9950486421585083,caveflyer
192,192,1581056,4.3,3.3,1.0,caveflyer
193,193,1589248,4.7,3.1,1.0,caveflyer
194,194,1597440,4.5,3.3,1.0,caveflyer
195,195,1605632,4.0,3.4,0.9975572228431702,caveflyer
196,196,1613824,4.2,4.0,0.997803270816803,caveflyer
197,197,1622016,3.7,4.1,0.9972767233848572,caveflyer
198,198,1630208,3.7,3.9,0.9962234497070312,caveflyer
199,199,1638400,3.9,4.2,1.0,caveflyer
200,200,1646592,3.9,4.7,1.0,caveflyer
201,201,1654784,4.5,4.8,0.9965468049049377,caveflyer
202,202,1662976,4.4,4.5,1.0,caveflyer
203,203,1671168,4.4,4.0,1.0,caveflyer
204,204,1679360,3.6,3.7,0.9976687431335449,caveflyer
205,205,1687552,3.1,3.9,0.9914698004722595,caveflyer
206,206,1695744,4.2,4.0,1.0,caveflyer
207,207,1703936,3.5,4.0,1.0,caveflyer
208,208,1712128,3.5,4.3,1.0,caveflyer
209,209,1720320,3.3,4.6,0.9967772960662842,caveflyer
210,210,1728512,3.3,4.8,1.0,caveflyer
211,211,1736704,3.4,4.5,1.0,caveflyer
212,212,1744896,3.9,3.8,1.0,caveflyer
213,213,1753088,3.6,3.6,0.9972544312477112,caveflyer
214,214,1761280,4.0,3.9,1.0,caveflyer
215,215,1769472,3.8,3.9,1.0,caveflyer
216,216,1777664,3.7,4.2,1.0,caveflyer
217,217,1785856,3.7,4.3,0.9690840244293213,caveflyer
218,218,1794048,3.8,4.2,1.0,caveflyer
219,219,1802240,4.0,4.1,1.0,caveflyer
220,220,1810432,4.2,3.5,0.9877875447273254,caveflyer
221,221,1818624,4.1,3.8,0.9868230223655701,caveflyer
222,222,1826816,3.8,3.8,1.0,caveflyer
223,223,1835008,4.0,4.0,0.9969238638877869,caveflyer
224,224,1843200,3.7,4.4,1.0,caveflyer
225,225,1851392,3.7,4.2,0.9947624206542969,caveflyer
226,226,1859584,4.2,3.9,1.0,caveflyer
227,227,1867776,3.7,4.1,1.0,caveflyer
228,228,1875968,3.8,3.5,0.9974223971366882,caveflyer
229,229,1884160,3.4,3.8,0.989245593547821,caveflyer
230,230,1892352,3.9,4.5,0.9974610805511475,caveflyer
231,231,1900544,4.0,4.2,1.0,caveflyer
232,232,1908736,4.5,4.8,1.0,caveflyer
233,233,1916928,4.7,4.7,1.0,caveflyer
234,234,1925120,4.1,3.3,1.0,caveflyer
235,235,1933312,4.0,3.3,0.9916408658027649,caveflyer
236,236,1941504,3.9,3.3,0.9968228340148926,caveflyer
237,237,1949696,4.4,4.0,0.9977800846099854,caveflyer
238,238,1957888,4.6,4.4,1.0,caveflyer
239,239,1966080,4.2,4.6,0.9956395626068115,caveflyer
240,240,1974272,4.8,4.4,0.9942996501922607,caveflyer
241,241,1982464,4.7,4.6,0.9981384873390198,caveflyer
242,242,1990656,4.9,4.4,0.9960963129997253,caveflyer
243,243,1998848,4.6,4.7,0.9961291551589966,caveflyer
244,244,2007040,4.4,3.8,1.0,caveflyer
245,245,2015232,4.5,3.8,1.0,caveflyer
246,246,2023424,4.8,4.3,0.9956066608428955,caveflyer
247,247,2031616,5.2,4.8,1.0,caveflyer
248,248,2039808,4.5,5.2,1.0,caveflyer
249,249,2048000,4.4,4.7,0.9933905005455017,caveflyer
250,250,2056192,4.1,4.4,0.997259795665741,caveflyer
251,251,2064384,4.2,4.4,0.9975994229316711,caveflyer
252,252,2072576,3.8,4.3,0.9933908581733704,caveflyer
253,253,2080768,4.3,4.3,0.9975364208221436,caveflyer
254,254,2088960,4.4,3.7,1.0,caveflyer
255,255,2097152,4.4,3.7,0.9895668625831604,caveflyer
256,256,2105344,4.5,4.3,0.9914866089820862,caveflyer
257,257,2113536,4.9,4.4,0.9958992004394531,caveflyer
258,258,2121728,4.1,4.8,1.0,caveflyer
259,259,2129920,3.4,4.7,1.0,caveflyer
260,260,2138112,3.3,4.7,0.9968684911727905,caveflyer
261,261,2146304,3.9,4.6,0.9959091544151306,caveflyer
262,262,2154496,4.6,4.9,0.9965736865997314,caveflyer
263,263,2162688,4.8,5.3,1.0,caveflyer
264,264,2170880,5.1,4.9,0.9936070442199707,caveflyer
265,265,2179072,5.3,5.2,0.9976726770401001,caveflyer
266,266,2187264,5.5,4.9,0.9976536631584167,caveflyer
267,267,2195456,5.4,5.3,0.9940281510353088,caveflyer
268,268,2203648,4.6,4.5,0.9920097589492798,caveflyer
269,269,2211840,4.6,4.3,0.9991376399993896,caveflyer
270,270,2220032,4.9,3.8,0.9977611303329468,caveflyer
271,271,2228224,5.0,4.4,0.993630051612854,caveflyer
272,272,2236416,5.0,4.4,1.0,caveflyer
273,273,2244608,4.9,4.9,1.0,caveflyer
274,274,2252800,4.6,4.8,0.9983992576599121,caveflyer
275,275,2260992,3.9,4.7,1.0,caveflyer
276,276,2269184,4.2,3.8,1.0,caveflyer
277,277,2277376,4.4,3.4,0.9967294931411743,caveflyer
278,278,2285568,5.3,3.6,1.0,caveflyer
279,279,2293760,5.1,4.2,0.9971203804016113,caveflyer
280,280,2301952,5.2,3.8,1.0,caveflyer
281,281,2310144,4.9,4.2,0.9933639764785767,caveflyer
282,282,2318336,4.3,4.1,0.9936156868934631,caveflyer
283,283,2326528,4.5,4.2,1.0,caveflyer
284,284,2334720,5.3,3.9,0.9938381314277649,caveflyer
285,285,2342912,5.3,3.9,0.9966590404510498,caveflyer
286,286,2351104,5.3,3.8,1.0,caveflyer
287,287,2359296,5.1,3.5,0.9955869913101196,caveflyer
288,288,2367488,4.8,3.7,0.9935811161994934,caveflyer
289,289,2375680,5.3,4.0,0.9971176981925964,caveflyer
290,290,2383872,5.1,4.8,1.0,caveflyer
291,291,2392064,5.1,4.5,0.9437910318374634,caveflyer
292,292,2400256,5.0,5.1,0.9946853518486023,caveflyer
293,293,2408448,4.2,4.5,0.9972396492958069,caveflyer
294,294,2416640,4.2,4.0,0.9764926433563232,caveflyer
295,295,2424832,4.2,3.6,1.0,caveflyer
296,296,2433024,4.5,3.7,1.0,caveflyer
297,297,2441216,4.3,5.0,0.9913330078125,caveflyer
298,298,2449408,4.3,4.9,0.9975168108940125,caveflyer
299,299,2457600,4.6,5.1,1.0,caveflyer
300,300,2465792,4.7,4.6,1.0,caveflyer
301,301,2473984,4.8,4.4,0.9980400204658508,caveflyer
302,302,2482176,4.3,3.2,0.9977211356163025,caveflyer
303,303,2490368,4.6,2.9,0.9618579149246216,caveflyer
304,304,2498560,4.8,3.2,0.9926199316978455,caveflyer
305,305,2506752,5.2,3.5,0.9973031282424927,caveflyer
