,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,2.0,4.166666666666667,0.00240426161326468,caveflyer
1,1,16384,2.2222222222222223,3.6,-0.002133790170773864,caveflyer
2,2,24576,2.5714285714285716,4.0476190476190474,-0.013476056046783924,caveflyer
3,3,32768,2.1818181818181817,3.5,-0.01993708871304989,caveflyer
4,4,40960,2.5,3.3783783783783785,-0.0068851071409881115,caveflyer
5,5,49152,2.558139534883721,3.255813953488372,-0.02570856735110283,caveflyer
6,6,57344,2.6,3.1313131313131315,-0.05161938816308975,caveflyer
7,7,65536,2.5,3.2,-0.0013345422921702266,caveflyer
8,8,73728,2.6,3.0,-0.03156263381242752,caveflyer
9,9,81920,2.9,2.8,-0.017234336584806442,caveflyer
10,10,90112,3.1,2.6,-0.027229752391576767,caveflyer
11,11,98304,3.6,3.0,-0.03482826426625252,caveflyer
12,12,106496,3.9,3.0,-0.0027066434267908335,caveflyer
13,13,114688,4.0,2.6,-0.04467257112264633,caveflyer
14,14,122880,4.4,2.9,-0.03434773534536362,caveflyer
15,15,131072,4.5,3.1,-0.038683533668518066,caveflyer
16,16,139264,4.2,2.7,-0.04884547367691994,caveflyer
17,17,147456,3.7,3.3,-0.033483825623989105,caveflyer
18,18,155648,3.9,3.2,-0.01585250161588192,caveflyer
19,19,163840,3.7,2.9,-0.031154870986938477,caveflyer
20,20,172032,3.2,3.4,-0.02138938568532467,caveflyer
21,21,180224,3.2,3.6,-0.0751219391822815,caveflyer
22,22,188416,3.6,3.1,-0.03461670130491257,caveflyer
23,23,196608,3.8,3.2,-0.07005806267261505,caveflyer
24,24,204800,3.9,3.2,-0.06942340731620789,caveflyer
25,25,212992,4.0,3.4,-0.0550650916993618,caveflyer
26,26,221184,3.5,3.9,-0.0694168284535408,caveflyer
27,27,229376,3.4,3.9,-0.050216879695653915,caveflyer
28,28,237568,3.1,3.9,-0.06498301774263382,caveflyer
29,29,245760,3.5,3.7,-0.08042485266923904,caveflyer
30,30,253952,4.2,3.9,-0.07140887528657913,caveflyer
31,31,262144,3.8,4.2,-0.08124871551990509,caveflyer
32,32,270336,3.6,4.5,-0.06994462013244629,caveflyer
33,33,278528,3.5,4.4,-0.05480199307203293,caveflyer
34,34,286720,3.6,4.5,-0.07580818980932236,caveflyer
35,35,294912,4.0,4.1,-0.025589343160390854,caveflyer
36,36,303104,4.0,4.1,-0.024142729118466377,caveflyer
37,37,311296,4.2,3.6,-0.07361570745706558,caveflyer
38,38,319488,4.1,3.7,-0.05421227216720581,caveflyer
39,39,327680,3.99818858,3.6,-0.07138411700725555,caveflyer
40,40,335872,4.29818858,3.5,-0.0477784238755703,caveflyer
41,41,344064,3.7981885799999997,3.69857438,-0.09965872764587402,caveflyer
42,42,352256,3.7981885799999997,3.29857438,-0.10187715291976929,caveflyer
43,43,360448,4.0957082399999996,3.09630943,-0.10159578174352646,caveflyer
44,44,368640,3.49751966,2.79630943,-0.08209504932165146,caveflyer
45,45,376832,3.6975196599999998,3.19630943,-0.0607130229473114,caveflyer
46,46,385024,3.99422348,3.49773505,-0.0586664080619812,caveflyer
47,47,393216,4.29422348,4.3,-0.05710168555378914,caveflyer
48,48,401408,4.69670382,4.4,-0.06783262640237808,caveflyer
49,49,409600,5.19670382,3.8,-0.07437467575073242,caveflyer
50,50,417792,4.6,3.6,-0.07884632796049118,caveflyer
51,51,425984,4.3,3.5,-0.06674876064062119,caveflyer
52,52,434176,4.4,3.6,-0.07398497313261032,caveflyer
53,53,442368,3.6,3.9,-0.04921448230743408,caveflyer
54,54,450560,4.0,3.3,-0.06690805405378342,caveflyer
55,55,458752,4.3,3.5,-0.05408420041203499,caveflyer
56,56,466944,4.0,3.8,-0.03272455558180809,caveflyer
57,57,475136,4.3,3.8,-0.05807776004076004,caveflyer
58,58,483328,3.9,3.6,-0.04086863622069359,caveflyer
59,59,491520,3.5,3.7,-0.046456098556518555,caveflyer
60,60,499712,3.68441689,3.69510835,-0.02168978750705719,caveflyer
61,61,507904,3.87607194,3.3951083499999997,-0.05336200073361397,caveflyer
62,62,516096,3.87607194,3.18050929,-0.02750856801867485,caveflyer
63,63,524288,4.94823269,3.38050929,-0.012266016565263271,caveflyer
64,64,532480,4.77216075,3.3854009400000002,-0.03505660593509674,caveflyer
65,65,540672,4.86181237,3.48899679,-0.03191598132252693,caveflyer
66,66,548864,4.75118918,3.39410151,-0.008774586021900177,caveflyer
67,67,557056,4.06948108,3.19410151,-0.02933494746685028,caveflyer
68,68,565248,3.86842141,3.68836279,-0.04311235621571541,caveflyer
69,69,573440,4.66640205,3.4875547900000003,-0.02880704775452614,caveflyer
70,70,581632,4.96640205,3.8744645600000003,-0.028867458924651146,caveflyer
71,71,589824,5.16640205,4.08020328,-0.025769440457224846,caveflyer
72,72,598016,4.37584022,4.58690977,-0.034429606050252914,caveflyer
73,73,606208,3.98762207,4.8,-0.005668018478900194,caveflyer
74,74,614400,3.6876220699999998,4.7,-0.017917247489094734,caveflyer
75,75,622592,3.98762207,4.3,-0.013744503259658813,caveflyer
76,76,630784,4.48741765,4.0,-0.015667781233787537,caveflyer
77,77,638976,4.98741765,4.1,-0.011618833057582378,caveflyer
78,78,647168,4.88741765,3.99100127,-0.027595916762948036,caveflyer
79,79,655360,4.38654761,3.7910012699999998,-0.012790508568286896,caveflyer
80,80,663552,4.38654761,3.8812235399999997,-0.006594282574951649,caveflyer
81,81,671744,3.88654761,3.8812235399999997,0.006598704028874636,caveflyer
82,82,679936,3.98654761,3.69022227,-0.01807606965303421,caveflyer
83,83,688128,4.3,3.9796819899999996,-0.04667024686932564,caveflyer
84,84,696320,3.67242948,3.87927457,-0.010801874101161957,caveflyer
85,85,704512,3.9583369600000005,3.67927457,-0.04155567288398743,caveflyer
86,86,712704,3.85833696,3.88981485,-0.027100805193185806,caveflyer
87,87,720896,4.55833696,4.47679555,0.0031956068705767393,caveflyer
88,88,729088,4.54405334,4.8649517200000005,-0.01795210875570774,caveflyer
89,89,737280,4.65739289,4.35308345,-0.012211029417812824,caveflyer
90,90,745472,3.7572855900000004,4.05308345,-0.033469874411821365,caveflyer
91,91,753664,3.05728559,3.9644084999999993,-0.006414858624339104,caveflyer
92,92,761856,3.1858001799999998,3.47625233,-0.02475714311003685,caveflyer
93,93,770048,3.48580018,4.0881206,-0.01839536428451538,caveflyer
94,94,778240,3.7,4.0881206,-0.002434506081044674,caveflyer
95,95,786432,4.2,4.1,-0.00666681956499815,caveflyer
96,96,794624,4.3,4.4,-0.006855574902147055,caveflyer
97,97,802816,4.5,3.9,-0.0036434968933463097,caveflyer
98,98,811008,3.9,3.8875924900000003,-0.0010536601766943932,caveflyer
99,99,819200,3.9,3.48759249,-0.00492542888969183,caveflyer
