,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,12.014724637931032,12.799747275862067,-0.07513773441314697,chaser
1,1,16384,6.189358430000001,6.566628790000001,-0.10868982970714569,chaser
2,2,24576,4.99317493,4.88671855,-0.1539532095193863,chaser
3,3,32768,4.790352759999999,4.669250589999999,-0.1244579553604126,chaser
4,4,40960,4.768776360000001,4.39266536,-0.07057768106460571,chaser
5,5,49152,4.67124396,4.34916484,-0.08647490292787552,chaser
6,6,57344,4.595699140000001,4.71525014,-0.1432868093252182,chaser
7,7,65536,4.65873879,4.99172311,0.9801121950149536,chaser
8,8,73728,4.8613665600000004,4.88883745,1.0,chaser
9,9,81920,4.8446308700000005,4.53704175,1.0,chaser
10,10,90112,4.546974850000001,4.823148059999999,1.0,chaser
11,11,98304,4.441007699999999,4.98344734,1.0,chaser
12,12,106496,4.987279930000001,4.90060203,1.0,chaser
13,13,114688,5.331691029999999,4.7767522499999995,1.0,chaser
14,14,122880,4.954018329999999,4.757613770000001,1.0,chaser
15,15,131072,5.00362313,4.63448194,1.0,chaser
16,16,139264,4.776981119999999,4.75519389,1.0,chaser
17,17,147456,4.1497616399999995,4.56841089,1.0,chaser
18,18,155648,4.3471164600000005,4.6261269700000005,1.0,chaser
19,19,163840,4.85022627,4.9762581,1.0,chaser
20,20,172032,4.89057391,4.852652460000001,1.0,chaser
21,21,180224,4.67540275,5.0308427899999995,1.0,chaser
22,22,188416,4.394234600000001,4.84610512,1.0,chaser
23,23,196608,4.6077378300000005,4.80892275,1.0,chaser
24,24,204800,4.97630884,4.94703967,1.0,chaser
25,25,212992,5.242245029999999,4.89202429,1.0,chaser
26,26,221184,5.0141846899999996,4.76153922,1.0,chaser
27,27,229376,5.071313819999999,4.7240062599999995,1.0,chaser
28,28,237568,4.71607793,4.808255020000001,1.0,chaser
29,29,245760,4.8226865299999995,4.5309959200000005,1.0,chaser
30,30,253952,4.9669703300000005,4.9425324900000005,1.0,chaser
31,31,262144,5.193343379999999,5.12300484,1.0,chaser
32,32,270336,5.17785579,5.138477190000001,1.0,chaser
33,33,278528,4.658843130000001,4.88581475,1.0,chaser
34,34,286720,4.305142569999999,4.8901392,1.0,chaser
35,35,294912,4.97734047,4.926239509999999,1.0,chaser
36,36,303104,4.695879699999999,4.67971761,1.0,chaser
37,37,311296,4.90040825,5.13506799,1.0,chaser
38,38,319488,4.72667814,5.09066873,1.0,chaser
39,39,327680,4.51866092,4.75077225,1.0,chaser
40,40,335872,4.913650520000001,5.117404369999999,1.0,chaser
41,41,344064,4.96475444,5.052189909999999,1.0,chaser
42,42,352256,5.049126820000001,5.617268009999999,1.0,chaser
43,43,360448,5.11664786,5.7378886399999995,1.0,chaser
44,44,368640,5.06691587,5.3046327600000005,1.0,chaser
45,45,376832,5.09928896,5.11913231,1.0,chaser
46,46,385024,5.5758428,5.41505535,1.0,chaser
47,47,393216,6.189805900000001,5.59608968,1.0,chaser
48,48,401408,5.81967644,5.6028877800000005,1.0,chaser
49,49,409600,5.68656188,5.22836248,1.0,chaser
50,50,417792,5.805134939999999,5.13399772,1.0,chaser
51,51,425984,5.368044609999999,4.88962994,1.0,chaser
52,52,434176,5.17373268,4.7217146,1.0,chaser
53,53,442368,4.979757429999999,5.204025710000001,1.0,chaser
54,54,450560,4.828333300000001,5.004363519999999,1.0,chaser
55,55,458752,4.84337149,5.23845938,1.0,chaser
56,56,466944,5.52221325,5.300012370000002,1.0,chaser
57,57,475136,5.090589679999999,5.459988310000001,1.0,chaser
58,58,483328,4.96787401,5.160375529999999,1.0,chaser
59,59,491520,5.59636805,5.316487029999999,1.0,chaser
