,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,10.398985596153846,12.498608694915255,0.87656170129776,chaser
1,1,16384,6.886641710000001,5.7077453,1.0,chaser
2,2,24576,4.552209990000001,4.935923529999999,1.0,chaser
3,3,32768,4.76304324,4.53981863,1.0,chaser
4,4,40960,5.13221085,5.1208492,1.0,chaser
5,5,49152,5.2256753400000004,4.70908101,1.0,chaser
6,6,57344,4.637318189999999,4.642995,1.0,chaser
7,7,65536,4.98019952,4.72065039,1.0,chaser
8,8,73728,4.78103292,4.895085160000001,1.0,chaser
9,9,81920,4.75142945,4.83236235,1.0,chaser
10,10,90112,4.7403337400000005,4.80029254,1.0,chaser
11,11,98304,4.88766558,4.892827369999999,1.0,chaser
12,12,106496,4.765527979999999,5.03058877,1.0,chaser
13,13,114688,4.637456749999999,5.18785748,1.0,chaser
14,14,122880,4.30091268,5.0496532300000005,1.0,chaser
15,15,131072,4.56484471,5.13510468,1.0,chaser
16,16,139264,4.195749299999999,5.07212439,1.0,chaser
17,17,147456,4.46944139,4.80811074,1.0,chaser
18,18,155648,4.66656134,4.415475340000001,1.0,chaser
19,19,163840,4.75812025,4.5327774000000005,1.0,chaser
20,20,172032,4.689913549999999,4.8254741,1.0,chaser
21,21,180224,5.276241470000001,5.02312246,1.0,chaser
22,22,188416,5.277378199999999,4.81861249,1.0,chaser
23,23,196608,4.953660170000001,4.70550214,1.0,chaser
24,24,204800,4.78264349,4.912637,1.0,chaser
25,25,212992,4.6239354200000005,4.72294078,1.0,chaser
26,26,221184,5.0397925699999995,4.96618442,1.0,chaser
27,27,229376,5.436676100000001,5.3505748099999995,1.0,chaser
28,28,237568,5.005620820000001,5.12905748,1.0,chaser
29,29,245760,5.13287901,5.02080053,1.0,chaser
30,30,253952,4.86907442,5.302567020000001,1.0,chaser
31,31,262144,4.43855415,5.16363293,1.0,chaser
32,32,270336,4.9090508999999996,5.48477843,1.0,chaser
33,33,278528,5.20910872,5.738170100000001,1.0,chaser
34,34,286720,5.27112177,5.5331921,1.0,chaser
35,35,294912,5.10676879,5.42973601,1.0,chaser
36,36,303104,5.56340334,5.5252967,1.0,chaser
37,37,311296,5.10730908,5.82257293,1.0,chaser
38,38,319488,5.113190360000001,5.170300650000001,1.0,chaser
39,39,327680,5.428534910000001,5.10416828,1.0,chaser
40,40,335872,5.472794429999999,5.4605406400000005,1.0,chaser
41,41,344064,5.456675270000001,6.078958309999999,1.0,chaser
42,42,352256,5.8306262700000016,5.4643070499999995,1.0,chaser
43,43,360448,6.062033050000001,5.796132210000001,1.0,chaser
44,44,368640,5.76929016,5.57819699,1.0,chaser
45,45,376832,5.52557562,5.27676599,1.0,chaser
46,46,385024,5.405559550000001,5.523236959999999,1.0,chaser
47,47,393216,5.491235660000001,5.423476870000001,1.0,chaser
48,48,401408,5.339140880000002,5.44159059,1.0,chaser
49,49,409600,5.653980369999999,5.7522614,1.0,chaser
50,50,417792,6.150779969999999,5.738195909999999,1.0,chaser
51,51,425984,5.753514310000001,5.237352530000001,1.0,chaser
52,52,434176,5.22481921,5.41784471,1.0,chaser
53,53,442368,4.84758934,5.84545259,1.0,chaser
54,54,450560,4.9675201200000005,5.72704715,1.0,chaser
55,55,458752,5.63802377,5.61438553,1.0,chaser
56,56,466944,5.438627389999999,5.293339270000001,1.0,chaser
57,57,475136,5.17776029,5.35398798,1.0,chaser
58,58,483328,5.81574641,5.378629370000001,1.0,chaser
59,59,491520,5.65163264,5.182121980000002,1.0,chaser
60,60,499712,4.8891792700000005,5.549935349999999,1.0,chaser
61,61,507904,5.13782511,5.56292964,1.0,chaser
62,62,516096,5.3831864000000005,5.529663329999998,1.0,chaser
63,63,524288,5.254894879999999,5.3856059300000005,1.0,chaser
64,64,532480,5.50106428,5.538669080000001,1.0,chaser
65,65,540672,5.5819851599999994,5.56803846,1.0,chaser
66,66,548864,5.605296000000001,4.96870776,1.0,chaser
67,67,557056,5.890912360000001,5.248408309999999,1.0,chaser
68,68,565248,5.568751329999999,5.676266469999999,1.0,chaser
69,69,573440,5.12723963,5.540510069999999,1.0,chaser
70,70,581632,5.256311360000001,5.219173530000001,1.0,chaser
71,71,589824,5.6183283799999995,5.306010040000001,1.0,chaser
72,72,598016,5.593443429999999,5.585698300000001,1.0,chaser
73,73,606208,5.75102144,5.808989329999998,1.0,chaser
74,74,614400,5.35223349,5.2541381299999985,1.0,chaser
75,75,622592,5.10020463,4.795697559999999,1.0,chaser
76,76,630784,5.42145635,4.71047412,1.0,chaser
77,77,638976,5.803076539999999,5.13376921,1.0,chaser
78,78,647168,5.15800057,5.20474961,1.0,chaser
79,79,655360,5.1366368,4.98022631,1.0,chaser
80,80,663552,5.38390263,4.868678469999999,1.0,chaser
81,81,671744,5.279223580000002,5.0155017299999995,1.0,chaser
82,82,679936,5.2860799599999995,5.191279440000001,1.0,chaser
83,83,688128,5.964687520000001,4.956072280000001,1.0,chaser
84,84,696320,5.458639689999999,5.45373368,1.0,chaser
85,85,704512,5.09123952,5.18492718,1.0,chaser
86,86,712704,5.13990754,4.57760474,1.0,chaser
87,87,720896,5.090793820000001,4.9484226300000005,1.0,chaser
88,88,729088,5.24938121,5.02890626,1.0,chaser
89,89,737280,4.98567348,5.12930349,1.0,chaser
90,90,745472,5.009755269999999,4.96631953,1.0,chaser
91,91,753664,5.16102784,4.22884663,1.0,chaser
92,92,761856,4.78709402,4.567947419999999,1.0,chaser
93,93,770048,4.88139578,4.82960412,1.0,chaser
94,94,778240,5.12171193,4.762600460000001,1.0,chaser
95,95,786432,5.02661527,4.4811925200000005,1.0,chaser
96,96,794624,4.88702965,4.8246984,1.0,chaser
97,97,802816,4.8940043200000005,4.6391184800000005,1.0,chaser
98,98,811008,5.15263278,4.641414029999999,1.0,chaser
99,99,819200,5.18859784,4.86496361,1.0,chaser
100,100,827392,5.43988675,4.520395390000001,1.0,chaser
101,101,835584,5.32649536,4.373393049999999,1.0,chaser
102,102,843776,4.90128336,4.87539791,1.0,chaser
103,103,851968,5.127329269999999,5.268413720000001,1.0,chaser
104,104,860160,5.023648000000001,5.21405222,1.0,chaser
105,105,868352,5.265632460000002,5.86749644,1.0,chaser
106,106,876544,5.489268460000001,5.537174009999998,1.0,chaser
107,107,884736,5.42677344,5.106087349999999,1.0,chaser
108,108,892928,5.11291014,5.2180976,1.0,chaser
109,109,901120,4.92335254,4.792331669999999,1.0,chaser
110,110,909312,5.25039162,4.640851860000001,1.0,chaser
111,111,917504,5.12466052,4.6126713,1.0,chaser
112,112,925696,5.390847139999998,4.8785171400000005,1.0,chaser
113,113,933888,4.449406659999999,4.7768918,1.0,chaser
114,114,942080,4.367307670000001,4.53372114,1.0,chaser
115,115,950272,5.05091228,4.733321200000001,1.0,chaser
116,116,958464,4.9239390400000005,4.74118914,1.0,chaser
117,117,966656,4.70990854,4.732758619999999,1.0,chaser
118,118,974848,4.66062141,4.6145033699999995,1.0,chaser
119,119,983040,4.981866909999999,4.82723505,1.0,chaser
120,120,991232,4.902743249999999,4.68497563,1.0,chaser
121,121,999424,5.1515966099999995,4.986393990000001,1.0,chaser
122,122,1007616,4.65367253,4.77716909,1.0,chaser
123,123,1015808,4.92391356,4.63695099,1.0,chaser
124,124,1024000,5.4389502400000005,4.820729430000001,1.0,chaser
125,125,1032192,5.50164208,4.801401869999999,1.0,chaser
