,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,12.006775694915254,9.36191,-0.16779248416423798,chaser
1,1,16384,5.783811409999998,6.953178230000001,-0.14753994345664978,chaser
2,2,24576,4.725467259999999,5.41245411,-0.16752056777477264,chaser
3,3,32768,4.9201343600000005,4.81483338,-0.15206550061702728,chaser
4,4,40960,4.8381524,4.739307590000001,-0.14984479546546936,chaser
5,5,49152,4.39216128,4.9468913699999995,-0.12838239967823029,chaser
6,6,57344,4.347581160000001,5.23405545,-0.17313463985919952,chaser
7,7,65536,4.785737510000001,4.48695782,-0.15801221132278442,chaser
8,8,73728,4.857704920000001,4.3791559,-0.1687030792236328,chaser
9,9,81920,4.59285911,4.6816759,-0.17157979309558868,chaser
10,10,90112,4.76881209,4.42919536,-0.180749773979187,chaser
11,11,98304,5.00528476,5.003638540000001,-0.16584962606430054,chaser
12,12,106496,4.7086454600000005,4.958981910000001,-0.15213806927204132,chaser
13,13,114688,4.63016697,4.59064614,-0.14874352514743805,chaser
14,14,122880,4.75054466,4.557391190000001,-0.16143040359020233,chaser
15,15,131072,4.81802508,5.00132978,-0.1538241058588028,chaser
16,16,139264,4.7268982699999995,4.7999811999999995,-0.12587565183639526,chaser
17,17,147456,4.88075938,4.42294148,-0.14512532949447632,chaser
18,18,155648,4.863943440000001,4.58009522,-0.14098910987377167,chaser
19,19,163840,4.60245117,4.999770570000001,-0.160004124045372,chaser
20,20,172032,4.7113166600000005,4.88871185,-0.09692724794149399,chaser
21,21,180224,5.02180561,4.68113073,-0.08257899433374405,chaser
22,22,188416,4.6152719300000005,4.96817814,-0.13378876447677612,chaser
23,23,196608,4.77863469,4.5705956699999994,-0.1177598088979721,chaser
24,24,204800,4.69029416,4.65095505,-0.07456199079751968,chaser
25,25,212992,4.41439042,4.636304620000001,-0.1545834094285965,chaser
26,26,221184,4.455663990000001,4.6981125,-0.16026543080806732,chaser
27,27,229376,4.971434210000001,4.6656673799999995,-0.12336218357086182,chaser
28,28,237568,5.1789432799999995,4.6535993,1.0,chaser
29,29,245760,4.59363161,5.08425029,1.0,chaser
30,30,253952,4.46060996,4.82170253,1.0,chaser
31,31,262144,4.55390654,4.670423099999999,1.0,chaser
32,32,270336,4.144200479999999,4.61522691,1.0,chaser
33,33,278528,4.30473168,4.55422077,1.0,chaser
34,34,286720,4.542826059999999,4.62751798,1.0,chaser
35,35,294912,4.64391317,4.794153830000001,1.0,chaser
36,36,303104,4.59336657,4.88905084,1.0,chaser
37,37,311296,4.861597389999999,4.85810348,1.0,chaser
38,38,319488,4.68771157,5.07273931,1.0,chaser
39,39,327680,4.74207079,4.84490451,1.0,chaser
40,40,335872,4.590467579999999,4.5665527500000005,1.0,chaser
41,41,344064,4.87141973,4.28298703,1.0,chaser
42,42,352256,4.921683949999999,4.448023109999999,1.0,chaser
43,43,360448,5.08754562,4.81972783,1.0,chaser
44,44,368640,5.027089759999999,5.0560193600000005,1.0,chaser
45,45,376832,5.13995463,4.78201327,1.0,chaser
46,46,385024,4.91233614,4.788613010000001,1.0,chaser
47,47,393216,4.85907058,4.85513904,1.0,chaser
48,48,401408,4.86186747,4.19730356,1.0,chaser
49,49,409600,4.744537060000001,4.58008147,1.0,chaser
50,50,417792,5.00100684,4.55755593,1.0,chaser
51,51,425984,4.568790910000001,4.7717541400000005,1.0,chaser
52,52,434176,4.34725853,4.845581189999999,1.0,chaser
53,53,442368,4.55890788,5.039029790000001,1.0,chaser
54,54,450560,4.924085819999999,5.5780817,1.0,chaser
55,55,458752,4.69125613,5.33826603,1.0,chaser
56,56,466944,4.9764878900000005,5.528386189999999,1.0,chaser
57,57,475136,4.872044460000001,5.6086693300000015,1.0,chaser
58,58,483328,4.557508009999999,5.16862317,1.0,chaser
59,59,491520,5.04616407,5.15306038,1.0,chaser
60,60,499712,5.34135381,4.901991730000001,1.0,chaser
61,61,507904,5.06770543,4.86117373,1.0,chaser
62,62,516096,5.11147136,4.90571566,1.0,chaser
63,63,524288,4.94618224,4.993888879999999,1.0,chaser
64,64,532480,4.74325486,5.0947162,1.0,chaser
65,65,540672,4.96737081,5.163835420000001,1.0,chaser
66,66,548864,5.14502075,4.839112520000001,1.0,chaser
67,67,557056,4.92382415,4.62294708,1.0,chaser
68,68,565248,4.8203889900000005,4.7478264900000005,1.0,chaser
69,69,573440,4.789651800000001,4.77109357,1.0,chaser
70,70,581632,4.827241369999999,4.90204446,1.0,chaser
71,71,589824,4.714577220000001,4.846544119999999,1.0,chaser
72,72,598016,4.83245305,4.81887906,0.9981020092964172,chaser
73,73,606208,4.665189150000001,4.77718729,1.0,chaser
74,74,614400,4.70455601,5.1619676299999995,1.0,chaser
75,75,622592,4.69836697,5.23881866,1.0,chaser
76,76,630784,4.36619091,4.988338380000001,1.0,chaser
77,77,638976,4.7572493300000005,5.09688378,1.0,chaser
78,78,647168,5.291714809999999,5.006881250000001,1.0,chaser
79,79,655360,5.10755271,5.13179928,1.0,chaser
80,80,663552,5.029737629999999,5.06107419,1.0,chaser
81,81,671744,5.3062511400000005,5.460880120000001,1.0,chaser
82,82,679936,4.82058733,5.04729393,1.0,chaser
83,83,688128,4.9050859099999995,4.646763709999999,1.0,chaser
84,84,696320,4.79107745,4.66915003,1.0,chaser
85,85,704512,4.83738241,4.66569554,1.0,chaser
86,86,712704,4.71303758,4.4759981699999996,1.0,chaser
87,87,720896,4.71878879,4.751332799999999,1.0,chaser
88,88,729088,5.20834725,4.9011362300000005,1.0,chaser
89,89,737280,5.069622069999999,4.970832479999999,1.0,chaser
90,90,745472,5.3309288000000015,4.87590941,1.0,chaser
91,91,753664,5.010641730000001,5.05219381,1.0,chaser
92,92,761856,5.00995301,5.462254550000001,1.0,chaser
93,93,770048,4.44788097,4.77454225,1.0,chaser
94,94,778240,4.7715561200000005,4.749953179999999,1.0,chaser
95,95,786432,4.939990140000001,4.97140977,1.0,chaser
96,96,794624,4.93413999,4.71381979,1.0,chaser
97,97,802816,5.249341709999999,5.22029748,1.0,chaser
98,98,811008,5.307353409999999,5.27892366,1.0,chaser
99,99,819200,5.14875469,4.88590277,1.0,chaser
100,100,827392,6.44153928,5.1761444800000005,1.0,chaser
101,101,835584,5.964858319999999,4.90005826,1.0,chaser
102,102,843776,5.511794600000001,5.0004718200000005,1.0,chaser
103,103,851968,5.24991455,5.219196880000001,1.0,chaser
104,104,860160,5.23844929,5.4172843,1.0,chaser
105,105,868352,5.40447682,6.22965761,1.0,chaser
106,106,876544,5.874337069999999,5.51596267,1.0,chaser
107,107,884736,5.71776464,4.780006359999999,1.0,chaser
108,108,892928,5.677980480000001,5.56975685,1.0,chaser
109,109,901120,5.374559399999999,6.133595420000001,1.0,chaser
110,110,909312,5.11704316,5.671761219999999,1.0,chaser
111,111,917504,5.165651130000001,5.4028836,1.0,chaser
112,112,925696,5.421338469999999,5.0777437999999995,1.0,chaser
113,113,933888,5.140331799999999,4.86818196,1.0,chaser
114,114,942080,5.471600929999999,4.80388004,1.0,chaser
115,115,950272,5.5130184,5.3998919,1.0,chaser
116,116,958464,4.86885452,5.8021727300000006,1.0,chaser
117,117,966656,5.15468258,5.247409869999999,1.0,chaser
118,118,974848,5.08520329,5.394776159999999,1.0,chaser
119,119,983040,5.374005639999999,5.289665159999999,1.0,chaser
120,120,991232,5.3517261099999995,5.304658640000001,1.0,chaser
121,121,999424,4.83658887,5.3799025600000006,1.0,chaser
122,122,1007616,4.9196703500000005,5.34319423,1.0,chaser
123,123,1015808,4.754276699999999,5.3600864,1.0,chaser
124,124,1024000,5.13428184,5.2366698199999995,1.0,chaser
125,125,1032192,4.91970868,5.224114760000001,1.0,chaser
126,126,1040384,4.48356542,4.9109307200000005,1.0,chaser
127,127,1048576,4.837693089999999,4.725493660000001,1.0,chaser
128,128,1056768,4.97711497,5.09600519,1.0,chaser
129,129,1064960,4.73083988,4.94854298,1.0,chaser
130,130,1073152,4.544279,4.8907252,1.0,chaser
131,131,1081344,5.0435709399999995,4.76806393,1.0,chaser
132,132,1089536,5.7414982299999995,4.86744171,1.0,chaser
133,133,1097728,5.14316152,4.75839828,1.0,chaser
134,134,1105920,4.91242955,4.80003967,1.0,chaser
135,135,1114112,5.053373410000001,4.790572750000001,1.0,chaser
136,136,1122304,5.1874905899999995,4.620446589999999,1.0,chaser
137,137,1130496,5.05834244,4.858821229999999,1.0,chaser
138,138,1138688,4.1784753,4.68615048,1.0,chaser
139,139,1146880,4.65497971,4.76339661,1.0,chaser
140,140,1155072,4.44889544,4.75297601,1.0,chaser
141,141,1163264,4.583106369999999,4.484586050000001,1.0,chaser
142,142,1171456,5.05778585,5.04643194,1.0,chaser
143,143,1179648,5.516469000000001,5.56824604,1.0,chaser
144,144,1187840,5.367240980000002,5.2074014,1.0,chaser
145,145,1196032,4.41608747,4.959840830000001,1.0,chaser
146,146,1204224,4.946078019999999,5.293078760000002,1.0,chaser
147,147,1212416,5.19836945,5.3324234100000005,1.0,chaser
148,148,1220608,5.517305250000001,5.008401339999999,1.0,chaser
149,149,1228800,4.934275250000001,5.41684242,1.0,chaser
150,150,1236992,5.48181109,5.24480788,1.0,chaser
151,151,1245184,5.374450569999999,5.390172619999999,1.0,chaser
152,152,1253376,4.83868962,5.58871729,1.0,chaser
153,153,1261568,4.747674750000001,5.142021490000001,1.0,chaser
154,154,1269760,4.6630223,5.3587374599999995,1.0,chaser
155,155,1277952,4.70870082,5.167932730000001,1.0,chaser
156,156,1286144,4.66664366,4.560363420000001,1.0,chaser
157,157,1294336,4.92608226,4.8392789,1.0,chaser
