,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,11.748247999999997,10.136457910714284,-0.1032264307141304,chaser
1,1,16384,6.46826143,5.450256109999999,0.9357320070266724,chaser
2,2,24576,4.3878854899999995,4.9039395400000005,1.0,chaser
3,3,32768,4.11559303,5.39503004,1.0,chaser
4,4,40960,4.106501679999999,4.48051813,1.0,chaser
5,5,49152,4.57358056,4.634448910000001,1.0,chaser
6,6,57344,4.5862488500000005,4.76532688,1.0,chaser
7,7,65536,4.652298249999999,5.10818763,1.0,chaser
8,8,73728,4.78536089,4.952839740000001,1.0,chaser
9,9,81920,4.640086440000001,4.7396493799999995,1.0,chaser
10,10,90112,4.413207949999999,4.64776392,1.0,chaser
11,11,98304,4.49774121,4.56358973,1.0,chaser
12,12,106496,5.012172660000001,4.751785430000001,1.0,chaser
13,13,114688,5.12411578,4.59725276,1.0,chaser
14,14,122880,4.8070121299999995,4.790223619999999,1.0,chaser
15,15,131072,4.817974680000001,4.817474109999999,1.0,chaser
16,16,139264,4.95308831,5.06687756,1.0,chaser
17,17,147456,5.09018375,4.68024398,1.0,chaser
18,18,155648,4.41003345,4.805714200000001,1.0,chaser
19,19,163840,4.2790184899999995,4.69002114,1.0,chaser
20,20,172032,4.6139512400000005,4.5785266700000005,1.0,chaser
21,21,180224,4.92509089,4.65603964,1.0,chaser
22,22,188416,5.20935879,5.09727516,1.0,chaser
23,23,196608,5.2368956,5.137179860000001,1.0,chaser
24,24,204800,4.6707523,5.06341021,1.0,chaser
25,25,212992,4.41856086,4.876162750000001,1.0,chaser
26,26,221184,4.5725552700000005,5.26736021,1.0,chaser
27,27,229376,4.670403289999999,4.65465511,1.0,chaser
28,28,237568,4.674151660000001,4.8299369,1.0,chaser
29,29,245760,5.32656365,5.0255122100000005,1.0,chaser
30,30,253952,5.46482431,5.046972820000001,1.0,chaser
31,31,262144,5.30781221,5.142575079999999,1.0,chaser
32,32,270336,5.2944841600000005,4.88928855,1.0,chaser
33,33,278528,4.75976188,4.523838069999999,1.0,chaser
34,34,286720,4.838542209999999,4.5808328000000005,1.0,chaser
35,35,294912,4.7162786,4.827000109999999,1.0,chaser
36,36,303104,4.878138109999998,5.22473313,1.0,chaser
37,37,311296,4.82229652,5.336431119999999,1.0,chaser
38,38,319488,4.29443389,5.052997390000001,1.0,chaser
39,39,327680,4.78028854,4.45496715,1.0,chaser
40,40,335872,4.7313136600000005,4.851912179999999,1.0,chaser
41,41,344064,4.30602977,4.93703775,1.0,chaser
42,42,352256,4.50550299,4.43244482,1.0,chaser
43,43,360448,5.16439389,4.76345041,1.0,chaser
44,44,368640,4.95552012,4.999761169999998,1.0,chaser
45,45,376832,4.520971879999999,4.86741107,1.0,chaser
46,46,385024,4.71620467,4.676078520000001,1.0,chaser
47,47,393216,4.93641728,4.343854400000001,1.0,chaser
48,48,401408,4.945240480000001,4.761301939999999,1.0,chaser
49,49,409600,5.114845470000001,5.04225392,1.0,chaser
50,50,417792,5.083671020000001,5.021182329999999,1.0,chaser
51,51,425984,5.547671549999999,5.274419939999999,1.0,chaser
52,52,434176,5.02081345,5.24124055,1.0,chaser
53,53,442368,4.625001500000001,5.17567204,1.0,chaser
54,54,450560,4.987297409999999,5.10703705,1.0,chaser
55,55,458752,4.813846760000001,4.535411160000001,1.0,chaser
56,56,466944,4.966066560000001,4.427430179999999,1.0,chaser
57,57,475136,4.8983510599999995,4.59830945,1.0,chaser
58,58,483328,4.80628527,4.436963500000001,1.0,chaser
59,59,491520,4.98459564,4.83437725,1.0,chaser
60,60,499712,5.294863329999999,5.834601,1.0,chaser
61,61,507904,5.14547662,5.6506723800000005,1.0,chaser
62,62,516096,5.37031584,5.37879321,1.0,chaser
63,63,524288,4.79634974,4.7336793,1.0,chaser
64,64,532480,4.8763862,5.1070277100000006,1.0,chaser
65,65,540672,5.008990170000001,5.4689070399999995,1.0,chaser
66,66,548864,4.84193536,5.316625949999999,1.0,chaser
67,67,557056,5.21135159,5.39500722,1.0,chaser
68,68,565248,5.464585370000001,5.38443634,1.0,chaser
69,69,573440,4.9974183299999995,5.541562409999999,1.0,chaser
70,70,581632,5.46984958,5.35737154,1.0,chaser
71,71,589824,5.497335510000003,5.69654045,1.0,chaser
72,72,598016,5.67318362,5.5284087,1.0,chaser
73,73,606208,5.59719251,5.859089279999999,1.0,chaser
74,74,614400,5.919391150000001,5.766550989999998,1.0,chaser
75,75,622592,5.6928034799999985,5.0184397800000005,1.0,chaser
76,76,630784,5.554065990000001,5.162053759999999,1.0,chaser
77,77,638976,5.546921539999999,5.394202999999999,1.0,chaser
78,78,647168,5.647909090000001,5.289451879999999,1.0,chaser
79,79,655360,5.568900620000001,5.3261736,1.0,chaser
80,80,663552,5.34838215,5.24845992,1.0,chaser
81,81,671744,5.54070163,5.28328635,1.0,chaser
82,82,679936,5.451202049999999,5.2681771600000005,1.0,chaser
83,83,688128,5.5935883,5.4325128000000005,1.0,chaser
84,84,696320,5.594364979999999,5.6200095999999995,1.0,chaser
85,85,704512,5.687089879999999,5.976939990000001,1.0,chaser
86,86,712704,5.6360386899999995,5.90037742,1.0,chaser
87,87,720896,5.46808731,5.53421835,1.0,chaser
88,88,729088,5.5250343299999995,5.632667829999998,1.0,chaser
89,89,737280,5.395104100000001,5.700925949999999,1.0,chaser
90,90,745472,5.402517370000002,5.174155269999999,1.0,chaser
91,91,753664,5.538127500000001,5.21157574,1.0,chaser
92,92,761856,5.06465832,5.653771479999998,1.0,chaser
93,93,770048,5.183074340000001,5.98129822,1.0,chaser
94,94,778240,5.14764026,5.6733628199999995,1.0,chaser
95,95,786432,5.3362415599999995,5.8374880199999994,1.0,chaser
96,96,794624,5.389976720000001,5.8558475099999985,1.0,chaser
97,97,802816,5.34515511,5.49295239,1.0,chaser
98,98,811008,5.50125708,5.59019212,1.0,chaser
99,99,819200,5.628680009999999,5.81355452,1.0,chaser
100,100,827392,6.07382318,5.56429456,1.0,chaser
101,101,835584,5.90618661,5.06634365,1.0,chaser
102,102,843776,5.90963393,5.35890029,1.0,chaser
103,103,851968,6.22659219,5.621216739999999,1.0,chaser
104,104,860160,5.588649299999999,5.225619039999999,1.0,chaser
105,105,868352,5.01887075,5.575632820000001,1.0,chaser
106,106,876544,5.116077450000001,5.74651976,1.0,chaser
107,107,884736,5.833996720000001,4.969166090000001,1.0,chaser
108,108,892928,5.43474474,5.377585389999999,1.0,chaser
109,109,901120,5.62978075,5.3069806900000005,1.0,chaser
110,110,909312,5.424895150000001,5.07019101,1.0,chaser
111,111,917504,5.583703650000001,5.390293009999999,1.0,chaser
112,112,925696,5.514078420000001,5.4980521,1.0,chaser
113,113,933888,5.884380940000001,5.594620100000002,1.0,chaser
114,114,942080,5.6586915499999995,5.4376852300000005,1.0,chaser
115,115,950272,5.66433218,5.0549476900000005,1.0,chaser
116,116,958464,5.65949343,5.41457574,1.0,chaser
117,117,966656,5.34502065,5.322691970000001,1.0,chaser
118,118,974848,5.27929068,5.13062308,1.0,chaser
