,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,12.445225517857141,12.086595000000004,-0.12858857214450836,chaser
1,1,16384,6.997970329999999,5.840693409999999,0.9651923775672913,chaser
2,2,24576,4.9535966,4.61272209,0.9698830246925354,chaser
3,3,32768,5.191044059999999,4.4044646599999995,0.9940589070320129,chaser
4,4,40960,5.2585295599999995,4.91224713,1.0,chaser
5,5,49152,4.85098261,4.8893007299999995,1.0,chaser
6,6,57344,4.8970743599999995,4.67264989,1.0,chaser
7,7,65536,4.966984859999999,4.73341026,1.0,chaser
8,8,73728,4.82161274,5.086801110000001,1.0,chaser
9,9,81920,4.705928400000001,4.8347266,1.0,chaser
10,10,90112,5.16637874,4.52309236,1.0,chaser
11,11,98304,4.95624688,4.79278046,1.0,chaser
12,12,106496,4.8872328199999995,4.88900282,1.0,chaser
13,13,114688,4.864058830000001,5.622576800000001,1.0,chaser
14,14,122880,4.46089113,5.525657950000002,1.0,chaser
15,15,131072,4.71863201,4.98522063,1.0,chaser
16,16,139264,4.9656683600000004,4.688422330000002,1.0,chaser
17,17,147456,5.286629360000001,4.4935269,1.0,chaser
18,18,155648,4.62233084,4.9057118,1.0,chaser
19,19,163840,4.27668044,4.81051166,1.0,chaser
20,20,172032,4.946434529999999,4.92047356,1.0,chaser
21,21,180224,4.9623889,5.0917714,1.0,chaser
22,22,188416,5.20975115,5.249235229999999,1.0,chaser
23,23,196608,4.86080153,4.88993674,1.0,chaser
24,24,204800,4.541411580000001,4.8509576700000006,1.0,chaser
25,25,212992,4.81626967,4.734820890000001,1.0,chaser
26,26,221184,5.3673632,4.3511054300000005,1.0,chaser
27,27,229376,5.064652420000001,4.40311916,1.0,chaser
28,28,237568,5.18419415,4.4532992,1.0,chaser
29,29,245760,5.207030420000001,5.143883330000001,1.0,chaser
30,30,253952,5.07890794,4.561907989999999,1.0,chaser
31,31,262144,4.44128416,4.88556889,1.0,chaser
32,32,270336,4.79973888,5.21705284,1.0,chaser
33,33,278528,4.566086180000001,4.91432962,1.0,chaser
34,34,286720,4.90432751,4.936123169999999,1.0,chaser
35,35,294912,4.7988893,4.921439030000001,1.0,chaser
36,36,303104,5.00671892,5.18661057,1.0,chaser
37,37,311296,4.824412820000001,4.98511944,1.0,chaser
38,38,319488,4.719147270000001,5.49960247,1.0,chaser
