,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,2.5,2.727272727272727,0.4134769141674042,climber
1,1,16384,4.9492048461538465,2.9411764705882355,1.0,climber
2,2,24576,4.289310866666667,3.0434782608695654,1.0,climber
3,3,32768,4.050445861111111,3.350433418604651,1.0,climber
4,4,40960,3.49193188,3.3012924035087723,1.0,climber
5,5,49152,3.42544064516129,3.3279146515151514,1.0,climber
6,6,57344,3.658438515151515,3.5630814487179485,1.0,climber
7,7,65536,3.550226746835443,3.526841032967033,1.0,climber
8,8,73728,3.6365676170212766,3.63211834,1.0,climber
9,9,81920,3.6661686699999994,3.69573301,1.0,climber
10,10,90112,3.4077718100000003,3.51948398,1.0,climber
11,11,98304,3.28732055,3.18634101,1.0,climber
12,12,106496,3.12679344,3.40990757,1.0,climber
13,13,114688,3.16258218,3.3982015000000003,1.0,climber
14,14,122880,2.9591826400000003,3.3381312000000003,1.0,climber
15,15,131072,2.85380196,3.2137085,1.0,climber
16,16,139264,2.76021894,3.23323986,1.0,climber
17,17,147456,2.6778887200000003,3.30998378,1.0,climber
18,18,155648,2.6764543999999995,3.40578235,1.0,climber
19,19,163840,2.88208619,3.5422955400000005,1.0,climber
20,20,172032,3.1332683400000003,3.56140371,1.0,climber
21,21,180224,3.36515713,3.37903639,1.0,climber
22,22,188416,3.4075922700000003,3.1778869499999995,1.0,climber
23,23,196608,3.4347168399999997,3.1534133499999997,1.0,climber
24,24,204800,3.67487845,3.2343208900000007,1.0,climber
25,25,212992,3.7214255300000003,3.40071702,1.0,climber
26,26,221184,3.71470367,3.8628187400000003,1.0,climber
27,27,229376,3.5234553899999996,3.58178316,1.0,climber
28,28,237568,3.36130831,3.3197537900000005,1.0,climber
29,29,245760,3.2284867200000003,3.44277401,1.0,climber
30,30,253952,3.3688590900000004,3.4830064199999997,1.0,climber
31,31,262144,3.1962381499999992,3.5826286000000005,1.0,climber
32,32,270336,2.9103801,3.6812576900000007,1.0,climber
33,33,278528,2.48272535,3.3581602299999997,1.0,climber
34,34,286720,2.58418799,3.37660021,1.0,climber
35,35,294912,2.50027458,3.6537750800000004,1.0,climber
36,36,303104,2.63365275,3.56919706,1.0,climber
37,37,311296,2.78448855,3.6470722800000006,1.0,climber
38,38,319488,3.0179812700000004,3.52475955,1.0,climber
39,39,327680,3.2502481400000005,2.94239695,1.0,climber
40,40,335872,3.37996758,2.69641912,1.0,climber
41,41,344064,3.51080483,2.4363819099999997,1.0,climber
42,42,352256,3.4106560999999997,2.29767631,1.0,climber
43,43,360448,3.01004994,2.0794462599999997,1.0,climber
44,44,368640,2.9494878500000006,1.9418500600000002,1.0,climber
45,45,376832,2.7741452300000002,2.04630697,1.0,climber
46,46,385024,2.6446961,2.14630697,1.0,climber
47,47,393216,2.5920699799999998,2.12946075,1.0,climber
48,48,401408,2.5500494500000004,2.31641719,1.0,climber
49,49,409600,2.82954037,2.4001581400000003,1.0,climber
50,50,417792,3.01710016,2.42018748,1.0,climber
51,51,425984,3.3051628500000003,2.6221867999999997,1.0,climber
52,52,434176,3.2619801700000006,2.8675858599999997,1.0,climber
53,53,442368,2.91868036,2.8146441700000002,1.0,climber
54,54,450560,3.07544706,2.65692333,1.0,climber
55,55,458752,3.27601182,2.92510493,1.0,climber
56,56,466944,3.00180915,3.08538049,1.0,climber
57,57,475136,2.6278018,2.84772947,1.0,climber
58,58,483328,2.7595947600000006,3.03318173,1.0,climber
59,59,491520,2.8608130300000005,2.83429867,1.0,climber
60,60,499712,2.63661114,2.65212511,1.0,climber
61,61,507904,2.9250024000000003,2.97077073,1.0,climber
62,62,516096,2.93765058,2.94678454,1.0,climber
63,63,524288,3.06930498,3.0901885599999996,1.0,climber
64,64,532480,3.8325066199999998,3.2319977499999997,1.0,climber
65,65,540672,3.8878801500000004,3.0894644200000005,1.0,climber
66,66,548864,3.57998785,3.1475457300000005,1.0,climber
67,67,557056,3.5468620900000003,3.388572,1.0,climber
68,68,565248,3.6021222899999996,3.14578868,1.0,climber
69,69,573440,3.78224931,3.0700060000000007,1.0,climber
70,70,581632,3.82524431,3.2695598199999996,1.0,climber
71,71,589824,3.88104227,3.1269710199999996,1.0,climber
72,72,598016,3.8652247900000005,3.08514896,1.0,climber
73,73,606208,3.51819442,2.9016607600000004,1.0,climber
74,74,614400,3.4589165100000003,3.0115126200000004,1.0,climber
75,75,622592,3.87394458,3.0791260599999997,1.0,climber
