,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,3.0833655,1.8181818181818181,-0.17889362573623657,climber
1,1,16384,2.16668275,4.7368421052631575,-0.1628357619047165,climber
2,2,24576,2.6516391578947367,5.150915076923076,-0.1658809334039688,climber
3,3,32768,2.6454952682926827,4.722738162790698,-0.15251436829566956,climber
4,4,40960,2.73626293877551,4.519983725490196,-0.14494943618774414,climber
5,5,49152,2.5143139655172417,4.138837338983051,-0.1559743583202362,climber
6,6,57344,2.9552086865671643,3.943155268656717,-0.13656733930110931,climber
7,7,65536,3.3629991764705887,3.7206031624999993,-0.12868903577327728,climber
8,8,73728,3.4833811413043487,3.565800559139785,-0.16867558658123016,climber
9,9,81920,3.4171575204081632,3.60101285,-0.15077543258666992,climber
10,10,90112,3.40350896,3.584904109999999,-0.13749267160892487,climber
11,11,98304,3.37138485,3.2001571799999997,-0.06128184124827385,climber
12,12,106496,3.5919372099999998,2.9629499799999994,-0.05870312452316284,climber
13,13,114688,4.0244481,3.1156544899999994,-0.07724727690219879,climber
14,14,122880,4.06761345,3.10598576,-0.02252347394824028,climber
15,15,131072,3.7657515899999994,3.4830751799999997,-0.029815586283802986,climber
16,16,139264,4.07065181,3.82779517,0.43524590134620667,climber
17,17,147456,4.14861722,4.0925493,0.47843390703201294,climber
18,18,155648,4.26920947,3.71972231,0.8439320921897888,climber
19,19,163840,4.490304449999999,4.04122946,0.8484062552452087,climber
20,20,172032,4.23630194,4.074909600000001,0.8399353623390198,climber
21,21,180224,4.22053398,4.134630029999999,1.0,climber
22,22,188416,4.150256850000001,3.5590416699999996,0.9644428491592407,climber
23,23,196608,3.73311598,3.51381194,0.9591473937034607,climber
24,24,204800,3.5375676900000004,3.4475345100000006,1.0,climber
25,25,212992,3.2985908999999998,3.60408632,1.0,climber
26,26,221184,3.2365019299999993,3.2916451999999996,0.9823666214942932,climber
27,27,229376,3.1071164799999997,3.40506862,1.0,climber
28,28,237568,3.08074623,3.3818248,0.8091945052146912,climber
