,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,3.75,4.760078857142857,-0.0033066312316805124,climber
1,1,16384,4.800487214285715,3.8185661250000003,1.0,climber
2,2,24576,5.4186426,3.9498365555555557,1.0,climber
3,3,32768,4.874307076923077,3.041896238095238,1.0,climber
4,4,40960,4.435522843137255,2.951115895833334,1.0,climber
5,5,49152,4.144064298245613,3.4443542631578947,1.0,climber
6,6,57344,4.065470985074627,3.7304013125000006,1.0,climber
7,7,65536,3.456747086419753,3.7881309529411773,1.0,climber
8,8,73728,3.7491913404255315,3.6706065353535355,1.0,climber
9,9,81920,3.76506891,3.8006673800000006,1.0,climber
10,10,90112,3.5585096500000004,3.7629730900000005,1.0,climber
11,11,98304,3.1081507999999998,3.91304887,1.0,climber
12,12,106496,3.2419296499999994,3.9078863200000002,1.0,climber
13,13,114688,3.3224605099999995,3.92665159,1.0,climber
14,14,122880,3.31039412,3.5968731499999995,1.0,climber
15,15,131072,3.1740783599999998,3.32258581,1.0,climber
16,16,139264,3.20511819,3.20932298,1.0,climber
17,17,147456,2.96548925,3.22699861,1.0,climber
18,18,155648,2.93886948,3.20580751,1.0,climber
19,19,163840,2.6487704400000003,2.86343181,1.0,climber
20,20,172032,2.8262655699999994,2.9017166,1.0,climber
21,21,180224,2.86736577,2.9604187200000003,1.0,climber
22,22,188416,2.79620027,2.6849286699999997,1.0,climber
23,23,196608,3.1372440400000006,2.6684311800000002,1.0,climber
24,24,204800,3.2061420199999997,3.1734709,1.0,climber
25,25,212992,2.9793288700000007,2.93469854,1.0,climber
26,26,221184,3.3424018399999995,3.1601752500000004,1.0,climber
27,27,229376,3.3455394799999993,3.2813740300000003,1.0,climber
28,28,237568,3.3020386199999994,2.9257758899999997,1.0,climber
29,29,245760,3.28767041,2.9049319999999996,1.0,climber
30,30,253952,3.25525059,3.1028070299999997,1.0,climber
31,31,262144,2.92107982,3.1422119799999995,1.0,climber
32,32,270336,3.06151348,3.16156411,1.0,climber
33,33,278528,2.8732315300000004,3.06266143,1.0,climber
34,34,286720,3.02906177,2.9429709500000003,1.0,climber
35,35,294912,3.0558420099999997,2.9232562300000002,1.0,climber
36,36,303104,3.10049431,3.24468358,1.0,climber
37,37,311296,3.18461231,3.2858745300000005,1.0,climber
38,38,319488,2.82636004,3.2475908600000003,1.0,climber
39,39,327680,3.0134547899999995,3.26757231,1.0,climber
40,40,335872,3.14313535,3.0477431700000004,1.0,climber
41,41,344064,3.28651933,3.36705865,1.0,climber
42,42,352256,3.2596805399999997,3.40821849,1.0,climber
43,43,360448,3.23081009,3.40821849,1.0,climber
44,44,368640,3.47271705,3.26811989,1.0,climber
45,45,376832,3.5436813000000007,2.87091115,1.0,climber
46,46,385024,3.49991853,3.13379753,1.0,climber
47,47,393216,3.61295504,2.9940216800000004,1.0,climber
48,48,401408,3.7123713999999994,2.69492034,1.0,climber
49,49,409600,3.52525983,2.4575540399999998,1.0,climber
50,50,417792,3.69479363,2.74020028,1.0,climber
51,51,425984,3.53682345,2.96473391,1.0,climber
52,52,434176,3.8775980899999998,2.84203263,1.0,climber
53,53,442368,3.73227129,2.98280063,1.0,climber
54,54,450560,3.64451987,3.24164764,1.0,climber
55,55,458752,3.5432893499999993,3.5406062799999996,1.0,climber
56,56,466944,3.38500884,3.41967113,1.0,climber
57,57,475136,3.09885004,3.5175743999999995,1.0,climber
58,58,483328,2.9706904799999996,3.5344967100000004,1.0,climber
59,59,491520,3.1000158699999996,3.69284422,1.0,climber
60,60,499712,3.0281857699999994,3.25105736,1.0,climber
61,61,507904,2.55882682,3.35037923,1.0,climber
62,62,516096,2.6199979900000003,2.99023505,1.0,climber
63,63,524288,2.70672046,2.89041113,1.0,climber
64,64,532480,2.8522418700000003,2.5497263300000004,1.0,climber
65,65,540672,3.1966013199999996,2.51361819,1.0,climber
66,66,548864,3.34014247,2.4553531700000004,1.0,climber
67,67,557056,3.3981374700000004,2.61634549,1.0,climber
68,68,565248,3.7405135199999995,2.7405028400000004,1.0,climber
69,69,573440,3.49510333,3.1699932299999993,1.0,climber
70,70,581632,3.9228290000000006,3.33023403,1.0,climber
71,71,589824,3.5198398199999996,3.430684699999999,1.0,climber
72,72,598016,3.3766806700000007,3.6310313600000006,1.0,climber
73,73,606208,3.603602000000001,3.8298713799999997,1.0,climber
74,74,614400,3.6586789699999995,3.71107004,1.0,climber
