,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,6.666666666666667,4.545454545454546,-0.011387192644178867,climber
1,1,16384,5.0,3.4012003076923074,1.0,climber
2,2,24576,5.384615384615385,3.4947880285714286,1.0,climber
3,3,32768,3.5903217027027026,3.732016775510204,1.0,climber
4,4,40960,3.4117710408163267,3.7511420666666666,1.0,climber
5,5,49152,3.6521047586206894,3.515953082191781,1.0,climber
6,6,57344,4.00276053125,3.262060325301204,1.0,climber
7,7,65536,3.7402025061728397,3.512659916666666,1.0,climber
8,8,73728,3.6134220107526884,3.5354316199999998,1.0,climber
9,9,81920,3.53414968,3.67279476,1.0,climber
10,10,90112,3.419091940000001,3.83249915,1.0,climber
11,11,98304,3.70976663,3.9044693,1.0,climber
12,12,106496,3.6749253,4.08341412,1.0,climber
13,13,114688,3.6108539100000003,4.41520244,1.0,climber
14,14,122880,3.5013449200000006,4.15218576,1.0,climber
15,15,131072,3.2937689200000007,4.10396846,1.0,climber
16,16,139264,3.5871959999999996,3.848973080000001,1.0,climber
17,17,147456,3.72145868,3.41099204,1.0,climber
18,18,155648,3.6573514499999997,3.40120617,1.0,climber
19,19,163840,3.55588161,3.3766446800000005,1.0,climber
20,20,172032,3.51372262,3.3371201999999998,1.0,climber
21,21,180224,3.2398263199999997,2.8929849,1.0,climber
22,22,188416,3.3276709799999997,2.9962013600000006,1.0,climber
23,23,196608,3.23060441,3.03749141,1.0,climber
24,24,204800,2.9030019999999994,3.019275339999999,1.0,climber
25,25,212992,2.628028,2.63320501,1.0,climber
26,26,221184,2.5364252,2.3859609600000002,1.0,climber
27,27,229376,2.6421629599999994,2.3894831,1.0,climber
28,28,237568,2.54397315,2.15613544,1.0,climber
29,29,245760,2.5068523799999998,2.30031416,1.0,climber
30,30,253952,2.8573506500000003,2.13194882,1.0,climber
31,31,262144,2.81970925,1.9998918099999998,1.0,climber
32,32,270336,2.7678648599999995,2.1852399599999996,1.0,climber
33,33,278528,2.96032847,2.3229066599999997,1.0,climber
34,34,286720,2.8747099799999996,2.75316983,1.0,climber
35,35,294912,2.6793682499999996,2.7974235199999997,1.0,climber
36,36,303104,2.54925687,2.88012349,1.0,climber
37,37,311296,2.39734921,2.51941222,1.0,climber
38,38,319488,2.3340546200000003,2.78130586,1.0,climber
39,39,327680,2.4492176800000003,2.48161019,1.0,climber
40,40,335872,2.3732840800000004,2.45727869,1.0,climber
41,41,344064,2.60544972,2.56124647,1.0,climber
42,42,352256,2.6207781199999998,2.09501777,1.0,climber
43,43,360448,2.55969822,1.80394787,1.0,climber
44,44,368640,2.85481535,2.0076590999999997,1.0,climber
45,45,376832,2.73227056,2.46940524,1.0,climber
46,46,385024,2.74321322,2.37476184,1.0,climber
47,47,393216,2.8445857800000005,2.90505673,1.0,climber
48,48,401408,2.8363514700000003,2.89141808,1.0,climber
49,49,409600,2.59111081,2.80685675,1.0,climber
50,50,417792,2.5372749999999997,3.09224896,1.0,climber
51,51,425984,2.38425069,3.04685746,1.0,climber
52,52,434176,2.4296592300000004,2.9588311,1.0,climber
53,53,442368,2.24857271,2.98585253,1.0,climber
54,54,450560,2.1499138700000002,2.62614545,1.0,climber
55,55,458752,2.1968628199999998,2.48204577,1.0,climber
56,56,466944,2.0988555100000004,2.8804507900000003,1.0,climber
57,57,475136,1.8724216599999999,2.94986316,1.0,climber
58,58,483328,2.3799057099999996,2.90560883,1.0,climber
59,59,491520,2.53611142,3.01984803,1.0,climber
60,60,499712,2.43865098,3.20515656,1.0,climber
61,61,507904,2.6278585,3.3476523999999994,1.0,climber
62,62,516096,3.0074099500000004,3.13469715,1.0,climber
63,63,524288,3.2383482599999995,3.3052412600000003,1.0,climber
64,64,532480,3.38405771,3.0202388199999994,1.0,climber
