,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,4.6921480833333336,3.3333333333333335,-0.029488222673535347,climber
1,1,16384,3.900339823529412,3.6353502,-0.009935435838997364,climber
2,2,24576,5.4229210000000005,3.4081408125,-0.04412871226668358,climber
3,3,32768,3.7404037567567565,2.590139780487805,-0.017766129225492477,climber
4,4,40960,3.8390066666666662,2.5906299433962268,-0.006314776372164488,climber
5,5,49152,3.7330248225806453,2.453928862068966,-0.01760798506438732,climber
6,6,57344,3.9086711857142857,2.81640573015873,-0.03350359573960304,climber
7,7,65536,4.0236043809523805,2.420572488372093,-0.054574258625507355,climber
8,8,73728,3.64099197,2.5873604599999998,-0.056074053049087524,climber
9,9,81920,3.64099197,2.54281634,-0.039671529084444046,climber
10,10,90112,3.62105474,2.6939664700000003,-0.040878087282180786,climber
11,11,98304,3.3036271,2.73324179,-0.03953598812222481,climber
12,12,106496,3.24901965,3.1233527700000003,-0.08026611059904099,climber
13,13,114688,3.34973653,2.91075741,-0.05794031545519829,climber
14,14,122880,3.4912998899999996,2.85286595,-0.06719521433115005,climber
15,15,131072,3.37849817,3.12989103,-0.0616176538169384,climber
16,16,139264,3.6051127099999998,3.0630660700000005,-0.04247184842824936,climber
17,17,147456,3.88705035,2.8500017899999994,-0.06361576169729233,climber
18,18,155648,3.9483255599999993,2.8926263199999998,-0.02556547336280346,climber
19,19,163840,3.8664084099999996,2.79246091,-0.04101095348596573,climber
20,20,172032,4.17417502,2.6826289500000002,-0.06518366187810898,climber
21,21,180224,4.0109629,2.88096005,-0.0751982182264328,climber
22,22,188416,3.7623064599999996,2.4503009500000004,-0.08360446244478226,climber
23,23,196608,3.5548091600000005,2.4976736400000004,-0.02912074886262417,climber
24,24,204800,3.3654415,2.39872143,-0.059522081166505814,climber
25,25,212992,3.64409734,2.3528558299999998,-0.030507544055581093,climber
26,26,221184,3.3773165000000005,2.4019696799999997,-0.0849587544798851,climber
27,27,229376,3.21692418,2.45895696,-0.051907919347286224,climber
28,28,237568,2.83947832,2.6045623900000003,-0.051450856029987335,climber
29,29,245760,3.01983023,2.36257857,-0.04093266278505325,climber
30,30,253952,3.04470194,2.6997928300000003,-0.07492738962173462,climber
31,31,262144,3.3266211200000004,2.8868414,-0.07415279000997543,climber
32,32,270336,3.6100417900000004,3.18509008,-0.07472122460603714,climber
33,33,278528,3.5534804,3.472686,-0.043889082968235016,climber
34,34,286720,3.6138117500000004,3.4155111099999997,-0.059920746833086014,climber
35,35,294912,3.7738108599999998,2.9609377699999997,-0.05924498289823532,climber
36,36,303104,3.67343633,3.01116677,-0.049096014350652695,climber
37,37,311296,3.97082762,2.76520376,-0.05976304039359093,climber
38,38,319488,3.9481366500000004,2.8633085099999995,-0.05059557035565376,climber
39,39,327680,3.8856563700000004,2.71509234,-0.05309746414422989,climber
40,40,335872,3.51951234,2.26794743,0.0022268425673246384,climber
41,41,344064,3.37180112,2.0851235399999997,-0.07060494273900986,climber
42,42,352256,3.47104717,2.0277349899999995,-0.04681900888681412,climber
43,43,360448,3.4108313399999997,2.07618335,-0.04416106641292572,climber
44,44,368640,3.5706591199999997,2.07234093,-0.0729428231716156,climber
45,45,376832,3.731336,2.36721967,-0.04875051602721214,climber
46,46,385024,3.6118147599999997,2.4183231700000003,-0.027781056240200996,climber
47,47,393216,3.5913459000000008,2.7206280499999997,-0.029358653351664543,climber
48,48,401408,3.67385238,3.16266185,-0.043067120015621185,climber
49,49,409600,3.59619035,3.4563596099999994,-0.023708725348114967,climber
50,50,417792,3.5147713599999997,3.37180095,-0.07395178079605103,climber
51,51,425984,3.5147713599999997,3.81058468,-0.0527309775352478,climber
52,52,434176,3.45286381,3.7562150200000004,-0.02872880920767784,climber
53,53,442368,3.5906082500000003,3.75254802,-0.02325487695634365,climber
54,54,450560,3.64816997,3.7391566800000002,-0.07721879333257675,climber
55,55,458752,3.6683660600000003,3.6699451,-0.04664338752627373,climber
56,56,466944,3.9078277100000003,3.2783066999999995,-0.03315944969654083,climber
57,57,475136,3.94688919,3.51825135,-0.06526287645101547,climber
58,58,483328,3.32562795,3.60843383,-0.0461503267288208,climber
59,59,491520,3.5251660200000003,3.3665601200000004,-0.04417337104678154,climber
60,60,499712,3.54589746,3.21805135,-0.059342145919799805,climber
61,61,507904,3.38732075,3.3683355899999996,-0.06048735976219177,climber
62,62,516096,3.05029457,3.4383732899999995,-0.054797977209091187,climber
63,63,524288,3.19121441,3.4246402200000006,-0.04953587427735329,climber
64,64,532480,3.1132596199999996,3.49392866,-0.05074163153767586,climber
65,65,540672,2.8977749900000003,3.47034637,-0.03452065959572792,climber
66,66,548864,2.92119217,3.2244105899999997,-0.04290781915187836,climber
67,67,557056,3.12337242,3.1203089900000007,-0.053349439054727554,climber
68,68,565248,3.2459201399999995,3.0636158399999998,-0.021239396184682846,climber
69,69,573440,3.06749427,3.08539976,-0.03128791227936745,climber
70,70,581632,3.16991787,3.3640440500000004,-0.051008522510528564,climber
71,71,589824,3.0715282999999998,3.2082479,-0.02086535654962063,climber
72,72,598016,3.1131503400000002,3.31720726,-0.02367023378610611,climber
73,73,606208,3.0140848800000004,3.2813622899999997,-0.0696108490228653,climber
74,74,614400,3.07650917,3.18104997,-0.0716664120554924,climber
75,75,622592,3.23697713,3.3016333199999996,-0.02545534074306488,climber
76,76,630784,3.5009213800000003,3.6900980400000005,-0.03152697533369064,climber
77,77,638976,3.1627534500000003,3.63163705,-0.04572911188006401,climber
78,78,647168,3.54584248,3.2733817199999997,-0.03530999273061752,climber
79,79,655360,3.5655621099999997,2.9280607199999995,-0.06404127925634384,climber
80,80,663552,3.62559727,2.9160234700000003,-0.041236620396375656,climber
81,81,671744,3.50458506,2.74757768,-0.055688872933387756,climber
82,82,679936,3.70665003,2.6921736299999997,-0.049193862825632095,climber
83,83,688128,3.48467762,2.29266654,-0.05336911231279373,climber
84,84,696320,3.2814376199999997,2.1590223300000004,-0.010769632644951344,climber
85,85,704512,3.2816126899999993,2.21494721,-0.02866501733660698,climber
86,86,712704,3.02227294,2.4500772,-0.014780044555664062,climber
87,87,720896,2.8042704499999997,2.4060105,-0.01688443124294281,climber
88,88,729088,2.90450793,2.5286246500000003,-0.03222004696726799,climber
89,89,737280,2.9455569899999996,2.4397346300000002,-0.047999266535043716,climber
90,90,745472,2.48329068,3.0419133899999995,-0.062362536787986755,climber
91,91,753664,2.77103307,3.0968246400000004,-0.011211326345801353,climber
92,92,761856,3.0319588500000005,3.37531168,0.009021593257784843,climber
93,93,770048,3.0918834900000003,3.3614512699999994,-0.035447001457214355,climber
94,94,778240,3.4154708600000006,3.6710264200000005,-0.03903524950146675,climber
95,95,786432,3.2759505,3.9475744199999996,-0.022176915779709816,climber
96,96,794624,3.44021499,3.4575332999999997,-0.033455219119787216,climber
97,97,802816,3.39951591,3.38908274,0.00701136002317071,climber
98,98,811008,3.62255659,3.2627259200000003,-0.024637993425130844,climber
99,99,819200,3.41704992,2.73947859,-0.05266866087913513,climber
100,100,827392,3.15775405,2.26038935,-0.03015579842031002,climber
101,101,835584,3.08096104,2.1718243200000003,-0.02188025414943695,climber
102,102,843776,3.02198557,1.7949845500000001,-0.028238078579306602,climber
103,103,851968,3.0407605200000005,1.6964295299999999,-0.02423282526433468,climber
104,104,860160,3.0824025,1.97453976,-0.012431965209543705,climber
105,105,868352,3.1421093099999995,2.1441898200000002,0.0010355443228036165,climber
106,106,876544,3.26069176,2.28988205,0.006646312307566404,climber
107,107,884736,3.44826621,2.47937551,-0.010869182646274567,climber
108,108,892928,3.38476047,2.7583489400000003,-0.03534218668937683,climber
109,109,901120,3.38485613,3.0358618,-0.01822006329894066,climber
110,110,909312,3.50266501,2.9242863700000004,-0.019635828211903572,climber
111,111,917504,3.5438809499999997,3.13497563,-0.02991279400885105,climber
112,112,925696,3.4624382299999996,3.16783164,-0.004900634288787842,climber
113,113,933888,3.30393619,3.3670840600000003,-0.007402859162539244,climber
114,114,942080,3.1053705599999994,3.5671418900000003,-0.013319251127541065,climber
115,115,950272,2.9240690600000003,3.5669311699999997,-0.016968898475170135,climber
116,116,958464,2.80182438,3.8540800500000008,-0.014827016741037369,climber
117,117,966656,2.8450732300000006,3.8648880900000004,-0.025590673089027405,climber
118,118,974848,3.32987007,4.07338597,-0.005628257058560848,climber
119,119,983040,3.1900380100000003,3.9615934600000005,0.015283461660146713,climber
120,120,991232,3.2670937600000003,4.02381324,-0.011190677992999554,climber
121,121,999424,3.3500848899999998,3.6753741300000002,0.008269228041172028,climber
122,122,1007616,3.5670291300000003,3.5150674000000004,0.0026710317470133305,climber
123,123,1015808,3.9667575300000006,3.4693177599999996,0.00667171087116003,climber
124,124,1024000,4.14174379,3.37969944,-0.013191760517656803,climber
125,125,1032192,3.83422227,2.9771972,-0.03909965977072716,climber
126,126,1040384,4.09760337,3.04366848,-0.023149093613028526,climber
127,127,1048576,4.078431920000001,2.9429474399999997,-0.02696673572063446,climber
128,128,1056768,3.9578908100000003,3.14293083,0.0001867886894615367,climber
129,129,1064960,4.0157812999999996,2.97943627,-0.007165154907852411,climber
130,130,1073152,4.1204374800000005,3.10436954,-0.0009537978912703693,climber
131,131,1081344,4.11899655,3.27912353,-0.023598821833729744,climber
132,132,1089536,3.87681873,3.42258367,-0.010469664819538593,climber
133,133,1097728,3.95780608,3.57812997,0.022389307618141174,climber
134,134,1105920,3.90230922,3.64583167,-0.025124579668045044,climber
135,135,1114112,4.146629180000001,3.40171632,-0.007689397316426039,climber
136,136,1122304,4.1637778,4.086782980000001,-0.001432567834854126,climber
137,137,1130496,4.28597736,4.288641860000001,-0.02469194307923317,climber
138,138,1138688,4.22606501,3.91503517,0.003945096395909786,climber
139,139,1146880,4.08370606,3.9115373699999996,0.016765885055065155,climber
140,140,1155072,4.064759609999999,4.00916608,0.03164359927177429,climber
141,141,1163264,4.00497989,4.19358315,0.05502067133784294,climber
142,142,1171456,3.8000303300000002,3.9492135099999994,0.061299148947000504,climber
143,143,1179648,3.59491653,4.06315324,0.043334078043699265,climber
144,144,1187840,3.4538667599999995,3.7905885,0.015254385769367218,climber
145,145,1196032,3.512955090000001,3.3998802,0.029083654284477234,climber
146,146,1204224,3.41287616,3.59880674,0.0022609983570873737,climber
147,147,1212416,3.57566302,3.65550066,0.017950307577848434,climber
148,148,1220608,3.5570887399999997,3.5830339600000003,0.028661195188760757,climber
149,149,1228800,3.87522738,3.46719046,0.05204259231686592,climber
150,150,1236992,4.20011634,3.4235371399999996,-0.0011214736150577664,climber
151,151,1245184,4.461263199999999,3.4226767700000007,0.0019109775312244892,climber
152,152,1253376,4.7008868,3.62146881,0.04551789164543152,climber
153,153,1261568,4.77767794,3.5921327200000004,0.007115143351256847,climber
154,154,1269760,4.575430290000001,3.76066747,-0.012616774067282677,climber
155,155,1277952,4.449695289999999,3.73029352,0.0566226989030838,climber
156,156,1286144,4.24706663,4.16983228,0.005417201668024063,climber
157,157,1294336,4.34638728,4.2517185600000005,0.0002960242854896933,climber
158,158,1302528,4.021695970000001,4.20747611,0.00419987365603447,climber
159,159,1310720,3.7797316,4.07795165,0.012337383814156055,climber
160,160,1318912,3.87580064,3.8487348599999995,-0.008285649120807648,climber
161,161,1327104,3.8159373400000005,3.7449349700000005,-0.020208625122904778,climber
162,162,1335296,4.11529202,4.02599976,0.03225162997841835,climber
163,163,1343488,3.93191841,3.9924771000000003,0.00707257678732276,climber
164,164,1351680,3.9504871400000003,3.9645891499999992,0.01278739981353283,climber
165,165,1359872,3.7505889899999993,3.91798868,0.012623482383787632,climber
166,166,1368064,3.93036995,4.142622820000001,0.008457714691758156,climber
167,167,1376256,4.15000547,4.36616685,-0.004771684296429157,climber
168,168,1384448,4.16953755,4.38212745,0.03239902853965759,climber
169,169,1392640,4.26887751,3.8129477499999997,0.010819545947015285,climber
170,170,1400832,4.04745154,3.7346099200000005,0.01574428379535675,climber
171,171,1409024,4.187055470000001,3.73321075,0.010816756635904312,climber
172,172,1417216,4.14689894,3.6821372300000004,-0.004534990526735783,climber
173,173,1425408,3.96579703,3.78149793,0.007084510754793882,climber
174,174,1433600,3.84415516,3.8052229399999997,0.0322737991809845,climber
175,175,1441792,3.70273577,3.8687205399999995,0.0466940701007843,climber
176,176,1449984,3.4618642700000004,4.35084125,0.008483865298330784,climber
177,177,1458176,3.0213832000000003,4.30824846,0.05206311121582985,climber
178,178,1466368,3.3417924999999995,4.2134365,0.048655327409505844,climber
179,179,1474560,3.1613626900000003,4.31292445,0.028275832533836365,climber
180,180,1482752,3.6215262300000006,4.35657932,-0.013084018602967262,climber
