,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,2.0,4.285714285714286,-0.16573578119277954,coinrun
1,1,16384,4.375,4.615384615384615,-0.10692797601222992,coinrun
2,2,24576,5.217391304347826,6.086956521739131,-0.052494972944259644,coinrun
3,3,32768,3.255813953488372,3.8297872340425534,-0.15396784245967865,coinrun
4,4,40960,3.5714285714285716,3.278688524590164,-0.11088491976261139,coinrun
5,5,49152,3.1325301204819276,3.902439024390244,0.06143030524253845,coinrun
6,6,57344,3.7,3.7,-0.08805923163890839,coinrun
7,7,65536,4.2,4.3,-0.24201920628547668,coinrun
8,8,73728,5.1,5.1,0.7130815982818604,coinrun
9,9,81920,5.1,5.0,0.8260506391525269,coinrun
10,10,90112,5.3,5.0,0.8363469839096069,coinrun
11,11,98304,5.5,5.4,0.8777370452880859,coinrun
12,12,106496,5.7,4.5,0.8449764251708984,coinrun
13,13,114688,6.8,5.1,0.8560069799423218,coinrun
14,14,122880,5.8,5.5,0.9303722381591797,coinrun
15,15,131072,6.3,5.3,0.8264790773391724,coinrun
16,16,139264,6.4,6.0,0.8960139751434326,coinrun
17,17,147456,6.1,5.1,0.860119640827179,coinrun
18,18,155648,4.7,5.4,0.8560324907302856,coinrun
19,19,163840,6.7,5.3,0.8835874795913696,coinrun
20,20,172032,6.6,5.3,0.8673288822174072,coinrun
21,21,180224,5.9,5.2,0.8740806579589844,coinrun
22,22,188416,5.6,5.3,0.8372241258621216,coinrun
23,23,196608,6.8,5.1,0.8751516342163086,coinrun
24,24,204800,6.0,6.5,0.8877757787704468,coinrun
25,25,212992,5.7,6.0,0.9346518516540527,coinrun
26,26,221184,6.3,6.6,0.9118192195892334,coinrun
27,27,229376,6.5,6.6,0.9140479564666748,coinrun
28,28,237568,6.2,6.3,0.9177404642105103,coinrun
29,29,245760,7.1,6.7,0.8852556943893433,coinrun
30,30,253952,5.9,5.8,0.9386625289916992,coinrun
31,31,262144,7.4,5.7,0.9197677969932556,coinrun
32,32,270336,6.8,5.9,0.9042278528213501,coinrun
33,33,278528,5.9,6.5,0.9310184717178345,coinrun
34,34,286720,5.9,6.6,0.9386917352676392,coinrun
35,35,294912,6.8,6.5,0.9270376563072205,coinrun
36,36,303104,6.8,5.6,0.9141693711280823,coinrun
37,37,311296,7.1,6.2,0.898638904094696,coinrun
38,38,319488,6.8,6.4,0.9219546914100647,coinrun
39,39,327680,6.0,6.2,0.9348052740097046,coinrun
40,40,335872,7.1,6.6,0.9212304353713989,coinrun
41,41,344064,5.8,7.0,0.9195300936698914,coinrun
42,42,352256,6.6,6.2,0.9125494956970215,coinrun
43,43,360448,6.1,7.0,0.9209569096565247,coinrun
44,44,368640,6.2,6.3,0.9156591892242432,coinrun
45,45,376832,6.1,6.3,0.9035871624946594,coinrun
46,46,385024,7.1,5.7,0.9174085855484009,coinrun
47,47,393216,6.4,6.0,0.9109219908714294,coinrun
48,48,401408,7.1,6.1,0.9022942781448364,coinrun
49,49,409600,6.8,6.1,0.8725399971008301,coinrun
50,50,417792,6.4,5.2,0.9240841865539551,coinrun
51,51,425984,6.7,7.1,0.9419967532157898,coinrun
52,52,434176,6.9,5.5,0.9304947853088379,coinrun
