,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,2.0,2.0,-0.1227881982922554,coinrun
1,1,16384,2.6666666666666665,4.615384615384615,1.0,coinrun
2,2,24576,3.1578947368421053,5.238095238095238,1.0,coinrun
3,3,32768,2.380952380952381,4.186046511627907,1.0,coinrun
4,4,40960,3.278688524590164,4.666666666666667,1.0,coinrun
5,5,49152,3.6470588235294117,4.691358024691358,1.0,coinrun
6,6,57344,4.2,4.9,1.0,coinrun
7,7,65536,4.8,4.9,1.0,coinrun
8,8,73728,5.3,5.4,1.0,coinrun
9,9,81920,5.5,5.8,1.0,coinrun
10,10,90112,5.1,4.7,1.0,coinrun
11,11,98304,5.1,4.6,1.0,coinrun
12,12,106496,5.2,5.4,1.0,coinrun
13,13,114688,5.9,4.3,1.0,coinrun
14,14,122880,5.6,4.8,1.0,coinrun
15,15,131072,6.0,5.3,1.0,coinrun
16,16,139264,4.7,5.8,1.0,coinrun
17,17,147456,6.3,5.4,1.0,coinrun
18,18,155648,5.2,4.5,1.0,coinrun
19,19,163840,6.5,5.2,1.0,coinrun
20,20,172032,5.1,5.1,1.0,coinrun
21,21,180224,6.1,5.1,1.0,coinrun
22,22,188416,5.7,6.0,1.0,coinrun
23,23,196608,6.0,5.3,1.0,coinrun
24,24,204800,6.5,6.7,1.0,coinrun
25,25,212992,6.0,6.2,1.0,coinrun
26,26,221184,6.9,5.6,1.0,coinrun
27,27,229376,6.4,5.6,1.0,coinrun
28,28,237568,6.4,6.8,1.0,coinrun
29,29,245760,6.7,6.4,1.0,coinrun
30,30,253952,6.7,6.0,1.0,coinrun
31,31,262144,6.5,6.3,1.0,coinrun
32,32,270336,5.3,6.1,1.0,coinrun
33,33,278528,6.3,6.3,1.0,coinrun
34,34,286720,7.8,5.7,1.0,coinrun
35,35,294912,7.6,5.4,1.0,coinrun
36,36,303104,6.9,5.7,1.0,coinrun
37,37,311296,6.8,6.0,1.0,coinrun
38,38,319488,6.8,6.0,1.0,coinrun
39,39,327680,7.3,6.8,1.0,coinrun
40,40,335872,6.4,6.7,1.0,coinrun
41,41,344064,6.8,5.0,1.0,coinrun
42,42,352256,7.0,6.1,1.0,coinrun
43,43,360448,7.2,6.8,1.0,coinrun
44,44,368640,7.0,6.2,1.0,coinrun
45,45,376832,6.8,6.7,1.0,coinrun
46,46,385024,6.5,6.2,1.0,coinrun
47,47,393216,6.5,7.0,1.0,coinrun
48,48,401408,6.8,7.2,1.0,coinrun
49,49,409600,7.2,7.2,1.0,coinrun
50,50,417792,6.6,7.1,1.0,coinrun
51,51,425984,6.8,6.6,1.0,coinrun
52,52,434176,7.2,7.3,1.0,coinrun
53,53,442368,7.0,6.7,1.0,coinrun
54,54,450560,6.6,6.2,1.0,coinrun
55,55,458752,6.5,6.6,1.0,coinrun
56,56,466944,6.7,5.9,1.0,coinrun
57,57,475136,6.2,5.7,1.0,coinrun
58,58,483328,7.6,6.5,1.0,coinrun
59,59,491520,6.7,6.1,1.0,coinrun
60,60,499712,7.0,5.6,1.0,coinrun
61,61,507904,7.2,6.0,1.0,coinrun
62,62,516096,7.1,6.3,1.0,coinrun
63,63,524288,6.3,6.2,1.0,coinrun
64,64,532480,6.9,6.2,1.0,coinrun
65,65,540672,6.2,6.1,1.0,coinrun
66,66,548864,7.1,6.3,1.0,coinrun
67,67,557056,6.8,6.1,1.0,coinrun
68,68,565248,6.7,6.2,1.0,coinrun
69,69,573440,7.2,6.2,1.0,coinrun
70,70,581632,6.7,6.3,1.0,coinrun
71,71,589824,6.7,6.7,1.0,coinrun
72,72,598016,6.7,7.0,1.0,coinrun
73,73,606208,6.8,6.2,1.0,coinrun
74,74,614400,6.2,7.1,1.0,coinrun
75,75,622592,6.5,6.5,1.0,coinrun
76,76,630784,6.8,5.8,1.0,coinrun
77,77,638976,6.4,6.6,1.0,coinrun
78,78,647168,7.4,5.3,1.0,coinrun
79,79,655360,6.9,6.1,1.0,coinrun
80,80,663552,6.9,6.5,1.0,coinrun
81,81,671744,6.3,6.3,1.0,coinrun
82,82,679936,6.4,5.7,1.0,coinrun
83,83,688128,6.7,5.7,1.0,coinrun
84,84,696320,6.9,5.9,1.0,coinrun
85,85,704512,6.1,6.0,1.0,coinrun
86,86,712704,6.5,5.9,1.0,coinrun
87,87,720896,7.6,6.1,1.0,coinrun
88,88,729088,6.4,6.5,1.0,coinrun
89,89,737280,6.4,6.5,1.0,coinrun
90,90,745472,6.4,5.4,1.0,coinrun
91,91,753664,7.3,5.9,1.0,coinrun
92,92,761856,6.7,7.4,1.0,coinrun
93,93,770048,7.2,6.9,1.0,coinrun
94,94,778240,6.5,6.1,1.0,coinrun
95,95,786432,7.1,6.6,1.0,coinrun
96,96,794624,6.6,6.9,1.0,coinrun
97,97,802816,6.5,6.7,1.0,coinrun
98,98,811008,6.5,6.5,1.0,coinrun
99,99,819200,6.9,6.6,1.0,coinrun
100,100,827392,7.2,5.7,1.0,coinrun
101,101,835584,6.3,6.8,1.0,coinrun
102,102,843776,6.4,7.4,1.0,coinrun
103,103,851968,6.5,7.1,1.0,coinrun
104,104,860160,7.4,6.5,1.0,coinrun
105,105,868352,6.7,6.5,1.0,coinrun
106,106,876544,7.5,6.1,1.0,coinrun
107,107,884736,7.2,6.8,1.0,coinrun
108,108,892928,6.8,6.8,1.0,coinrun
109,109,901120,6.6,6.4,1.0,coinrun
110,110,909312,7.3,7.0,1.0,coinrun
111,111,917504,6.9,6.6,1.0,coinrun
112,112,925696,6.6,7.5,1.0,coinrun
113,113,933888,7.6,6.9,1.0,coinrun
114,114,942080,6.2,6.6,1.0,coinrun
115,115,950272,7.6,6.4,1.0,coinrun
116,116,958464,6.8,6.5,1.0,coinrun
117,117,966656,6.5,7.1,1.0,coinrun
118,118,974848,6.8,7.4,1.0,coinrun
119,119,983040,6.8,7.1,1.0,coinrun
120,120,991232,6.0,7.2,1.0,coinrun
121,121,999424,7.3,7.1,1.0,coinrun
122,122,1007616,7.4,5.9,1.0,coinrun
123,123,1015808,7.1,7.0,1.0,coinrun
124,124,1024000,7.2,6.9,1.0,coinrun
125,125,1032192,7.5,7.3,1.0,coinrun
126,126,1040384,7.0,7.3,1.0,coinrun
127,127,1048576,7.5,7.1,1.0,coinrun
128,128,1056768,6.9,7.2,1.0,coinrun
129,129,1064960,7.3,7.3,1.0,coinrun
130,130,1073152,7.8,7.2,1.0,coinrun
131,131,1081344,7.8,7.0,1.0,coinrun
132,132,1089536,7.2,6.4,1.0,coinrun
133,133,1097728,7.9,7.3,1.0,coinrun
134,134,1105920,7.8,6.4,1.0,coinrun
135,135,1114112,7.5,6.7,1.0,coinrun
136,136,1122304,7.9,7.1,1.0,coinrun
137,137,1130496,6.2,7.1,1.0,coinrun
138,138,1138688,8.2,7.2,1.0,coinrun
139,139,1146880,6.5,7.5,1.0,coinrun
140,140,1155072,7.4,7.4,1.0,coinrun
141,141,1163264,6.5,7.2,1.0,coinrun
142,142,1171456,6.8,7.0,1.0,coinrun
143,143,1179648,7.8,7.5,1.0,coinrun
144,144,1187840,7.8,6.8,1.0,coinrun
145,145,1196032,7.9,7.5,1.0,coinrun
146,146,1204224,8.0,7.3,1.0,coinrun
147,147,1212416,7.8,7.5,1.0,coinrun
148,148,1220608,7.4,7.2,1.0,coinrun
149,149,1228800,7.5,7.5,1.0,coinrun
150,150,1236992,7.8,7.7,1.0,coinrun
151,151,1245184,7.5,7.6,1.0,coinrun
152,152,1253376,7.3,6.7,1.0,coinrun
153,153,1261568,7.4,7.1,1.0,coinrun
154,154,1269760,6.9,6.7,1.0,coinrun
155,155,1277952,8.3,7.2,1.0,coinrun
156,156,1286144,7.2,6.2,1.0,coinrun
157,157,1294336,8.2,7.9,1.0,coinrun
158,158,1302528,8.0,7.6,1.0,coinrun
159,159,1310720,8.5,8.1,1.0,coinrun
160,160,1318912,7.8,7.6,1.0,coinrun
161,161,1327104,7.7,6.4,1.0,coinrun
162,162,1335296,8.6,7.6,1.0,coinrun
163,163,1343488,8.1,7.6,1.0,coinrun
164,164,1351680,8.2,7.6,1.0,coinrun
165,165,1359872,8.5,7.2,1.0,coinrun
166,166,1368064,7.7,7.0,1.0,coinrun
167,167,1376256,8.1,7.4,1.0,coinrun
168,168,1384448,8.0,7.0,1.0,coinrun
169,169,1392640,8.4,6.6,1.0,coinrun
170,170,1400832,8.3,6.7,1.0,coinrun
171,171,1409024,7.5,7.6,1.0,coinrun
172,172,1417216,8.1,7.2,1.0,coinrun
173,173,1425408,8.3,7.6,1.0,coinrun
174,174,1433600,7.9,7.4,1.0,coinrun
175,175,1441792,7.8,6.9,1.0,coinrun
176,176,1449984,7.6,7.8,1.0,coinrun
177,177,1458176,8.1,7.6,1.0,coinrun
178,178,1466368,7.7,8.3,1.0,coinrun
179,179,1474560,8.59468815,7.1,1.0,coinrun
180,180,1482752,8.48674491,7.8,1.0,coinrun
181,181,1490944,7.98123144,8.0,1.0,coinrun
182,182,1499136,8.472162039999999,7.7,1.0,coinrun
183,183,1507328,7.9701133,7.0,1.0,coinrun
184,184,1515520,8.16398458,7.1,1.0,coinrun
185,185,1523712,7.16590957,7.7,1.0,coinrun
186,186,1531904,8.36017566,8.0,1.0,coinrun
187,187,1540096,8.358264120000001,7.5,1.0,coinrun
188,188,1548288,7.85841732,8.2,1.0,coinrun
189,189,1556480,8.05503139,7.7,1.0,coinrun
190,190,1564672,8.052878999999999,8.3,1.0,coinrun
191,191,1572864,8.248471749999998,7.3,1.0,coinrun
192,192,1581056,9.13759313,7.4,1.0,coinrun
193,193,1589248,8.242229530000001,7.5,1.0,coinrun
194,194,1597440,8.53321022,7.8,1.0,coinrun
195,195,1605632,8.42892363,7.8,1.0,coinrun
196,196,1613824,7.63222808,7.9,1.0,coinrun
197,197,1622016,7.5304065200000005,7.4,1.0,coinrun
198,198,1630208,8.12161201,8.1,1.0,coinrun
199,199,1638400,8.61097361,7.8,1.0,coinrun
200,200,1646592,7.618372470000001,7.7,1.0,coinrun
201,201,1654784,8.21052232,8.0,1.0,coinrun
202,202,1662976,8.406441380000002,8.4,1.0,coinrun
203,203,1671168,8.79753446,8.3,1.0,coinrun
204,204,1679360,8.20307107,8.2,1.0,coinrun
205,205,1687552,8.299847510000001,8.4,1.0,coinrun
206,206,1695744,8.001900529999999,7.9,1.0,coinrun
207,207,1703936,8.10113265,8.6,1.0,coinrun
208,208,1712128,8.19743129,7.0,1.0,coinrun
209,209,1720320,8.095940309999998,7.3,1.0,coinrun
210,210,1728512,8.687419280000002,7.5,1.0,coinrun
211,211,1736704,8.09164291,6.8,1.0,coinrun
212,212,1744896,7.795493779999999,8.5,1.0,coinrun
213,213,1753088,7.794512640000001,7.8,1.0,coinrun
214,214,1761280,8.48473993,8.0,1.0,coinrun
215,215,1769472,8.385013820000001,8.2,1.0,coinrun
216,216,1777664,8.3836857,8.1,1.0,coinrun
217,217,1785856,7.790769800000001,7.6,1.0,coinrun
218,218,1794048,8.67782818,8.7,1.0,coinrun
219,219,1802240,8.47920432,8.0,1.0,coinrun
220,220,1810432,7.787223529999999,8.3,1.0,coinrun
221,221,1818624,8.47532675,7.9,1.0,coinrun
222,222,1826816,8.178464230000001,8.8,1.0,coinrun
223,223,1835008,7.882564509999998,7.9,1.0,coinrun
224,224,1843200,7.981071470000002,8.1,1.0,coinrun
225,225,1851392,8.174782460000001,7.5,1.0,coinrun
226,226,1859584,7.7795209,7.6,1.0,coinrun
227,227,1867776,8.466694200000001,8.7,1.0,coinrun
228,228,1875968,8.06985585,7.8,1.0,coinrun
229,229,1884160,8.26556292,7.8,1.0,coinrun
230,230,1892352,7.96825365,8.4,1.0,coinrun
231,231,1900544,8.062714629999999,8.2,1.0,coinrun
232,232,1908736,8.45186199,7.4,1.0,coinrun
233,233,1916928,8.15370452,7.9,1.0,coinrun
234,234,1925120,8.15288866,8.2,1.0,coinrun
235,235,1933312,8.44573328,8.7,1.0,coinrun
236,236,1941504,8.14704264,7.6,1.0,coinrun
237,237,1949696,8.82956434,6.6,1.0,coinrun
238,238,1957888,8.333358579999999,8.2,1.0,coinrun
239,239,1966080,8.427115370000001,7.6,1.0,coinrun
240,240,1974272,8.61963544,7.5,1.0,coinrun
241,241,1982464,8.51901048,7.8,1.0,coinrun
242,242,1990656,8.223270099999999,8.0,1.0,coinrun
243,243,1998848,8.12195479,8.0,1.0,coinrun
244,244,2007040,8.413226909999999,7.6,1.0,coinrun
245,245,2015232,8.31161515,8.2,1.0,coinrun
246,246,2023424,8.60271262,8.0,1.0,coinrun
247,247,2031616,8.0143468,7.6,1.0,coinrun
248,248,2039808,8.21041234,8.0,1.0,coinrun
249,249,2048000,8.50314385,7.9,1.0,coinrun
250,250,2056192,8.795844339999999,8.1,1.0,coinrun
251,251,2064384,8.401478249999998,8.3,1.0,coinrun
252,252,2072576,7.911451049999999,8.4,1.0,coinrun
253,253,2080768,8.790361490000002,7.9,1.0,coinrun
254,254,2088960,8.98376304,8.3,1.0,coinrun
255,255,2097152,8.201252929999999,8.3,1.0,coinrun
256,256,2105344,7.908007779999999,7.9,1.0,coinrun
257,257,2113536,8.397368460000001,8.4,1.0,coinrun
258,258,2121728,8.39752731,8.6,1.0,coinrun
259,259,2129920,8.20303507,7.8,1.0,coinrun
260,260,2138112,8.98285446,7.3,1.0,coinrun
261,261,2146304,8.103428699999998,7.9,1.0,coinrun
262,262,2154496,8.396935390000001,8.3,1.0,coinrun
263,263,2162688,8.982824119999998,8.3,1.0,coinrun
264,264,2170880,8.786868870000001,8.0,1.0,coinrun
265,265,2179072,8.299582989999998,7.8,1.0,coinrun
266,266,2187264,8.300170099999997,8.1,1.0,coinrun
267,267,2195456,8.00780765,8.1,1.0,coinrun
268,268,2203648,7.718209710000001,7.7,1.0,coinrun
269,269,2211840,8.89172455,7.7,1.0,coinrun
270,270,2220032,8.209614040000002,8.2,1.0,coinrun
271,271,2228224,8.20988473,8.2,1.0,coinrun
272,272,2236416,8.408055059999999,8.3,1.0,coinrun
273,273,2244608,8.50679216,7.9,1.0,coinrun
274,274,2252800,8.802125509999998,8.0,1.0,coinrun
275,275,2260992,8.51037289,7.8,1.0,coinrun
276,276,2269184,8.21621902,7.6,1.0,coinrun
277,277,2277376,8.705061800000001,8.4,1.0,coinrun
278,278,2285568,8.215715099999999,7.9,1.0,coinrun
279,279,2293760,8.215379669999999,8.8,1.0,coinrun
280,280,2301952,8.313180049999998,8.4,1.0,coinrun
281,281,2310144,7.629413790000001,8.4,1.0,coinrun
282,282,2318336,8.50926915,8.2,1.0,coinrun
283,283,2326528,7.824279870000001,7.9,1.0,coinrun
284,284,2334720,8.995939449999998,8.0,1.0,coinrun
285,285,2342912,8.017047779999999,8.3,1.0,coinrun
286,286,2351104,8.11473562,8.6,1.0,coinrun
287,287,2359296,8.89492074,8.6,1.0,coinrun
288,288,2367488,8.30623095,8.0,1.0,coinrun
289,289,2375680,8.693847889999999,8.0,1.0,coinrun
290,290,2383872,7.424715279999999,8.0,1.0,coinrun
291,291,2392064,9.084883240000002,8.4,1.0,coinrun
292,292,2400256,8.69024157,8.2,1.0,coinrun
293,293,2408448,8.687264859999999,8.2,1.0,coinrun
294,294,2416640,7.609345050000001,8.3,1.0,coinrun
295,295,2424832,7.706229909999999,8.6,1.0,coinrun
296,296,2433024,8.485353700000001,8.2,1.0,coinrun
297,297,2441216,8.58072965,9.1,1.0,coinrun
298,298,2449408,8.38412027,7.8,1.0,coinrun
299,299,2457600,8.18672552,7.8,1.0,coinrun
300,300,2465792,8.183421449999999,7.9,1.0,coinrun
301,301,2473984,8.76378908,7.7,1.0,coinrun
302,302,2482176,8.858242780000001,8.1,1.0,coinrun
303,303,2490368,8.565387090000002,7.9,1.0,coinrun
304,304,2498560,8.85599892,8.3,1.0,coinrun
305,305,2506752,8.94971396,8.2,1.0,coinrun
306,306,2514944,8.169599250000001,8.2,1.0,coinrun
307,307,2523136,8.2678943,7.9,1.0,coinrun
308,308,2531328,8.6582039,8.6,1.0,coinrun
309,309,2539520,8.56133185,8.0,1.0,coinrun
310,310,2547712,8.365193930000002,8.2,1.0,coinrun
311,311,2555904,8.85074769,8.4,1.0,coinrun
312,312,2564096,8.5577537,7.7,1.0,coinrun
313,313,2572288,8.458760380000001,8.6,1.0,coinrun
314,314,2580480,8.944040120000002,8.3,1.0,coinrun
315,315,2588672,8.65104345,8.8,1.0,coinrun
316,316,2596864,8.649140280000001,8.5,1.0,coinrun
317,317,2605056,8.54916811,8.8,1.0,coinrun
318,318,2613248,7.76964655,7.9,1.0,coinrun
319,319,2621440,8.25423293,8.6,1.0,coinrun
320,320,2629632,8.54600477,8.6,1.0,coinrun
321,321,2637824,8.837378739999998,8.8,1.0,coinrun
322,322,2646016,8.64420785,8.3,1.0,coinrun
323,323,2654208,8.83613529,7.9,1.0,coinrun
324,324,2662400,8.73838095,8.5,1.0,coinrun
325,325,2670592,8.73725921,8.7,1.0,coinrun
326,326,2678784,8.05601515,8.7,1.0,coinrun
327,327,2686976,8.637768270000002,9.0,1.0,coinrun
328,328,2695168,8.8289411,8.4,1.0,coinrun
329,329,2703360,8.72890374,8.5,1.0,coinrun
330,330,2711552,8.53175291,9.0,1.0,coinrun
331,331,2719744,8.820527210000002,9.0,1.0,coinrun
332,332,2727936,8.72005453,8.6,1.0,coinrun
333,333,2736128,9.009064949999999,8.9,1.0,coinrun
334,334,2744320,9.00779918,7.9,1.0,coinrun
335,335,2752512,8.23113081,8.2,1.0,coinrun
336,336,2760704,9.00371235,8.3,1.0,coinrun
337,337,2768896,8.32492715,8.5,1.0,coinrun
338,338,2777088,8.807648579999999,8.3,1.0,coinrun
339,339,2785280,8.708419870000002,8.6,1.0,coinrun
340,340,2793472,8.900886969999998,8.1,1.0,coinrun
341,341,2801664,8.60897357,8.4,1.0,coinrun
342,342,2809856,8.89778615,8.3,1.0,coinrun
343,343,2818048,8.509325380000002,7.6,1.0,coinrun
344,344,2826240,8.894019530000001,8.1,1.0,coinrun
345,345,2834432,8.990097310000001,8.7,1.0,coinrun
346,346,2842624,9.0846222,8.5,1.0,coinrun
347,347,2850816,9.177817659999999,8.7,1.0,coinrun
348,348,2859008,8.9812105,8.5,1.0,coinrun
349,349,2867200,8.39925868,8.6,1.0,coinrun
350,350,2875392,8.49503483,8.6,1.0,coinrun
351,351,2883584,8.78393327,9.2,1.0,coinrun
352,352,2891776,9.2630768,8.7,1.0,coinrun
353,353,2899968,8.29552391,8.3,1.0,coinrun
354,354,2908160,9.16066022,7.9,1.0,coinrun
355,355,2916352,8.6759953,7.9,1.0,coinrun
356,356,2924544,8.86662078,8.59998057,1.0,coinrun
357,357,2932736,8.96078696,8.599033279999999,1.0,coinrun
358,358,2940928,8.57312197,8.396194139999999,1.0,coinrun
359,359,2949120,8.86031642,7.695956659999999,1.0,coinrun
360,360,2957312,8.857848259999999,8.79386281,1.0,coinrun
361,361,2965504,8.18198065,8.99085689,1.0,coinrun
362,362,2973696,8.56645863,8.788939759999998,1.0,coinrun
363,363,2981888,8.46814594,8.488137889999999,1.0,coinrun
364,364,2990080,8.466954189999997,7.98675288,1.0,coinrun
365,365,2998272,9.42768319,8.484828550000001,1.0,coinrun
366,366,3006464,8.751867720000002,8.881861590000002,1.0,coinrun
367,367,3014656,8.653635450000001,8.779744209999999,1.0,coinrun
368,368,3022848,8.36398452,8.676521450000001,1.0,coinrun
369,369,3031040,9.324605680000001,8.475357820000001,1.0,coinrun
370,370,3039232,9.128336039999999,8.871228809999998,1.0,coinrun
371,371,3047424,8.93332251,9.06703749,1.0,coinrun
372,372,3055616,8.93103787,8.565025890000001,1.0,coinrun
373,373,3063808,8.832852189999999,8.06390517,1.0,coinrun
374,374,3072000,7.967160669999999,8.55931229,1.0,coinrun
375,375,3080192,8.63718636,8.75442511,1.0,coinrun
376,376,3088384,8.538028930000001,8.057098840000002,1.0,coinrun
377,377,3096576,8.823784980000001,8.75184912,1.0,coinrun
378,378,3104768,8.43770483,8.252927470000001,1.0,coinrun
379,379,3112960,9.106007870000001,8.74718601,1.0,coinrun
380,380,3121152,8.911634129999998,8.545363980000001,1.0,coinrun
381,381,3129344,8.524610639999999,8.839797279999999,1.0,coinrun
382,382,3137536,8.521917299999998,8.73690225,1.0,coinrun
383,383,3145728,8.901661250000002,8.63474076,1.0,coinrun
384,384,3153920,9.09051716,8.332956620000001,1.0,coinrun
385,385,3162112,8.036153070000001,8.62727768,1.0,coinrun
386,386,3170304,9.08668849,8.32691173,1.0,coinrun
387,387,3178496,8.319633000000001,8.52272765,1.0,coinrun
388,388,3186688,8.795588250000002,9.01512177,1.0,coinrun
389,389,3194880,8.88944525,8.319278230000002,1.0,coinrun
390,390,3203072,8.982820610000001,8.813069119999998,1.0,coinrun
391,391,3211264,9.07608435,8.31784794,1.0,coinrun
392,392,3219456,8.5966132,8.41667095,1.0,coinrun
393,393,3227648,8.78691362,8.119794789999998,1.0,coinrun
394,394,3235840,8.59500843,8.81282635,1.0,coinrun
395,395,3244032,8.6903882,8.316916070000001,1.0,coinrun
396,396,3252224,8.307720230000001,9.008394679999999,1.0,coinrun
397,397,3260416,8.784938180000001,8.808072329999998,1.0,coinrun
398,398,3268608,9.07065322,8.608940179999998,1.0,coinrun
399,399,3276800,8.97424025,8.5081247,1.0,coinrun
400,400,3284992,8.972112130000001,8.802565240000002,1.0,coinrun
401,401,3293184,8.87431318,8.504536690000002,1.0,coinrun
402,402,3301376,9.158798519999998,8.502530720000003,1.0,coinrun
403,403,3309568,9.062434589999999,7.7116128900000005,1.0,coinrun
404,404,3317760,8.77412456,9.09577095,1.0,coinrun
405,405,3325952,8.773432770000001,8.30276511,1.0,coinrun
406,406,3334144,8.96157203,8.5980477,1.0,coinrun
407,407,3342336,8.67359409,8.793170620000001,1.0,coinrun
408,408,3350528,9.14790612,8.495406919999999,1.0,coinrun
409,409,3358720,9.0512088,8.594140110000001,1.0,coinrun
410,410,3366912,8.57451401,8.19894225,1.0,coinrun
411,411,3375104,8.38326075,8.69258593,1.0,coinrun
412,412,3383296,8.09845475,8.09970474,1.0,coinrun
413,413,3391488,8.95433127,8.987489010000001,1.0,coinrun
414,414,3399680,8.76261204,8.985456090000001,1.0,coinrun
415,415,3407872,8.856155439999998,8.98263161,1.0,coinrun
416,416,3416064,9.235171560000001,8.783669389999998,1.0,coinrun
417,417,3424256,9.13690603,8.683243449999999,1.0,coinrun
418,418,3432448,8.753918709999999,8.484143809999999,1.0,coinrun
419,419,3440640,8.84670429,8.18713575,1.0,coinrun
420,420,3448832,8.56093471,8.285195089999998,1.0,coinrun
421,421,3457024,8.46427554,8.28414094,1.0,coinrun
422,422,3465216,8.74802077,8.283234940000002,1.0,coinrun
423,423,3473408,8.366350829999998,8.57826956,1.0,coinrun
424,424,3481600,8.36550684,7.887346629999999,1.0,coinrun
425,425,3489792,8.64938834,8.47825099,1.0,coinrun
426,426,3497984,8.55170045,8.379230190000001,1.0,coinrun
427,427,3506176,8.74063229,8.57698654,1.0,coinrun
428,428,3514368,8.739340069999999,8.28017253,1.0,coinrun
429,429,3522560,9.020465300000001,8.37823818,1.0,coinrun
430,430,3530752,8.354145919999999,7.883972909999998,1.0,coinrun
431,431,3538944,8.5428815,8.17778979,1.0,coinrun
432,432,3547136,8.82647336,8.96305271,1.0,coinrun
433,433,3555328,8.825334269999999,7.876907819999998,1.0,coinrun
434,434,3563520,9.10727571,8.95822377,1.0,coinrun
435,435,3571712,8.726232090000002,8.562495089999999,1.0,coinrun
436,436,3579904,8.818180069999999,8.56004474,1.0,coinrun
437,437,3588096,9.09942358,8.8523726,1.0,coinrun
438,438,3596288,8.812663280000002,8.652998850000001,1.0,coinrun
439,439,3604480,8.90471256,8.944287430000001,1.0,coinrun
440,440,3612672,8.33465868,8.646469459999999,1.0,coinrun
441,441,3620864,8.616314330000002,9.03592725,1.0,coinrun
442,442,3629056,8.613466370000001,8.935094059999999,1.0,coinrun
443,443,3637248,8.894621149999999,8.245656669999999,1.0,coinrun
444,444,3645440,9.1769428,8.342124890000001,1.0,coinrun
445,445,3653632,8.79644577,8.732416269999998,1.0,coinrun
446,446,3661824,8.606380260000002,8.337345149999997,1.0,coinrun
447,447,3670016,8.50973375,8.23569956,1.0,coinrun
448,448,3678208,8.506909819999999,7.93945467,1.0,coinrun
449,449,3686400,8.78776774,8.91621588,1.0,coinrun
450,450,3694592,8.595744439999999,8.03172559,1.0,coinrun
451,451,3702784,8.78121702,7.6378594,1.0,coinrun
452,452,3710976,9.06030128,8.22304444,1.0,coinrun
453,453,3719168,8.8688664,8.61082267,1.0,coinrun
454,454,3727360,8.7708775,8.11889292,1.0,coinrun
455,455,3735552,9.05078126,8.31356312,1.0,coinrun
456,456,3743744,8.577300260000001,8.018027530000001,1.0,coinrun
