,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,1.1111111111111112,3.3333333333333335,-0.18394964933395386,coinrun
1,1,16384,0.7142857142857143,5.0,-0.12465771287679672,coinrun
2,2,24576,2.9166666666666665,4.166666666666667,-0.028778424486517906,coinrun
3,3,32768,2.5641025641025643,2.926829268292683,-0.14142833650112152,coinrun
4,4,40960,2.7450980392156863,3.076923076923077,0.04662293195724487,coinrun
5,5,49152,2.8813559322033897,2.8813559322033897,0.11814156919717789,coinrun
6,6,57344,2.7777777777777777,2.898550724637681,-0.18112708628177643,coinrun
7,7,65536,2.808988764044944,3.1818181818181817,0.12279592454433441,coinrun
8,8,73728,2.9,3.2,0.17402325570583344,coinrun
9,9,81920,3.3,3.6,0.29593271017074585,coinrun
10,10,90112,4.4,4.1,0.2511656582355499,coinrun
11,11,98304,5.6,4.2,-0.021244414150714874,coinrun
12,12,106496,5.3,5.6,-0.14321747422218323,coinrun
13,13,114688,5.6,5.5,-0.159329354763031,coinrun
14,14,122880,6.3,4.9,-0.16288407146930695,coinrun
15,15,131072,6.4,5.0,0.22732648253440857,coinrun
16,16,139264,6.7,5.1,0.9979032874107361,coinrun
17,17,147456,6.3,5.8,0.8571544885635376,coinrun
18,18,155648,6.0,5.4,0.5289784669876099,coinrun
19,19,163840,6.0,5.9,0.2921656668186188,coinrun
20,20,172032,6.9,5.0,0.08945314586162567,coinrun
21,21,180224,6.4,5.2,-0.06250455975532532,coinrun
22,22,188416,6.2,5.7,0.14902792870998383,coinrun
23,23,196608,6.6,5.7,0.03044477105140686,coinrun
24,24,204800,6.4,6.7,0.20229467749595642,coinrun
25,25,212992,6.4,5.5,0.5002201795578003,coinrun
26,26,221184,6.3,6.5,0.11795548349618912,coinrun
27,27,229376,6.4,5.8,0.2933034300804138,coinrun
28,28,237568,6.5,7.0,0.15719690918922424,coinrun
29,29,245760,6.9,6.9,0.3663642704486847,coinrun
30,30,253952,6.8,6.4,0.4980514347553253,coinrun
31,31,262144,6.7,6.5,0.683779239654541,coinrun
32,32,270336,6.2,5.2,0.337049275636673,coinrun
33,33,278528,6.6,6.3,0.17876742780208588,coinrun
34,34,286720,7.1,6.7,0.3251243531703949,coinrun
35,35,294912,7.7,6.2,0.584161639213562,coinrun
36,36,303104,6.0,6.2,0.7914437055587769,coinrun
37,37,311296,6.8,6.5,0.8675503134727478,coinrun
38,38,319488,6.4,6.3,0.8134569525718689,coinrun
39,39,327680,6.4,6.5,0.7025334239006042,coinrun
40,40,335872,6.3,5.9,0.3379462659358978,coinrun
41,41,344064,6.9,6.1,1.0,coinrun
42,42,352256,6.6,6.3,0.9959648847579956,coinrun
43,43,360448,6.0,6.4,0.8733285069465637,coinrun
44,44,368640,5.9,6.6,1.0,coinrun
45,45,376832,5.0,5.1,1.0,coinrun
46,46,385024,6.1,5.9,0.9597774744033813,coinrun
47,47,393216,5.9,6.1,1.0,coinrun
48,48,401408,7.1,6.6,0.977765679359436,coinrun
49,49,409600,7.0,5.2,0.9962026476860046,coinrun
50,50,417792,7.2,5.9,1.0,coinrun
51,51,425984,7.0,5.8,1.0,coinrun
52,52,434176,6.0,5.5,0.4569508135318756,coinrun
53,53,442368,6.7,6.6,0.6461618542671204,coinrun
54,54,450560,6.4,5.2,0.8757955431938171,coinrun
55,55,458752,6.6,5.4,1.0,coinrun
56,56,466944,6.5,5.8,1.0,coinrun
57,57,475136,6.4,5.8,1.0,coinrun
58,58,483328,6.9,6.2,1.0,coinrun
59,59,491520,6.6,6.3,1.0,coinrun
60,60,499712,7.0,6.5,1.0,coinrun
