,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,6.0,7.5,0.8125302791595459,coinrun
1,1,16384,5.714285714285714,4.0,1.0,coinrun
2,2,24576,6.129032258064516,4.166666666666667,1.0,coinrun
3,3,32768,5.0,3.255813953488372,1.0,coinrun
4,4,40960,4.761904761904762,3.7037037037037037,1.0,coinrun
5,5,49152,4.805194805194805,3.5714285714285716,1.0,coinrun
6,6,57344,4.22680412371134,3.4444444444444446,1.0,coinrun
7,7,65536,4.2,3.8,1.0,coinrun
8,8,73728,4.6,4.4,1.0,coinrun
9,9,81920,6.1,5.1,1.0,coinrun
10,10,90112,5.6,5.2,1.0,coinrun
11,11,98304,5.2,4.4,1.0,coinrun
12,12,106496,4.9,4.6,1.0,coinrun
13,13,114688,5.4,5.4,1.0,coinrun
14,14,122880,6.0,4.7,1.0,coinrun
15,15,131072,6.4,5.6,1.0,coinrun
16,16,139264,5.4,6.0,1.0,coinrun
17,17,147456,5.4,5.3,1.0,coinrun
18,18,155648,6.4,6.3,1.0,coinrun
19,19,163840,6.5,4.9,1.0,coinrun
20,20,172032,6.6,6.5,1.0,coinrun
21,21,180224,6.0,6.0,1.0,coinrun
22,22,188416,5.9,5.9,1.0,coinrun
23,23,196608,5.2,6.0,1.0,coinrun
24,24,204800,5.8,6.0,1.0,coinrun
25,25,212992,6.2,6.3,1.0,coinrun
26,26,221184,6.5,5.3,1.0,coinrun
27,27,229376,5.8,5.2,1.0,coinrun
28,28,237568,6.4,5.8,1.0,coinrun
29,29,245760,6.4,6.2,1.0,coinrun
30,30,253952,6.5,6.2,1.0,coinrun
31,31,262144,6.4,5.0,1.0,coinrun
32,32,270336,7.1,5.9,1.0,coinrun
33,33,278528,6.5,6.2,1.0,coinrun
34,34,286720,5.5,4.8,1.0,coinrun
35,35,294912,6.5,7.0,1.0,coinrun
36,36,303104,6.5,6.1,1.0,coinrun
37,37,311296,7.3,5.7,1.0,coinrun
38,38,319488,6.5,7.0,1.0,coinrun
39,39,327680,6.8,6.6,1.0,coinrun
40,40,335872,6.3,6.2,1.0,coinrun
41,41,344064,6.6,5.8,1.0,coinrun
42,42,352256,6.8,6.6,1.0,coinrun
43,43,360448,6.8,6.6,1.0,coinrun
44,44,368640,6.2,5.9,1.0,coinrun
45,45,376832,7.0,5.4,1.0,coinrun
46,46,385024,7.2,5.9,1.0,coinrun
47,47,393216,7.2,6.4,1.0,coinrun
48,48,401408,7.2,6.8,1.0,coinrun
49,49,409600,6.7,5.5,1.0,coinrun
50,50,417792,6.2,6.8,1.0,coinrun
51,51,425984,7.1,5.9,1.0,coinrun
52,52,434176,7.1,7.4,1.0,coinrun
53,53,442368,7.1,6.3,1.0,coinrun
54,54,450560,7.3,7.0,1.0,coinrun
55,55,458752,6.9,6.3,1.0,coinrun
56,56,466944,7.1,5.6,1.0,coinrun
57,57,475136,6.1,6.3,1.0,coinrun
58,58,483328,6.8,7.4,1.0,coinrun
59,59,491520,6.9,7.0,1.0,coinrun
60,60,499712,6.4,5.0,1.0,coinrun
61,61,507904,5.8,6.1,1.0,coinrun
62,62,516096,6.1,6.9,1.0,coinrun
63,63,524288,7.0,6.6,1.0,coinrun
64,64,532480,6.8,6.2,1.0,coinrun
65,65,540672,7.1,6.5,1.0,coinrun
66,66,548864,6.2,6.5,1.0,coinrun
67,67,557056,6.2,6.2,1.0,coinrun
68,68,565248,6.2,6.6,1.0,coinrun
69,69,573440,6.3,6.6,1.0,coinrun
70,70,581632,7.0,7.4,1.0,coinrun
71,71,589824,6.5,6.4,1.0,coinrun
72,72,598016,6.4,6.1,1.0,coinrun
73,73,606208,7.0,6.7,1.0,coinrun
74,74,614400,6.6,5.7,1.0,coinrun
75,75,622592,6.8,5.9,1.0,coinrun
76,76,630784,6.5,6.6,1.0,coinrun
77,77,638976,7.2,6.6,1.0,coinrun
78,78,647168,6.6,6.9,1.0,coinrun
79,79,655360,6.9,6.6,1.0,coinrun
80,80,663552,6.9,6.6,1.0,coinrun
81,81,671744,7.2,6.6,1.0,coinrun
82,82,679936,7.2,7.4,1.0,coinrun
83,83,688128,6.7,5.9,1.0,coinrun
84,84,696320,6.6,6.2,1.0,coinrun
85,85,704512,6.4,6.3,1.0,coinrun
86,86,712704,6.9,6.9,1.0,coinrun
87,87,720896,6.2,5.8,1.0,coinrun
