,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,10.0,1.4285714285714286,-0.18669770658016205,coinrun
1,1,16384,5.714285714285714,5.0,0.7439683675765991,coinrun
2,2,24576,5.2,4.615384615384615,0.923793375492096,coinrun
3,3,32768,3.3333333333333335,3.902439024390244,0.9886162281036377,coinrun
4,4,40960,3.389830508474576,3.6666666666666665,0.9797598123550415,coinrun
5,5,49152,3.6904761904761907,3.875,0.9712860584259033,coinrun
6,6,57344,3.5,4.1,0.9908102750778198,coinrun
7,7,65536,3.7,4.5,0.9852994084358215,coinrun
8,8,73728,4.6,4.7,0.9722092747688293,coinrun
9,9,81920,4.8,4.3,0.9668036699295044,coinrun
10,10,90112,5.1,4.4,0.9961363077163696,coinrun
11,11,98304,5.1,4.3,0.9918509721755981,coinrun
12,12,106496,4.4,4.7,0.9016469120979309,coinrun
13,13,114688,5.2,4.9,0.9979544281959534,coinrun
14,14,122880,5.0,4.7,0.9851091504096985,coinrun
15,15,131072,4.7,5.4,0.9794760942459106,coinrun
16,16,139264,4.7,5.8,0.9880564212799072,coinrun
17,17,147456,4.9,5.5,0.9586377143859863,coinrun
18,18,155648,5.7,5.1,0.9902812838554382,coinrun
19,19,163840,5.5,5.5,0.9790359139442444,coinrun
20,20,172032,5.8,5.3,0.9924511909484863,coinrun
21,21,180224,5.7,5.2,0.9875562787055969,coinrun
22,22,188416,7.3,6.0,0.9952037930488586,coinrun
23,23,196608,7.1,4.9,0.9908602237701416,coinrun
24,24,204800,6.2,4.8,0.9621415734291077,coinrun
25,25,212992,6.2,5.5,0.9829148650169373,coinrun
26,26,221184,5.3,6.1,0.9189245104789734,coinrun
27,27,229376,6.7,6.3,0.9794487953186035,coinrun
28,28,237568,6.3,6.0,0.9738630652427673,coinrun
29,29,245760,5.8,6.3,0.9496389627456665,coinrun
30,30,253952,6.5,5.9,0.9743712544441223,coinrun
31,31,262144,6.2,5.6,0.9468199014663696,coinrun
32,32,270336,6.7,5.7,0.9670389890670776,coinrun
33,33,278528,5.5,5.4,0.9512657523155212,coinrun
34,34,286720,5.8,6.1,0.9806186556816101,coinrun
35,35,294912,6.9,6.6,0.9833695292472839,coinrun
