,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,5.0,4.0,-0.04501152038574219,coinrun
1,1,16384,5.384615384615385,3.3333333333333335,-0.08775995671749115,coinrun
2,2,24576,4.782608695652174,3.8095238095238093,-0.06974241882562637,coinrun
3,3,32768,3.953488372093023,3.0952380952380953,-0.05914446711540222,coinrun
4,4,40960,3.8596491228070176,3.508771929824561,-0.048262737691402435,coinrun
5,5,49152,3.9240506329113924,3.5714285714285716,-0.03660450875759125,coinrun
6,6,57344,4.5,4.3,-0.036236390471458435,coinrun
7,7,65536,5.4,4.8,-0.0389881432056427,coinrun
8,8,73728,5.4,5.2,-0.037393465638160706,coinrun
9,9,81920,5.2,5.2,-0.042375389486551285,coinrun
10,10,90112,5.6,5.4,-0.015536447055637836,coinrun
11,11,98304,5.7,5.0,-0.009163658134639263,coinrun
12,12,106496,5.4,4.8,-0.012838361784815788,coinrun
13,13,114688,5.0,5.3,-0.015940217301249504,coinrun
14,14,122880,4.8,4.8,-0.021160172298550606,coinrun
15,15,131072,6.5,4.0,0.0024251181166619062,coinrun
16,16,139264,5.8,5.9,-0.02306916005909443,coinrun
17,17,147456,5.1,6.0,-0.035066697746515274,coinrun
18,18,155648,6.3,5.4,-0.01387111097574234,coinrun
19,19,163840,6.9,6.5,-0.0026932295877486467,coinrun
20,20,172032,5.5,5.8,-0.020337119698524475,coinrun
21,21,180224,5.2,5.9,-0.01058811042457819,coinrun
22,22,188416,6.5,5.9,-0.01646236516535282,coinrun
23,23,196608,6.7,4.8,-0.03131691738963127,coinrun
24,24,204800,6.1,5.6,-0.014122171327471733,coinrun
25,25,212992,6.1,5.9,-0.029210252687335014,coinrun
26,26,221184,6.7,5.8,-0.01821531355381012,coinrun
27,27,229376,6.0,5.4,-0.01952042244374752,coinrun
28,28,237568,6.9,6.0,-0.02464394085109234,coinrun
29,29,245760,6.0,6.5,-0.016834966838359833,coinrun
30,30,253952,6.6,6.2,-0.026356417685747147,coinrun
31,31,262144,5.9,6.3,-0.007233151234686375,coinrun
32,32,270336,6.0,6.7,-0.027383089065551758,coinrun
33,33,278528,7.1,6.2,-0.011591744609177113,coinrun
34,34,286720,6.4,7.1,-0.01268098596483469,coinrun
35,35,294912,6.9,6.2,0.02425587922334671,coinrun
36,36,303104,6.6,6.8,-0.0046006012707948685,coinrun
37,37,311296,6.3,6.0,-0.023827554658055305,coinrun
38,38,319488,6.3,5.9,0.004115445073693991,coinrun
39,39,327680,7.1,5.9,-0.011109357699751854,coinrun
40,40,335872,6.8,7.1,-0.030189689248800278,coinrun
41,41,344064,6.7,6.7,-0.018742159008979797,coinrun
42,42,352256,6.6,6.5,-0.05279975011944771,coinrun
43,43,360448,7.0,5.8,-0.02080581523478031,coinrun
44,44,368640,6.2,6.3,-0.01602819375693798,coinrun
45,45,376832,7.1,6.7,-0.021479440852999687,coinrun
46,46,385024,6.3,6.4,-0.03834816813468933,coinrun
47,47,393216,7.3,6.2,-0.049478642642498016,coinrun
48,48,401408,6.8,7.1,-0.0005580579163506627,coinrun
49,49,409600,7.5,6.6,-0.036580346524715424,coinrun
50,50,417792,6.5,6.0,-0.04743972420692444,coinrun
51,51,425984,7.4,6.7,-0.047189485281705856,coinrun
52,52,434176,6.2,5.9,-0.04660814255475998,coinrun
53,53,442368,6.9,6.9,-0.05495104193687439,coinrun
54,54,450560,6.4,5.8,-0.04353021830320358,coinrun
55,55,458752,7.5,6.8,-0.026707379147410393,coinrun
56,56,466944,7.0,6.8,-0.046711284667253494,coinrun
57,57,475136,7.4,7.2,-0.03356476500630379,coinrun
58,58,483328,7.1,6.3,-0.04638988524675369,coinrun
59,59,491520,6.4,6.6,-0.03848103806376457,coinrun
60,60,499712,7.0,6.5,-0.052063971757888794,coinrun
61,61,507904,6.7,7.0,-0.065435491502285,coinrun
62,62,516096,7.0,6.2,-0.062164537608623505,coinrun
63,63,524288,6.4,6.5,-0.07224975526332855,coinrun
64,64,532480,7.2,6.8,-0.033243149518966675,coinrun
65,65,540672,6.9,5.8,-0.0534558929502964,coinrun
66,66,548864,7.3,7.0,-0.06587355583906174,coinrun
67,67,557056,7.3,7.8,-0.046626657247543335,coinrun
68,68,565248,7.0,6.5,-0.0580269880592823,coinrun
69,69,573440,7.1,6.8,-0.07707170397043228,coinrun
70,70,581632,7.7,7.6,-0.046947184950113297,coinrun
71,71,589824,7.0,6.3,-0.053350672125816345,coinrun
72,72,598016,6.9,6.8,-0.05800921842455864,coinrun
73,73,606208,6.6,6.3,-0.07294432073831558,coinrun
74,74,614400,6.6,6.8,-0.05912204459309578,coinrun
75,75,622592,6.7,6.5,-0.04749392718076706,coinrun
76,76,630784,7.1,6.1,-0.05089952424168587,coinrun
77,77,638976,6.7,6.4,-0.06850051879882812,coinrun
78,78,647168,7.0,6.3,-0.05873890593647957,coinrun
79,79,655360,7.0,6.8,-0.049547336995601654,coinrun
80,80,663552,7.2,6.7,-0.041466377675533295,coinrun
81,81,671744,6.4,6.8,-0.06553062796592712,coinrun
82,82,679936,7.2,6.3,-0.07402336597442627,coinrun
83,83,688128,7.5,7.3,-0.07272405177354813,coinrun
84,84,696320,7.4,7.6,-0.06015703082084656,coinrun
85,85,704512,8.3,7.0,-0.04680045694112778,coinrun
86,86,712704,7.5,7.1,-0.07462534308433533,coinrun
87,87,720896,7.5,6.1,-0.05296239256858826,coinrun
88,88,729088,7.6,6.5,-0.05505063757300377,coinrun
89,89,737280,6.2,7.3,-0.0757228210568428,coinrun
90,90,745472,7.1,6.2,-0.05011653155088425,coinrun
91,91,753664,6.7,5.7,-0.07682571560144424,coinrun
92,92,761856,7.9,6.5,-0.056227199733257294,coinrun
93,93,770048,7.3,7.2,-0.054520294070243835,coinrun
94,94,778240,6.9,7.2,-0.06134342402219772,coinrun
95,95,786432,7.3,7.9,-0.0657561793923378,coinrun
96,96,794624,6.7,6.5,-0.0546560138463974,coinrun
97,97,802816,7.9,7.3,-0.05323498323559761,coinrun
98,98,811008,7.3,7.2,-0.05803118646144867,coinrun
99,99,819200,6.899188400000001,6.8,-0.05688147246837616,coinrun
100,100,827392,7.091702730000001,6.3,-0.05797718092799187,coinrun
101,101,835584,7.183230140000001,6.5,-0.06057437136769295,coinrun
102,102,843776,6.77773406,6.9,-0.06543515622615814,coinrun
103,103,851968,7.463624040000001,6.7,-0.060057107359170914,coinrun
104,104,860160,7.455369120000001,7.1,-0.07200714200735092,coinrun
105,105,868352,6.751625999999999,7.2,-0.03169196471571922,coinrun
106,106,876544,6.64778083,6.7,-0.06843525916337967,coinrun
107,107,884736,7.13482856,7.2,-0.06558029353618622,coinrun
108,108,892928,7.423413010000002,7.1,-0.043471433222293854,coinrun
109,109,901120,7.01693579,6.6,-0.027583511546254158,coinrun
110,110,909312,7.108841670000001,6.6,-0.047221627086400986,coinrun
111,111,917504,6.999448930000001,6.4,-0.024834629148244858,coinrun
112,112,925696,7.185145210000001,7.0,-0.020620301365852356,coinrun
113,113,933888,6.882639940000002,6.4,-0.0008247499354183674,coinrun
114,114,942080,8.04876249,6.9,-0.02207084558904171,coinrun
115,115,950272,7.349939410000001,6.7,-0.021726038306951523,coinrun
116,116,958464,6.854800409999999,6.2,-0.05015352740883827,coinrun
117,117,966656,7.6318807500000005,6.9,-0.030484242364764214,coinrun
118,118,974848,6.93724573,7.0,0.007257003337144852,coinrun
119,119,983040,6.64168396,6.7,-0.018784908577799797,coinrun
120,120,991232,7.1235973999999995,6.4,-0.01861947774887085,coinrun
121,121,999424,6.82212732,6.1,-0.028115231543779373,coinrun
