,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,0.91223708,0.70507463,-0.16660776734352112,dodgeball
1,1,16384,0.68410949,0.9651413699999999,0.9506301283836365,dodgeball
2,2,24576,1.00076587,1.07874845,0.9943398237228394,dodgeball
3,3,32768,1.04831765,1.20879908,0.9975146055221558,dodgeball
4,4,40960,0.8484532,1.17382508,1.0,dodgeball
5,5,49152,0.87462412,1.22141293,1.0,dodgeball
6,6,57344,0.84740653,1.23441526,1.0,dodgeball
7,7,65536,1.07180514,1.3072715,1.0,dodgeball
8,8,73728,1.0946403800000002,1.0290526,1.0,dodgeball
9,9,81920,1.0281555999999998,1.72934759,1.0,dodgeball
10,10,90112,1.7970824,1.6234526399999998,1.0,dodgeball
11,11,98304,1.2043780899999998,1.3297828,1.0,dodgeball
12,12,106496,1.0964621100000003,1.2942253899999998,1.0,dodgeball
13,13,114688,1.27733488,1.05260622,0.9954423904418945,dodgeball
14,14,122880,1.50048989,1.36681038,1.0,dodgeball
15,15,131072,1.48477583,1.9104619100000002,1.0,dodgeball
16,16,139264,1.4488821099999998,2.14923052,1.0,dodgeball
17,17,147456,1.4033910500000002,2.0929465599999997,1.0,dodgeball
18,18,155648,2.02877674,2.46634068,1.0,dodgeball
19,19,163840,1.8336848599999995,2.2946599699999997,1.0,dodgeball
20,20,172032,1.54394819,1.9208469400000001,1.0,dodgeball
21,21,180224,1.76766588,1.55817305,1.0,dodgeball
22,22,188416,1.8197439300000002,1.8992162300000002,1.0,dodgeball
23,23,196608,1.51860801,1.67380696,0.9972066879272461,dodgeball
24,24,204800,1.98058602,1.5571866400000003,0.9941093325614929,dodgeball
25,25,212992,1.71740439,1.7542604800000001,0.9989050626754761,dodgeball
26,26,221184,1.6854481099999998,1.405082,1.0,dodgeball
27,27,229376,1.6100759599999999,1.85502807,1.0,dodgeball
28,28,237568,1.9912694899999996,2.1569211500000005,1.0,dodgeball
29,29,245760,1.77693256,1.6357356900000002,0.9973961114883423,dodgeball
30,30,253952,1.7458998600000004,1.4912853000000001,1.0,dodgeball
31,31,262144,1.9435754000000005,1.72039291,1.0,dodgeball
32,32,270336,1.7320023699999998,1.86019122,1.0,dodgeball
33,33,278528,1.4826292899999998,1.8374765799999997,0.9958599805831909,dodgeball
34,34,286720,1.7963527800000003,1.5857159,0.996082067489624,dodgeball
35,35,294912,2.15283645,1.67482466,1.0,dodgeball
36,36,303104,2.26179343,1.8996806999999998,1.0,dodgeball
37,37,311296,1.85999195,1.89857964,1.0,dodgeball
38,38,319488,1.8186706699999997,1.80942292,1.0,dodgeball
39,39,327680,1.93206793,1.78750274,1.0,dodgeball
40,40,335872,1.9344505699999999,2.16055646,1.0,dodgeball
41,41,344064,2.0906572900000002,1.6636894999999998,0.9989121556282043,dodgeball
42,42,352256,2.1094214500000006,1.49688648,1.0,dodgeball
43,43,360448,1.9033253399999999,1.83907377,1.0,dodgeball
44,44,368640,1.9702667600000001,1.7020983700000003,1.0,dodgeball
45,45,376832,2.1134831099999998,1.8229867900000003,1.0,dodgeball
46,46,385024,2.13316676,1.78468338,1.0,dodgeball
47,47,393216,1.8761609799999999,1.83864692,0.9973045587539673,dodgeball
48,48,401408,1.9655571299999999,1.8493719599999998,1.0,dodgeball
49,49,409600,2.0640073,2.05150508,1.0,dodgeball
50,50,417792,2.0151446099999997,2.09618894,1.0,dodgeball
51,51,425984,1.9769552299999997,1.80197319,1.0,dodgeball
52,52,434176,1.9728588999999999,1.7561053199999999,1.0,dodgeball
53,53,442368,1.88230615,1.98173655,1.0,dodgeball
54,54,450560,1.5278974900000002,2.37598892,1.0,dodgeball
55,55,458752,1.39643066,2.24277778,1.0,dodgeball
56,56,466944,1.3765924999999999,1.9209561800000001,0.9978250861167908,dodgeball
57,57,475136,1.2905143799999998,1.69892184,1.0,dodgeball
58,58,483328,1.22628457,1.45164594,1.0,dodgeball
59,59,491520,1.27271158,1.48488463,1.0,dodgeball
60,60,499712,1.5425368600000002,1.8797515599999999,1.0,dodgeball
61,61,507904,1.8791056899999996,1.9614680999999998,0.9990952014923096,dodgeball
62,62,516096,1.9796454599999997,1.8856335,1.0,dodgeball
63,63,524288,1.7586521599999998,1.4565113600000001,1.0,dodgeball
64,64,532480,2.07294105,1.66334886,1.0,dodgeball
65,65,540672,2.23024381,2.21254994,1.0,dodgeball
66,66,548864,1.7953447,2.1003221899999995,1.0,dodgeball
67,67,557056,1.45842417,1.9191602500000002,1.0,dodgeball
68,68,565248,1.6368565000000002,1.8057808899999999,0.9978251457214355,dodgeball
69,69,573440,1.8141989199999997,1.6931282800000003,1.0,dodgeball
