,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,0.79673111,1.0253251399999999,0.9782099723815918,dodgeball
1,1,16384,0.8903433900000002,0.87097482,1.0,dodgeball
2,2,24576,0.63342489,0.7792982,1.0,dodgeball
3,3,32768,0.98069064,1.14963869,1.0,dodgeball
4,4,40960,0.85482587,1.2688335300000002,1.0,dodgeball
5,5,49152,0.9060193000000001,0.8988002399999999,1.0,dodgeball
6,6,57344,1.00452292,0.8029101300000001,1.0,dodgeball
7,7,65536,0.6755204100000001,0.87117531,1.0,dodgeball
8,8,73728,0.7652177499999999,0.84361377,1.0,dodgeball
9,9,81920,1.09614043,1.0814707700000001,1.0,dodgeball
10,10,90112,0.9574556200000001,1.6761732700000003,1.0,dodgeball
11,11,98304,1.60321906,1.26564211,1.0,dodgeball
12,12,106496,1.51967666,1.21249742,1.0,dodgeball
13,13,114688,1.30560321,1.3637309899999999,1.0,dodgeball
14,14,122880,1.5732269099999998,1.4584406900000002,1.0,dodgeball
15,15,131072,1.4190286899999998,1.10160652,1.0,dodgeball
16,16,139264,1.5564819699999999,1.5661179699999999,1.0,dodgeball
17,17,147456,1.45317963,1.9036065799999997,1.0,dodgeball
18,18,155648,1.26603811,2.00315117,1.0,dodgeball
19,19,163840,1.8668297900000002,2.03745059,1.0,dodgeball
20,20,172032,2.52796411,1.61998262,1.0,dodgeball
21,21,180224,2.25238362,1.48470278,1.0,dodgeball
22,22,188416,1.95558682,1.8981081600000003,1.0,dodgeball
23,23,196608,1.8403584200000003,2.3673903800000002,1.0,dodgeball
24,24,204800,1.9649378299999998,2.28256911,1.0,dodgeball
25,25,212992,1.75916413,2.05519416,1.0,dodgeball
26,26,221184,1.7972481900000004,1.90368615,1.0,dodgeball
27,27,229376,1.6299308100000003,1.7750450100000001,1.0,dodgeball
28,28,237568,1.8356373200000002,1.86373106,1.0,dodgeball
29,29,245760,1.59807454,1.88239145,1.0,dodgeball
30,30,253952,1.4200984399999999,2.01591838,1.0,dodgeball
31,31,262144,1.7628705200000006,1.7535329,1.0,dodgeball
32,32,270336,1.8431309599999997,1.87067159,1.0,dodgeball
33,33,278528,1.83956789,2.10639015,1.0,dodgeball
34,34,286720,1.3860127199999999,2.5327839200000004,1.0,dodgeball
35,35,294912,1.5933862900000002,2.42569632,1.0,dodgeball
36,36,303104,1.54964393,1.8273754899999997,1.0,dodgeball
37,37,311296,1.62493183,1.98573814,1.0,dodgeball
38,38,319488,1.5858209600000002,1.6562628799999997,1.0,dodgeball
39,39,327680,1.6756159300000002,1.86106545,1.0,dodgeball
40,40,335872,1.95495977,1.8351805900000002,1.0,dodgeball
41,41,344064,2.10359431,1.94556061,1.0,dodgeball
42,42,352256,1.80566886,1.71403942,1.0,dodgeball
43,43,360448,1.83489532,1.7587830900000003,1.0,dodgeball
44,44,368640,1.8990917499999997,2.3371752,1.0,dodgeball
45,45,376832,1.5492177500000002,2.01826874,1.0,dodgeball
46,46,385024,1.8225871800000002,1.5119785099999998,1.0,dodgeball
47,47,393216,2.03810983,1.7652863499999998,1.0,dodgeball
48,48,401408,2.1233328,2.2290169,1.0,dodgeball
49,49,409600,1.4496201300000002,2.04340118,1.0,dodgeball
50,50,417792,1.5238874800000002,2.0337446299999997,1.0,dodgeball
51,51,425984,1.7863641599999998,2.19206873,1.0,dodgeball
52,52,434176,1.67864321,2.2324284800000003,1.0,dodgeball
53,53,442368,1.4828272700000003,2.53658326,1.0,dodgeball
54,54,450560,1.54999267,2.8308827400000003,1.0,dodgeball
55,55,458752,1.7701005300000003,2.09429981,1.0,dodgeball
56,56,466944,1.8375802899999996,2.02580971,1.0,dodgeball
57,57,475136,1.62127371,2.04847743,1.0,dodgeball
58,58,483328,1.7097726999999998,2.1628453,1.0,dodgeball
59,59,491520,1.6487118699999999,2.27808282,1.0,dodgeball
60,60,499712,1.5874131299999998,2.3709869,1.0,dodgeball
61,61,507904,1.4775746200000004,2.00592815,1.0,dodgeball
62,62,516096,1.71866924,2.07378753,1.0,dodgeball
63,63,524288,1.8495213899999998,2.09315133,1.0,dodgeball
64,64,532480,1.4092660300000004,2.50121411,1.0,dodgeball
65,65,540672,1.73929393,1.88738259,1.0,dodgeball
66,66,548864,1.6269805499999999,1.5244736,1.0,dodgeball
67,67,557056,1.29571105,1.8443676599999999,1.0,dodgeball
68,68,565248,1.75823407,1.82341456,1.0,dodgeball
69,69,573440,1.82631306,1.82304993,1.0,dodgeball
70,70,581632,1.67295165,1.89042664,1.0,dodgeball
71,71,589824,1.7828676800000003,1.93667171,1.0,dodgeball
72,72,598016,1.8053705400000002,1.8688435499999998,1.0,dodgeball
73,73,606208,2.0482039899999998,2.0728758,1.0,dodgeball
74,74,614400,1.92839032,1.7309273099999998,1.0,dodgeball
75,75,622592,1.7523814100000001,1.8906751,1.0,dodgeball
76,76,630784,1.8632319899999998,2.0730014900000002,1.0,dodgeball
77,77,638976,2.1720540099999996,1.82115442,1.0,dodgeball
78,78,647168,2.5540373,1.9197925200000001,1.0,dodgeball
79,79,655360,2.13390099,1.64665112,1.0,dodgeball
80,80,663552,1.76013126,1.6156438400000002,1.0,dodgeball
81,81,671744,1.95808261,1.8748247699999998,1.0,dodgeball
82,82,679936,1.7816227999999998,2.01073286,1.0,dodgeball
83,83,688128,1.5619361099999998,2.07969234,1.0,dodgeball
84,84,696320,1.66263174,1.8449447199999998,1.0,dodgeball
85,85,704512,1.83816793,1.8457999300000003,1.0,dodgeball
86,86,712704,2.11218225,1.91561562,1.0,dodgeball
87,87,720896,2.0685703,1.82548042,1.0,dodgeball
88,88,729088,1.67236191,1.8495515500000002,1.0,dodgeball
89,89,737280,1.7392573900000001,1.7147627799999998,1.0,dodgeball
90,90,745472,1.74019839,1.73945994,1.0,dodgeball
91,91,753664,1.87211714,1.7393285400000003,1.0,dodgeball
92,92,761856,2.08164499,1.76291925,1.0,dodgeball
93,93,770048,2.21417351,1.96909931,1.0,dodgeball
94,94,778240,2.23758195,2.17498541,1.0,dodgeball
95,95,786432,2.3159630800000004,2.1977777400000003,1.0,dodgeball
96,96,794624,2.02970105,2.17527868,1.0,dodgeball
97,97,802816,1.56681571,1.8335389,1.0,dodgeball
98,98,811008,1.5461570800000002,1.8359176,1.0,dodgeball
99,99,819200,1.70081492,2.02424127,1.0,dodgeball
100,100,827392,1.4586443199999999,2.30156107,1.0,dodgeball
101,101,835584,1.3049156,2.0258924,1.0,dodgeball
102,102,843776,1.19496317,1.97977195,1.0,dodgeball
103,103,851968,1.6158829100000003,1.6583632999999998,1.0,dodgeball
104,104,860160,1.3945947500000002,1.42806926,1.0,dodgeball
105,105,868352,1.67167867,1.9567619000000003,1.0,dodgeball
106,106,876544,1.7711524500000002,1.81916064,1.0,dodgeball
107,107,884736,1.70454907,1.47532106,1.0,dodgeball
108,108,892928,1.52791677,1.75128878,1.0,dodgeball
109,109,901120,1.3520093700000002,1.86624392,1.0,dodgeball
110,110,909312,1.5078677100000002,2.19701957,1.0,dodgeball
111,111,917504,1.9073077100000004,2.1053540600000002,1.0,dodgeball
112,112,925696,1.5968181799999996,1.79864323,1.0,dodgeball
113,113,933888,1.59746594,1.84570322,1.0,dodgeball
114,114,942080,1.7309425100000002,1.66175328,1.0,dodgeball
115,115,950272,1.9201188500000002,1.5238147400000002,1.0,dodgeball
116,116,958464,1.77564487,1.4100689699999998,1.0,dodgeball
117,117,966656,2.10736918,1.66523157,1.0,dodgeball
118,118,974848,1.83967306,1.8982565300000003,1.0,dodgeball
119,119,983040,1.17502643,1.8762423400000001,1.0,dodgeball
120,120,991232,1.2653804800000001,1.99166661,1.0,dodgeball
121,121,999424,1.7108926100000001,1.7597933299999997,1.0,dodgeball
122,122,1007616,1.8905650400000003,2.01356828,1.0,dodgeball
123,123,1015808,1.69197578,1.4572786899999999,1.0,dodgeball
124,124,1024000,1.51481606,1.6188011699999998,1.0,dodgeball
125,125,1032192,1.3593740399999998,1.7342688999999998,1.0,dodgeball
126,126,1040384,1.3377089700000002,1.8722574900000004,1.0,dodgeball
127,127,1048576,1.3042686799999998,1.4784845000000002,1.0,dodgeball
128,128,1056768,1.75008804,1.47838565,1.0,dodgeball
129,129,1064960,1.7716693999999997,1.6171060100000003,1.0,dodgeball
130,130,1073152,1.5934769200000003,2.00879033,1.0,dodgeball
131,131,1081344,1.6047940399999998,2.03823282,1.0,dodgeball
132,132,1089536,1.7147805400000002,2.0603601099999995,1.0,dodgeball
133,133,1097728,1.8693486700000002,1.8217981400000003,1.0,dodgeball
134,134,1105920,1.91347446,1.5687487999999998,1.0,dodgeball
