,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,0.8328984000000001,1.18845051,-0.1705271154642105,dodgeball
1,1,16384,0.6704653899999999,0.6730347299999999,-0.166473850607872,dodgeball
2,2,24576,1.01300783,0.9946818999999999,-0.12775658071041107,dodgeball
3,3,32768,1.00652468,1.2584349899999998,-0.14593711495399475,dodgeball
4,4,40960,0.7836691600000001,0.9244226799999999,-0.15147055685520172,dodgeball
5,5,49152,0.8970296999999999,1.31705666,-0.1673739105463028,dodgeball
6,6,57344,0.9490178399999999,1.04303658,-0.1600457727909088,dodgeball
7,7,65536,0.8282824199999999,0.85824823,-0.1335666924715042,dodgeball
8,8,73728,1.4237600400000003,0.8046151300000001,-0.10283852368593216,dodgeball
9,9,81920,1.10338152,0.4355090200000001,-0.13807840645313263,dodgeball
10,10,90112,1.18118776,1.1455533900000001,-0.13637608289718628,dodgeball
11,11,98304,1.20887468,0.98362872,-0.07638604938983917,dodgeball
12,12,106496,0.82002833,1.0129428900000002,0.9856501817703247,dodgeball
13,13,114688,1.10795154,0.95542145,0.9437710642814636,dodgeball
14,14,122880,0.8738338999999999,0.97374202,0.4915587306022644,dodgeball
15,15,131072,1.53173695,0.99253565,0.43456724286079407,dodgeball
16,16,139264,1.4606322399999998,1.3397826000000004,-0.14527852833271027,dodgeball
17,17,147456,1.29242281,1.54083355,-0.06207362934947014,dodgeball
18,18,155648,1.10932482,1.5563856,-0.036703597754240036,dodgeball
19,19,163840,1.1773740000000001,2.14455919,0.06647264212369919,dodgeball
20,20,172032,1.1486107799999998,1.3455809200000002,0.039799582213163376,dodgeball
21,21,180224,1.0926844299999998,1.7355199000000001,0.03387508541345596,dodgeball
22,22,188416,1.6169392399999998,1.43962371,-0.013818932697176933,dodgeball
23,23,196608,2.01708204,1.8142867699999998,0.40839824080467224,dodgeball
24,24,204800,1.8334915600000001,1.88841939,0.024486104026436806,dodgeball
25,25,212992,1.48105277,1.9838573999999998,0.2887927293777466,dodgeball
26,26,221184,1.4009158200000003,1.8494818999999998,0.9492778182029724,dodgeball
27,27,229376,1.6204782400000002,1.7492048000000002,0.4727252423763275,dodgeball
28,28,237568,1.88375938,1.42170368,0.14838668704032898,dodgeball
29,29,245760,1.8165154899999998,1.7102182400000003,0.3751307427883148,dodgeball
30,30,253952,1.6389353200000003,2.09734211,0.30460086464881897,dodgeball
31,31,262144,1.5969475100000003,2.33177879,0.04580381512641907,dodgeball
32,32,270336,1.80676801,2.28736391,0.11075786501169205,dodgeball
33,33,278528,1.7356061400000002,2.10356289,0.023862456902861595,dodgeball
34,34,286720,1.3318800899999998,1.99667869,-0.044439367949962616,dodgeball
35,35,294912,1.54422199,2.29818936,-0.04318966716527939,dodgeball
36,36,303104,2.0134546999999996,2.14134234,0.2651485502719879,dodgeball
37,37,311296,2.24429362,1.84863608,0.004190122243016958,dodgeball
38,38,319488,1.88973231,1.9871226000000004,-0.045265644788742065,dodgeball
39,39,327680,2.05336986,1.8875336999999999,0.11160551756620407,dodgeball
40,40,335872,1.9506990000000002,1.5335547299999999,0.1598276048898697,dodgeball
41,41,344064,2.07038691,1.95904919,0.6880363821983337,dodgeball
42,42,352256,1.80473406,2.26722092,0.17120768129825592,dodgeball
43,43,360448,1.7080978599999994,2.09493185,-0.03959904983639717,dodgeball
44,44,368640,2.03033469,1.73030382,0.8552135229110718,dodgeball
45,45,376832,1.8637659799999997,1.5887999,0.44446781277656555,dodgeball
46,46,385024,2.0952157700000003,1.82941112,0.38193923234939575,dodgeball
47,47,393216,2.22793572,1.87635109,0.19027860462665558,dodgeball
48,48,401408,2.08001017,2.06313351,0.04092669486999512,dodgeball
49,49,409600,2.22070315,2.00897937,-0.05164850503206253,dodgeball
50,50,417792,2.17379612,2.2718883,-0.09337508678436279,dodgeball
51,51,425984,1.67837526,2.08425535,-0.11663638055324554,dodgeball
