,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,0.9670710100000001,0.86135621,0.5870901346206665,dodgeball
1,1,16384,0.97110975,0.6693823400000001,0.9958130717277527,dodgeball
2,2,24576,0.7467900900000001,1.01473234,0.994795024394989,dodgeball
3,3,32768,1.0818980200000001,0.92055875,0.9899977445602417,dodgeball
4,4,40960,1.00612425,1.01677455,0.9780223965644836,dodgeball
5,5,49152,1.09325803,1.40360252,1.0,dodgeball
6,6,57344,1.16525307,1.3327287799999998,1.0,dodgeball
7,7,65536,0.91502363,1.65261167,1.0,dodgeball
8,8,73728,1.21125451,1.49116288,1.0,dodgeball
9,9,81920,1.3867221,1.1028889199999998,1.0,dodgeball
10,10,90112,1.43245706,1.0377492600000002,1.0,dodgeball
11,11,98304,1.5229268299999998,1.3083230600000002,1.0,dodgeball
12,12,106496,1.691202,1.37651888,1.0,dodgeball
13,13,114688,1.6412881399999997,1.49158085,1.0,dodgeball
14,14,122880,1.40565353,1.5550504800000002,1.0,dodgeball
15,15,131072,1.57624144,1.8145323400000002,1.0,dodgeball
16,16,139264,1.45293698,1.46654903,1.0,dodgeball
17,17,147456,1.8580123100000001,1.6527125399999998,1.0,dodgeball
18,18,155648,1.99445905,1.4838425800000001,0.9964640140533447,dodgeball
19,19,163840,1.78684124,2.1091471200000003,1.0,dodgeball
20,20,172032,1.58813441,1.72313283,1.0,dodgeball
21,21,180224,1.39463206,1.8676921399999997,1.0,dodgeball
22,22,188416,1.7678072100000002,1.8049495700000002,1.0,dodgeball
23,23,196608,2.11821015,1.7993374699999998,1.0,dodgeball
24,24,204800,2.04468695,2.0755652700000002,1.0,dodgeball
25,25,212992,1.59756415,2.0930178,1.0,dodgeball
26,26,221184,1.6173701700000003,2.04897348,1.0,dodgeball
27,27,229376,1.82200204,1.7949740499999998,1.0,dodgeball
28,28,237568,1.7475944499999998,1.54746983,1.0,dodgeball
29,29,245760,1.9050844900000001,1.7405150299999996,1.0,dodgeball
30,30,253952,1.9472166600000003,1.99928482,0.996113657951355,dodgeball
31,31,262144,1.9701945800000003,2.08168957,0.9978770613670349,dodgeball
32,32,270336,1.84761594,2.1256468500000003,1.0,dodgeball
33,33,278528,1.92428189,2.2988994199999997,1.0,dodgeball
34,34,286720,2.37466229,2.16530421,1.0,dodgeball
35,35,294912,1.7087295,1.77274714,1.0,dodgeball
36,36,303104,1.4998421500000003,1.7323314300000001,1.0,dodgeball
37,37,311296,2.0000628000000003,1.9091991099999999,1.0,dodgeball
38,38,319488,1.93117838,2.06828256,1.0,dodgeball
39,39,327680,1.68043443,2.02994086,1.0,dodgeball
40,40,335872,1.83814032,1.8732991799999998,1.0,dodgeball
41,41,344064,1.9967108699999998,1.6287321100000003,1.0,dodgeball
42,42,352256,1.8828523899999998,1.87031359,0.9780063629150391,dodgeball
43,43,360448,2.19679667,2.4303546700000003,1.0,dodgeball
44,44,368640,2.01350917,2.3372859400000006,1.0,dodgeball
45,45,376832,1.9223606000000002,2.17908241,1.0,dodgeball
46,46,385024,2.03699255,1.96980127,1.0,dodgeball
47,47,393216,1.655932,1.96290002,1.0,dodgeball
48,48,401408,1.6127953900000003,2.0525550700000004,1.0,dodgeball
49,49,409600,1.70654775,1.6482543199999997,1.0,dodgeball
50,50,417792,1.75177534,1.51775337,1.0,dodgeball
51,51,425984,2.00095445,1.7409182099999998,1.0,dodgeball
52,52,434176,1.6826336599999998,2.06322143,1.0,dodgeball
53,53,442368,1.57070016,2.4414078299999997,1.0,dodgeball
54,54,450560,1.59601463,2.1683101899999997,0.9974106550216675,dodgeball
55,55,458752,1.8027650300000002,2.2356714899999997,1.0,dodgeball
56,56,466944,1.6015244600000003,2.1258761699999997,1.0,dodgeball
57,57,475136,1.76526799,2.43684832,0.9937057495117188,dodgeball
58,58,483328,1.81233816,2.28289342,1.0,dodgeball
59,59,491520,1.9282756199999997,1.8644104799999999,1.0,dodgeball
60,60,499712,1.9283731699999997,1.6019635699999997,1.0,dodgeball
61,61,507904,1.99796963,1.6953941600000002,1.0,dodgeball
62,62,516096,1.9281633299999998,1.7776467300000005,1.0,dodgeball
63,63,524288,1.8808230499999998,1.7135872399999998,1.0,dodgeball
64,64,532480,1.8584166399999997,1.6252666500000001,1.0,dodgeball
65,65,540672,1.9984280700000001,1.7746274,1.0,dodgeball
66,66,548864,1.79568868,1.75436611,1.0,dodgeball
67,67,557056,1.61482626,1.5998082499999997,1.0,dodgeball
68,68,565248,1.7539572600000002,1.62368774,0.9849289059638977,dodgeball
69,69,573440,1.8939723600000002,1.8963876199999998,1.0,dodgeball
70,70,581632,1.96257235,1.9882189000000003,1.0,dodgeball
71,71,589824,2.0143848699999998,2.03324736,1.0,dodgeball
72,72,598016,1.66703359,1.91809127,1.0,dodgeball
73,73,606208,2.02756979,2.2419321,1.0,dodgeball
74,74,614400,1.7272959,2.0831959300000005,1.0,dodgeball
75,75,622592,1.77199192,2.37604887,1.0,dodgeball
76,76,630784,1.74899384,2.33122388,1.0,dodgeball
77,77,638976,1.8412275599999999,2.03734948,1.0,dodgeball
78,78,647168,1.9332424999999998,2.0259545200000004,1.0,dodgeball
79,79,655360,1.79419683,1.9354841599999997,1.0,dodgeball
80,80,663552,1.8402067299999996,1.9591258900000001,1.0,dodgeball
81,81,671744,1.28977001,1.55555378,1.0,dodgeball
82,82,679936,1.54357798,1.53542308,0.9930765628814697,dodgeball
83,83,688128,1.98100355,1.71690533,0.996597409248352,dodgeball
84,84,696320,1.70404503,1.8310999899999998,1.0,dodgeball
85,85,704512,1.8044746800000002,1.8069781200000004,1.0,dodgeball
86,86,712704,2.01198255,1.4230141299999999,1.0,dodgeball
87,87,720896,1.93350709,1.4911583300000002,1.0,dodgeball
88,88,729088,2.3544410599999996,1.9868668999999999,1.0,dodgeball
89,89,737280,2.0468204299999995,2.27667784,1.0,dodgeball
90,90,745472,2.0227367900000006,2.2299995900000003,1.0,dodgeball
91,91,753664,2.29386445,2.22926966,1.0,dodgeball
92,92,761856,1.6245393200000005,1.91455397,1.0,dodgeball
93,93,770048,1.7153405800000001,1.50966701,1.0,dodgeball
94,94,778240,1.3246286800000002,1.7808242300000001,1.0,dodgeball
95,95,786432,1.4834286199999998,2.1204422800000002,1.0,dodgeball
96,96,794624,2.05376437,1.9507029499999995,1.0,dodgeball
97,97,802816,2.09934962,1.7032671300000002,1.0,dodgeball
98,98,811008,2.03155937,1.44574393,1.0,dodgeball
99,99,819200,1.87122859,1.49246371,1.0,dodgeball
100,100,827392,1.8022044799999997,1.6288401300000002,1.0,dodgeball
101,101,835584,1.6200154699999996,1.6509444000000002,1.0,dodgeball
102,102,843776,1.86979247,1.5604647600000001,1.0,dodgeball
103,103,851968,1.70846586,1.62882729,1.0,dodgeball
104,104,860160,1.411885,1.7430069000000001,1.0,dodgeball
105,105,868352,1.61728317,1.94695507,1.0,dodgeball
106,106,876544,1.8892245200000002,1.87825117,0.9975002408027649,dodgeball
107,107,884736,1.8424411299999996,1.96839598,1.0,dodgeball
108,108,892928,1.7733212800000002,1.8327584700000004,0.9976935982704163,dodgeball
109,109,901120,1.52279869,1.8334000000000001,0.9954662919044495,dodgeball
110,110,909312,1.27333121,2.05952346,0.995368242263794,dodgeball
111,111,917504,1.57004622,2.3304247900000004,1.0,dodgeball
112,112,925696,2.1135838700000003,2.05761371,1.0,dodgeball
113,113,933888,2.01958995,1.8406861299999997,1.0,dodgeball
114,114,942080,1.7228818799999999,1.9103569000000002,1.0,dodgeball
