,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,0.9331888899999999,0.8049406630434782,0.012647213414311409,dodgeball
1,1,16384,0.8184215,0.65883563,1.0,dodgeball
2,2,24576,1.08516836,1.0961558500000002,1.0,dodgeball
3,3,32768,1.21678564,0.79102081,1.0,dodgeball
4,4,40960,1.06250562,1.1190243100000001,1.0,dodgeball
5,5,49152,1.13583987,1.16217213,1.0,dodgeball
6,6,57344,0.9552878499999999,1.3167529000000002,1.0,dodgeball
7,7,65536,1.3829124899999998,0.82832719,1.0,dodgeball
8,8,73728,1.23432443,1.1265316500000002,1.0,dodgeball
9,9,81920,1.2322406900000002,1.4384633,1.0,dodgeball
10,10,90112,1.282618,1.4092518900000002,1.0,dodgeball
11,11,98304,1.8585769200000002,1.27369609,1.0,dodgeball
12,12,106496,1.4810248499999998,1.45420957,1.0,dodgeball
13,13,114688,1.4792414600000001,2.01979748,1.0,dodgeball
14,14,122880,1.5359815899999998,2.09073208,1.0,dodgeball
15,15,131072,1.6408804899999998,1.6213325299999999,1.0,dodgeball
16,16,139264,1.22394185,1.4196462499999998,1.0,dodgeball
17,17,147456,1.5189244599999998,1.7918495300000001,1.0,dodgeball
18,18,155648,1.41914827,1.75283963,1.0,dodgeball
19,19,163840,1.6675098300000002,1.9038264900000001,1.0,dodgeball
20,20,172032,1.75093556,1.9416350900000001,1.0,dodgeball
21,21,180224,1.3994793999999997,1.96526925,1.0,dodgeball
22,22,188416,1.44292215,2.0534922399999997,1.0,dodgeball
23,23,196608,1.96004893,2.02235629,1.0,dodgeball
24,24,204800,1.96701497,1.69591165,1.0,dodgeball
25,25,212992,1.4178000199999996,1.4654262400000002,1.0,dodgeball
26,26,221184,1.64306371,1.65120914,1.0,dodgeball
27,27,229376,1.9128326099999997,1.99864654,1.0,dodgeball
28,28,237568,1.8907981099999995,1.8576839900000002,1.0,dodgeball
29,29,245760,1.8932875100000002,2.06429376,1.0,dodgeball
30,30,253952,1.9515918100000003,2.30976301,1.0,dodgeball
31,31,262144,2.12037554,1.8832707700000002,1.0,dodgeball
