,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,0.7604450200000001,0.7354635100000002,-0.052079200744628906,dodgeball
1,1,16384,0.84900667,0.86837972,-0.09815382957458496,dodgeball
2,2,24576,0.9910562999999999,1.0569551799999999,-0.08196406066417694,dodgeball
3,3,32768,1.06408174,0.79195924,-0.05152897909283638,dodgeball
4,4,40960,0.78023139,1.25713073,-0.07861887663602829,dodgeball
5,5,49152,0.9360024700000001,1.5283951500000001,-0.051319606602191925,dodgeball
6,6,57344,1.1364775,1.2333759899999999,-0.06397312134504318,dodgeball
7,7,65536,1.34564351,1.44407409,-0.0710693895816803,dodgeball
8,8,73728,1.13600564,1.44618379,-0.03181615471839905,dodgeball
9,9,81920,1.26016986,1.29712572,-0.0640224814414978,dodgeball
10,10,90112,1.61007858,0.95295345,-0.060980986803770065,dodgeball
11,11,98304,1.32567164,1.3414704499999999,-0.07289057970046997,dodgeball
12,12,106496,1.36801259,1.2484705200000001,-0.07077556848526001,dodgeball
13,13,114688,1.5758989700000001,1.7264513199999998,-0.07817093282938004,dodgeball
14,14,122880,1.5591254299999997,1.6406448500000002,-0.031529370695352554,dodgeball
15,15,131072,1.56762341,1.36812341,-0.0877104103565216,dodgeball
16,16,139264,1.3280280500000001,1.35149184,-0.07383492588996887,dodgeball
17,17,147456,1.03500267,1.18631344,-0.0802760124206543,dodgeball
18,18,155648,1.17725887,1.4044603600000005,-0.08774250745773315,dodgeball
19,19,163840,1.52007052,1.2406120999999999,-0.057286586612463,dodgeball
20,20,172032,1.61038116,1.7798863200000001,-0.08923972398042679,dodgeball
21,21,180224,1.16914879,1.7866325100000002,-0.106842041015625,dodgeball
22,22,188416,1.6169822600000001,1.46419103,-0.05206191539764404,dodgeball
23,23,196608,1.2553381099999998,1.5726768100000001,-0.07740193605422974,dodgeball
24,24,204800,1.13806675,1.47350209,-0.0848388820886612,dodgeball
25,25,212992,1.48439972,1.6771699099999997,-0.0720539540052414,dodgeball
26,26,221184,1.9132464499999997,1.7677815099999998,-0.07782794535160065,dodgeball
27,27,229376,1.9703627100000003,1.8117731000000001,-0.07590511441230774,dodgeball
28,28,237568,1.9689175799999998,2.10911373,-0.0472990982234478,dodgeball
29,29,245760,2.2914933000000004,1.9970994400000004,-0.04462780803442001,dodgeball
30,30,253952,1.4551972499999999,1.77256744,-0.08257123827934265,dodgeball
31,31,262144,1.7197219499999996,1.6620916700000001,-0.09447219967842102,dodgeball
32,32,270336,1.62878703,1.6432251,-0.10807331651449203,dodgeball
33,33,278528,1.4614377599999997,1.4790237300000002,-0.04780237004160881,dodgeball
34,34,286720,1.6696557900000002,1.7558413299999998,-0.06861457973718643,dodgeball
35,35,294912,1.9008552799999998,1.71129041,-0.07664430886507034,dodgeball
36,36,303104,2.2269521299999995,2.01280666,-0.102725088596344,dodgeball
37,37,311296,2.46024736,2.0347227199999995,-0.09840457886457443,dodgeball
38,38,319488,1.9260357599999998,2.1500926600000003,-0.05978504940867424,dodgeball
39,39,327680,1.6229297,2.17373468,-0.057575568556785583,dodgeball
40,40,335872,1.9672424400000004,1.9433543100000004,-0.09436729550361633,dodgeball
41,41,344064,1.94311662,2.01248618,-0.01303885132074356,dodgeball
42,42,352256,1.6899102300000002,2.32056546,-0.06850054860115051,dodgeball
43,43,360448,1.2043871,2.11211706,-0.04766552150249481,dodgeball
44,44,368640,1.5276229399999999,2.1892195599999997,-0.04862464219331741,dodgeball
45,45,376832,1.7818047000000001,2.41326557,-0.042997103184461594,dodgeball
46,46,385024,1.8272245599999999,2.22033464,-0.0720566138625145,dodgeball
47,47,393216,1.8948264200000002,2.3775517500000003,-0.05074901878833771,dodgeball
48,48,401408,1.6397628699999998,2.23614085,-0.07785633951425552,dodgeball
49,49,409600,1.66335384,1.63686218,-0.0767560824751854,dodgeball
50,50,417792,1.7122028699999998,1.72986345,-0.03891464322805405,dodgeball
