,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,-1.2690007608695653,-1.3286639506172837,0.020284710451960564,fruitbot
1,1,16384,-0.90607763,-1.3138648600000002,1.0,fruitbot
2,2,24576,-0.8959407700000003,-1.1776217400000002,1.0,fruitbot
3,3,32768,-1.1771492799999999,-1.10238592,1.0,fruitbot
4,4,40960,-1.34878422,-1.1490976499999999,1.0,fruitbot
5,5,49152,-1.0248115199999999,-1.01789977,1.0,fruitbot
6,6,57344,-1.03569319,-1.24162704,1.0,fruitbot
7,7,65536,-0.88489087,-1.07786036,1.0,fruitbot
8,8,73728,-1.06984233,-0.9806993299999999,1.0,fruitbot
9,9,81920,-1.1973000599999999,-1.0964508300000002,1.0,fruitbot
10,10,90112,-0.7151390000000001,-1.0352319500000002,1.0,fruitbot
11,11,98304,-1.01874651,-0.6342139800000001,1.0,fruitbot
12,12,106496,-0.9984050400000001,-0.8164949100000001,1.0,fruitbot
13,13,114688,-0.95685007,-1.4239541400000002,1.0,fruitbot
14,14,122880,-1.03186104,-0.852441,1.0,fruitbot
15,15,131072,-0.7462058400000001,-0.9782844999999999,1.0,fruitbot
16,16,139264,-0.87099323,-0.44640923,1.0,fruitbot
17,17,147456,-0.6874767800000001,-0.9724742200000001,1.0,fruitbot
18,18,155648,-0.69710328,-1.08661325,1.0,fruitbot
19,19,163840,-0.88599923,-0.47312796999999995,1.0,fruitbot
20,20,172032,-0.8175398300000002,-0.8273165399999999,1.0,fruitbot
21,21,180224,-0.6980161699999999,-0.8318091499999999,1.0,fruitbot
22,22,188416,-0.66470296,-0.9258997200000002,1.0,fruitbot
23,23,196608,-0.7839798,-0.62893481,1.0,fruitbot
24,24,204800,-0.60677488,-0.7299521900000001,1.0,fruitbot
25,25,212992,-0.60168612,-0.6664500399999999,1.0,fruitbot
26,26,221184,-0.59194094,-0.51513573,1.0,fruitbot
27,27,229376,-0.63813848,-0.7139402399999999,1.0,fruitbot
28,28,237568,-0.77483722,-0.6142195600000001,1.0,fruitbot
29,29,245760,-0.49151121000000003,-0.58896596,1.0,fruitbot
30,30,253952,-0.7637316799999999,-0.65792031,1.0,fruitbot
31,31,262144,-0.7036603299999998,-0.9915467499999999,1.0,fruitbot
32,32,270336,-0.7644231099999999,-0.72351543,1.0,fruitbot
33,33,278528,-0.74231093,-0.7269923000000001,1.0,fruitbot
34,34,286720,-0.66207797,-0.7200500400000002,1.0,fruitbot
35,35,294912,-0.68603684,-0.51624062,1.0,fruitbot
36,36,303104,-0.58287051,-0.78500843,1.0,fruitbot
37,37,311296,-0.6347932899999998,-0.79858598,1.0,fruitbot
38,38,319488,-0.44296873,-0.8053789299999999,1.0,fruitbot
39,39,327680,-0.58933598,-0.5337049199999999,1.0,fruitbot
40,40,335872,-0.64552877,-0.9364863400000002,1.0,fruitbot
41,41,344064,-0.69851193,-0.57415571,1.0,fruitbot
42,42,352256,-0.69773374,-0.60502687,1.0,fruitbot
43,43,360448,-0.47249257000000006,-0.85892214,1.0,fruitbot
44,44,368640,-0.64054914,-0.41599804999999995,1.0,fruitbot
45,45,376832,-0.28303613,-0.6651583499999998,1.0,fruitbot
46,46,385024,-0.30429581999999994,-0.5666934299999999,1.0,fruitbot
47,47,393216,-0.39191806999999995,-0.6919755,1.0,fruitbot
48,48,401408,-0.6171679099999999,-0.4431493900000001,1.0,fruitbot
49,49,409600,-0.36893046999999995,-0.37915593999999997,1.0,fruitbot
50,50,417792,-0.47803397999999997,-0.49080909,1.0,fruitbot
51,51,425984,-0.35559469,-0.3017801,1.0,fruitbot
52,52,434176,-0.29991254,-0.62475686,1.0,fruitbot
53,53,442368,-0.28028115,-0.29801681,1.0,fruitbot
54,54,450560,-0.4474693800000001,-0.40463237999999996,1.0,fruitbot
