,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,-1.122175632183908,-1.7791093950617283,0.060636796057224274,fruitbot
1,1,16384,-0.9045198099999997,-1.1476772999999998,1.0,fruitbot
2,2,24576,-0.80944117,-1.1882771300000001,1.0,fruitbot
3,3,32768,-0.9101214600000002,-1.3405710000000002,1.0,fruitbot
4,4,40960,-0.8396978199999998,-0.8501858999999999,1.0,fruitbot
5,5,49152,-0.7132804199999999,-0.9561807599999999,1.0,fruitbot
6,6,57344,-1.0396189399999998,-1.0282179,1.0,fruitbot
7,7,65536,-1.0585011099999997,-1.3618921400000001,1.0,fruitbot
8,8,73728,-0.9142477699999999,-1.35736962,1.0,fruitbot
9,9,81920,-1.1308046200000001,-1.20573559,1.0,fruitbot
10,10,90112,-0.7579579700000001,-1.21898748,1.0,fruitbot
11,11,98304,-1.08806183,-0.9794446899999998,1.0,fruitbot
12,12,106496,-0.96449076,-1.1504041600000001,1.0,fruitbot
13,13,114688,-1.0165099100000001,-1.07191764,1.0,fruitbot
14,14,122880,-0.81040439,-1.0110778800000002,1.0,fruitbot
15,15,131072,-1.0974786099999998,-1.07959702,1.0,fruitbot
16,16,139264,-1.26381198,-0.8452104900000001,1.0,fruitbot
17,17,147456,-1.04276871,-0.9496444099999999,1.0,fruitbot
18,18,155648,-1.0637103399999999,-0.9588523000000002,1.0,fruitbot
19,19,163840,-0.8336900600000002,-0.9206181400000001,1.0,fruitbot
20,20,172032,-1.06812895,-0.6446894000000001,1.0,fruitbot
21,21,180224,-0.80773356,-1.02183911,1.0,fruitbot
22,22,188416,-0.9660607,-0.85069467,1.0,fruitbot
23,23,196608,-0.72012286,-0.90415447,1.0,fruitbot
24,24,204800,-0.84715261,-0.9399883199999999,1.0,fruitbot
25,25,212992,-1.04858505,-0.72821566,1.0,fruitbot
26,26,221184,-0.6756785500000001,-0.72650137,1.0,fruitbot
27,27,229376,-0.92346753,-0.8808672999999999,1.0,fruitbot
28,28,237568,-0.80729054,-0.9012203099999999,1.0,fruitbot
29,29,245760,-0.7306754099999999,-1.0397260099999999,1.0,fruitbot
30,30,253952,-0.8209822900000002,-0.7159202299999999,1.0,fruitbot
31,31,262144,-0.6085212400000001,-0.7512612600000002,1.0,fruitbot
32,32,270336,-0.61263798,-0.78110764,1.0,fruitbot
33,33,278528,-0.5868938,-0.7178398800000001,1.0,fruitbot
34,34,286720,-0.5132272800000001,-0.49381133999999993,1.0,fruitbot
35,35,294912,-0.59149342,-0.47726322000000004,1.0,fruitbot
36,36,303104,-0.55555699,-0.35556947,1.0,fruitbot
37,37,311296,-0.26023913,-0.83277439,1.0,fruitbot
38,38,319488,-0.56100904,-0.5777960200000001,1.0,fruitbot
39,39,327680,-0.42340193,-0.62292401,1.0,fruitbot
40,40,335872,-0.33687829999999985,-0.7163547199999999,1.0,fruitbot
41,41,344064,-0.44571704999999995,-0.79472588,1.0,fruitbot
42,42,352256,-0.6848028599999999,-0.6567912800000001,1.0,fruitbot
43,43,360448,-0.41927761999999996,-0.5517432800000001,1.0,fruitbot
44,44,368640,-0.39695622999999997,-0.31577699,1.0,fruitbot
45,45,376832,-0.20413713,-0.45933039000000003,1.0,fruitbot
46,46,385024,-0.41954055999999995,-0.49985456999999994,1.0,fruitbot
47,47,393216,-0.5015211,-0.6097821700000001,1.0,fruitbot
48,48,401408,-0.27657576,-0.43401812,1.0,fruitbot
49,49,409600,-0.30272581000000004,-0.35160681,1.0,fruitbot
50,50,417792,-0.26373093000000003,-0.42770716,1.0,fruitbot
51,51,425984,-0.28075968999999995,-0.27929369,1.0,fruitbot
52,52,434176,-0.37432567,-0.5850281999999999,1.0,fruitbot
53,53,442368,-0.25743184999999996,-0.47167162000000007,1.0,fruitbot
54,54,450560,-0.44435573,-0.53878534,1.0,fruitbot
55,55,458752,-0.25390355000000003,-0.57500502,1.0,fruitbot
56,56,466944,-0.3171115500000001,-0.4452884100000001,1.0,fruitbot
57,57,475136,-0.14613638,-0.5481330400000001,1.0,fruitbot
58,58,483328,-0.29883283,-0.22412487000000003,1.0,fruitbot
59,59,491520,-0.18442367,-0.31675451000000004,1.0,fruitbot
60,60,499712,-0.29079995000000003,-0.33348411000000006,1.0,fruitbot
61,61,507904,-0.30187640000000004,-0.4262037999999999,1.0,fruitbot
62,62,516096,-0.24950604,-0.30423197,1.0,fruitbot
63,63,524288,-0.28814578999999996,-0.33582649,1.0,fruitbot
64,64,532480,-0.24638734999999998,-0.20703782999999998,1.0,fruitbot
65,65,540672,-0.41392296000000006,-0.36887156,1.0,fruitbot
66,66,548864,-0.28067634,-0.5160163600000001,1.0,fruitbot
67,67,557056,-0.2758332400000001,-0.34487036000000004,1.0,fruitbot
68,68,565248,-0.3418042,-0.15182118,1.0,fruitbot
