,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,-1.0935920487804878,-1.5870575189873415,-0.18813486397266388,fruitbot
1,1,16384,-1.2962231199999998,-1.05293936,-0.15778592228889465,fruitbot
2,2,24576,-1.3563773799999999,-1.0054758999999998,-0.20411774516105652,fruitbot
3,3,32768,-0.96283828,-0.98882036,-0.14165617525577545,fruitbot
4,4,40960,-0.5313567299999999,-1.1289135099999996,-0.14262515306472778,fruitbot
5,5,49152,-0.8305879199999998,-1.4189738600000001,-0.14283031225204468,fruitbot
6,6,57344,-0.8829697400000001,-1.2064138399999997,-0.13387495279312134,fruitbot
7,7,65536,-1.08514594,-1.14486976,-0.14744122326374054,fruitbot
8,8,73728,-0.7810656100000002,-1.1741994999999996,-0.13903474807739258,fruitbot
9,9,81920,-1.27430511,-1.04139158,-0.17046333849430084,fruitbot
10,10,90112,-0.8672463499999999,-1.0741955400000003,-0.12983642518520355,fruitbot
11,11,98304,-1.10850386,-1.21440316,-0.15681873261928558,fruitbot
12,12,106496,-1.2775057699999999,-1.1129176,0.02863527648150921,fruitbot
13,13,114688,-1.1340633900000001,-1.2869611,0.38776087760925293,fruitbot
14,14,122880,-0.6884375099999999,-0.95266747,0.9872862100601196,fruitbot
15,15,131072,-0.8354729600000002,-1.0764251000000002,0.17643770575523376,fruitbot
16,16,139264,-1.0149252800000002,-0.91754959,0.24771887063980103,fruitbot
17,17,147456,-0.7453856199999999,-1.13977556,0.7677867412567139,fruitbot
18,18,155648,-0.79766866,-0.73317693,0.27290329337120056,fruitbot
19,19,163840,-0.84374192,-0.9847678500000001,0.9256564378738403,fruitbot
20,20,172032,-1.44158621,-1.25760773,0.9087557196617126,fruitbot
21,21,180224,-1.33622775,-1.0796346700000001,0.9859278202056885,fruitbot
22,22,188416,-0.8334494800000002,-1.0595146,0.9606334567070007,fruitbot
23,23,196608,-1.25331365,-1.27584122,0.8387972712516785,fruitbot
24,24,204800,-1.0996548699999997,-0.9095666099999999,0.996120810508728,fruitbot
25,25,212992,-1.04613128,-1.22368394,1.0,fruitbot
26,26,221184,-0.68016196,-0.8494772599999999,1.0,fruitbot
27,27,229376,-1.2393895200000002,-0.9943937200000001,1.0,fruitbot
28,28,237568,-0.64913392,-1.0853236899999998,1.0,fruitbot
29,29,245760,-0.7363212099999997,-0.92581085,1.0,fruitbot
30,30,253952,-0.48984567,-0.8820327199999999,1.0,fruitbot
31,31,262144,-0.7617932399999999,-0.7636199199999999,1.0,fruitbot
32,32,270336,-0.55487169,-0.75337834,1.0,fruitbot
33,33,278528,-0.7234002499999999,-0.8702968099999999,1.0,fruitbot
34,34,286720,-0.7451231099999999,-1.0546209499999997,1.0,fruitbot
35,35,294912,-0.90832336,-0.73220953,1.0,fruitbot
36,36,303104,-0.7652837000000001,-0.8182145599999998,1.0,fruitbot
37,37,311296,-0.7527168500000002,-0.56230666,1.0,fruitbot
38,38,319488,-0.5506126200000001,-0.58802637,1.0,fruitbot
39,39,327680,-0.48768401000000006,-0.8668158100000001,1.0,fruitbot
40,40,335872,-0.6782946399999998,-0.6887000999999999,1.0,fruitbot
41,41,344064,-0.7509543300000001,-0.89715492,1.0,fruitbot
42,42,352256,-0.53047999,-1.01344638,1.0,fruitbot
43,43,360448,-0.64048937,-1.17219357,1.0,fruitbot
44,44,368640,-0.5329351499999999,-0.7758138099999999,1.0,fruitbot
45,45,376832,-0.46830812,-0.58093754,0.9986394643783569,fruitbot
46,46,385024,-0.58505306,-0.6908213400000001,0.9947711825370789,fruitbot
47,47,393216,-0.76495801,-0.59931721,0.9881213903427124,fruitbot
48,48,401408,-0.61743922,-0.55843109,1.0,fruitbot
49,49,409600,-0.71124053,-0.4753210199999999,0.9958330988883972,fruitbot
50,50,417792,-0.48532334,-0.6964828900000001,0.9929504990577698,fruitbot
51,51,425984,-0.71601149,-0.5311448299999999,0.9554771780967712,fruitbot
52,52,434176,-0.64420214,-0.6244182099999999,0.9394172430038452,fruitbot
53,53,442368,-0.69992881,-0.8659676500000001,1.0,fruitbot
54,54,450560,-0.60337345,-0.6302638300000001,1.0,fruitbot
55,55,458752,-0.44272208999999996,-0.60797303,1.0,fruitbot
56,56,466944,-0.56740606,-0.61957858,1.0,fruitbot
57,57,475136,-0.59829359,-0.52908886,1.0,fruitbot
58,58,483328,-0.5700521,-0.77930223,1.0,fruitbot
59,59,491520,-0.65613881,-0.5807330500000001,0.997914731502533,fruitbot
60,60,499712,-0.26946167,-0.5871044599999999,0.9897747039794922,fruitbot
61,61,507904,-0.5905865,-0.69113036,0.9724692106246948,fruitbot
62,62,516096,-0.7269997300000002,-0.5651487000000001,1.0,fruitbot
63,63,524288,-0.6229529699999999,-0.49259490000000006,1.0,fruitbot
64,64,532480,-0.45820138000000005,-0.59240696,1.0,fruitbot
65,65,540672,-0.50490364,-0.5590134299999999,1.0,fruitbot
66,66,548864,-0.50136866,-0.58496466,1.0,fruitbot
67,67,557056,-0.46709532,-0.6214290699999999,1.0,fruitbot
68,68,565248,-0.48874025000000004,-0.27903999,0.9785248637199402,fruitbot
69,69,573440,-0.58185142,-0.3698045,1.0,fruitbot
70,70,581632,-0.4497694199999999,-0.29569514,1.0,fruitbot
71,71,589824,-0.57407324,-0.39205494,1.0,fruitbot
72,72,598016,-0.52854301,-0.77114108,0.9861125349998474,fruitbot
73,73,606208,-0.5402458400000001,-0.37354983999999997,0.9755972623825073,fruitbot
74,74,614400,-0.5778360200000001,-0.5816782,0.9305784106254578,fruitbot
75,75,622592,-0.27930284,-0.54734357,0.9514619708061218,fruitbot
76,76,630784,-0.45641936999999994,-0.66020417,1.0,fruitbot
77,77,638976,-0.33786309,-0.60581925,1.0,fruitbot
78,78,647168,-0.34933790000000003,-0.46898161,0.9952571392059326,fruitbot
79,79,655360,-0.38121556,-0.7453206099999999,0.9509614706039429,fruitbot
80,80,663552,-0.74281844,-0.24052341,0.8226693272590637,fruitbot
81,81,671744,-0.41884512,-0.50186516,0.8983808159828186,fruitbot
82,82,679936,-0.22050166000000002,-0.53311004,0.8753018975257874,fruitbot
83,83,688128,-0.31038269,-0.37481123000000005,1.0,fruitbot
84,84,696320,-0.48445783000000003,-0.40134852000000004,1.0,fruitbot
85,85,704512,-0.46980855000000005,-0.73172682,1.0,fruitbot
86,86,712704,-0.24305302999999998,-0.58318911,1.0,fruitbot
87,87,720896,-0.36546054999999994,-0.29488965999999994,0.7049182653427124,fruitbot
88,88,729088,-0.33955978000000003,-0.47698499,0.8152943253517151,fruitbot
89,89,737280,-0.5790139400000001,-0.46756147000000003,1.0,fruitbot
90,90,745472,-0.3351176800000001,-0.53080817,0.6149283647537231,fruitbot
91,91,753664,-0.31448043000000003,-0.5316736299999999,0.9629421234130859,fruitbot
92,92,761856,0.016031080000000003,-0.39666052,0.8543722629547119,fruitbot
93,93,770048,-0.11235882999999994,-0.5123103400000001,0.5364793539047241,fruitbot
94,94,778240,-0.19301912999999998,-0.21474608000000003,0.10219638794660568,fruitbot
95,95,786432,-0.31160664000000005,-0.4194780900000001,0.4414987862110138,fruitbot
96,96,794624,-0.24222177000000003,-0.35679816,-0.03869452700018883,fruitbot
97,97,802816,-0.28029329999999997,-0.49947025999999994,0.17223265767097473,fruitbot
98,98,811008,-0.30789538000000005,-0.71000756,0.21056503057479858,fruitbot
99,99,819200,-0.22183165999999999,-0.44198074000000004,-0.056844890117645264,fruitbot
100,100,827392,-0.12466972999999999,-0.35282016,-0.01672043278813362,fruitbot
101,101,835584,-0.13010005000000002,-0.43771833,-0.1704915314912796,fruitbot
102,102,843776,-0.20641765,-0.35906226,-0.16901013255119324,fruitbot
103,103,851968,0.10331517,-0.19551274999999996,-0.07875828444957733,fruitbot
104,104,860160,-0.05452425000000002,-0.60852119,-0.05915820971131325,fruitbot
105,105,868352,0.03816092000000003,-0.06348813,-0.04865346476435661,fruitbot
106,106,876544,0.15309349999999997,-0.37632611999999993,0.0049363658763468266,fruitbot
107,107,884736,0.19170038999999994,-0.23873538000000002,0.13420364260673523,fruitbot
108,108,892928,-0.06585144999999999,-0.12208273999999998,-0.03349685296416283,fruitbot
109,109,901120,0.17598789,0.03189132,0.11446119844913483,fruitbot
110,110,909312,0.50642004,-0.14929935,0.31364160776138306,fruitbot
111,111,917504,0.20416414,0.042750090000000004,0.06892078369855881,fruitbot
112,112,925696,0.24895358000000006,0.06959181,0.006982283666729927,fruitbot
113,113,933888,0.46548626,0.08036394999999998,0.19551804661750793,fruitbot
114,114,942080,0.32771641,0.0054496799999999975,0.4161171019077301,fruitbot
115,115,950272,0.14461614,0.23653126000000005,0.5973134636878967,fruitbot
116,116,958464,0.39560643999999995,0.21006319,0.5719698071479797,fruitbot
117,117,966656,0.30706219999999995,0.21028483999999995,0.7223085761070251,fruitbot
118,118,974848,0.26852864,0.08632026000000001,0.029842602089047432,fruitbot
