,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,-1.266821252873563,-1.087247151898734,-0.13164858520030975,fruitbot
1,1,16384,-0.8237674300000001,-1.53475755,0.3726893961429596,fruitbot
2,2,24576,-0.9929112999999999,-0.87073893,0.05591161176562309,fruitbot
3,3,32768,-1.26336409,-1.1071322000000001,0.6235576868057251,fruitbot
4,4,40960,-1.0488033300000001,-0.91158088,1.0,fruitbot
5,5,49152,-1.08774585,-1.27358385,1.0,fruitbot
6,6,57344,-1.0255774000000002,-0.89352554,1.0,fruitbot
7,7,65536,-0.8458129199999999,-1.0934118300000002,1.0,fruitbot
8,8,73728,-0.92105522,-0.97966957,1.0,fruitbot
9,9,81920,-1.1700425099999998,-0.9055738799999999,1.0,fruitbot
10,10,90112,-0.95835461,-1.28657645,1.0,fruitbot
11,11,98304,-1.0871007099999999,-0.9260580500000002,1.0,fruitbot
12,12,106496,-1.2423842999999999,-1.0929873700000001,1.0,fruitbot
13,13,114688,-1.1953767499999999,-1.13237158,1.0,fruitbot
14,14,122880,-0.9353307200000001,-1.21160533,1.0,fruitbot
15,15,131072,-1.0410264999999999,-1.27195445,1.0,fruitbot
16,16,139264,-1.09459338,-1.11372658,1.0,fruitbot
17,17,147456,-0.9617893599999998,-1.01029646,1.0,fruitbot
18,18,155648,-1.16801825,-1.0531996000000001,1.0,fruitbot
19,19,163840,-0.8606322299999999,-0.7105480700000001,1.0,fruitbot
20,20,172032,-1.04917233,-1.2556297799999998,1.0,fruitbot
21,21,180224,-1.16666857,-1.1065072,1.0,fruitbot
22,22,188416,-0.49093081,-1.0969380499999999,1.0,fruitbot
23,23,196608,-0.7268687800000001,-1.1579142,1.0,fruitbot
24,24,204800,-0.96625708,-1.16421919,1.0,fruitbot
25,25,212992,-0.83396472,-0.74790856,1.0,fruitbot
26,26,221184,-1.0405392299999998,-1.14204859,1.0,fruitbot
27,27,229376,-0.9608941,-0.87641883,1.0,fruitbot
28,28,237568,-0.78075455,-0.8926290399999999,1.0,fruitbot
29,29,245760,-1.0674279,-1.03610431,1.0,fruitbot
30,30,253952,-0.7448655700000001,-1.06298792,1.0,fruitbot
31,31,262144,-0.52426022,-0.80999972,1.0,fruitbot
