,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,-1.2432782705882353,-1.2329887000000002,-0.10903237015008926,fruitbot
1,1,16384,-1.16316529,-1.06291304,0.3041726350784302,fruitbot
2,2,24576,-0.92857988,-1.2952898,0.9536585807800293,fruitbot
3,3,32768,-0.94392159,-0.98559686,0.9833945035934448,fruitbot
4,4,40960,-1.00476735,-0.97465234,1.0,fruitbot
5,5,49152,-1.3076353400000003,-1.22881306,1.0,fruitbot
6,6,57344,-0.93051805,-0.9324791,1.0,fruitbot
7,7,65536,-0.74534594,-1.3337750099999999,0.9889092445373535,fruitbot
8,8,73728,-1.1532235899999999,-1.29392401,0.9978551268577576,fruitbot
9,9,81920,-0.9102089800000001,-0.77034311,0.9962709546089172,fruitbot
10,10,90112,-0.93128548,-1.2598002199999998,0.9957682490348816,fruitbot
11,11,98304,-0.88325373,-1.1571127300000001,0.9977925419807434,fruitbot
12,12,106496,-0.7860413299999998,-0.9779163999999999,0.6769986748695374,fruitbot
13,13,114688,-0.9479974099999999,-1.06436261,0.9946854114532471,fruitbot
14,14,122880,-0.9116047499999997,-1.24047765,1.0,fruitbot
15,15,131072,-0.90566199,-1.0799196100000001,1.0,fruitbot
16,16,139264,-1.0377029800000002,-0.93131767,0.9963207840919495,fruitbot
17,17,147456,-1.13248792,-0.78133987,1.0,fruitbot
18,18,155648,-0.96420624,-0.8758278300000002,1.0,fruitbot
19,19,163840,-0.8622135499999999,-0.9558620099999999,1.0,fruitbot
20,20,172032,-0.67105836,-1.2539584200000002,1.0,fruitbot
21,21,180224,-1.1620789699999998,-0.8757595899999999,0.9975253343582153,fruitbot
22,22,188416,-0.88872052,-0.7732034,1.0,fruitbot
23,23,196608,-0.7433819700000001,-0.8578236499999998,1.0,fruitbot
24,24,204800,-0.6385700599999999,-1.23986817,0.9997217655181885,fruitbot
25,25,212992,-0.7710930300000003,-0.7624222500000001,1.0,fruitbot
26,26,221184,-0.66849699,-0.8219079499999998,0.9964013695716858,fruitbot
27,27,229376,-0.67743203,-0.7201833799999998,1.0,fruitbot
28,28,237568,-0.7649921399999999,-0.6540906099999998,1.0,fruitbot
29,29,245760,-0.8014071500000002,-0.65132143,0.9955882430076599,fruitbot
30,30,253952,-0.7690808600000003,-1.0141098299999998,1.0,fruitbot
31,31,262144,-0.49259515,-0.72959828,0.9977709054946899,fruitbot
32,32,270336,-0.8190723400000001,-0.87097284,1.0,fruitbot
33,33,278528,-0.8556860400000003,-0.63296345,0.9975995421409607,fruitbot
34,34,286720,-0.8263497700000001,-0.8703920100000001,1.0,fruitbot
35,35,294912,-0.5558643099999998,-0.6857997299999999,1.0,fruitbot
36,36,303104,-0.51383972,-0.77191932,1.0,fruitbot
37,37,311296,-0.6983024100000002,-0.6150918700000001,0.9947986006736755,fruitbot
38,38,319488,-0.7440774299999998,-0.58488202,1.0,fruitbot
39,39,327680,-0.7087051799999999,-0.78807569,1.0,fruitbot
40,40,335872,-0.5876721200000001,-0.5728299199999999,1.0,fruitbot
41,41,344064,-0.58405336,-0.52348161,1.0,fruitbot
42,42,352256,-0.68963152,-0.26945257,0.9977354407310486,fruitbot
43,43,360448,-0.6324451099999999,-0.67018314,1.0,fruitbot
44,44,368640,-0.53521902,-0.57250346,1.0,fruitbot
45,45,376832,-0.23114162,-0.79551713,1.0,fruitbot
46,46,385024,-0.5745578600000001,-0.58578887,1.0,fruitbot
47,47,393216,-0.47085071,-0.51582785,0.9976871609687805,fruitbot
48,48,401408,-0.30977659,-0.4496669300000001,1.0,fruitbot
49,49,409600,-0.48942384999999994,-0.48549765000000006,0.9976213574409485,fruitbot
50,50,417792,-0.20944333000000004,-0.72038058,0.9952912926673889,fruitbot
51,51,425984,-0.32824554,-0.47817155,1.0,fruitbot
52,52,434176,-0.50385744,-0.47035492999999995,0.9976887702941895,fruitbot
53,53,442368,-0.23751876,-0.5204184500000001,1.0,fruitbot
54,54,450560,-0.279591,-0.59111072,0.9977772831916809,fruitbot
55,55,458752,-0.32675202999999997,-0.32585413,1.0,fruitbot
56,56,466944,-0.22390895,-0.6143444400000001,1.0,fruitbot
57,57,475136,5.5459999999990514e-05,-0.51132985,1.0,fruitbot
58,58,483328,-0.20413413,-0.44810527000000006,1.0,fruitbot
59,59,491520,-0.26784076,-0.25951437,1.0,fruitbot
60,60,499712,-0.015710049999999982,-0.5452592,1.0,fruitbot
61,61,507904,-0.29588075,-0.7708502700000001,1.0,fruitbot
62,62,516096,-0.32321609,-0.6764225500000001,0.9975990653038025,fruitbot
63,63,524288,-0.02659127000000001,-0.28605938999999997,0.9929500222206116,fruitbot
64,64,532480,-0.3027474,-0.4475989799999999,1.0,fruitbot
65,65,540672,-0.20720954000000005,-0.19656816999999996,1.0,fruitbot
66,66,548864,-0.26609173999999997,-0.4340153399999999,1.0,fruitbot
67,67,557056,-0.27691975,-0.46050037000000005,1.0,fruitbot
68,68,565248,-0.41076698,-0.3341968500000001,1.0,fruitbot
69,69,573440,-0.06438942000000003,-0.16251165999999997,1.0,fruitbot
70,70,581632,-0.12319722999999996,-0.35622667,1.0,fruitbot
71,71,589824,-0.10740148000000001,-0.16311054000000003,1.0,fruitbot
72,72,598016,-0.2904307099999999,-0.17887524000000002,1.0,fruitbot
73,73,606208,-0.08618979999999998,-0.21480817999999996,0.9816639423370361,fruitbot
74,74,614400,-0.043229039999999996,-0.28235822000000005,1.0,fruitbot
75,75,622592,0.07574149999999999,-0.44687399,1.0,fruitbot
