,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,-1.1800346097560974,-1.5363141279069767,-0.026601728051900864,fruitbot
1,1,16384,-0.97733476,-0.9192630799999999,-0.034169506281614304,fruitbot
2,2,24576,-0.8561285700000001,-1.25226121,-0.045249972492456436,fruitbot
3,3,32768,-1.08925298,-1.0175474199999999,-0.01321487221866846,fruitbot
4,4,40960,-1.1879443099999998,-1.21861934,-0.04090871661901474,fruitbot
5,5,49152,-1.1396274899999999,-1.24364944,-0.03111223690211773,fruitbot
6,6,57344,-1.30909246,-1.09001329,-0.031885940581560135,fruitbot
7,7,65536,-1.13986787,-1.09599385,-0.036067694425582886,fruitbot
8,8,73728,-1.0005600499999998,-1.25657307,-0.014082161709666252,fruitbot
9,9,81920,-0.9749559500000001,-1.12007967,0.0037377607077360153,fruitbot
10,10,90112,-0.7935892800000001,-1.01461961,0.007855480536818504,fruitbot
11,11,98304,-1.0738977299999999,-1.1214595,0.019478263333439827,fruitbot
12,12,106496,-1.00374862,-0.9882656900000001,0.008151544257998466,fruitbot
13,13,114688,-1.20415762,-1.0997201600000002,0.0074678026139736176,fruitbot
14,14,122880,-1.10974643,-0.8180012299999998,0.02417096309363842,fruitbot
15,15,131072,-1.01577443,-1.1627930700000002,0.024634312838315964,fruitbot
16,16,139264,-1.0964311699999998,-1.3896630099999998,0.027941830456256866,fruitbot
17,17,147456,-0.85162478,-0.96736329,0.023367615416646004,fruitbot
18,18,155648,-1.1615917900000001,-0.8035816599999999,0.0219151359051466,fruitbot
19,19,163840,-0.8247649699999999,-1.1695668799999999,0.01810089498758316,fruitbot
20,20,172032,-0.9639936100000002,-1.0673494700000001,0.007061225827783346,fruitbot
21,21,180224,-0.8042594400000002,-1.0183412200000002,-0.01187636237591505,fruitbot
22,22,188416,-0.84435008,-0.7554950000000001,-0.014249665662646294,fruitbot
23,23,196608,-0.90271535,-0.90965834,-0.0053578028455376625,fruitbot
24,24,204800,-0.47143238,-0.8910271900000001,-0.02821052446961403,fruitbot
25,25,212992,-0.7772422899999999,-0.66503254,-0.006495989393442869,fruitbot
26,26,221184,-0.7184172500000001,-0.50075155,0.00044835556764155626,fruitbot
27,27,229376,-0.75680718,-0.5928191599999999,0.000765873643103987,fruitbot
28,28,237568,-0.6656913999999999,-0.7733354700000001,0.02277335338294506,fruitbot
29,29,245760,-0.7894522599999999,-0.51642257,0.017540521919727325,fruitbot
30,30,253952,-0.6132707300000001,-0.7520889000000001,0.029252488166093826,fruitbot
31,31,262144,-0.8181882100000002,-0.6862700199999999,0.020898843184113503,fruitbot
32,32,270336,-0.66909245,-0.8250577399999999,-0.0024833178613334894,fruitbot
33,33,278528,-0.31070912000000006,-0.99998937,0.02046114206314087,fruitbot
34,34,286720,-0.33149854000000006,-0.55673468,0.030977655202150345,fruitbot
35,35,294912,-0.4125621400000001,-0.39406024999999995,0.01964457333087921,fruitbot
36,36,303104,-0.30619248,-0.23978123,0.026947109028697014,fruitbot
37,37,311296,-0.33076447000000003,-0.03240099999999999,0.027134058997035027,fruitbot
38,38,319488,-0.09975036999999999,-0.15808485,0.04109058901667595,fruitbot
39,39,327680,-0.31434018,-0.30836439,0.01322974357753992,fruitbot
40,40,335872,-0.18183795999999997,-0.41364793000000005,0.032763659954071045,fruitbot
41,41,344064,-0.20666672000000005,-0.33572077000000006,0.009528949856758118,fruitbot
42,42,352256,-0.30392621999999997,-0.33685285,0.010877314954996109,fruitbot
43,43,360448,-0.35766861,-0.38536859999999995,0.017077259719371796,fruitbot
