,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,10.0,10.0,0.44568267464637756,heist
1,1,16384,10.0,10.0,1.0,heist
2,2,24576,10.0,10.0,1.0,heist
3,3,32768,3.6842105263157894,4.166666666666667,1.0,heist
4,4,40960,4.166666666666667,4.25,1.0,heist
5,5,49152,4.528301886792453,4.186046511627907,1.0,heist
6,6,57344,4.827586206896552,4.285714285714286,1.0,heist
7,7,65536,4.1558441558441555,3.3333333333333335,1.0,heist
8,8,73728,3.953488372093023,3.5526315789473686,1.0,heist
9,9,81920,3.956043956043956,3.7209302325581395,1.0,heist
10,10,90112,3.8383838383838382,3.6263736263736264,1.0,heist
11,11,98304,2.9,2.5,1.0,heist
12,12,106496,4.0,2.4,1.0,heist
13,13,114688,4.3,2.3,1.0,heist
14,14,122880,4.1,2.6,1.0,heist
15,15,131072,3.4,2.3,1.0,heist
16,16,139264,3.1,2.0,1.0,heist
17,17,147456,3.4,2.0,1.0,heist
18,18,155648,3.4,2.3,1.0,heist
19,19,163840,3.4,2.0,1.0,heist
20,20,172032,3.6,1.8,1.0,heist
21,21,180224,3.7,1.8,1.0,heist
22,22,188416,3.4,2.3,1.0,heist
23,23,196608,3.2,2.4,1.0,heist
24,24,204800,3.4,2.4,1.0,heist
25,25,212992,3.6,2.7,1.0,heist
26,26,221184,3.6,2.8,1.0,heist
27,27,229376,3.5,2.6,1.0,heist
28,28,237568,3.4,2.4,1.0,heist
29,29,245760,3.3,2.8,1.0,heist
30,30,253952,3.2,2.8,1.0,heist
31,31,262144,3.0,3.0,1.0,heist
32,32,270336,3.2,2.6,1.0,heist
33,33,278528,3.1,2.5,1.0,heist
34,34,286720,3.2,2.4,1.0,heist
35,35,294912,3.0,2.4,1.0,heist
36,36,303104,3.1,2.6,1.0,heist
37,37,311296,3.4,2.8,1.0,heist
38,38,319488,3.6,3.0,1.0,heist
39,39,327680,3.8,3.0,1.0,heist
40,40,335872,3.6,2.8,1.0,heist
41,41,344064,3.5,2.9,1.0,heist
42,42,352256,3.1,2.9,1.0,heist
43,43,360448,3.3,2.9,1.0,heist
44,44,368640,3.2,2.9,1.0,heist
45,45,376832,3.7,2.8,1.0,heist
46,46,385024,3.4,2.7,1.0,heist
47,47,393216,3.4,3.2,1.0,heist
48,48,401408,3.4,3.0,1.0,heist
49,49,409600,3.6,2.9,1.0,heist
50,50,417792,3.6,3.1,1.0,heist
51,51,425984,3.7,2.8,1.0,heist
52,52,434176,3.9,3.1,1.0,heist
53,53,442368,3.6,3.1,1.0,heist
54,54,450560,3.5,3.2,1.0,heist
55,55,458752,3.5,3.2,1.0,heist
56,56,466944,3.5,2.9,1.0,heist
57,57,475136,3.6,2.8,1.0,heist
58,58,483328,3.7,2.7,1.0,heist
59,59,491520,3.7,2.8,1.0,heist
60,60,499712,3.5,3.0,1.0,heist
61,61,507904,3.5,3.0,1.0,heist
62,62,516096,3.7,3.2,1.0,heist
63,63,524288,3.8,3.1,1.0,heist
64,64,532480,4.1,3.3,1.0,heist
65,65,540672,4.0,3.2,1.0,heist
66,66,548864,4.1,3.0,1.0,heist
67,67,557056,4.0,2.9,1.0,heist
68,68,565248,4.0,2.8,1.0,heist
69,69,573440,4.1,2.8,1.0,heist
70,70,581632,4.1,2.9,1.0,heist
71,71,589824,3.8,2.7,1.0,heist
72,72,598016,3.5,2.5,1.0,heist
73,73,606208,3.6,2.4,1.0,heist
74,74,614400,3.4,2.6,1.0,heist
75,75,622592,3.2,2.6,1.0,heist
76,76,630784,3.3,2.9,1.0,heist
77,77,638976,3.1,3.0,1.0,heist
78,78,647168,3.3,2.8,1.0,heist
79,79,655360,3.2,2.8,1.0,heist
80,80,663552,3.1,3.0,1.0,heist
81,81,671744,3.2,3.1,1.0,heist
82,82,679936,3.0,3.3,1.0,heist
83,83,688128,2.9,3.5,1.0,heist
84,84,696320,2.7,3.9,1.0,heist
85,85,704512,2.5,3.7,1.0,heist
86,86,712704,2.4,3.5,1.0,heist
87,87,720896,2.8,3.6,1.0,heist
88,88,729088,3.0,3.5,1.0,heist
89,89,737280,3.1,3.2,1.0,heist
90,90,745472,3.4,3.1,1.0,heist
91,91,753664,3.4,3.3,1.0,heist
92,92,761856,3.8,3.1,1.0,heist
93,93,770048,3.9,2.8,1.0,heist
94,94,778240,4.1,2.5,1.0,heist
95,95,786432,4.0,2.5,1.0,heist
96,96,794624,3.6,2.4,1.0,heist
97,97,802816,3.5,3.1,1.0,heist
98,98,811008,3.9,3.2,1.0,heist
99,99,819200,4.0,3.0,1.0,heist
100,100,827392,3.9,2.8,1.0,heist
101,101,835584,3.9,2.6,1.0,heist
102,102,843776,3.4,2.6,1.0,heist
103,103,851968,3.7,2.3,1.0,heist
104,104,860160,3.8,2.3,1.0,heist
105,105,868352,4.1,2.2,1.0,heist
106,106,876544,4.0,2.1,1.0,heist
107,107,884736,3.7,1.9,1.0,heist
108,108,892928,3.9,1.6,1.0,heist
109,109,901120,3.7,1.4,1.0,heist
110,110,909312,3.9,1.6,1.0,heist
111,111,917504,3.9,1.7,1.0,heist
112,112,925696,3.9,1.9,1.0,heist
113,113,933888,3.5,1.7,1.0,heist
114,114,942080,3.3,1.8,1.0,heist
115,115,950272,3.3,1.8,1.0,heist
116,116,958464,3.1,1.8,1.0,heist
117,117,966656,2.9,2.1,1.0,heist
118,118,974848,3.1,2.2,1.0,heist
119,119,983040,3.5,1.9,1.0,heist
120,120,991232,3.4,2.1,1.0,heist
121,121,999424,3.4,2.1,1.0,heist
122,122,1007616,3.2,2.2,1.0,heist
123,123,1015808,3.4,2.3,1.0,heist
124,124,1024000,3.4,2.2,1.0,heist
125,125,1032192,3.2,2.2,1.0,heist
126,126,1040384,3.2,2.5,1.0,heist
127,127,1048576,3.1,2.4,1.0,heist
128,128,1056768,3.0,2.2,1.0,heist
129,129,1064960,2.5,2.2,1.0,heist
130,130,1073152,2.2,2.3,1.0,heist
131,131,1081344,2.5,2.2,1.0,heist
132,132,1089536,2.8,2.0,1.0,heist
133,133,1097728,2.7,2.0,1.0,heist
134,134,1105920,2.5,1.7,1.0,heist
135,135,1114112,2.6,1.5,1.0,heist
136,136,1122304,2.6,1.5,1.0,heist
137,137,1130496,2.6,1.7,1.0,heist
138,138,1138688,3.1,1.5,1.0,heist
139,139,1146880,3.2,1.7,1.0,heist
140,140,1155072,3.2,2.1,1.0,heist
141,141,1163264,3.3,2.0,1.0,heist
142,142,1171456,3.4,2.0,1.0,heist
143,143,1179648,3.4,2.1,1.0,heist
144,144,1187840,3.7,2.2,1.0,heist
145,145,1196032,3.5,2.5,1.0,heist
146,146,1204224,3.6,2.5,1.0,heist
147,147,1212416,3.7,2.4,1.0,heist
148,148,1220608,3.8,2.7,1.0,heist
149,149,1228800,3.9,2.8,1.0,heist
150,150,1236992,3.6,2.7,1.0,heist
151,151,1245184,3.3,2.7,1.0,heist
152,152,1253376,3.5,2.6,1.0,heist
153,153,1261568,3.5,2.6,1.0,heist
154,154,1269760,3.5,2.9,1.0,heist
155,155,1277952,3.6,2.7,1.0,heist
156,156,1286144,3.6,2.7,1.0,heist
157,157,1294336,3.7,2.6,1.0,heist
158,158,1302528,3.5,2.8,1.0,heist
159,159,1310720,3.2,2.7,1.0,heist
160,160,1318912,3.6,2.8,1.0,heist
161,161,1327104,3.3,2.8,1.0,heist
162,162,1335296,3.1,3.4,1.0,heist
163,163,1343488,3.2,3.9,1.0,heist
164,164,1351680,3.2,4.0,1.0,heist
165,165,1359872,3.1,4.0,1.0,heist
166,166,1368064,3.2,3.7,1.0,heist
167,167,1376256,3.3,3.6,1.0,heist
168,168,1384448,3.5,3.4,1.0,heist
169,169,1392640,3.7,3.5,1.0,heist
170,170,1400832,3.6,3.3,1.0,heist
171,171,1409024,3.9,2.9,1.0,heist
172,172,1417216,3.7,2.8,1.0,heist
173,173,1425408,3.8,2.7,1.0,heist
174,174,1433600,3.8,2.4,1.0,heist
175,175,1441792,3.6,2.2,1.0,heist
176,176,1449984,3.4,2.5,1.0,heist
177,177,1458176,3.2,2.6,1.0,heist
178,178,1466368,3.1,2.8,1.0,heist
179,179,1474560,3.1,3.0,1.0,heist
180,180,1482752,3.1,3.2,1.0,heist
181,181,1490944,3.1,3.1,1.0,heist
182,182,1499136,2.9,3.0,1.0,heist
183,183,1507328,2.9,3.0,1.0,heist
184,184,1515520,3.2,3.6,1.0,heist
185,185,1523712,3.5,3.6,1.0,heist
186,186,1531904,3.7,3.5,1.0,heist
187,187,1540096,3.9,3.8,1.0,heist
188,188,1548288,4.3,3.9,1.0,heist
189,189,1556480,4.1,3.7,1.0,heist
190,190,1564672,4.1,4.0,1.0,heist
191,191,1572864,4.1,4.1,1.0,heist
192,192,1581056,3.9,4.0,1.0,heist
193,193,1589248,3.6,4.0,1.0,heist
194,194,1597440,3.7,3.5,1.0,heist
195,195,1605632,3.6,3.3,1.0,heist
196,196,1613824,2.9,3.3,1.0,heist
197,197,1622016,2.7,3.2,1.0,heist
198,198,1630208,2.7,2.8,1.0,heist
