,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,10.0,NaN,-0.129057839512825,heist
1,1,16384,10.0,10,-0.12609747052192688,heist
2,2,24576,10.0,10,-0.1526329070329666,heist
3,3,32768,5.0,3.823529411764706,-0.16342921555042267,heist
4,4,40960,5.1063829787234045,4.054054054054054,-0.0933515727519989,heist
5,5,49152,5.37037037037037,4.186046511627907,-0.02503429725766182,heist
6,6,57344,5.344827586206897,3.9583333333333335,-0.055955465883016586,heist
7,7,65536,4.342105263157895,2.898550724637681,-0.057060424238443375,heist
8,8,73728,4.352941176470588,3.3783783783783785,-0.03869733586907387,heist
9,9,81920,4.301075268817204,3.292682926829268,-0.09064528346061707,heist
10,10,90112,4.3,3.260869565217391,-0.08619089424610138,heist
11,11,98304,2.9,2.6,-0.09601490199565887,heist
12,12,106496,2.8,2.5,-0.06866953521966934,heist
13,13,114688,2.8,3.2,-0.1318596601486206,heist
14,14,122880,3.2,3.4,-0.002574411453679204,heist
15,15,131072,2.9,3,-0.06900441646575928,heist
16,16,139264,2.8,3.1,-0.06217674911022186,heist
17,17,147456,3.0,3.5,-0.07706747949123383,heist
18,18,155648,3.2,3.4,0.16380073130130768,heist
19,19,163840,3.1,3.3,0.08165249973535538,heist
20,20,172032,3.2,3.4,0.12190437316894531,heist
21,21,180224,3.3,3.5,0.4974314570426941,heist
22,22,188416,3.5,3.1,0.826240062713623,heist
23,23,196608,3.2,2.8,0.16713829338550568,heist
24,24,204800,3.3,2.6,-0.12039920687675476,heist
25,25,212992,3.6,2.5,0.0692400261759758,heist
26,26,221184,3.5,2.8,0.3745217025279999,heist
27,27,229376,3.3,2.9,0.3608025908470154,heist
28,28,237568,3.2,2.7,-0.044351182878017426,heist
29,29,245760,3.2,2.9,0.04581278935074806,heist
30,30,253952,3.3,2.7,0.08972450345754623,heist
31,31,262144,3.4,3,0.1609353870153427,heist
32,32,270336,3.6,3,-0.056836262345314026,heist
33,33,278528,3.4,3,-0.09854884445667267,heist
34,34,286720,3.0,2.8,-0.1377994418144226,heist
35,35,294912,2.9,3.1,0.276109516620636,heist
36,36,303104,2.9,2.8,0.015301019884645939,heist
37,37,311296,2.9,2.7,0.1866511106491089,heist
38,38,319488,3.0,2.7,0.20544740557670593,heist
39,39,327680,3.0,2.7,0.0366859994828701,heist
40,40,335872,3.0,2.9,0.1958981454372406,heist
41,41,344064,2.9,2.8,0.5215855240821838,heist
42,42,352256,2.8,2.4,-0.08194050937891006,heist
43,43,360448,2.9,2.6,-0.11326662451028824,heist
44,44,368640,3.0,2.7,1.0,heist
45,45,376832,3.0,3,0.418982595205307,heist
46,46,385024,3.4,3.1,0.290327250957489,heist
47,47,393216,3.4,2.9,1.0,heist
48,48,401408,3.4,2.9,1.0,heist
49,49,409600,3.1,3.2,1.0,heist
50,50,417792,2.8,3.2,1.0,heist
51,51,425984,2.8,3.3,0.898208498954773,heist
52,52,434176,2.9,3.5,1.0,heist
53,53,442368,2.9,3.6,0.9639104008674622,heist
54,54,450560,2.6,3.2,0.9832424521446228,heist
55,55,458752,2.5,3,1.0,heist
56,56,466944,2.5,2.9,1.0,heist
57,57,475136,2.5,3,0.9915744662284851,heist
58,58,483328,2.6,2.9,0.1780344843864441,heist
59,59,491520,2.6,2.5,0.5589054226875305,heist
60,60,499712,2.5,2.6,0.3129330575466156,heist
61,61,507904,2.8,2.3,1.0,heist
62,62,516096,2.8,2.4,-0.05960428714752197,heist
63,63,524288,2.8,2.3,0.45725321769714355,heist
64,64,532480,3.1,2.1,0.3974577784538269,heist
65,65,540672,2.7,2.1,0.019307298585772514,heist
66,66,548864,2.8,2.4,0.5864018797874451,heist
67,67,557056,2.8,2.5,0.1000359058380127,heist
68,68,565248,2.7,2.4,0.06488320231437683,heist
69,69,573440,2.7,2.5,0.06279951333999634,heist
70,70,581632,2.6,2.4,0.6977183818817139,heist
71,71,589824,2.5,2.2,0.48646408319473267,heist
72,72,598016,2.4,2.4,-0.1687215119600296,heist
73,73,606208,1.9,2.3,0.046906862407922745,heist
74,74,614400,1.9,2.4,-0.14961284399032593,heist
75,75,622592,2.1,2.3,0.15126794576644897,heist
76,76,630784,2.1,2.3,-0.0543004609644413,heist
77,77,638976,2.1,2.1,0.16513817012310028,heist
78,78,647168,2.3,2.2,-0.045115962624549866,heist
79,79,655360,2.4,1.9,-0.14075890183448792,heist
80,80,663552,2.5,2.1,-0.021662849932909012,heist
81,81,671744,2.3,2.2,-0.02244509756565094,heist
82,82,679936,2.6,2.4,-0.010929753072559834,heist
83,83,688128,2.9,2.4,-0.04124149680137634,heist
84,84,696320,3.0,2.5,-0.011213723570108414,heist
85,85,704512,2.7,2.5,0.03120891936123371,heist
86,86,712704,3.0,2.5,-0.011300724931061268,heist
87,87,720896,3.0,2.4,-0.20121197402477264,heist
88,88,729088,2.8,2.5,-0.08189657330513,heist
89,89,737280,2.6,2.4,-0.09246964007616043,heist
90,90,745472,3.2,2.2,-0.10768508911132812,heist
91,91,753664,3.1,2.5,-0.01983223669230938,heist
92,92,761856,3.2,2.2,-0.0773937925696373,heist
93,93,770048,3.1,2.2,-0.16522426903247833,heist
94,94,778240,3.0,2.3,-0.1768714338541031,heist
95,95,786432,3.0,2.2,-0.11888674646615982,heist
96,96,794624,2.9,2.2,-0.17586110532283783,heist
97,97,802816,2.7,2.1,-0.017199760302901268,heist
98,98,811008,2.9,1.9,0.06175052374601364,heist
99,99,819200,3.0,2.1,-0.09264598041772842,heist
100,100,827392,2.6,2,-0.06928237527608871,heist
101,101,835584,2.5,2.2,-0.06925302743911743,heist
102,102,843776,2.7,2,-0.052535802125930786,heist
103,103,851968,2.7,2.1,-0.09290249645709991,heist
104,104,860160,2.8,2.1,-0.0995100736618042,heist
105,105,868352,2.7,2.1,-0.15880510210990906,heist
106,106,876544,2.4,2.2,-0.09302644431591034,heist
107,107,884736,2.5,2.2,-0.07726557552814484,heist
108,108,892928,2.4,2.5,-0.13014712929725647,heist
109,109,901120,2.3,2.5,-0.22636577486991882,heist
110,110,909312,2.3,3,-0.13099996745586395,heist
111,111,917504,2.5,2.7,-0.23621903359889984,heist
112,112,925696,2.4,2.7,-0.011515778489410877,heist
113,113,933888,2.2,2.6,-0.1947123110294342,heist
114,114,942080,2.2,2.5,-0.22382187843322754,heist
115,115,950272,2.4,2.1,-0.12529675662517548,heist
116,116,958464,2.7,2.1,-0.056931160390377045,heist
117,117,966656,2.6,2.1,-0.036893393844366074,heist
118,118,974848,2.5,2.3,-0.09487780183553696,heist
119,119,983040,2.6,2.4,0.006638632155954838,heist
120,120,991232,2.7,2.1,-0.20575331151485443,heist
121,121,999424,2.9,2,-0.04891742393374443,heist
122,122,1007616,2.8,2.4,0.05945996195077896,heist
123,123,1015808,3.0,2.4,-0.009745015762746334,heist
124,124,1024000,2.9,2.5,-0.0075948783196508884,heist
125,125,1032192,2.8,2.6,-0.09511547535657883,heist
126,126,1040384,3.0,3.1,0.016690684482455254,heist
127,127,1048576,3.3,3.2,0.01578671485185623,heist
128,128,1056768,3.2,2.8,-0.06540089845657349,heist
129,129,1064960,3.3,2.8,-0.04838067665696144,heist
130,130,1073152,3.2,2.6,0.05933592841029167,heist
131,131,1081344,2.9,2.5,-0.09995649755001068,heist
132,132,1089536,3.1,2.2,0.04075281694531441,heist
133,133,1097728,3.1,2.3,-0.010107140988111496,heist
134,134,1105920,3.5,2.2,0.1483599692583084,heist
135,135,1114112,3.6,2.2,0.04861174523830414,heist
136,136,1122304,3.3,2.4,-0.06540344655513763,heist
137,137,1130496,3.1,2.5,-0.062183503061532974,heist
138,138,1138688,3.1,2.7,-0.03007548861205578,heist
139,139,1146880,3.3,3.1,-0.007585167419165373,heist
140,140,1155072,3.4,3,-0.005563823040574789,heist
141,141,1163264,3.3,3.1,-0.017268288880586624,heist
142,142,1171456,3.3,2.9,0.02858945168554783,heist
143,143,1179648,3.2,2.9,-0.05885462462902069,heist
144,144,1187840,3.2,3.2,0.01173938438296318,heist
145,145,1196032,3.2,3.1,-0.016890360042452812,heist
