,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,10.0,10.0,0.07039898633956909,heist
1,1,16384,10.0,10.0,0.03615684062242508,heist
2,2,24576,10.0,10.0,0.1053028479218483,heist
3,3,32768,3.235294117647059,3.3333333333333335,0.04331967234611511,heist
4,4,40960,4.146341463414634,3.25,0.08212060481309891,heist
5,5,49152,4.042553191489362,3.75,0.13186688721179962,heist
6,6,57344,4.117647058823529,3.9622641509433962,0.046484969556331635,heist
7,7,65536,3.466666666666667,3.235294117647059,0.07166808843612671,heist
8,8,73728,3.6470588235294117,3.2467532467532467,0.1477644443511963,heist
9,9,81920,3.763440860215054,3.0952380952380953,0.19597415626049042,heist
10,10,90112,3.814432989690722,3.0,0.21600021421909332,heist
11,11,98304,2.7,2.5,0.087960384786129,heist
12,12,106496,2.9,1.9,0.07646737992763519,heist
13,13,114688,3.1,2.4,0.1378585696220398,heist
14,14,122880,3.3,2.8,0.21950389444828033,heist
15,15,131072,2.7,2.6,0.17312800884246826,heist
16,16,139264,2.9,2.3,0.10711111128330231,heist
17,17,147456,3.1,1.9,0.22203049063682556,heist
18,18,155648,3.2,2.1,0.2730003893375397,heist
19,19,163840,2.5,2.0,0.25431424379348755,heist
20,20,172032,2.4,1.9,0.2175147384405136,heist
21,21,180224,2.8,1.9,0.10018865019083023,heist
22,22,188416,2.9,1.9,0.14812973141670227,heist
23,23,196608,2.8,1.8,0.10615295171737671,heist
24,24,204800,2.6,1.7,0.36113977432250977,heist
25,25,212992,2.8,1.4,0.2522878646850586,heist
26,26,221184,2.7,1.5,0.13875223696231842,heist
27,27,229376,2.5,2.0,0.19697082042694092,heist
28,28,237568,2.3,2.1,0.21292923390865326,heist
29,29,245760,2.5,2.2,0.13171829283237457,heist
30,30,253952,2.4,2.4,0.06498092412948608,heist
31,31,262144,2.2,2.4,0.16731150448322296,heist
32,32,270336,2.4,2.6,0.22537699341773987,heist
33,33,278528,2.7,2.8,0.22205084562301636,heist
34,34,286720,2.8,2.6,0.11017240583896637,heist
35,35,294912,2.6,2.4,0.17339831590652466,heist
36,36,303104,2.9,2.5,0.1386372447013855,heist
37,37,311296,3.1,2.1,0.16736769676208496,heist
38,38,319488,3.3,2.1,0.09048846364021301,heist
39,39,327680,3.2,1.9,0.022910330444574356,heist
40,40,335872,3.1,2.0,0.21851713955402374,heist
41,41,344064,2.9,1.7,0.20858299732208252,heist
42,42,352256,2.5,2.0,0.2940589189529419,heist
43,43,360448,2.4,2.0,0.14398516714572906,heist
44,44,368640,2.5,1.9,0.24129626154899597,heist
45,45,376832,2.7,2.0,0.3247649073600769,heist
46,46,385024,2.7,1.9,0.2257511466741562,heist
47,47,393216,2.5,2.2,0.22331291437149048,heist
48,48,401408,2.4,2.6,0.13996827602386475,heist
49,49,409600,2.4,2.7,0.21110445261001587,heist
50,50,417792,2.8,2.9,0.21445906162261963,heist
51,51,425984,2.9,3.1,0.242374449968338,heist
52,52,434176,3.2,3.3,0.23503094911575317,heist
53,53,442368,3.4,3.4,0.22702772915363312,heist
54,54,450560,3.8,3.5,0.22757406532764435,heist
55,55,458752,3.7,3.3,0.18700873851776123,heist
56,56,466944,3.6,3.1,0.12835469841957092,heist
57,57,475136,3.6,3.4,0.16942669451236725,heist
58,58,483328,3.3,3.0,0.20544669032096863,heist
59,59,491520,3.3,3.0,0.15703901648521423,heist
60,60,499712,2.9,2.8,0.1863033026456833,heist
61,61,507904,2.8,2.6,0.3207840621471405,heist
62,62,516096,2.8,2.4,0.3794459104537964,heist
63,63,524288,2.9,2.6,0.27160531282424927,heist
64,64,532480,2.6,2.4,0.23908990621566772,heist
65,65,540672,2.7,2.8,0.1920960247516632,heist
66,66,548864,2.8,3.0,0.1995803862810135,heist
67,67,557056,3.1,2.8,0.2423451691865921,heist
68,68,565248,3.6,3.1,0.2674684226512909,heist
69,69,573440,3.8,3.1,0.17429833114147186,heist
70,70,581632,3.8,3.4,0.22268837690353394,heist
71,71,589824,4.1,3.5,0.2876012325286865,heist
72,72,598016,3.8,3.1,0.32432353496551514,heist
73,73,606208,3.8,3.1,0.3946439027786255,heist
74,74,614400,3.4,3.2,0.2788626253604889,heist
75,75,622592,3.7,3.2,0.265077143907547,heist
76,76,630784,3.6,2.9,0.3063318133354187,heist
77,77,638976,3.5,3.1,0.21046607196331024,heist
78,78,647168,3.5,3.2,0.3241870105266571,heist
79,79,655360,3.1,3.0,0.41089069843292236,heist
80,80,663552,3.0,2.7,0.3770117461681366,heist
81,81,671744,3.2,2.8,0.209527388215065,heist
82,82,679936,3.1,2.9,0.3952138423919678,heist
83,83,688128,3.0,2.8,0.30259132385253906,heist
84,84,696320,3.1,2.8,0.31530240178108215,heist
85,85,704512,2.9,2.9,0.4676778316497803,heist
86,86,712704,2.5,2.7,0.3420723080635071,heist
87,87,720896,2.6,2.8,0.40058544278144836,heist
88,88,729088,2.6,2.7,0.2994789183139801,heist
89,89,737280,2.5,2.5,0.11023567616939545,heist
90,90,745472,2.6,2.5,0.36567410826683044,heist
91,91,753664,2.5,2.4,0.3555047810077667,heist
92,92,761856,2.6,2.2,0.3380736708641052,heist
93,93,770048,2.5,2.3,0.39085549116134644,heist
94,94,778240,2.3,2.5,0.4076746106147766,heist
95,95,786432,2.4,2.4,0.46725523471832275,heist
96,96,794624,2.6,2.5,0.2833329141139984,heist
97,97,802816,2.7,2.4,0.3927063047885895,heist
98,98,811008,2.8,2.4,0.3443080484867096,heist
99,99,819200,3.0,2.8,0.3525681793689728,heist
100,100,827392,2.7,3.1,0.4566023647785187,heist
101,101,835584,2.8,3.0,0.3054661452770233,heist
102,102,843776,3.1,3.1,0.32624489068984985,heist
103,103,851968,3.4,3.1,0.29723918437957764,heist
104,104,860160,3.8,3.1,0.17940057814121246,heist
105,105,868352,3.8,3.2,0.23317791521549225,heist
106,106,876544,4.0,3.1,0.27807897329330444,heist
107,107,884736,4.2,3.1,0.17921139299869537,heist
108,108,892928,3.9,2.9,0.2783798277378082,heist
109,109,901120,4.0,2.8,0.29912427067756653,heist
110,110,909312,4.0,2.7,0.28227075934410095,heist
111,111,917504,3.7,2.8,0.2631814479827881,heist
112,112,925696,3.5,2.7,0.21221262216567993,heist
113,113,933888,3.5,2.7,0.28146758675575256,heist
