,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,3.5555555555555554,6.4569889047619045,-0.20395199954509735,jumper
1,1,16384,3.787878787878788,5.12719925,0.036658477038145065,jumper
2,2,24576,3.8461538461538463,5.298503869565217,0.028921552002429962,jumper
3,3,32768,3.9,4.641632989583333,0.019114529713988304,jumper
4,4,40960,3.2,3.8,0.01558963768184185,jumper
5,5,49152,3.1,4.0,-0.017301402986049652,jumper
6,6,57344,3.2,3.5,1.0,jumper
7,7,65536,4.0,3.0,1.0,jumper
8,8,73728,4.1,2.5,1.0,jumper
9,9,81920,4.1,2.8,0.9948449730873108,jumper
10,10,90112,4.0,2.7,1.0,jumper
11,11,98304,3.6,2.5,1.0,jumper
12,12,106496,3.8,2.2,1.0,jumper
13,13,114688,3.9,2.7,1.0,jumper
14,14,122880,4.0,2.8,1.0,jumper
15,15,131072,3.5,2.1,1.0,jumper
16,16,139264,3.7,2.2,1.0,jumper
17,17,147456,3.7,2.5,1.0,jumper
18,18,155648,3.7,2.3,1.0,jumper
19,19,163840,3.6,2.6,0.998151421546936,jumper
20,20,172032,4.6,3.3,0.9975520372390747,jumper
21,21,180224,4.3,3.4,0.995057225227356,jumper
22,22,188416,4.4,3.4,1.0,jumper
23,23,196608,4.6,4.3,1.0,jumper
24,24,204800,4.2,4.8,1.0,jumper
25,25,212992,4.1,5.3,1.0,jumper
26,26,221184,4.3,5.0,1.0,jumper
27,27,229376,4.1,3.9,1.0,jumper
28,28,237568,3.0,3.3,1.0,jumper
29,29,245760,2.8,3.2,1.0,jumper
30,30,253952,3.2,3.2,0.998034656047821,jumper
31,31,262144,3.7,3.7,0.9977688789367676,jumper
32,32,270336,3.5,4.0,0.9977447986602783,jumper
33,33,278528,4.0,4.4,1.0,jumper
34,34,286720,3.3,3.8,0.995823860168457,jumper
35,35,294912,3.8,4.2,1.0,jumper
36,36,303104,4.2,4.2,1.0,jumper
37,37,311296,3.5,3.8,0.992496132850647,jumper
38,38,319488,3.6,4.1,1.0,jumper
39,39,327680,3.5,3.6,1.0,jumper
40,40,335872,3.1,3.3,1.0,jumper
41,41,344064,3.4,4.3,1.0,jumper
42,42,352256,4.0,5.5,1.0,jumper
43,43,360448,4.8,5.7,0.9950436353683472,jumper
44,44,368640,5.0,5.4,0.9950248003005981,jumper
