,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,4.2105263157894735,3.2142857142857144,1,jumper
1,1,16384,4.2105263157894735,3.7037037037037037,1,jumper
2,2,24576,4.264705882352941,4.202898550724638,1,jumper
3,3,32768,3.977272727272727,3.8297872340425534,1,jumper
4,4,40960,3.8,3.7,1,jumper
5,5,49152,3.6,3.6,1,jumper
6,6,57344,3.8,3.2,1,jumper
7,7,65536,3.7,3.3,1,jumper
8,8,73728,3.6,3.3,1,jumper
9,9,81920,3.8,3.5,1,jumper
10,10,90112,3.7,3.8,1,jumper
11,11,98304,3.8,3.1,1,jumper
12,12,106496,4.1,3.4,1,jumper
13,13,114688,4.0,3.1,1,jumper
14,14,122880,4.1,3.2,1,jumper
15,15,131072,3.8,3.7,1,jumper
16,16,139264,3.1,3.9,1,jumper
17,17,147456,3.2,3.9,1,jumper
18,18,155648,3.3,4.0,1,jumper
19,19,163840,2.7,3.7,1,jumper
20,20,172032,2.7,3.1,1,jumper
21,21,180224,2.7,3.4,1,jumper
22,22,188416,3.4,3.4,1,jumper
23,23,196608,3.6,3.7,1,jumper
24,24,204800,3.8,4.1,1,jumper
25,25,212992,4.2,3.8,1,jumper
26,26,221184,4.2,3.9,1,jumper
27,27,229376,4.2,3.7,1,jumper
28,28,237568,4.2,4.1,1,jumper
29,29,245760,4.1,4.4,1,jumper
30,30,253952,4.4,4.2,1,jumper
31,31,262144,4.4,4.0,1,jumper
32,32,270336,4.3,3.7,1,jumper
33,33,278528,4.1,3.8,1,jumper
34,34,286720,3.6,3.7,1,jumper
35,35,294912,3.7,4.0,1,jumper
36,36,303104,3.4,3.9,1,jumper
37,37,311296,3.7,4.2,1,jumper
38,38,319488,4.2,4.6,1,jumper
39,39,327680,4.3,4.8,1,jumper
40,40,335872,5.2,4.8,1,jumper
41,41,344064,4.6,5.2,1,jumper
42,42,352256,4.8,4.6,1,jumper
43,43,360448,4.5,4.5,1,jumper
44,44,368640,4.6,4.5,1,jumper
45,45,376832,4.4,4.0,1,jumper
46,46,385024,4.3,4.2,1,jumper
47,47,393216,4.6,3.8,1,jumper
48,48,401408,4.3,3.9,1,jumper
49,49,409600,4.6,4.1,1,jumper
50,50,417792,4.6,4.2,1,jumper
51,51,425984,4.1,4.3,1,jumper
52,52,434176,4.4,4.0,1,jumper
53,53,442368,4.7,3.1,1,jumper
54,54,450560,4.9,2.9,1,jumper
55,55,458752,5.0,3.1,1,jumper
56,56,466944,4.4,3.6,1,jumper
57,57,475136,4.0,3.4,1,jumper
58,58,483328,3.5,4.0,1,jumper
59,59,491520,4.3,4.6,1,jumper
60,60,499712,5.3,5.0,1,jumper
61,61,507904,5.0,4.6,1,jumper
62,62,516096,4.8,4.0,1,jumper
63,63,524288,4.2,3.5,1,jumper
64,64,532480,4.3,4.1,1,jumper
65,65,540672,4.6,4.5,1,jumper
66,66,548864,4.7,4.8,1,jumper
67,67,557056,4.8,4.9,1,jumper
68,68,565248,4.8,4.4,1,jumper
69,69,573440,4.8,4.4,1,jumper
70,70,581632,5.6,4.6,1,jumper
71,71,589824,5.2,4.8,1,jumper
72,72,598016,5.0,4.4,1,jumper
73,73,606208,4.9,4.7,1,jumper
74,74,614400,5.0,4.0,1,jumper
75,75,622592,4.7,3.9,1,jumper
76,76,630784,4.8,4.1,1,jumper
77,77,638976,5.1,4.4,1,jumper
78,78,647168,4.7,4.3,1,jumper
79,79,655360,4.8,4.3,1,jumper
80,80,663552,4.7,4.3,1,jumper
81,81,671744,5.2,4.6,1,jumper
82,82,679936,5.7,5.1,1,jumper
83,83,688128,5.5,5.5,1,jumper
84,84,696320,6.0,5.0,1,jumper
85,85,704512,6.0,5.0,1,jumper
86,86,712704,5.6,5.7,1,jumper
87,87,720896,4.4,5.8,1,jumper
88,88,729088,5.1,5.6,1,jumper
89,89,737280,5.6,5.8,1,jumper
90,90,745472,6.1,5.8,1,jumper
91,91,753664,5.9,6.2,1,jumper
92,92,761856,5.5,5.4,1,jumper
93,93,770048,6.0,5.7,1,jumper
94,94,778240,7.2,5.7,1,jumper
95,95,786432,5.7,6.0,1,jumper
96,96,794624,5.0,6.0,1,jumper
97,97,802816,5.6,5.6,1,jumper
98,98,811008,5.5,5.0,1,jumper
99,99,819200,6.7,4.9,1,jumper
100,100,827392,6.5,5.6,1,jumper
101,101,835584,6.3,6.0,1,jumper
102,102,843776,6.5,5.9,1,jumper
103,103,851968,6.8,6.1,1,jumper
104,104,860160,5.8,6.1,1,jumper
105,105,868352,6.5,6.3,1,jumper
106,106,876544,6.2,6.3,1,jumper
107,107,884736,5.9,6.1,1,jumper
108,108,892928,5.9,5.6,1,jumper
109,109,901120,6.0,4.7,1,jumper
110,110,909312,5.8,5.5,1,jumper
111,111,917504,5.2,5.8,1,jumper
112,112,925696,5.2,5.9,1,jumper
113,113,933888,5.4,5.6,1,jumper
114,114,942080,6.1,5.6,1,jumper
115,115,950272,6.5,5.1,1,jumper
116,116,958464,6.2,6.0,1,jumper
117,117,966656,5.7,6.8,1,jumper
118,118,974848,6.7,6.7,1,jumper
119,119,983040,6.6,6.0,1,jumper
120,120,991232,6.7,5.7,1,jumper
121,121,999424,6.2,5.4,1,jumper
122,122,1007616,6.4,5.4,1,jumper
123,123,1015808,7.0,5.7,1,jumper
124,124,1024000,7.2,6.5,1,jumper
125,125,1032192,6.5,7.0,1,jumper
126,126,1040384,5.9,5.5,1,jumper
127,127,1048576,6.0,5.1,1,jumper
128,128,1056768,6.4,5.8,1,jumper
129,129,1064960,5.5,6.4,1,jumper
130,130,1073152,5.9,5.7,1,jumper
131,131,1081344,5.7,6.2,1,jumper
132,132,1089536,5.7,6.3,1,jumper
133,133,1097728,5.8,6.1,1,jumper
134,134,1105920,5.8,6.1,1,jumper
135,135,1114112,6.0,6.2,1,jumper
136,136,1122304,5.8,6.0,1,jumper
137,137,1130496,5.7,6.3,1,jumper
138,138,1138688,5.8,6.3,1,jumper
139,139,1146880,6.3,5.6,1,jumper
140,140,1155072,5.8,5.3,1,jumper
141,141,1163264,6.0,5.2,1,jumper
142,142,1171456,6.2,5.3,1,jumper
143,143,1179648,6.3,5.3,1,jumper
144,144,1187840,6.3,5.2,1,jumper
145,145,1196032,6.4,5.3,1,jumper
146,146,1204224,6.6,5.6,1,jumper
147,147,1212416,6.0,5.6,1,jumper
148,148,1220608,5.9,6.4,1,jumper
149,149,1228800,6.4,6.0,1,jumper
150,150,1236992,6.1,5.1,1,jumper
151,151,1245184,6.2,5.2,1,jumper
152,152,1253376,6.3,5.3,1,jumper
153,153,1261568,6.1,5.0,1,jumper
154,154,1269760,6.1,5.1,1,jumper
155,155,1277952,7.0,4.7,1,jumper
156,156,1286144,7.0,5.2,1,jumper
157,157,1294336,6.2,5.5,1,jumper
158,158,1302528,5.9,5.1,1,jumper
159,159,1310720,6.0,4.9,1,jumper
160,160,1318912,5.9,5.0,1,jumper
161,161,1327104,6.1,5.6,1,jumper
162,162,1335296,6.8,5.2,1,jumper
163,163,1343488,6.8,4.7,1,jumper
164,164,1351680,6.0,5.2,1,jumper
165,165,1359872,6.3,5.7,1,jumper
166,166,1368064,6.7,5.1,1,jumper
167,167,1376256,6.6,5.1,1,jumper
168,168,1384448,6.2,4.8,1,jumper
169,169,1392640,6.4,5.4,1,jumper
170,170,1400832,6.5,5.6,1,jumper
171,171,1409024,6.6,5.4,1,jumper
172,172,1417216,6.0,5.3,1,jumper
173,173,1425408,5.8,6.1,1,jumper
174,174,1433600,7.4,6.2,1,jumper
175,175,1441792,6.8,6.1,1,jumper
176,176,1449984,6.7,5.3,1,jumper
177,177,1458176,6.3,5.3,1,jumper
178,178,1466368,6.8,5.4,1,jumper
179,179,1474560,6.1,5.5,1,jumper
180,180,1482752,5.5,5.6,1,jumper
181,181,1490944,5.3,5.5,1,jumper
182,182,1499136,5.2,6.2,1,jumper
183,183,1507328,6.5,6.4,1,jumper
184,184,1515520,6.5,5.9,1,jumper
185,185,1523712,6.3,5.0,1,jumper
186,186,1531904,6.2,5.1,1,jumper
187,187,1540096,5.9,5.7,1,jumper
188,188,1548288,6.0,5.1,1,jumper
189,189,1556480,5.6,4.5,1,jumper
190,190,1564672,5.4,4.5,1,jumper
191,191,1572864,5.9,4.1,1,jumper
192,192,1581056,6.5,4.9,1,jumper
193,193,1589248,6.1,5.2,1,jumper
194,194,1597440,6.5,5.6,1,jumper
195,195,1605632,6.3,4.8,1,jumper
196,196,1613824,6.0,4.7,1,jumper
197,197,1622016,6.2,4.3,1,jumper
198,198,1630208,6.9,4.9,1,jumper
199,199,1638400,6.7,4.8,1,jumper
200,200,1646592,6.1,5.0,1,jumper
201,201,1654784,6.3,4.9,1,jumper
202,202,1662976,6.2,4.8,1,jumper
203,203,1671168,6.0,4.7,1,jumper
204,204,1679360,5.7,4.8,1,jumper
205,205,1687552,6.1,5.0,1,jumper
206,206,1695744,6.0,5.7,1,jumper
207,207,1703936,5.7,5.2,1,jumper
208,208,1712128,6.1,5.6,1,jumper
209,209,1720320,6.4,5.8,1,jumper
210,210,1728512,6.0,5.6,1,jumper
211,211,1736704,6.6,5.5,1,jumper
212,212,1744896,6.5,4.5,1,jumper
213,213,1753088,7.0,4.9,1,jumper
214,214,1761280,7.2,5.2,1,jumper
215,215,1769472,7.0,5.3,1,jumper
216,216,1777664,6.7,5.1,1,jumper
217,217,1785856,6.3,5.2,1,jumper
218,218,1794048,5.8,5.0,1,jumper
219,219,1802240,5.3,4.9,1,jumper
220,220,1810432,6.2,5.3,1,jumper
221,221,1818624,6.5,5.4,1,jumper
222,222,1826816,6.9,4.6,1,jumper
223,223,1835008,6.2,5.1,1,jumper
224,224,1843200,6.3,5.8,1,jumper
225,225,1851392,6.2,6.1,1,jumper
