,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,4.0,1.4285714285714286,-0.1596200317144394,jumper
1,1,16384,4.137931034482759,2.3529411764705883,-0.1468459665775299,jumper
2,2,24576,4.024390243902439,3.0952380952380953,-0.1522967666387558,jumper
3,3,32768,4.5,3.23943661971831,-0.12698538601398468,jumper
4,4,40960,4.2,3.3,-0.12691619992256165,jumper
5,5,49152,3.7,3.3,-0.14004498720169067,jumper
6,6,57344,3.8,3.2,-0.13960130512714386,jumper
7,7,65536,3.5,2.9,-0.1604927033185959,jumper
8,8,73728,3.5,3.1,-0.1274634748697281,jumper
9,9,81920,3.5,3.3,-0.10615010559558868,jumper
10,10,90112,3.3,3.3,-0.10908018052577972,jumper
11,11,98304,3.7,4.2,-0.17734527587890625,jumper
12,12,106496,3.7,4.5,0.1428060680627823,jumper
13,13,114688,4.1,4.1,0.10414405167102814,jumper
14,14,122880,4.1,3.8,0.1771911233663559,jumper
15,15,131072,3.5,3.7,0.4524982273578644,jumper
16,16,139264,3.6,3.3,0.8311553597450256,jumper
17,17,147456,3.9,2.8,0.6250194907188416,jumper
18,18,155648,4.1,3.0,0.9960846900939941,jumper
19,19,163840,3.4,3.1,0.9469229578971863,jumper
20,20,172032,3.6,3.4,0.43839627504348755,jumper
21,21,180224,3.8,3.5,1.0,jumper
22,22,188416,3.6,3.1,1.0,jumper
23,23,196608,3.8,3.2,0.9911863803863525,jumper
24,24,204800,3.6,3.0,0.7557376623153687,jumper
25,25,212992,3.9,3.8,1.0,jumper
26,26,221184,4.2,4.3,1.0,jumper
27,27,229376,4.2,4.6,1.0,jumper
28,28,237568,3.7,4.1,1.0,jumper
29,29,245760,3.4,3.5,1.0,jumper
30,30,253952,3.5,4.0,1.0,jumper
31,31,262144,4.0,3.8,1.0,jumper
32,32,270336,4.0,3.7,1.0,jumper
33,33,278528,4.2,3.7,1.0,jumper
34,34,286720,3.9,3.6,1.0,jumper
35,35,294912,4.2,4.6,1.0,jumper
36,36,303104,4.5,4.6,1.0,jumper
37,37,311296,4.6,5.0,1.0,jumper
38,38,319488,4.7,4.8,1.0,jumper
39,39,327680,4.0,4.3,1.0,jumper
40,40,335872,3.6,4.0,0.8986073732376099,jumper
41,41,344064,3.4,3.9,0.9857008457183838,jumper
42,42,352256,3.5,4.4,1.0,jumper
43,43,360448,4.2,5.3,1.0,jumper
44,44,368640,4.5,5.1,1.0,jumper
45,45,376832,4.3,4.6,1.0,jumper
46,46,385024,4.4,4.5,1.0,jumper
47,47,393216,4.3,3.6,1.0,jumper
48,48,401408,3.7,3.4,1.0,jumper
49,49,409600,3.3,3.5,1.0,jumper
50,50,417792,3.7,3.4,1.0,jumper
51,51,425984,3.6,3.8,0.9978224039077759,jumper
52,52,434176,4.1,3.5,1.0,jumper
53,53,442368,3.8,3.5,1.0,jumper
54,54,450560,4.1,4.2,1.0,jumper
55,55,458752,4.0,4.5,0.9972759485244751,jumper
56,56,466944,4.6,4.7,0.9886611104011536,jumper
57,57,475136,4.5,4.7,0.9671002626419067,jumper
58,58,483328,4.9,4.5,0.9999569058418274,jumper
59,59,491520,4.3,4.3,1.0,jumper
60,60,499712,4.4,3.9,1.0,jumper
61,61,507904,4.7,4.1,1.0,jumper
62,62,516096,5.1,4.3,1.0,jumper
63,63,524288,4.8,3.8,1.0,jumper
64,64,532480,4.8,3.9,1.0,jumper
65,65,540672,4.5,3.7,1.0,jumper
66,66,548864,5.3,4.9,1.0,jumper
67,67,557056,5.4,5.1,1.0,jumper
68,68,565248,4.8,5.2,1.0,jumper
69,69,573440,4.9,5.7,1.0,jumper
70,70,581632,4.8,5.3,1.0,jumper
71,71,589824,5.2,4.8,1.0,jumper
72,72,598016,5.9,4.5,1.0,jumper
73,73,606208,6.3,4.7,1.0,jumper
74,74,614400,5.8,4.7,1.0,jumper
75,75,622592,5.1,5.2,1.0,jumper
76,76,630784,4.9,6.0,1.0,jumper
77,77,638976,5.8,6.0,1.0,jumper
78,78,647168,5.7,4.8,1.0,jumper
79,79,655360,5.7,4.5,1.0,jumper
80,80,663552,5.3,5.0,1.0,jumper
81,81,671744,4.9,5.2,0.997914731502533,jumper
82,82,679936,5.1,5.1,1.0,jumper
83,83,688128,5.6,5.8,0.9992014169692993,jumper
84,84,696320,6.2,5.6,1.0,jumper
85,85,704512,6.1,5.4,1.0,jumper
86,86,712704,5.2,5.2,0.9989917278289795,jumper
87,87,720896,5.0,4.9,0.9955350160598755,jumper
88,88,729088,5.5,5.8,0.9963304400444031,jumper
89,89,737280,5.2,6.4,0.9910707473754883,jumper
90,90,745472,5.3,5.8,1.0,jumper
91,91,753664,5.7,5.4,1.0,jumper
92,92,761856,5.9,4.7,1.0,jumper
93,93,770048,6.3,4.7,1.0,jumper
94,94,778240,5.8,6.3,1.0,jumper
95,95,786432,5.6,5.6,1.0,jumper
96,96,794624,6.1,5.2,0.9971081018447876,jumper
97,97,802816,6.2,5.8,0.9987189173698425,jumper
98,98,811008,5.4,5.6,0.9923673868179321,jumper
99,99,819200,5.4,5.7,0.9945405721664429,jumper
100,100,827392,6.3,5.6,0.9989901185035706,jumper
101,101,835584,6.5,6.0,0.9955354332923889,jumper
102,102,843776,6.3,6.4,0.9955354332923889,jumper
103,103,851968,6.5,6.4,0.9972390532493591,jumper
104,104,860160,5.7,5.6,0.9967567920684814,jumper
105,105,868352,6.5,5.4,0.9916535019874573,jumper
106,106,876544,6.2,5.6,0.9958332777023315,jumper
107,107,884736,5.8,5.5,1.0,jumper
108,108,892928,6.2,4.8,0.9726914167404175,jumper
109,109,901120,6.8,5.1,0.8815200924873352,jumper
110,110,909312,6.0,5.9,0.9802467823028564,jumper
111,111,917504,7.1,6.4,0.9200030565261841,jumper
112,112,925696,6.5,5.8,1.0,jumper
113,113,933888,5.5,5.8,0.9989909529685974,jumper
114,114,942080,5.6,6.0,0.977951169013977,jumper
115,115,950272,6.0,6.1,1.0,jumper
116,116,958464,6.0,5.6,1.0,jumper
117,117,966656,6.3,4.9,1.0,jumper
118,118,974848,6.2,4.5,0.9979138970375061,jumper
119,119,983040,5.7,4.4,0.8266202807426453,jumper
120,120,991232,5.7,5.3,0.8939967751502991,jumper
121,121,999424,5.8,6.2,1.0,jumper
122,122,1007616,6.0,6.6,1.0,jumper
123,123,1015808,6.0,5.3,1.0,jumper
124,124,1024000,6.2,4.7,1.0,jumper
125,125,1032192,7.3,5.0,1.0,jumper
126,126,1040384,6.6,5.7,1.0,jumper
127,127,1048576,7.4,6.2,1.0,jumper
128,128,1056768,7.4,6.5,1.0,jumper
129,129,1064960,6.2,6.2,1.0,jumper
130,130,1073152,5.6,6.2,0.7960304617881775,jumper
131,131,1081344,5.8,5.3,0.4902566373348236,jumper
132,132,1089536,6.9,5.3,0.31112417578697205,jumper
133,133,1097728,7.7,5.7,0.9986339807510376,jumper
134,134,1105920,7.2,5.5,0.998991847038269,jumper
135,135,1114112,6.5,5.1,0.9742650985717773,jumper
136,136,1122304,5.6,5.1,1.0,jumper
137,137,1130496,5.7,5.3,0.997916579246521,jumper
138,138,1138688,6.2,5.2,0.8312950730323792,jumper
139,139,1146880,6.4,5.5,1.0,jumper
140,140,1155072,6.1,5.8,1.0,jumper
141,141,1163264,6.9,6.1,1.0,jumper
142,142,1171456,6.8,5.9,1.0,jumper
143,143,1179648,7.1,5.8,1.0,jumper
144,144,1187840,6.3,4.5,1.0,jumper
145,145,1196032,6.6,4.1,1.0,jumper
146,146,1204224,6.1,4.2,1.0,jumper
147,147,1212416,6.5,5.0,1.0,jumper
148,148,1220608,6.7,5.2,1.0,jumper
149,149,1228800,6.3,5.8,1.0,jumper
150,150,1236992,5.7,6.2,1.0,jumper
151,151,1245184,5.7,6.1,1.0,jumper
152,152,1253376,6.0,5.4,1.0,jumper
153,153,1261568,6.4,4.9,1.0,jumper
154,154,1269760,6.7,5.4,1.0,jumper
155,155,1277952,7.0,6.5,1.0,jumper
156,156,1286144,6.5,6.3,1.0,jumper
157,157,1294336,5.6,6.3,1.0,jumper
158,158,1302528,5.6,5.5,1.0,jumper
159,159,1310720,6.8,5.7,1.0,jumper
160,160,1318912,7.2,6.2,1.0,jumper
161,161,1327104,6.7,6.0,1.0,jumper
162,162,1335296,6.6,5.0,1.0,jumper
163,163,1343488,6.5,4.9,1.0,jumper
164,164,1351680,6.7,5.3,1.0,jumper
165,165,1359872,5.8,5.2,1.0,jumper
166,166,1368064,6.3,5.3,1.0,jumper
167,167,1376256,6.2,5.3,1.0,jumper
168,168,1384448,6.1,5.6,1.0,jumper
169,169,1392640,6.6,6.1,1.0,jumper
170,170,1400832,6.9,5.7,1.0,jumper
171,171,1409024,7.0,6.2,1.0,jumper
172,172,1417216,7.2,5.2,1.0,jumper
173,173,1425408,6.2,4.9,1.0,jumper
174,174,1433600,6.1,4.4,1.0,jumper
175,175,1441792,7.1,5.3,1.0,jumper
176,176,1449984,7.1,5.6,1.0,jumper
177,177,1458176,6.4,6.5,1.0,jumper
178,178,1466368,6.6,6.5,1.0,jumper
179,179,1474560,6.2,6.0,1.0,jumper
180,180,1482752,5.9,5.0,0.9999938607215881,jumper
181,181,1490944,6.8,5.5,1.0,jumper
182,182,1499136,7.1,5.3,1.0,jumper
183,183,1507328,6.1,6.2,1.0,jumper
184,184,1515520,6.9,6.8,1.0,jumper
185,185,1523712,6.9,5.9,1.0,jumper
186,186,1531904,6.3,5.9,1.0,jumper
187,187,1540096,6.0,5.7,1.0,jumper
188,188,1548288,6.7,5.4,1.0,jumper
189,189,1556480,6.8,5.3,1.0,jumper
190,190,1564672,6.9,5.7,1.0,jumper
191,191,1572864,7.7,5.7,1.0,jumper
192,192,1581056,7.1,5.3,1.0,jumper
193,193,1589248,5.9,5.3,1.0,jumper
194,194,1597440,6.8,5.3,1.0,jumper
195,195,1605632,7.3,5.7,1.0,jumper
196,196,1613824,6.8,6.1,1.0,jumper
197,197,1622016,6.2,6.1,1.0,jumper
198,198,1630208,7.2,6.1,0.9986411929130554,jumper
199,199,1638400,6.7,5.7,0.9982727766036987,jumper
200,200,1646592,6.6,5.8,0.9879090785980225,jumper
201,201,1654784,6.9,6.6,0.995535671710968,jumper
202,202,1662976,6.5,5.8,1.0,jumper
203,203,1671168,5.6,6.0,1.0,jumper
204,204,1679360,5.7,5.8,1.0,jumper
205,205,1687552,6.9,6.0,0.9989919066429138,jumper
206,206,1695744,6.5,5.8,1.0,jumper
207,207,1703936,6.4,6.3,1.0,jumper
