,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,4.4,4.054054054054054,-0.02031468041241169,jumper
1,1,16384,4.75,4.545454545454546,1.0,jumper
2,2,24576,4.745762711864407,4.5,0.9264332056045532,jumper
3,3,32768,3.8636363636363638,3.7209302325581395,0.9028913974761963,jumper
4,4,40960,3.2,3.8,1.0,jumper
5,5,49152,3.1,3.7,1.0,jumper
6,6,57344,2.9,3.5,1.0,jumper
7,7,65536,3.7,2.9,1.0,jumper
8,8,73728,3.2,3.6,1.0,jumper
9,9,81920,3.0,3.7,1.0,jumper
10,10,90112,3.7,3.6,1.0,jumper
11,11,98304,3.4,3.4,1.0,jumper
12,12,106496,3.7,3.7,1.0,jumper
13,13,114688,3.8,3.5,1.0,jumper
14,14,122880,3.4,3.3,1.0,jumper
15,15,131072,3.2,2.7,1.0,jumper
16,16,139264,3.9,2.7,1.0,jumper
17,17,147456,4.2,3.1,1.0,jumper
18,18,155648,3.9,3.7,1.0,jumper
19,19,163840,3.6,4.6,1.0,jumper
20,20,172032,3.0,4.7,1.0,jumper
21,21,180224,3.1,4.9,0.995654821395874,jumper
22,22,188416,3.7,4.4,1.0,jumper
23,23,196608,3.7,3.7,1.0,jumper
24,24,204800,4.0,2.7,1.0,jumper
25,25,212992,4.0,2.7,1.0,jumper
26,26,221184,3.9,2.9,1.0,jumper
27,27,229376,4.3,3.5,1.0,jumper
28,28,237568,4.2,3.7,1.0,jumper
29,29,245760,4.5,3.8,1.0,jumper
30,30,253952,4.7,4.1,1.0,jumper
31,31,262144,4.5,4.1,1.0,jumper
32,32,270336,4.7,3.6,1.0,jumper
33,33,278528,4.3,4.2,1.0,jumper
34,34,286720,4.3,3.7,1.0,jumper
35,35,294912,3.8,4.2,1.0,jumper
36,36,303104,4.7,4.1,1.0,jumper
37,37,311296,5.9,3.8,1.0,jumper
38,38,319488,6.2,3.3,1.0,jumper
39,39,327680,5.5,3.9,1.0,jumper
40,40,335872,4.6,3.5,0.9934768676757812,jumper
41,41,344064,4.3,3.9,1.0,jumper
42,42,352256,4.8,4.1,0.9965761303901672,jumper
43,43,360448,4.8,4.0,1.0,jumper
44,44,368640,4.7,4.2,1.0,jumper
45,45,376832,4.7,4.2,1.0,jumper
46,46,385024,4.1,4.4,1.0,jumper
47,47,393216,4.6,4.6,1.0,jumper
48,48,401408,4.6,4.4,1.0,jumper
