,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,4.0,3.0952380952380953,-0.042841602116823196,jumper
1,1,16384,4.565217391304348,3.0303030303030303,0.9942130446434021,jumper
2,2,24576,4.477611940298507,3.2911392405063293,1.0,jumper
3,3,32768,3.75,3.1,0.9859756827354431,jumper
4,4,40960,3.7,3.3,0.968407392501831,jumper
5,5,49152,3.8,3.6,0.9812141060829163,jumper
6,6,57344,3.6,3.6,0.9978775382041931,jumper
7,7,65536,3.6,3.8,1.0,jumper
8,8,73728,3.8,3.9,0.9979144930839539,jumper
9,9,81920,4.1,4.0,0.9909273982048035,jumper
10,10,90112,3.9,3.7,0.9982978701591492,jumper
11,11,98304,3.8,3.6,0.9976899027824402,jumper
12,12,106496,4.5,3.5,0.9856851100921631,jumper
13,13,114688,4.4,3.2,1.0,jumper
14,14,122880,4.4,2.8,1.0,jumper
15,15,131072,4.0,2.7,1.0,jumper
16,16,139264,3.6,3.0,1.0,jumper
17,17,147456,3.7,3.2,1.0,jumper
18,18,155648,3.9,3.1,0.9919487833976746,jumper
19,19,163840,3.5,2.7,0.9963963031768799,jumper
20,20,172032,3.1,2.7,0.9978328347206116,jumper
21,21,180224,3.1,3.0,0.9799323081970215,jumper
22,22,188416,3.1,3.2,0.9465174674987793,jumper
23,23,196608,3.5,2.7,0.9978097677230835,jumper
24,24,204800,4.3,3.1,0.9940515160560608,jumper
25,25,212992,4.7,3.8,0.9979612827301025,jumper
26,26,221184,4.6,3.8,0.9941631555557251,jumper
27,27,229376,4.3,4.5,0.9886753559112549,jumper
28,28,237568,4.0,4.7,0.9838359355926514,jumper
29,29,245760,4.2,4.9,0.9884209036827087,jumper
30,30,253952,4.1,4.6,0.9975727200508118,jumper
31,31,262144,4.3,3.6,0.9906361699104309,jumper
32,32,270336,4.6,3.6,0.9959015250205994,jumper
33,33,278528,3.5,3.3,0.9882698059082031,jumper
34,34,286720,3.7,3.0,0.9987454414367676,jumper
35,35,294912,3.5,2.9,0.9969872832298279,jumper
36,36,303104,4.3,3.5,0.9979153275489807,jumper
37,37,311296,4.1,3.6,0.990172803401947,jumper
38,38,319488,4.3,3.5,0.9984002709388733,jumper
39,39,327680,4.4,3.2,0.9762382507324219,jumper
40,40,335872,4.1,4.0,0.9924456477165222,jumper
41,41,344064,3.8,4.0,0.9978943467140198,jumper
42,42,352256,3.9,4.6,0.9978753328323364,jumper
43,43,360448,4.1,4.8,1.0,jumper
44,44,368640,3.8,4.8,1.0,jumper
45,45,376832,3.8,4.8,1.0,jumper
46,46,385024,3.6,4.9,1.0,jumper
47,47,393216,3.6,4.6,1.0,jumper
48,48,401408,3.7,4.5,0.995444118976593,jumper
49,49,409600,3.7,4.2,1.0,jumper
50,50,417792,4.0,3.9,1.0,jumper
51,51,425984,4.4,3.9,0.9403132796287537,jumper
52,52,434176,4.9,4.0,0.9953616857528687,jumper
53,53,442368,5.1,4.9,1.0,jumper
54,54,450560,5.1,4.9,0.9978204369544983,jumper
55,55,458752,5.0,5.1,1.0,jumper
56,56,466944,4.7,4.3,1.0,jumper
57,57,475136,5.1,3.7,0.9955359697341919,jumper
58,58,483328,5.5,2.8,1.0,jumper
59,59,491520,5.7,3.6,0.9973011612892151,jumper
60,60,499712,5.5,3.9,0.9963829517364502,jumper
61,61,507904,5.1,4.6,1.0,jumper
62,62,516096,4.5,5.0,0.9911074638366699,jumper
63,63,524288,4.4,4.9,1.0,jumper
64,64,532480,4.5,5.1,0.9975201487541199,jumper
65,65,540672,4.5,4.8,0.997390866279602,jumper
66,66,548864,4.9,4.9,0.9958909153938293,jumper
67,67,557056,5.3,4.6,0.9894427061080933,jumper
68,68,565248,5.8,5.5,0.9975040555000305,jumper
69,69,573440,5.9,5.1,1.0,jumper
70,70,581632,5.9,4.8,1.0,jumper
71,71,589824,5.0,4.7,1.0,jumper
72,72,598016,5.5,5.1,1.0,jumper
73,73,606208,6.8,4.8,1.0,jumper
74,74,614400,6.2,5.3,1.0,jumper
75,75,622592,5.3,5.3,0.9922715425491333,jumper
76,76,630784,5.8,5.4,0.9757888317108154,jumper
77,77,638976,5.8,5.7,0.9925110936164856,jumper
78,78,647168,5.6,5.9,0.9865657687187195,jumper
79,79,655360,6.1,5.6,0.9977158308029175,jumper
80,80,663552,5.9,5.4,0.991121232509613,jumper
81,81,671744,5.0,5.4,0.9978173971176147,jumper
82,82,679936,5.2,5.3,0.9948973059654236,jumper
83,83,688128,5.9,5.2,1.0,jumper
84,84,696320,6.3,4.7,1.0,jumper
85,85,704512,5.7,4.4,0.9892420172691345,jumper
86,86,712704,5.3,4.5,0.997503936290741,jumper
87,87,720896,5.5,4.5,0.9837021231651306,jumper
88,88,729088,5.7,5.7,0.9867622256278992,jumper
89,89,737280,6.9,6.1,0.9955414533615112,jumper
90,90,745472,7.2,7.5,0.9970664978027344,jumper
91,91,753664,6.2,7.4,0.9941442608833313,jumper
92,92,761856,5.6,7.2,0.9977518916130066,jumper
93,93,770048,5.3,6.2,0.9919744729995728,jumper
94,94,778240,5.9,5.7,1.0,jumper
95,95,786432,6.4,5.0,0.962602436542511,jumper
96,96,794624,5.8,5.5,0.9468573331832886,jumper
97,97,802816,5.8,6.2,0.9977190494537354,jumper
98,98,811008,6.2,6.3,0.995358407497406,jumper
99,99,819200,6.7,5.8,0.997883677482605,jumper
100,100,827392,6.6,5.5,1.0,jumper
101,101,835584,6.1,5.7,1.0,jumper
102,102,843776,6.0,6.1,0.9931186437606812,jumper
103,103,851968,5.8,6.0,0.9936203360557556,jumper
104,104,860160,6.2,5.4,0.9976516962051392,jumper
105,105,868352,6.6,4.6,0.9777581691741943,jumper
106,106,876544,6.9,5.5,0.9976918697357178,jumper
107,107,884736,7.0,6.0,0.9914513230323792,jumper
108,108,892928,7.2,5.2,0.9756547808647156,jumper
109,109,901120,7.0,4.5,0.9995362162590027,jumper
110,110,909312,6.3,5.2,0.9964145421981812,jumper
111,111,917504,5.6,5.5,0.9842477440834045,jumper
112,112,925696,5.2,5.0,0.9940308928489685,jumper
113,113,933888,5.6,4.7,0.9995602369308472,jumper
114,114,942080,6.3,5.0,0.9909210205078125,jumper
115,115,950272,6.4,5.3,0.9957664012908936,jumper
116,116,958464,5.9,5.1,1.0,jumper
117,117,966656,6.1,5.3,0.9894585013389587,jumper
118,118,974848,6.1,5.2,0.9976992011070251,jumper
119,119,983040,6.4,6.1,0.9933738112449646,jumper
120,120,991232,6.2,6.0,1.0,jumper
121,121,999424,6.3,6.1,1.0,jumper
122,122,1007616,6.6,6.1,0.9947051405906677,jumper
123,123,1015808,6.4,5.6,0.9941678643226624,jumper
124,124,1024000,7.1,5.2,0.994792640209198,jumper
125,125,1032192,6.0,5.7,0.9936577677726746,jumper
126,126,1040384,6.2,6.1,0.9983841180801392,jumper
127,127,1048576,6.0,5.8,0.9836792349815369,jumper
128,128,1056768,5.2,5.3,1.0,jumper
129,129,1064960,5.5,5.5,0.9975273013114929,jumper
130,130,1073152,7.1,6.2,0.9974918961524963,jumper
131,131,1081344,6.8,5.8,0.9828681349754333,jumper
132,132,1089536,6.6,5.9,0.9985700249671936,jumper
133,133,1097728,6.8,5.5,1.0,jumper
134,134,1105920,6.3,5.8,0.9950724244117737,jumper
135,135,1114112,6.0,5.3,0.9975720047950745,jumper
136,136,1122304,6.0,5.2,0.9901193380355835,jumper
137,137,1130496,6.8,5.2,0.9986547827720642,jumper
138,138,1138688,6.9,5.5,0.9901127219200134,jumper
139,139,1146880,6.6,5.7,0.9950292110443115,jumper
140,140,1155072,6.5,5.9,0.997313916683197,jumper
141,141,1163264,6.1,6.7,0.9950220584869385,jumper
142,142,1171456,6.4,6.6,1.0,jumper
143,143,1179648,6.3,6.7,1.0,jumper
144,144,1187840,6.9,6.5,0.9919319152832031,jumper
145,145,1196032,6.9,5.3,1.0,jumper
146,146,1204224,6.3,5.6,0.9987602233886719,jumper
147,147,1212416,6.5,5.8,0.9933565855026245,jumper
148,148,1220608,6.6,5.7,0.993557333946228,jumper
149,149,1228800,6.4,5.8,0.996914267539978,jumper
150,150,1236992,6.8,6.1,1.0,jumper
151,151,1245184,7.0,5.9,0.9968512058258057,jumper
152,152,1253376,6.6,5.9,1.0,jumper
153,153,1261568,6.1,5.8,0.9975546598434448,jumper
154,154,1269760,6.6,5.8,0.9929761290550232,jumper
155,155,1277952,5.9,5.5,1.0,jumper
156,156,1286144,5.5,5.3,0.9884253740310669,jumper
157,157,1294336,6.9,5.2,0.9925001859664917,jumper
158,158,1302528,7.3,5.0,0.9916943907737732,jumper
159,159,1310720,6.8,5.0,0.9947414398193359,jumper
160,160,1318912,6.2,5.3,1.0,jumper
161,161,1327104,6.2,5.6,0.9979531764984131,jumper
162,162,1335296,6.8,6.0,0.9899299144744873,jumper
163,163,1343488,7.1,6.0,0.997496485710144,jumper
164,164,1351680,6.7,5.2,0.9978878498077393,jumper
165,165,1359872,6.7,4.8,0.9919752478599548,jumper
166,166,1368064,5.8,4.3,0.9946282505989075,jumper
167,167,1376256,5.6,4.8,0.9905737042427063,jumper
168,168,1384448,5.4,4.6,0.9899672865867615,jumper
169,169,1392640,5.7,5.0,0.9955988526344299,jumper
170,170,1400832,5.6,4.9,0.9895133376121521,jumper
171,171,1409024,5.8,5.7,0.9974953532218933,jumper
172,172,1417216,5.9,6.2,1.0,jumper
173,173,1425408,5.4,6.0,0.9947071671485901,jumper
174,174,1433600,6.0,5.8,0.9975118041038513,jumper
175,175,1441792,6.0,5.6,0.993904709815979,jumper
176,176,1449984,6.4,5.4,0.9948186278343201,jumper
177,177,1458176,6.9,5.3,0.9863322973251343,jumper
178,178,1466368,6.9,5.6,0.9978870153427124,jumper
179,179,1474560,7.0,5.9,0.9971585869789124,jumper
180,180,1482752,6.7,5.6,0.9921951293945312,jumper
181,181,1490944,6.7,4.8,0.9963930249214172,jumper
182,182,1499136,7.0,4.8,0.9977442622184753,jumper
183,183,1507328,7.3,5.6,0.9947238564491272,jumper
184,184,1515520,6.7,5.3,0.9925349950790405,jumper
185,185,1523712,6.8,5.5,0.9894496202468872,jumper
186,186,1531904,7.0,5.4,0.9928127527236938,jumper
187,187,1540096,6.5,5.7,0.9938340783119202,jumper
188,188,1548288,6.5,5.6,1.0,jumper
189,189,1556480,6.4,4.4,0.9974144697189331,jumper
190,190,1564672,6.4,5.0,0.9937867522239685,jumper
191,191,1572864,6.0,4.7,0.9957131147384644,jumper
192,192,1581056,6.6,4.8,0.9979838728904724,jumper
193,193,1589248,7.4,4.7,0.9900225400924683,jumper
194,194,1597440,6.8,5.4,0.9888200163841248,jumper
195,195,1605632,7.0,5.2,1.0,jumper
196,196,1613824,6.6,6.0,0.9918863773345947,jumper
197,197,1622016,7.1,6.2,0.9950069189071655,jumper
198,198,1630208,7.5,5.4,0.9798715710639954,jumper
199,199,1638400,7.5,5.4,0.9957196712493896,jumper
200,200,1646592,7.1,5.4,0.9848838448524475,jumper
201,201,1654784,6.7,5.8,0.9940496683120728,jumper
202,202,1662976,5.5,6.1,1.0,jumper
203,203,1671168,6.1,5.2,0.9952749609947205,jumper
204,204,1679360,7.0,5.4,1.0,jumper
205,205,1687552,6.8,5.0,1.0,jumper
206,206,1695744,7.3,5.1,0.9917171597480774,jumper
207,207,1703936,7.1,4.6,0.9974949359893799,jumper
208,208,1712128,6.7,5.0,1.0,jumper
209,209,1720320,6.6,5.2,0.9970911145210266,jumper
210,210,1728512,6.5,5.5,0.9756608605384827,jumper
211,211,1736704,6.8,5.3,0.9979398250579834,jumper
212,212,1744896,7.1,5.3,0.9912818074226379,jumper
213,213,1753088,6.8,5.3,0.996669590473175,jumper
