,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,3.9503535428571426,4.8430149687499995,-0.03777170553803444,jumper
1,1,16384,4.386211382352942,4.196008553571429,-0.06712205708026886,jumper
2,2,24576,3.7711828842105266,4.391574040540541,-0.045688237994909286,jumper
3,3,32768,3.9,4.247058913978495,-0.052360136061906815,jumper
4,4,40960,3.5,3.8,-0.04627212882041931,jumper
5,5,49152,3.5,3.9,-0.04988763481378555,jumper
6,6,57344,3.3,3.9,-0.06719524413347244,jumper
7,7,65536,3.4,3.1,-0.08425571769475937,jumper
8,8,73728,3.4,3.2,-0.07436857372522354,jumper
9,9,81920,3.4,3.5,-0.053681112825870514,jumper
10,10,90112,2.9,3.2,-0.08194314688444138,jumper
11,11,98304,2.9,3.1,-0.08768787235021591,jumper
12,12,106496,2.6,2.9,-0.06536620110273361,jumper
13,13,114688,2.1,2.8,-0.04915458336472511,jumper
14,14,122880,2.7,2.7,-0.10572482645511627,jumper
15,15,131072,2.9,2.6,-0.03581583872437477,jumper
16,16,139264,3.5,2.2,-0.04040156304836273,jumper
17,17,147456,4.2,2.1,-0.036321595311164856,jumper
18,18,155648,4.2,2.1,-0.048418689519166946,jumper
19,19,163840,3.9,2.7,-0.04164104908704758,jumper
20,20,172032,3.1,3.0,-0.03531390428543091,jumper
21,21,180224,3.4,3.1,-0.05797388777136803,jumper
22,22,188416,3.7,3.2,-0.055167410522699356,jumper
23,23,196608,3.5,3.9,-0.08229823410511017,jumper
24,24,204800,3.5,4.7,-0.0651252344250679,jumper
25,25,212992,3.4,5.0,-0.048878662288188934,jumper
26,26,221184,3.3,5.1,-0.07691556960344315,jumper
27,27,229376,3.3,4.5,-0.0431174598634243,jumper
28,28,237568,3.0,4.5,-0.06398667395114899,jumper
29,29,245760,3.0,4.2,-0.03216645121574402,jumper
30,30,253952,3.4,4.3,-0.0957488864660263,jumper
31,31,262144,4.2,3.9,-0.08062443882226944,jumper
32,32,270336,4.6,3.6,-0.06235811114311218,jumper
33,33,278528,4.6,4.1,-0.04462353140115738,jumper
34,34,286720,4.1,3.8,-0.05180620402097702,jumper
35,35,294912,4.4,4.2,-0.03388343006372452,jumper
36,36,303104,4.7,4.0,-0.027855345979332924,jumper
37,37,311296,3.9,3.7,-0.003518332727253437,jumper
38,38,319488,3.9,3.6,-0.07410339266061783,jumper
39,39,327680,4.5,3.5,-0.027050234377384186,jumper
40,40,335872,5.0,4.3,-0.029896214604377747,jumper
41,41,344064,5.1,3.8,-0.023406559601426125,jumper
42,42,352256,5.2,4.2,-0.032644812017679214,jumper
43,43,360448,5.2,3.8,-0.021442675963044167,jumper
44,44,368640,5.1,4.3,-0.042744606733322144,jumper
45,45,376832,4.9,5.1,-0.01970776729285717,jumper
