,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,2.272727272727273,2.857142857142857,-0.15045002102851868,leaper
1,1,16384,2.5,2.8,-0.14804784953594208,leaper
2,2,24576,2.7,2.9,-0.11588699370622635,leaper
3,3,32768,2.3,2.5,-0.1687880903482437,leaper
4,4,40960,2.3,2.0,-0.1560971438884735,leaper
5,5,49152,2.7,3.0,0.4181666970252991,leaper
6,6,57344,2.1,1.9,0.3787684738636017,leaper
7,7,65536,2.3,2.3,0.5911772847175598,leaper
8,8,73728,2.4,2.1,0.9991304278373718,leaper
9,9,81920,2.2,2.2,0.9819914698600769,leaper
10,10,90112,3.3,2.8,0.827569842338562,leaper
11,11,98304,2.6,2.4,0.9293188452720642,leaper
12,12,106496,3.1,2.3,0.8608489036560059,leaper
13,13,114688,2.9,2.4,0.4711593985557556,leaper
14,14,122880,3.3,2.8,0.5166472792625427,leaper
15,15,131072,2.4,3.0,0.6832461953163147,leaper
16,16,139264,3.3,1.4,0.7083963751792908,leaper
17,17,147456,2.9,2.8,0.7056697010993958,leaper
18,18,155648,2.7,2.5,0.7047358751296997,leaper
19,19,163840,3.0,2.9,0.7207399606704712,leaper
20,20,172032,4.1,2.4,0.6842541098594666,leaper
21,21,180224,2.5,2.8,0.7540372014045715,leaper
22,22,188416,2.7,2.5,0.7209637761116028,leaper
23,23,196608,3.2,2.2,0.7322975993156433,leaper
24,24,204800,3.1,3.4,0.7291332483291626,leaper
25,25,212992,2.0,2.8,0.7150775194168091,leaper
26,26,221184,2.8,2.3,0.7312794327735901,leaper
27,27,229376,2.1,4.1,0.7296032309532166,leaper
28,28,237568,2.9,2.6,0.7475393414497375,leaper
29,29,245760,2.6,3.0,0.7786183953285217,leaper
30,30,253952,2.7,3.6,0.7022473216056824,leaper
31,31,262144,3.1,3.6,0.7623010277748108,leaper
32,32,270336,3.5,2.6,0.6843098998069763,leaper
33,33,278528,2.4,3.2,0.6509736180305481,leaper
34,34,286720,2.9,2.9,0.6738325357437134,leaper
35,35,294912,3.6,3.3,0.7023912072181702,leaper
36,36,303104,3.1,3.1,0.6810593008995056,leaper
37,37,311296,3.9,2.6,0.6148368716239929,leaper
38,38,319488,3.6,2.9,0.6152276992797852,leaper
39,39,327680,3.8,2.9,0.5690451860427856,leaper
40,40,335872,3.0,3.0,0.6544557213783264,leaper
41,41,344064,3.7,3.3,0.5749905705451965,leaper
42,42,352256,3.5,2.8,0.5573762655258179,leaper
43,43,360448,3.4,2.6,0.4736822247505188,leaper
44,44,368640,2.9,3.4,0.3359920084476471,leaper
45,45,376832,3.6,3.5,0.2610637843608856,leaper
46,46,385024,3.2,3.0,0.3095370829105377,leaper
47,47,393216,4.0,3.8,0.25826960802078247,leaper
48,48,401408,3.6,2.8,0.12238343060016632,leaper
49,49,409600,3.5,2.6,0.3334847092628479,leaper
50,50,417792,3.6,4.0,0.29126644134521484,leaper
51,51,425984,3.6,4.0,0.3423860967159271,leaper
52,52,434176,2.9,3.4,0.32824844121932983,leaper
53,53,442368,2.9,3.6,0.2856656014919281,leaper
54,54,450560,3.9,2.5,0.24083849787712097,leaper
