,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,2.328767123287671,2.3076923076923075,-0.1419980674982071,leaper
1,1,16384,3.3,2.2,0.4571329653263092,leaper
2,2,24576,3.4,1.7,-0.13521364331245422,leaper
3,3,32768,3.1,2.3,-0.1264471709728241,leaper
4,4,40960,4.2,2.3,1.0,leaper
5,5,49152,2.9,2.4,1.0,leaper
6,6,57344,2.3,3.1,1.0,leaper
7,7,65536,2.7,2.7,1.0,leaper
8,8,73728,2.8,2.5,1.0,leaper
9,9,81920,2.8,2.6,1.0,leaper
10,10,90112,3.4,1.8,1.0,leaper
11,11,98304,3.2,2.8,1.0,leaper
12,12,106496,2.1,2.6,1.0,leaper
13,13,114688,2.9,3.7,1.0,leaper
14,14,122880,3.5,2.0,1.0,leaper
15,15,131072,3.3,2.4,1.0,leaper
16,16,139264,2.8,2.6,1.0,leaper
17,17,147456,3.4,3.0,1.0,leaper
18,18,155648,2.4,3.3,1.0,leaper
19,19,163840,2.4,2.6,1.0,leaper
20,20,172032,3.3,2.9,1.0,leaper
21,21,180224,2.8,2.3,1.0,leaper
22,22,188416,2.5,2.7,1.0,leaper
23,23,196608,3.6,2.7,1.0,leaper
24,24,204800,3.0,3.2,1.0,leaper
25,25,212992,2.7,2.6,1.0,leaper
26,26,221184,2.9,2.8,1.0,leaper
27,27,229376,3.4,3.4,1.0,leaper
28,28,237568,3.3,2.4,1.0,leaper
29,29,245760,3.5,3.5,1.0,leaper
30,30,253952,3.4,2.5,1.0,leaper
31,31,262144,3.2,3.2,1.0,leaper
32,32,270336,3.9,3.3,1.0,leaper
33,33,278528,3.0,3.4,1.0,leaper
34,34,286720,3.5,3.5,1.0,leaper
35,35,294912,3.8,2.5,1.0,leaper
36,36,303104,4.0,3.1,1.0,leaper
37,37,311296,4.0,3.7,1.0,leaper
38,38,319488,3.8,2.6,1.0,leaper
39,39,327680,3.4,3.6,1.0,leaper
40,40,335872,3.8,2.6,1.0,leaper
41,41,344064,3.2,2.4,1.0,leaper
42,42,352256,3.0,2.6,1.0,leaper
43,43,360448,3.4,2.4,1.0,leaper
44,44,368640,3.9,2.2,1.0,leaper
45,45,376832,3.3,3.3,1.0,leaper
46,46,385024,3.7,2.8,1.0,leaper
47,47,393216,3.8,2.8,1.0,leaper
48,48,401408,3.6,2.7,1.0,leaper
49,49,409600,3.1,2.6,1.0,leaper
50,50,417792,3.3,3.5,1.0,leaper
51,51,425984,3.3,3.4,1.0,leaper
52,52,434176,3.4,3.2,1.0,leaper
53,53,442368,4.1,2.3,1.0,leaper
54,54,450560,4.2,3.6,1.0,leaper
55,55,458752,3.7,3.2,1.0,leaper
56,56,466944,3.5,2.6,1.0,leaper
57,57,475136,3.6,2.9,1.0,leaper
58,58,483328,3.9,2.9,1.0,leaper
59,59,491520,3.5,3.3,1.0,leaper
60,60,499712,3.6,2.7,1.0,leaper
61,61,507904,3.9,3.8,1.0,leaper
62,62,516096,3.1,2.4,1.0,leaper
63,63,524288,3.1,3.8,1.0,leaper
64,64,532480,4.1,2.8,1.0,leaper
65,65,540672,3.5,3.0,1.0,leaper
66,66,548864,3.0,3.6,1.0,leaper
67,67,557056,3.6,2.7,1.0,leaper
68,68,565248,3.5,3.1,1.0,leaper
69,69,573440,3.5,3.1,1.0,leaper
70,70,581632,2.9,3.6,1.0,leaper
71,71,589824,3.0,3.1,1.0,leaper
72,72,598016,2.4,3.7,1.0,leaper
73,73,606208,3.6,3.4,1.0,leaper
74,74,614400,4.1,3.1,1.0,leaper
75,75,622592,3.0,2.6,1.0,leaper
76,76,630784,4.7,3.0,1.0,leaper
77,77,638976,3.1,2.9,1.0,leaper
78,78,647168,3.0,2.7,1.0,leaper
79,79,655360,3.3,3.5,1.0,leaper
80,80,663552,3.3,3.3,1.0,leaper
81,81,671744,2.8,2.1,1.0,leaper
82,82,679936,2.7,2.7,1.0,leaper
83,83,688128,3.7,2.9,1.0,leaper
84,84,696320,2.8,3.3,1.0,leaper
85,85,704512,3.7,3.2,1.0,leaper
86,86,712704,3.1,2.4,1.0,leaper
87,87,720896,4.2,3.2,1.0,leaper
88,88,729088,3.6,3.1,1.0,leaper
89,89,737280,3.6,2.6,1.0,leaper
90,90,745472,3.3,2.8,1.0,leaper
91,91,753664,3.6,3.7,1.0,leaper
92,92,761856,4.3,3.0,1.0,leaper
93,93,770048,3.5,3.4,1.0,leaper
94,94,778240,2.9,2.9,1.0,leaper
95,95,786432,4.2,3.1,1.0,leaper
96,96,794624,3.3,3.0,1.0,leaper
97,97,802816,3.8,3.1,1.0,leaper
98,98,811008,3.6,3.2,1.0,leaper
99,99,819200,4.0,3.3,1.0,leaper
100,100,827392,3.8,3.0,1.0,leaper
101,101,835584,4.2,3.2,1.0,leaper
102,102,843776,3.7,2.3,1.0,leaper
103,103,851968,3.0,3.1,1.0,leaper
104,104,860160,3.8,2.6,1.0,leaper
105,105,868352,3.6,3.3,1.0,leaper
106,106,876544,3.7,3.3,1.0,leaper
107,107,884736,3.2,3.1,1.0,leaper
108,108,892928,3.2,2.3,1.0,leaper
109,109,901120,3.7,2.9,1.0,leaper
110,110,909312,3.5,3.1,1.0,leaper
111,111,917504,3.4,2.6,1.0,leaper
112,112,925696,3.3,2.8,1.0,leaper
113,113,933888,3.5,3.3,1.0,leaper
114,114,942080,4.3,3.7,1.0,leaper
115,115,950272,3.8,2.6,1.0,leaper
116,116,958464,4.0,2.8,1.0,leaper
117,117,966656,4.3,3.1,1.0,leaper
118,118,974848,4.2,3.5,1.0,leaper
119,119,983040,4.0,2.9,1.0,leaper
120,120,991232,3.4,3.0,1.0,leaper
121,121,999424,4.4,2.9,1.0,leaper
122,122,1007616,3.2,3.5,1.0,leaper
123,123,1015808,4.6,2.8,1.0,leaper
124,124,1024000,4.3,3.0,1.0,leaper
125,125,1032192,3.6,2.8,1.0,leaper
126,126,1040384,3.6,2.1,1.0,leaper
127,127,1048576,4.2,2.7,1.0,leaper
128,128,1056768,4.4,2.8,1.0,leaper
129,129,1064960,4.3,2.8,1.0,leaper
130,130,1073152,3.6,3.1,1.0,leaper
131,131,1081344,3.5,3.3,1.0,leaper
132,132,1089536,3.8,3.2,1.0,leaper
133,133,1097728,4.0,3.2,1.0,leaper
134,134,1105920,3.9,3.2,1.0,leaper
135,135,1114112,2.7,3.0,1.0,leaper
136,136,1122304,3.5,2.9,1.0,leaper
137,137,1130496,3.5,3.3,1.0,leaper
138,138,1138688,2.9,3.2,1.0,leaper
139,139,1146880,2.7,3.2,1.0,leaper
140,140,1155072,2.7,3.3,1.0,leaper
141,141,1163264,2.9,3.5,1.0,leaper
142,142,1171456,3.3,3.3,1.0,leaper
143,143,1179648,3.6,3.5,1.0,leaper
144,144,1187840,3.1,3.1,1.0,leaper
145,145,1196032,2.8,2.6,1.0,leaper
146,146,1204224,2.4,2.8,1.0,leaper
147,147,1212416,3.2,3.2,1.0,leaper
148,148,1220608,3.7,3.1,1.0,leaper
149,149,1228800,3.4,2.3,1.0,leaper
150,150,1236992,2.7,2.7,1.0,leaper
151,151,1245184,3.0,3.4,1.0,leaper
