,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,2.3076923076923075,2.5714285714285716,0.623413622379303,leaper
1,1,16384,2.3,2.8,0.7458386421203613,leaper
2,2,24576,2.2,3.1,0.5799925327301025,leaper
3,3,32768,2.8,2.7,0.5669432878494263,leaper
4,4,40960,2.6,2.4,0.7673472166061401,leaper
5,5,49152,2.1,2.8,0.6069412231445312,leaper
6,6,57344,2.9,3.3,0.39977842569351196,leaper
7,7,65536,3.2,2.9,0.6439498662948608,leaper
8,8,73728,3.5,2.2,0.824677586555481,leaper
9,9,81920,2.2,2.2,0.8794657588005066,leaper
10,10,90112,2.6,2.9,0.6413936614990234,leaper
11,11,98304,3.3,2.7,0.7486770153045654,leaper
12,12,106496,2.8,2.7,0.9558403491973877,leaper
13,13,114688,2.9,3.3,0.6622210741043091,leaper
14,14,122880,2.9,2.6,0.5596009492874146,leaper
15,15,131072,2.5,2.4,0.6701548099517822,leaper
16,16,139264,3.4,2.5,0.6574060916900635,leaper
17,17,147456,2.9,1.5,0.4899957776069641,leaper
18,18,155648,3.2,2.6,0.4406234622001648,leaper
19,19,163840,2.6,2.7,0.3643994927406311,leaper
20,20,172032,3.2,3.1,0.710750937461853,leaper
21,21,180224,2.8,2.7,0.8916937112808228,leaper
22,22,188416,3.4,2.9,0.9999778270721436,leaper
23,23,196608,3.5,2.3,0.9999882578849792,leaper
24,24,204800,2.0,2.6,0.9999885559082031,leaper
25,25,212992,3.5,1.7,0.9999923706054688,leaper
26,26,221184,2.7,2.6,0.9999906420707703,leaper
27,27,229376,2.4,3.3,0.999922513961792,leaper
28,28,237568,2.6,2.9,0.9998664855957031,leaper
29,29,245760,2.7,2.7,0.999890923500061,leaper
30,30,253952,3.5,2.3,0.9999905824661255,leaper
31,31,262144,3.7,4.1,0.9302355647087097,leaper
32,32,270336,4.0,3.3,0.986211359500885,leaper
33,33,278528,3.3,2.6,0.9731340408325195,leaper
34,34,286720,2.4,2.8,0.9357544183731079,leaper
35,35,294912,2.7,3.6,0.9165670275688171,leaper
36,36,303104,3.4,3.7,0.9615572690963745,leaper
37,37,311296,2.8,4.0,0.9747677445411682,leaper
38,38,319488,4.1,2.6,0.9644221663475037,leaper
39,39,327680,2.8,3.3,0.9370791912078857,leaper
40,40,335872,3.6,3.7,0.9999895095825195,leaper
41,41,344064,3.1,3.5,0.9999895095825195,leaper
42,42,352256,3.7,2.9,0.928135871887207,leaper
43,43,360448,3.4,3.7,0.9897465705871582,leaper
44,44,368640,3.1,3.5,0.9914347529411316,leaper
45,45,376832,4.7,3.6,0.9950196743011475,leaper
46,46,385024,3.1,3.4,0.9955301284790039,leaper
47,47,393216,4.6,3.3,0.9715688824653625,leaper
48,48,401408,3.1,3.0,0.9822848439216614,leaper
49,49,409600,4.1,3.4,0.984585165977478,leaper
50,50,417792,3.9,3.6,0.9846080541610718,leaper
51,51,425984,3.9,2.5,0.9548840522766113,leaper
52,52,434176,3.3,3.2,0.9576663374900818,leaper
53,53,442368,3.7,3.5,0.9650150537490845,leaper
54,54,450560,3.6,3.1,0.985684871673584,leaper
55,55,458752,2.2,3.4,0.9908795356750488,leaper
56,56,466944,2.9,3.2,0.99261474609375,leaper
57,57,475136,3.2,3.0,0.9729437828063965,leaper
58,58,483328,3.4,3.6,0.9169571399688721,leaper
59,59,491520,3.6,3.1,0.9155223369598389,leaper
60,60,499712,3.4,2.8,0.9615185856819153,leaper
61,61,507904,3.8,2.7,0.9820589423179626,leaper
62,62,516096,3.4,3.3,0.9898821115493774,leaper
63,63,524288,4.0,2.8,0.9964925050735474,leaper
64,64,532480,3.7,2.7,0.9801818132400513,leaper
65,65,540672,2.7,3.3,0.9789302349090576,leaper
66,66,548864,4.0,3.4,0.9737832546234131,leaper
67,67,557056,3.9,3.2,0.9783089756965637,leaper
68,68,565248,2.5,2.5,0.9929441213607788,leaper
69,69,573440,2.7,2.9,0.9955527186393738,leaper
70,70,581632,3.6,2.7,0.9898995161056519,leaper
71,71,589824,3.8,3.9,0.9849015474319458,leaper
72,72,598016,4.4,3.4,0.9778343439102173,leaper
73,73,606208,3.6,3.0,0.9900772571563721,leaper
74,74,614400,3.6,2.7,0.9796115159988403,leaper
75,75,622592,2.9,3.1,0.976291835308075,leaper
76,76,630784,3.0,4.1,0.9368332624435425,leaper
77,77,638976,3.9,3.6,0.9846612215042114,leaper
78,78,647168,2.7,2.3,0.9869089126586914,leaper
79,79,655360,3.5,3.7,0.9788036346435547,leaper
80,80,663552,3.7,3.0,0.9918898344039917,leaper
81,81,671744,3.4,3.8,0.9642117023468018,leaper
82,82,679936,3.8,2.9,0.9737817049026489,leaper
83,83,688128,3.4,3.1,0.9698624610900879,leaper
84,84,696320,3.2,2.7,0.9752535820007324,leaper
85,85,704512,3.3,3.3,0.8969517350196838,leaper
86,86,712704,3.3,2.5,0.9689046144485474,leaper
87,87,720896,3.4,2.2,0.9481949806213379,leaper
88,88,729088,2.3,3.0,0.9276319742202759,leaper
89,89,737280,3.4,3.1,0.9013038873672485,leaper
90,90,745472,3.7,2.4,0.8154740333557129,leaper
91,91,753664,3.6,3.0,0.8803015351295471,leaper
92,92,761856,3.6,2.9,0.8878162503242493,leaper
93,93,770048,4.2,3.5,0.9329534769058228,leaper
94,94,778240,3.6,2.8,0.9350875616073608,leaper
95,95,786432,3.0,3.4,0.9259941577911377,leaper
96,96,794624,3.7,3.6,0.9999794363975525,leaper
97,97,802816,4.0,3.7,0.9011048674583435,leaper
98,98,811008,3.5,3.0,0.8981225490570068,leaper
99,99,819200,3.6,3.0,0.9434745907783508,leaper
100,100,827392,2.7,2.7,0.9765650033950806,leaper
101,101,835584,3.7,3.3,0.9003828763961792,leaper
102,102,843776,3.0,3.4,0.9235442876815796,leaper
103,103,851968,3.7,2.9,0.9207886457443237,leaper
104,104,860160,3.7,3.2,0.8941407203674316,leaper
105,105,868352,3.0,3.0,0.929180920124054,leaper
106,106,876544,3.0,2.1,0.9164652824401855,leaper
107,107,884736,3.3,3.3,0.9208579063415527,leaper
108,108,892928,2.7,3.0,0.9919255375862122,leaper
109,109,901120,4.2,3.6,0.8857051134109497,leaper
110,110,909312,2.4,1.9,0.9200786352157593,leaper
111,111,917504,3.7,2.6,0.833184003829956,leaper
112,112,925696,3.9,2.4,0.7967360615730286,leaper
113,113,933888,2.8,2.4,0.7319577932357788,leaper
114,114,942080,3.4,4.0,0.825885534286499,leaper
115,115,950272,3.5,2.6,0.9221343994140625,leaper
116,116,958464,3.5,2.8,0.938380241394043,leaper
117,117,966656,3.7,2.6,0.9223589897155762,leaper
118,118,974848,2.8,3.3,0.8124651908874512,leaper
119,119,983040,4.1,3.3,0.7945880889892578,leaper
120,120,991232,2.3,2.2,0.8360763788223267,leaper
121,121,999424,3.5,3.0,0.6433331966400146,leaper
122,122,1007616,3.5,4.0,0.6780924797058105,leaper
123,123,1015808,4.0,3.3,0.7033871412277222,leaper
124,124,1024000,4.1,2.8,0.865627110004425,leaper
125,125,1032192,3.2,2.5,0.40665310621261597,leaper
126,126,1040384,3.1,2.2,1.0,leaper
127,127,1048576,3.2,3.9,1.0,leaper
128,128,1056768,4.0,3.0,1.0,leaper
129,129,1064960,3.4,2.6,1.0,leaper
130,130,1073152,3.4,3.4,1.0,leaper
131,131,1081344,3.1,2.8,1.0,leaper
132,132,1089536,3.7,2.6,1.0,leaper
133,133,1097728,4.3,2.4,1.0,leaper
134,134,1105920,3.6,3.5,1.0,leaper
135,135,1114112,3.6,3.0,1.0,leaper
136,136,1122304,3.9,2.6,1.0,leaper
137,137,1130496,4.0,3.2,1.0,leaper
138,138,1138688,3.7,1.8,1.0,leaper
139,139,1146880,3.2,3.0,1.0,leaper
140,140,1155072,3.5,2.4,1.0,leaper
141,141,1163264,3.4,3.8,1.0,leaper
142,142,1171456,3.3,3.5,1.0,leaper
143,143,1179648,4.1,3.4,1.0,leaper
144,144,1187840,3.4,3.3,1.0,leaper
145,145,1196032,4.2,3.1,1.0,leaper
146,146,1204224,2.9,3.1,1.0,leaper
147,147,1212416,2.9,3.0,1.0,leaper
148,148,1220608,3.0,2.9,1.0,leaper
149,149,1228800,4.0,3.1,1.0,leaper
150,150,1236992,3.9,3.4,1.0,leaper
151,151,1245184,3.4,2.2,1.0,leaper
152,152,1253376,5.0,3.4,1.0,leaper
153,153,1261568,3.3,3.3,1.0,leaper
154,154,1269760,4.2,3.4,1.0,leaper
155,155,1277952,3.0,2.5,1.0,leaper
156,156,1286144,4.1,3.1,1.0,leaper
157,157,1294336,2.9,2.7,1.0,leaper
158,158,1302528,3.8,3.5,1.0,leaper
159,159,1310720,3.4,3.8,1.0,leaper
160,160,1318912,4.6,3.0,1.0,leaper
161,161,1327104,2.7,2.6,1.0,leaper
162,162,1335296,3.3,2.8,1.0,leaper
163,163,1343488,3.5,3.6,1.0,leaper
164,164,1351680,2.7,2.5,1.0,leaper
165,165,1359872,3.3,3.7,1.0,leaper
166,166,1368064,3.9,2.6,1.0,leaper
167,167,1376256,3.5,3.3,1.0,leaper
168,168,1384448,3.9,2.9,1.0,leaper
169,169,1392640,2.7,2.7,1.0,leaper
170,170,1400832,2.9,2.2,1.0,leaper
171,171,1409024,3.8,2.5,1.0,leaper
172,172,1417216,3.0,2.5,1.0,leaper
173,173,1425408,3.8,3.1,1.0,leaper
174,174,1433600,3.5,2.9,1.0,leaper
175,175,1441792,3.3,3.0,1.0,leaper
176,176,1449984,3.0,2.8,1.0,leaper
177,177,1458176,3.0,2.8,1.0,leaper
178,178,1466368,3.7,2.2,1.0,leaper
179,179,1474560,3.0,3.1,1.0,leaper
180,180,1482752,3.1,2.3,1.0,leaper
181,181,1490944,4.1,3.4,1.0,leaper
182,182,1499136,3.4,2.9,1.0,leaper
183,183,1507328,3.4,2.6,1.0,leaper
184,184,1515520,3.4,3.3,1.0,leaper
185,185,1523712,3.2,3.0,1.0,leaper
186,186,1531904,4.0,2.4,1.0,leaper
187,187,1540096,3.2,3.4,1.0,leaper
188,188,1548288,3.6,2.9,1.0,leaper
189,189,1556480,3.7,3.8,1.0,leaper
190,190,1564672,3.5,2.5,1.0,leaper
191,191,1572864,3.5,3.4,1.0,leaper
192,192,1581056,3.5,3.0,1.0,leaper
193,193,1589248,2.8,3.6,1.0,leaper
194,194,1597440,3.0,2.2,1.0,leaper
195,195,1605632,4.2,3.4,1.0,leaper
196,196,1613824,3.7,3.4,1.0,leaper
197,197,1622016,2.9,3.0,1.0,leaper
198,198,1630208,3.9,2.7,1.0,leaper
199,199,1638400,4.5,3.1,1.0,leaper
200,200,1646592,3.8,3.2,1.0,leaper
201,201,1654784,4.2,3.1,1.0,leaper
202,202,1662976,3.7,2.4,1.0,leaper
203,203,1671168,3.3,2.5,1.0,leaper
204,204,1679360,3.3,2.7,1.0,leaper
205,205,1687552,3.6,2.9,1.0,leaper
206,206,1695744,3.6,3.7,1.0,leaper
207,207,1703936,3.5,2.9,1.0,leaper
208,208,1712128,3.9,3.7,1.0,leaper
209,209,1720320,3.6,3.4,1.0,leaper
210,210,1728512,3.1,3.0,1.0,leaper
211,211,1736704,3.0,3.6,1.0,leaper
212,212,1744896,3.2,2.8,1.0,leaper
213,213,1753088,3.7,3.4,1.0,leaper
214,214,1761280,2.7,2.3,1.0,leaper
215,215,1769472,3.1,3.2,1.0,leaper
216,216,1777664,3.0,3.5,1.0,leaper
217,217,1785856,4.2,3.0,1.0,leaper
218,218,1794048,3.5,2.5,1.0,leaper
219,219,1802240,4.3,3.8,1.0,leaper
220,220,1810432,3.8,2.8,1.0,leaper
221,221,1818624,3.9,2.6,1.0,leaper
222,222,1826816,2.9,2.8,1.0,leaper
223,223,1835008,3.8,2.4,1.0,leaper
224,224,1843200,3.9,2.9,1.0,leaper
225,225,1851392,3.1,3.3,1.0,leaper
226,226,1859584,3.1,3.4,1.0,leaper
227,227,1867776,3.6,2.0,1.0,leaper
228,228,1875968,3.5,3.4,1.0,leaper
229,229,1884160,3.6,3.1,1.0,leaper
230,230,1892352,3.5,3.0,1.0,leaper
231,231,1900544,3.8,3.5,1.0,leaper
232,232,1908736,3.4,3.9,1.0,leaper
233,233,1916928,3.3,4.2,1.0,leaper
234,234,1925120,4.2,3.1,1.0,leaper
235,235,1933312,4.0,3.3,1.0,leaper
236,236,1941504,2.7,3.0,1.0,leaper
237,237,1949696,2.6,3.2,1.0,leaper
238,238,1957888,2.3,3.7,1.0,leaper
239,239,1966080,3.7,2.7,1.0,leaper
240,240,1974272,3.3,3.0,1.0,leaper
241,241,1982464,3.0,4.3,1.0,leaper
242,242,1990656,2.9,2.5,1.0,leaper
243,243,1998848,3.4,3.0,1.0,leaper
244,244,2007040,3.7,3.0,1.0,leaper
245,245,2015232,3.5,3.0,1.0,leaper
246,246,2023424,3.0,2.8,1.0,leaper
247,247,2031616,3.0,2.9,1.0,leaper
248,248,2039808,2.9,2.7,1.0,leaper
249,249,2048000,3.7,2.9,1.0,leaper
250,250,2056192,3.5,3.4,1.0,leaper
251,251,2064384,3.4,3.1,1.0,leaper
252,252,2072576,2.5,2.7,1.0,leaper
253,253,2080768,2.4,2.1,1.0,leaper
254,254,2088960,3.2,2.0,1.0,leaper
255,255,2097152,3.3,2.8,1.0,leaper
256,256,2105344,3.0,2.8,1.0,leaper
257,257,2113536,3.0,3.2,1.0,leaper
258,258,2121728,2.6,3.4,1.0,leaper
259,259,2129920,3.5,2.6,1.0,leaper
260,260,2138112,3.5,2.7,1.0,leaper
261,261,2146304,3.9,3.2,1.0,leaper
262,262,2154496,3.2,2.6,1.0,leaper
263,263,2162688,3.4,2.4,1.0,leaper
264,264,2170880,2.7,3.0,1.0,leaper
265,265,2179072,2.8,2.5,1.0,leaper
266,266,2187264,2.4,3.2,1.0,leaper
267,267,2195456,3.3,3.5,1.0,leaper
268,268,2203648,3.3,3.2,1.0,leaper
269,269,2211840,3.0,2.5,1.0,leaper
270,270,2220032,3.2,2.4,1.0,leaper
271,271,2228224,3.3,2.9,1.0,leaper
