,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,3.4285714285714284,2.7027027027027026,0.021969711408019066,leaper
1,1,16384,3.3,2.5,-0.039791956543922424,leaper
2,2,24576,3.4,2.4,-0.06577225029468536,leaper
3,3,32768,2.4,1.8,-0.022289898246526718,leaper
4,4,40960,2.4,2.9,-0.005101609043776989,leaper
5,5,49152,2.7,2.7,-0.023520613089203835,leaper
6,6,57344,2.9,2.5,-0.019824104383587837,leaper
7,7,65536,2.3,2.2,-0.033025581389665604,leaper
8,8,73728,2.5,2.3,0.05013789236545563,leaper
9,9,81920,2.3,2.7,0.02141755446791649,leaper
10,10,90112,3.5,2.8,-0.021781805902719498,leaper
11,11,98304,2.8,3.0,0.028123823925852776,leaper
12,12,106496,3.5,3.1,0.11143654584884644,leaper
13,13,114688,2.5,3.3,0.04060109704732895,leaper
14,14,122880,2.7,2.7,-0.04608042910695076,leaper
15,15,131072,2.5,3.3,0.11751187592744827,leaper
16,16,139264,3.2,3.2,0.060355011373758316,leaper
17,17,147456,3.4,3.2,0.06590404361486435,leaper
18,18,155648,2.7,2.7,-0.027035372331738472,leaper
19,19,163840,2.7,2.8,0.03408762812614441,leaper
20,20,172032,3.2,3.0,0.10192949324846268,leaper
21,21,180224,3.3,3.4,0.06991460919380188,leaper
22,22,188416,3.3,2.4,0.07781846076250076,leaper
23,23,196608,3.8,3.6,0.11724216490983963,leaper
24,24,204800,2.5,3.0,0.0561700314283371,leaper
25,25,212992,2.9,2.9,0.12674501538276672,leaper
26,26,221184,3.7,3.4,0.04953606054186821,leaper
27,27,229376,3.4,3.9,0.11207306385040283,leaper
28,28,237568,3.2,2.7,0.17690980434417725,leaper
29,29,245760,4.4,3.3,0.18417538702487946,leaper
30,30,253952,3.2,2.4,0.11652259528636932,leaper
31,31,262144,3.1,3.2,0.04724978655576706,leaper
32,32,270336,2.4,2.8,0.05766095593571663,leaper
33,33,278528,3.9,2.7,0.0782032310962677,leaper
34,34,286720,3.4,3.1,0.17985248565673828,leaper
35,35,294912,2.2,3.0,0.08085919916629791,leaper
36,36,303104,3.5,2.4,0.11400233954191208,leaper
37,37,311296,3.4,3.2,0.0904005840420723,leaper
38,38,319488,3.7,3.0,0.05413354933261871,leaper
39,39,327680,3.1,3.6,0.065484419465065,leaper
40,40,335872,3.7,2.8,0.055788688361644745,leaper
41,41,344064,3.7,2.9,0.09261709451675415,leaper
42,42,352256,3.1,2.8,0.05954053997993469,leaper
43,43,360448,3.3,2.5,0.08349496126174927,leaper
44,44,368640,3.4,3.0,0.05589725822210312,leaper
45,45,376832,3.2,3.3,0.00584857864305377,leaper
46,46,385024,2.9,2.9,0.07235580682754517,leaper
47,47,393216,4.1,3.0,0.06053909659385681,leaper
48,48,401408,3.19417692,1.7,0.12910985946655273,leaper
49,49,409600,2.67997657,3.0,0.05937908589839935,leaper
50,50,417792,4.16025009,4.4,0.07708466798067093,leaper
51,51,425984,2.7637039600000004,3.7,0.12052739411592484,leaper
52,52,434176,3.54086362,3.5,0.08829028159379959,leaper
53,53,442368,3.72409496,2.7,0.11987072229385376,leaper
54,54,450560,3.4191500000000006,2.7,0.06044976785778999,leaper
55,55,458752,3.4139736899999997,2.1,0.04267478734254837,leaper
56,56,466944,3.2985191799999996,2.8,0.03387484326958656,leaper
57,57,475136,2.71171148,3.1,0.05079861357808113,leaper
58,58,483328,3.47924605,4.1,0.06870512664318085,leaper
59,59,491520,3.660155310000001,3.4,0.0441482849419117,leaper
60,60,499712,3.171567519999999,3.1,0.05005281791090965,leaper
61,61,507904,3.16847617,4.2,0.017854034900665283,leaper
62,62,516096,3.5499189699999993,3.0,0.051056746393442154,leaper
63,63,524288,3.17025484,3.4,0.03205578774213791,leaper
64,64,532480,3.4553253199999996,3.2,0.018929416313767433,leaper
65,65,540672,3.55435421,2.3,0.051111869513988495,leaper
66,66,548864,2.8809192499999994,2.4,0.03403393179178238,leaper
67,67,557056,2.40032829,3.0,0.036240361630916595,leaper
68,68,565248,2.8799658299999997,3.4,0.019152473658323288,leaper
69,69,573440,3.650436630000001,3.0,0.011199824512004852,leaper
