,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,1.6981132075471699,2.272727272727273,0.18037386238574982,leaper
1,1,16384,2.5,2.2,0.3586479723453522,leaper
2,2,24576,3.4,2.4,0.37770843505859375,leaper
3,3,32768,2.4,2.4,0.8072094917297363,leaper
4,4,40960,1.8,2.0,0.26582470536231995,leaper
5,5,49152,2.7,2.8,0.27268537878990173,leaper
6,6,57344,3.1,2.2,0.9894763231277466,leaper
7,7,65536,2.8,2.2,0.9967238306999207,leaper
8,8,73728,3.0,2.1,0.9821296334266663,leaper
9,9,81920,3.4,2.7,0.9551664590835571,leaper
10,10,90112,2.8,2.5,0.27554821968078613,leaper
11,11,98304,2.3,2.6,1.0,leaper
12,12,106496,2.8,2.6,1.0,leaper
13,13,114688,2.5,3.0,0.998641312122345,leaper
14,14,122880,3.0,2.8,0.998641312122345,leaper
15,15,131072,4.0,1.9,1.0,leaper
16,16,139264,3.0,4.0,0.9974806308746338,leaper
17,17,147456,2.8,2.7,0.8932701349258423,leaper
18,18,155648,3.0,1.8,0.7382538914680481,leaper
19,19,163840,2.7,2.9,0.8211210370063782,leaper
20,20,172032,3.2,3.2,1.0,leaper
21,21,180224,3.1,2.9,1.0,leaper
22,22,188416,2.7,3.2,1.0,leaper
23,23,196608,2.8,2.1,1.0,leaper
24,24,204800,3.0,2.9,1.0,leaper
25,25,212992,3.4,3.0,1.0,leaper
26,26,221184,3.2,3.1,1.0,leaper
27,27,229376,3.9,2.6,1.0,leaper
28,28,237568,3.7,3.9,1.0,leaper
29,29,245760,3.2,3.3,0.9993681907653809,leaper
30,30,253952,3.3,3.1,1.0,leaper
31,31,262144,2.7,2.9,1.0,leaper
32,32,270336,2.9,2.4,1.0,leaper
33,33,278528,4.0,3.5,1.0,leaper
34,34,286720,4.0,2.4,1.0,leaper
35,35,294912,4.0,2.9,1.0,leaper
36,36,303104,3.1,3.0,1.0,leaper
37,37,311296,3.1,2.0,1.0,leaper
38,38,319488,3.5,3.1,1.0,leaper
39,39,327680,3.5,3.0,1.0,leaper
40,40,335872,2.9,3.5,1.0,leaper
41,41,344064,3.7,2.6,1.0,leaper
42,42,352256,3.9,2.9,1.0,leaper
43,43,360448,2.8,2.7,1.0,leaper
44,44,368640,3.0,3.5,1.0,leaper
45,45,376832,2.8,2.8,1.0,leaper
46,46,385024,3.5,2.9,1.0,leaper
47,47,393216,3.7,3.2,1.0,leaper
48,48,401408,3.5,4.0,1.0,leaper
49,49,409600,3.6,3.7,1.0,leaper
50,50,417792,3.9,3.5,1.0,leaper
51,51,425984,2.8,3.4,1.0,leaper
52,52,434176,3.7,2.7,1.0,leaper
53,53,442368,4.3,3.1,1.0,leaper
54,54,450560,3.3,3.3,1.0,leaper
55,55,458752,3.49834244,3.2,1.0,leaper
56,56,466944,3.4838217599999997,2.7,1.0,leaper
57,57,475136,3.179435839999999,3.2,1.0,leaper
58,58,483328,3.5678503300000006,3.3,1.0,leaper
59,59,491520,2.86736975,2.6,1.0,leaper
60,60,499712,3.1567258700000003,3.6,1.0,leaper
61,61,507904,3.0558879500000002,2.4,1.0,leaper
62,62,516096,2.5609835699999994,2.2,1.0,leaper
63,63,524288,2.9548563100000003,2.7,1.0,leaper
64,64,532480,3.5419750700000003,2.8,1.0,leaper
65,65,540672,3.05227821,3.5,1.0,leaper
66,66,548864,4.03865029,3.0,1.0,leaper
67,67,557056,3.45337041,2.3,1.0,leaper
68,68,565248,3.64897531,2.8,1.0,leaper
69,69,573440,3.2584501,3.9,1.0,leaper
70,70,581632,3.55455365,3.2,1.0,leaper
71,71,589824,3.65725516,3.1,1.0,leaper
72,72,598016,3.0670564099999997,2.9,0.998641312122345,leaper
73,73,606208,2.9715264700000006,3.2,1.0,leaper
74,74,614400,3.4753936,3.0,1.0,leaper
75,75,622592,2.7879917499999998,2.8,1.0,leaper
76,76,630784,3.58944501,3.1,1.0,leaper
77,77,638976,3.5927082800000005,2.2,1.0,leaper
78,78,647168,3.69974343,3.4,1.0,leaper
79,79,655360,3.3,3.1,1.0,leaper
80,80,663552,2.9,3.7,1.0,leaper
81,81,671744,3.3,3.3,1.0,leaper
82,82,679936,2.6,3.6,1.0,leaper
83,83,688128,3.6,3.4,1.0,leaper
84,84,696320,3.6,3.2,1.0,leaper
85,85,704512,3.7,3.0,1.0,leaper
86,86,712704,3.7,2.5,1.0,leaper
87,87,720896,3.1,3.2,1.0,leaper
88,88,729088,3.2,2.8,1.0,leaper
89,89,737280,2.7,2.9,1.0,leaper
90,90,745472,3.1,2.7,1.0,leaper
91,91,753664,3.9,3.1,1.0,leaper
92,92,761856,3.7,1.9,1.0,leaper
93,93,770048,3.6,3.4,1.0,leaper
94,94,778240,3.2,2.1,1.0,leaper
95,95,786432,3.0,2.7,1.0,leaper
96,96,794624,3.0,3.4,1.0,leaper
97,97,802816,2.8,3.4,1.0,leaper
98,98,811008,2.7,3.1,1.0,leaper
99,99,819200,2.7,3.5,1.0,leaper
100,100,827392,2.4,3.0,1.0,leaper
101,101,835584,2.7,2.9,1.0,leaper
102,102,843776,3.8,3.0,1.0,leaper
103,103,851968,2.5,2.6,1.0,leaper
104,104,860160,3.2,2.1,1.0,leaper
105,105,868352,3.3,3.0,1.0,leaper
106,106,876544,3.3,2.6,1.0,leaper
107,107,884736,3.4,3.5,1.0,leaper
108,108,892928,3.9,3.2,1.0,leaper
109,109,901120,3.6,2.3,1.0,leaper
110,110,909312,3.7,2.6,1.0,leaper
111,111,917504,3.6,2.8,1.0,leaper
112,112,925696,3.4,2.5,1.0,leaper
113,113,933888,3.4,2.4,1.0,leaper
114,114,942080,3.2,2.9,1.0,leaper
115,115,950272,3.2,2.9,1.0,leaper
116,116,958464,3.7,3.0,1.0,leaper
117,117,966656,4.2,3.1,1.0,leaper
118,118,974848,3.5,2.5,1.0,leaper
119,119,983040,4.2,2.3,1.0,leaper
120,120,991232,4.1,2.8,1.0,leaper
121,121,999424,3.1,3.2,1.0,leaper
122,122,1007616,3.2,3.8,1.0,leaper
123,123,1015808,2.9,3.2,1.0,leaper
124,124,1024000,3.4,3.4,1.0,leaper
125,125,1032192,2.9,2.8,1.0,leaper
126,126,1040384,3.3,2.5,1.0,leaper
127,127,1048576,3.7,3.1,1.0,leaper
128,128,1056768,2.9,3.2,1.0,leaper
129,129,1064960,3.3,2.8,1.0,leaper
130,130,1073152,1.9,2.2,0.998641312122345,leaper
131,131,1081344,3.4,3.4,1.0,leaper
132,132,1089536,3.7,2.5,1.0,leaper
133,133,1097728,3.4,2.7,1.0,leaper
134,134,1105920,3.7,2.4,1.0,leaper
135,135,1114112,2.8,2.6,1.0,leaper
136,136,1122304,3.6,2.4,1.0,leaper
137,137,1130496,3.6,2.5,1.0,leaper
138,138,1138688,3.1,2.4,1.0,leaper
139,139,1146880,2.7,1.8,0.998641312122345,leaper
140,140,1155072,3.3,2.4,1.0,leaper
141,141,1163264,3.8,2.7,0.998641312122345,leaper
142,142,1171456,3.8,3.0,1.0,leaper
143,143,1179648,3.5,3.3,1.0,leaper
144,144,1187840,2.9,2.6,1.0,leaper
145,145,1196032,2.7,1.9,1.0,leaper
146,146,1204224,2.6,2.4,1.0,leaper
147,147,1212416,3.2,2.5,1.0,leaper
148,148,1220608,2.8,3.3,1.0,leaper
149,149,1228800,3.4,3.5,1.0,leaper
150,150,1236992,3.1,3.2,1.0,leaper
151,151,1245184,3.4,3.4,1.0,leaper
152,152,1253376,2.7,3.4,1.0,leaper
153,153,1261568,4.0,2.8,1.0,leaper
154,154,1269760,3.0,2.6,1.0,leaper
155,155,1277952,2.6,2.6,1.0,leaper
156,156,1286144,2.7,2.1,1.0,leaper
157,157,1294336,3.4,3.0,1.0,leaper
158,158,1302528,3.6,2.6,1.0,leaper
159,159,1310720,3.0,3.1,1.0,leaper
160,160,1318912,3.0,2.7,1.0,leaper
161,161,1327104,3.1,2.5,1.0,leaper
162,162,1335296,2.8,1.8,1.0,leaper
163,163,1343488,3.4,2.5,1.0,leaper
164,164,1351680,3.6,2.9,1.0,leaper
165,165,1359872,3.8,3.3,1.0,leaper
166,166,1368064,3.4,2.4,1.0,leaper
167,167,1376256,2.9,2.2,1.0,leaper
168,168,1384448,3.0,3.0,1.0,leaper
169,169,1392640,3.8,3.1,1.0,leaper
170,170,1400832,4.0,2.6,1.0,leaper
171,171,1409024,2.7,3.9,1.0,leaper
172,172,1417216,4.0,2.7,1.0,leaper
173,173,1425408,3.9,2.4,1.0,leaper
174,174,1433600,2.6,3.0,1.0,leaper
175,175,1441792,3.0,2.6,1.0,leaper
176,176,1449984,3.2,3.0,1.0,leaper
177,177,1458176,3.5,3.0,1.0,leaper
178,178,1466368,3.8,3.6,1.0,leaper
179,179,1474560,3.3,2.6,1.0,leaper
180,180,1482752,3.7,3.2,1.0,leaper
181,181,1490944,3.0,2.8,1.0,leaper
182,182,1499136,3.4,2.4,1.0,leaper
183,183,1507328,3.9,3.4,1.0,leaper
184,184,1515520,3.9,3.1,1.0,leaper
185,185,1523712,3.7,3.0,1.0,leaper
186,186,1531904,3.3,2.5,1.0,leaper
187,187,1540096,3.3,3.2,0.998641312122345,leaper
188,188,1548288,2.3,2.8,1.0,leaper
189,189,1556480,2.2,2.7,1.0,leaper
