,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,10.0,9.870882933333332,-0.10776624828577042,maze
1,1,16384,5.25,4.946201222222222,-0.11382041126489639,maze
2,2,24576,6.229508196721311,5.4384881875,-0.11864491552114487,maze
3,3,32768,5.517241379310345,4.861200511627907,-0.07030356675386429,maze
4,4,40960,5.2,4.5,-0.1345190852880478,maze
5,5,49152,5.4,5.2,-0.08116402477025986,maze
6,6,57344,4.6,4.9,-0.07490875571966171,maze
7,7,65536,4.7,4.6,0.01940274052321911,maze
8,8,73728,4.3,4.7,0.19196932017803192,maze
9,9,81920,5.2,5.1,-0.014055585488677025,maze
10,10,90112,4.9,5.6,-0.07606044411659241,maze
11,11,98304,5.0,5.8,0.00018512904352974147,maze
12,12,106496,5.0,5.2,-0.09883487969636917,maze
13,13,114688,4.5,4.9,-0.11405791342258453,maze
14,14,122880,4.6,4.1,-0.16380122303962708,maze
15,15,131072,4.4,4.2,-0.061161912977695465,maze
16,16,139264,4.1,4.3,0.026093874126672745,maze
17,17,147456,4.9,4.9,0.09804366528987885,maze
18,18,155648,5.2,4.7,0.6922748684883118,maze
19,19,163840,4.8,4.3,0.2738089859485626,maze
20,20,172032,5.1,4.9,1.0,maze
21,21,180224,4.4,4.5,0.9910696744918823,maze
22,22,188416,4.5,4.9,0.07316189259290695,maze
23,23,196608,5.2,4.8,1.0,maze
24,24,204800,5.3,5.0,1.0,maze
25,25,212992,5.3,5.0,1.0,maze
26,26,221184,5.4,5.0,0.046660415828228,maze
27,27,229376,5.1,5.4,1.0,maze
28,28,237568,5.2,4.7,0.9951744079589844,maze
29,29,245760,5.4,4.8,0.9926128387451172,maze
30,30,253952,5.1,5.1,0.7638469338417053,maze
31,31,262144,5.1,4.7,1.0,maze
32,32,270336,4.7,4.8,1.0,maze
33,33,278528,4.7,4.5,1.0,maze
34,34,286720,4.7,4.9,0.8819543719291687,maze
35,35,294912,4.4,5.0,1.0,maze
36,36,303104,5.5,5.1,1.0,maze
37,37,311296,6.1,5.5,0.9734238982200623,maze
38,38,319488,6.0,5.8,0.7692147493362427,maze
39,39,327680,5.6,5.9,0.15526004135608673,maze
40,40,335872,5.4,6.1,-0.08459601551294327,maze
41,41,344064,4.9,6.4,0.07228142768144608,maze
42,42,352256,5.3,5.6,0.12331410497426987,maze
43,43,360448,5.3,5.5,0.9883822798728943,maze
44,44,368640,5.4,5.4,1.0,maze
45,45,376832,5.4,5.5,0.9771891832351685,maze
46,46,385024,5.4,5.3,0.9346977472305298,maze
47,47,393216,5.7,4.9,0.9149183034896851,maze
48,48,401408,5.5,4.8,0.9838218688964844,maze
49,49,409600,5.7,4.6,0.9986867308616638,maze
50,50,417792,5.7,4.7,0.9338915944099426,maze
51,51,425984,5.9,4.3,0.9143790602684021,maze
52,52,434176,6.0,4.2,0.9365137815475464,maze
53,53,442368,5.7,4.3,0.9038310647010803,maze
54,54,450560,5.7,4.3,0.9425469636917114,maze
55,55,458752,5.0,5.3,0.8431697487831116,maze
56,56,466944,4.9,5.3,0.7746736407279968,maze
57,57,475136,4.7,5.5,1.0,maze
58,58,483328,4.7,5.0,0.9955204725265503,maze
59,59,491520,5.3,4.9,1.0,maze
60,60,499712,5.6,4.7,0.43911677598953247,maze
61,61,507904,5.2,5.2,0.09673435240983963,maze
62,62,516096,5.4,5.2,-0.038448579609394073,maze
63,63,524288,4.9,5.4,-0.0965503677725792,maze
64,64,532480,4.7,4.9,-0.13456016778945923,maze
65,65,540672,4.5,4.7,-0.009101484902203083,maze
66,66,548864,4.3,4.5,0.020502690225839615,maze
67,67,557056,5.1,4.8,-0.10654376447200775,maze
68,68,565248,5.8,5.5,-0.06846509873867035,maze
69,69,573440,6.3,5.8,0.03393116965889931,maze
70,70,581632,5.7,5.5,-0.09496382623910904,maze
71,71,589824,5.5,5.2,0.08088340610265732,maze
72,72,598016,5.3,5.0,0.06780415028333664,maze
73,73,606208,5.0,4.8,0.3197760581970215,maze
74,74,614400,4.6,5.0,0.3175685703754425,maze
75,75,622592,4.7,4.8,0.24686340987682343,maze
76,76,630784,4.3,4.4,-0.06990174949169159,maze
77,77,638976,4.4,4.5,-0.13112294673919678,maze
78,78,647168,5.0,4.5,0.013617873191833496,maze
79,79,655360,5.8,4.1,-0.10353443026542664,maze
80,80,663552,5.3,4.4,-0.09575624018907547,maze
81,81,671744,4.9,4.5,-0.10272452235221863,maze
82,82,679936,5.3,5.5,-0.14992554485797882,maze
83,83,688128,5.0,5.5,0.09019376337528229,maze
84,84,696320,5.2,5.0,-0.0905112475156784,maze
85,85,704512,5.4,5.0,-0.07851793617010117,maze
86,86,712704,5.8,4.4,-0.05710434913635254,maze
87,87,720896,5.4,5.0,0.04573473706841469,maze
88,88,729088,5.2,4.9,-0.0705154612660408,maze
89,89,737280,5.1,5.1,-0.16254477202892303,maze
90,90,745472,5.2,5.1,0.00351408077403903,maze
91,91,753664,5.4,4.7,0.0392739363014698,maze
92,92,761856,4.9,5.1,0.09882457554340363,maze
93,93,770048,5.2,5.2,0.11284081637859344,maze
94,94,778240,5.5,5.1,0.1541275680065155,maze
95,95,786432,6.0,5.3,0.09591131657361984,maze
96,96,794624,6.0,5.7,0.16787895560264587,maze
97,97,802816,5.7,5.6,0.3213071823120117,maze
98,98,811008,5.6,5.5,0.16734425723552704,maze
99,99,819200,5.0,4.9,0.11139450967311859,maze
100,100,827392,5.3,4.2,0.06121235340833664,maze
101,101,835584,5.0,4.4,0.036836691200733185,maze
102,102,843776,5.2,4.9,0.06993523985147476,maze
103,103,851968,5.1,4.7,-0.014780962839722633,maze
104,104,860160,4.9,5.2,0.06712162494659424,maze
105,105,868352,4.8,4.9,0.12576016783714294,maze
106,106,876544,4.8,4.5,0.24564550817012787,maze
107,107,884736,5.1,3.9,0.1802205890417099,maze
108,108,892928,5.3,4.3,-0.015751099213957787,maze
109,109,901120,5.2,5.0,-0.1896548569202423,maze
110,110,909312,4.9,5.0,-0.126019686460495,maze
111,111,917504,5.0,5.6,-0.11752545088529587,maze
112,112,925696,4.7,4.8,-0.10875134915113449,maze
113,113,933888,5.0,4.4,-0.07582481950521469,maze
114,114,942080,5.2,4.3,-0.1044427901506424,maze
115,115,950272,4.7,4.5,-0.09282680600881577,maze
116,116,958464,5.2,5.3,-0.06285817921161652,maze
117,117,966656,5.2,5.7,-0.1607438623905182,maze
118,118,974848,5.4,5.7,-0.10307423770427704,maze
119,119,983040,5.7,5.9,-0.12439040839672089,maze
120,120,991232,5.0,5.3,-0.1471509039402008,maze
121,121,999424,4.9,5.4,-0.11618926376104355,maze
122,122,1007616,4.6,5.1,-0.09861806035041809,maze
123,123,1015808,4.9,4.9,-0.1447346955537796,maze
124,124,1024000,4.5,4.6,0.02030848152935505,maze
125,125,1032192,4.4,5.0,-0.06958407908678055,maze
