,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,8.005082,9.977408800000001,-0.09774661809206009,maze
1,1,16384,3.1642089302325584,6.373365446808511,-0.07315518707036972,maze
2,2,24576,4.699380698412698,5.993048861538462,-0.02504710666835308,maze
3,3,32768,4.225404314606741,5.489540395604395,-0.11933214217424393,maze
4,4,40960,4.2,5.1,-0.1360197365283966,maze
5,5,49152,4.9,5.6,-0.18828262388706207,maze
6,6,57344,4.9,5.4,-0.07935436815023422,maze
7,7,65536,5.6,5.8,-0.10781840234994888,maze
8,8,73728,4.9,5.5,0.0362335667014122,maze
9,9,81920,5.0,5.1,-0.04911432042717934,maze
10,10,90112,4.5,4.9,-0.1310635805130005,maze
11,11,98304,4.1,4.3,-0.15365801751613617,maze
12,12,106496,4.4,4.2,-0.01632172055542469,maze
13,13,114688,4.6,4.1,-0.16539862751960754,maze
14,14,122880,5.2,3.6,-0.04185507446527481,maze
15,15,131072,5.2,3.9,0.417748361825943,maze
16,16,139264,4.8,4.0,0.33205729722976685,maze
17,17,147456,4.9,4.5,0.05752578005194664,maze
18,18,155648,4.3,4.8,0.04120776429772377,maze
19,19,163840,3.9,4.8,-0.15561655163764954,maze
20,20,172032,4.4,5.0,1.0,maze
21,21,180224,4.0,5.2,1.0,maze
22,22,188416,4.3,4.9,1.0,maze
23,23,196608,4.8,4.6,1.0,maze
24,24,204800,4.5,3.9,1.0,maze
25,25,212992,4.7,3.8,1.0,maze
26,26,221184,5.1,4.3,1.0,maze
27,27,229376,4.7,5.2,1.0,maze
28,28,237568,4.6,6.0,1.0,maze
29,29,245760,4.5,5.6,1.0,maze
30,30,253952,4.5,5.3,1.0,maze
31,31,262144,4.5,5.0,1.0,maze
32,32,270336,4.8,4.8,1.0,maze
33,33,278528,4.8,4.5,1.0,maze
34,34,286720,4.3,5.1,0.9995802044868469,maze
35,35,294912,5.0,5.5,1.0,maze
36,36,303104,4.7,6.3,1.0,maze
37,37,311296,4.8,6.3,1.0,maze
38,38,319488,4.9,6.0,1.0,maze
39,39,327680,4.2,5.4,1.0,maze
40,40,335872,4.5,5.6,1.0,maze
41,41,344064,4.3,5.5,1.0,maze
42,42,352256,5.7,5.2,1.0,maze
43,43,360448,6.0,5.5,1.0,maze
44,44,368640,6.3,5.4,1.0,maze
45,45,376832,5.6,5.0,1.0,maze
46,46,385024,4.6,5.0,1.0,maze
47,47,393216,4.1,4.7,1.0,maze
48,48,401408,4.5,4.7,1.0,maze
49,49,409600,4.9,4.8,1.0,maze
50,50,417792,4.8,4.6,1.0,maze
51,51,425984,5.2,5.3,1.0,maze
52,52,434176,5.7,5.8,1.0,maze
53,53,442368,6.2,5.7,1.0,maze
54,54,450560,5.9,5.5,1.0,maze
55,55,458752,5.7,5.2,1.0,maze
56,56,466944,4.8,4.6,1.0,maze
57,57,475136,5.1,4.8,1.0,maze
58,58,483328,4.6,4.6,1.0,maze
59,59,491520,4.8,5.6,1.0,maze
60,60,499712,5.0,6.0,1.0,maze
61,61,507904,4.4,5.8,1.0,maze
62,62,516096,5.0,5.4,1.0,maze
63,63,524288,5.1,5.1,1.0,maze
64,64,532480,4.9,5.7,1.0,maze
65,65,540672,4.7,6.0,1.0,maze
66,66,548864,4.9,5.1,1.0,maze
67,67,557056,5.2,5.6,1.0,maze
68,68,565248,5.2,4.6,1.0,maze
69,69,573440,6.1,4.6,1.0,maze
70,70,581632,6.2,4.4,1.0,maze
71,71,589824,5.6,3.8,1.0,maze
72,72,598016,5.0,4.3,1.0,maze
73,73,606208,4.8,4.4,1.0,maze
74,74,614400,5.1,5.4,1.0,maze
75,75,622592,5.8,5.2,1.0,maze
76,76,630784,5.5,4.4,1.0,maze
77,77,638976,5.3,4.4,1.0,maze
78,78,647168,4.9,4.1,1.0,maze
79,79,655360,4.4,3.6,1.0,maze
80,80,663552,4.5,4.4,1.0,maze
81,81,671744,3.9,5.3,1.0,maze
82,82,679936,5.1,5.3,1.0,maze
83,83,688128,4.6,5.6,1.0,maze
84,84,696320,5.2,5.1,1.0,maze
85,85,704512,5.6,4.7,1.0,maze
86,86,712704,6.0,4.5,1.0,maze
87,87,720896,6.0,4.4,1.0,maze
88,88,729088,5.3,4.9,1.0,maze
89,89,737280,5.0,4.6,1.0,maze
90,90,745472,4.0,5.0,1.0,maze
91,91,753664,3.5,4.8,1.0,maze
92,92,761856,5.2,4.4,1.0,maze
93,93,770048,5.4,4.7,1.0,maze
94,94,778240,6.1,4.6,1.0,maze
95,95,786432,6.2,5.1,1.0,maze
96,96,794624,5.9,5.0,1.0,maze
97,97,802816,5.6,5.1,1.0,maze
98,98,811008,5.3,5.4,1.0,maze
99,99,819200,4.8,5.6,1.0,maze
100,100,827392,5.5,5.4,1.0,maze
101,101,835584,5.5,5.1,1.0,maze
102,102,843776,5.3,5.2,1.0,maze
103,103,851968,5.4,5.5,1.0,maze
104,104,860160,5.4,5.2,1.0,maze
105,105,868352,5.3,5.0,1.0,maze
106,106,876544,5.1,5.0,1.0,maze
107,107,884736,5.2,4.6,1.0,maze
108,108,892928,5.5,5.0,1.0,maze
109,109,901120,5.3,5.1,1.0,maze
110,110,909312,5.4,4.5,1.0,maze
111,111,917504,5.2,4.9,1.0,maze
112,112,925696,5.0,5.0,1.0,maze
113,113,933888,4.6,5.7,1.0,maze
114,114,942080,4.7,5.6,1.0,maze
115,115,950272,5.2,4.7,1.0,maze
116,116,958464,6.2,4.6,1.0,maze
117,117,966656,6.4,5.0,1.0,maze
118,118,974848,5.6,5.3,1.0,maze
119,119,983040,5.5,5.4,1.0,maze
120,120,991232,4.7,5.3,1.0,maze
121,121,999424,4.7,4.9,1.0,maze
122,122,1007616,4.7,4.9,1.0,maze
123,123,1015808,5.2,5.5,1.0,maze
124,124,1024000,5.0,5.8,1.0,maze
125,125,1032192,5.4,5.8,1.0,maze
126,126,1040384,5.4,5.7,1.0,maze
127,127,1048576,4.9,4.8,1.0,maze
128,128,1056768,4.7,5.2,1.0,maze
129,129,1064960,4.4,5.4,1.0,maze
130,130,1073152,5.1,5.7,1.0,maze
131,131,1081344,5.5,5.5,1.0,maze
132,132,1089536,5.2,5.3,1.0,maze
133,133,1097728,5.0,5.0,1.0,maze
134,134,1105920,5.2,5.2,1.0,maze
135,135,1114112,6.2,5.6,1.0,maze
136,136,1122304,5.8,5.4,1.0,maze
137,137,1130496,5.6,5.8,1.0,maze
138,138,1138688,5.2,6.0,1.0,maze
139,139,1146880,4.3,6.3,1.0,maze
140,140,1155072,4.2,6.2,1.0,maze
141,141,1163264,4.4,5.7,1.0,maze
142,142,1171456,6.0,5.8,1.0,maze
143,143,1179648,6.1,6.0,1.0,maze
144,144,1187840,6.0,6.0,1.0,maze
145,145,1196032,5.7,5.4,1.0,maze
146,146,1204224,5.2,5.5,1.0,maze
147,147,1212416,4.8,5.3,1.0,maze
148,148,1220608,4.8,5.5,1.0,maze
149,149,1228800,4.9,5.9,1.0,maze
150,150,1236992,5.9,5.7,1.0,maze
151,151,1245184,5.4,5.8,1.0,maze
152,152,1253376,5.1,5.7,1.0,maze
153,153,1261568,5.2,5.7,1.0,maze
154,154,1269760,5.1,5.9,1.0,maze
155,155,1277952,5.8,5.6,1.0,maze
156,156,1286144,6.4,5.5,1.0,maze
157,157,1294336,6.2,5.1,1.0,maze
158,158,1302528,6.4,5.4,1.0,maze
159,159,1310720,6.3,5.2,1.0,maze
160,160,1318912,6.3,5.6,1.0,maze
161,161,1327104,5.5,5.7,1.0,maze
162,162,1335296,5.2,5.8,1.0,maze
163,163,1343488,6.0,6.2,1.0,maze
164,164,1351680,6.0,5.8,1.0,maze
165,165,1359872,6.1,5.5,1.0,maze
166,166,1368064,5.7,5.6,1.0,maze
167,167,1376256,5.5,5.7,1.0,maze
168,168,1384448,5.3,5.7,1.0,maze
169,169,1392640,5.2,5.8,1.0,maze
170,170,1400832,5.8,5.1,1.0,maze
171,171,1409024,5.9,5.3,1.0,maze
172,172,1417216,5.5,5.6,1.0,maze
173,173,1425408,5.2,6.1,1.0,maze
174,174,1433600,4.8,5.5,1.0,maze
175,175,1441792,5.0,5.4,1.0,maze
176,176,1449984,5.3,5.1,1.0,maze
177,177,1458176,5.3,5.5,1.0,maze
178,178,1466368,5.4,5.4,1.0,maze
179,179,1474560,5.6,5.8,1.0,maze
180,180,1482752,5.4,5.9,1.0,maze
181,181,1490944,5.1,5.5,1.0,maze
182,182,1499136,5.9,5.7,1.0,maze
183,183,1507328,6.3,5.6,1.0,maze
184,184,1515520,6.4,5.4,1.0,maze
185,185,1523712,6.1,5.3,1.0,maze
186,186,1531904,5.8,4.5,1.0,maze
187,187,1540096,5.3,4.6,1.0,maze
188,188,1548288,5.2,4.4,1.0,maze
189,189,1556480,5.2,4.7,1.0,maze
190,190,1564672,5.7,5.0,1.0,maze
191,191,1572864,5.7,5.0,1.0,maze
192,192,1581056,5.9,5.6,1.0,maze
193,193,1589248,5.6,5.1,1.0,maze
194,194,1597440,5.2,4.9,1.0,maze
195,195,1605632,5.0,4.6,1.0,maze
196,196,1613824,5.1,4.7,1.0,maze
197,197,1622016,5.4,5.2,1.0,maze
198,198,1630208,5.9,5.0,1.0,maze
199,199,1638400,5.8,5.2,1.0,maze
200,200,1646592,5.2,5.2,1.0,maze
201,201,1654784,5.2,4.8,1.0,maze
202,202,1662976,5.9,4.9,1.0,maze
