,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,9.210386,10.0,0.06935739517211914,maze
1,1,16384,6.162228083333333,4.390243902439025,0.10609018057584763,maze
2,2,24576,6.419534478873239,4.90566037735849,0.02736135758459568,maze
3,3,32768,5.263132122448979,4.216867469879518,-0.0186564102768898,maze
4,4,40960,4.6,4.242424242424242,0.23456068336963654,maze
5,5,49152,4.7,3.9,0.13365092873573303,maze
6,6,57344,4.7,4.5,0.1065106987953186,maze
7,7,65536,4.8,4.6,0.061560243368148804,maze
8,8,73728,4.8,4.8,0.20666314661502838,maze
9,9,81920,4.6,5.0,0.1845461130142212,maze
10,10,90112,4.7,5.1,0.17704203724861145,maze
11,11,98304,5.1,5.1,0.12828603386878967,maze
12,12,106496,5.0,4.4,0.13399603962898254,maze
13,13,114688,5.2,4.4,0.21087680757045746,maze
14,14,122880,4.8,4.2,0.1327921599149704,maze
15,15,131072,4.7,4.6,-0.00517854280769825,maze
16,16,139264,4.7,5.2,0.11271528154611588,maze
17,17,147456,4.6,5.1,0.17875009775161743,maze
18,18,155648,4.7,5.3,0.11577492952346802,maze
19,19,163840,4.8,4.8,0.25200098752975464,maze
20,20,172032,4.7,4.9,0.23832371830940247,maze
21,21,180224,4.9,5.1,0.11598560959100723,maze
22,22,188416,4.8,5.3,0.1846284419298172,maze
23,23,196608,4.8,5.7,0.10751741379499435,maze
24,24,204800,4.9,5.5,0.17646703124046326,maze
25,25,212992,4.8,4.7,0.16253280639648438,maze
26,26,221184,4.9,4.6,0.2858498990535736,maze
27,27,229376,5.2,4.2,0.1287679821252823,maze
28,28,237568,5.3,4.3,0.19423100352287292,maze
29,29,245760,5.5,5.3,0.2488395720720291,maze
30,30,253952,4.7,5.7,0.08434601873159409,maze
31,31,262144,5.0,5.7,0.28227439522743225,maze
32,32,270336,4.7,5.6,0.12032775580883026,maze
33,33,278528,4.3,5.0,0.29658621549606323,maze
34,34,286720,4.1,4.9,0.2854026257991791,maze
35,35,294912,3.9,4.3,0.2272089570760727,maze
36,36,303104,4.1,5.4,0.18227116763591766,maze
37,37,311296,5.3,5.6,0.33921992778778076,maze
38,38,319488,6.4,5.1,0.2810203433036804,maze
39,39,327680,6.3,5.0,0.2840823829174042,maze
40,40,335872,5.2,4.4,0.23343029618263245,maze
41,41,344064,5.0,4.3,0.15730972588062286,maze
42,42,352256,4.5,4.3,0.29155808687210083,maze
43,43,360448,5.2,4.3,0.27687522768974304,maze
44,44,368640,5.4,4.6,0.21104176342487335,maze
45,45,376832,5.2,5.1,0.33353912830352783,maze
46,46,385024,5.3,5.5,0.11723202466964722,maze
47,47,393216,5.5,5.8,0.26396122574806213,maze
48,48,401408,5.8,5.6,0.3412986099720001,maze
49,49,409600,5.9,5.3,0.2847646474838257,maze
50,50,417792,5.7,5.1,0.3143446147441864,maze
51,51,425984,5.5,4.8,0.39615026116371155,maze
52,52,434176,5.5,4.4,0.38867682218551636,maze
53,53,442368,4.8,4.9,0.4672601521015167,maze
54,54,450560,4.5,5.0,0.171176016330719,maze
55,55,458752,4.6,5.4,0.19035638868808746,maze
56,56,466944,5.0,5.8,0.4766639769077301,maze
57,57,475136,6.1,5.5,0.2240109145641327,maze
58,58,483328,6.0,5.5,0.3259066939353943,maze
59,59,491520,5.7,5.0,0.2943587899208069,maze
60,60,499712,5.5,4.4,0.33867335319519043,maze
61,61,507904,4.8,4.4,0.27827373147010803,maze
62,62,516096,4.4,4.0,0.30873730778694153,maze
63,63,524288,4.6,4.6,0.416737824678421,maze
64,64,532480,4.5,4.6,0.2233366072177887,maze
65,65,540672,4.3,4.7,0.2715504765510559,maze
66,66,548864,3.8,4.4,0.35803526639938354,maze
67,67,557056,3.8,4.3,0.26698869466781616,maze
68,68,565248,3.2,3.6,0.3570007085800171,maze
69,69,573440,3.5,3.6,0.28462544083595276,maze
70,70,581632,4.4,4.2,0.2896396517753601,maze
71,71,589824,5.7,4.7,0.4250766634941101,maze
72,72,598016,5.7,5.0,0.3900613784790039,maze
73,73,606208,5.5,5.0,0.32422131299972534,maze
74,74,614400,5.3,4.0,0.3600219190120697,maze
75,75,622592,5.3,3.7,0.18804407119750977,maze
76,76,630784,4.9,3.8,0.19967231154441833,maze
77,77,638976,4.7,4.1,0.25248539447784424,maze
78,78,647168,4.5,4.9,0.33487609028816223,maze
79,79,655360,4.4,5.7,0.30041807889938354,maze
80,80,663552,4.7,5.5,0.39651724696159363,maze
81,81,671744,4.5,4.9,0.3799726963043213,maze
82,82,679936,5.2,4.8,0.3613639771938324,maze
83,83,688128,5.0,5.0,0.3690890073776245,maze
84,84,696320,5.2,5.1,0.4164910912513733,maze
85,85,704512,5.4,5.4,0.4108899235725403,maze
86,86,712704,5.6,5.1,0.41453438997268677,maze
87,87,720896,5.8,4.8,0.25999802350997925,maze
88,88,729088,6.1,4.7,0.3161504864692688,maze
89,89,737280,5.4,5.1,0.3128485381603241,maze
90,90,745472,4.8,5.1,0.44153890013694763,maze
91,91,753664,4.9,4.8,0.4195316433906555,maze
92,92,761856,4.6,5.1,0.2724299132823944,maze
93,93,770048,4.9,4.7,0.3972403109073639,maze
94,94,778240,4.9,4.4,0.36950862407684326,maze
95,95,786432,5.1,4.9,0.2907005846500397,maze
96,96,794624,5.4,4.6,0.32922688126564026,maze
97,97,802816,5.2,5.5,0.3479270339012146,maze
98,98,811008,5.1,5.8,0.32720947265625,maze
99,99,819200,4.9,5.9,0.27306506037712097,maze
100,100,827392,4.7,5.8,0.3753865659236908,maze
101,101,835584,4.9,5.6,0.3033429980278015,maze
102,102,843776,5.4,5.9,0.302642822265625,maze
103,103,851968,5.4,5.4,0.30692508816719055,maze
104,104,860160,5.1,4.9,0.3242057263851166,maze
105,105,868352,5.4,4.8,0.3607294261455536,maze
106,106,876544,4.8,5.4,0.34669244289398193,maze
107,107,884736,4.5,6.0,0.4059677720069885,maze
108,108,892928,5.2,5.9,0.3934943974018097,maze
109,109,901120,5.7,5.9,0.3980322778224945,maze
110,110,909312,6.1,6.2,0.38166889548301697,maze
111,111,917504,5.9,6.0,0.3637691140174866,maze
112,112,925696,5.4,5.5,0.3192615509033203,maze
113,113,933888,5.3,5.2,0.5105981230735779,maze
114,114,942080,5.5,5.1,0.3889561593532562,maze
115,115,950272,5.7,5.5,0.4360359013080597,maze
116,116,958464,5.0,6.1,0.4969508647918701,maze
117,117,966656,4.7,6.3,0.5248734951019287,maze
118,118,974848,5.3,5.6,0.3300507366657257,maze
119,119,983040,5.4,5.8,0.3429112434387207,maze
120,120,991232,6.1,5.4,0.37293365597724915,maze
121,121,999424,5.8,5.4,0.4681021273136139,maze
122,122,1007616,4.9,5.1,0.45951107144355774,maze
123,123,1015808,5.1,4.3,0.5294684171676636,maze
124,124,1024000,5.1,4.9,0.29972460865974426,maze
125,125,1032192,5.1,4.9,0.45159342885017395,maze
126,126,1040384,5.2,5.9,0.21503818035125732,maze
127,127,1048576,5.5,5.6,0.38075751066207886,maze
128,128,1056768,5.4,5.4,0.32061105966567993,maze
129,129,1064960,5.5,5.2,0.3732353746891022,maze
130,130,1073152,4.9,4.6,0.570824146270752,maze
131,131,1081344,4.6,5.1,0.34939122200012207,maze
132,132,1089536,4.4,5.4,0.4246826469898224,maze
133,133,1097728,4.9,5.2,0.3710702955722809,maze
134,134,1105920,5.3,5.0,0.4305618703365326,maze
135,135,1114112,5.7,5.2,0.5897809267044067,maze
136,136,1122304,5.9,5.0,0.44748663902282715,maze
137,137,1130496,5.7,4.8,0.44625356793403625,maze
138,138,1138688,5.5,4.9,0.5192000865936279,maze
139,139,1146880,5.6,4.9,0.46108922362327576,maze
140,140,1155072,5.0,4.6,0.5505871772766113,maze
141,141,1163264,5.0,4.7,0.39752134680747986,maze
142,142,1171456,4.8,4.6,0.4745723605155945,maze
143,143,1179648,4.5,4.9,0.5757546424865723,maze
144,144,1187840,5.3,5.4,0.5215595960617065,maze
145,145,1196032,5.0,5.5,0.4329395294189453,maze
146,146,1204224,5.5,5.3,0.2778303623199463,maze
147,147,1212416,5.7,5.6,0.2564782500267029,maze
148,148,1220608,5.9,5.4,0.5448270440101624,maze
149,149,1228800,5.5,6.1,0.42906448245048523,maze
150,150,1236992,5.1,6.0,0.5084770917892456,maze
151,151,1245184,4.7,5.3,0.43901005387306213,maze
152,152,1253376,4.9,5.3,0.42385998368263245,maze
153,153,1261568,4.9,4.6,0.41256770491600037,maze
154,154,1269760,4.4,3.9,0.6104252934455872,maze
155,155,1277952,4.6,4.6,0.4643629193305969,maze
156,156,1286144,4.9,4.6,0.4940740466117859,maze
157,157,1294336,5.2,5.2,0.35469353199005127,maze
158,158,1302528,5.3,5.9,0.479229211807251,maze
159,159,1310720,4.9,5.1,0.39738431572914124,maze
160,160,1318912,4.5,4.8,0.36806896328926086,maze
161,161,1327104,4.6,4.7,0.3991881012916565,maze
162,162,1335296,4.8,5.4,0.4931142330169678,maze
163,163,1343488,5.0,5.4,0.43636059761047363,maze
164,164,1351680,5.2,5.9,0.2935924530029297,maze
165,165,1359872,5.7,5.1,0.39430078864097595,maze
166,166,1368064,5.8,4.8,0.3854016065597534,maze
167,167,1376256,5.5,5.4,0.35726356506347656,maze
168,168,1384448,5.3,5.0,0.4269115924835205,maze
169,169,1392640,5.2,5.7,0.32019612193107605,maze
170,170,1400832,5.2,6.2,0.37419387698173523,maze
171,171,1409024,5.0,6.2,0.45904430747032166,maze
172,172,1417216,5.3,6.0,0.43771296739578247,maze
173,173,1425408,5.1,6.0,0.35344353318214417,maze
174,174,1433600,5.2,6.3,0.47974440455436707,maze
175,175,1441792,5.4,6.3,0.39661234617233276,maze
176,176,1449984,5.7,5.6,0.3490550220012665,maze
177,177,1458176,5.8,6.0,0.48251286149024963,maze
178,178,1466368,5.1,6.0,0.5083771347999573,maze
179,179,1474560,4.9,6.4,0.3912023603916168,maze
180,180,1482752,4.9,5.7,0.39770665764808655,maze
181,181,1490944,5.9,5.5,0.2971479892730713,maze
