,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,1.4686051,0.9979403636363635,0.028436142951250076,miner
1,1,16384,1.39530243902439,1.873901771428571,0.3353036642074585,miner
2,2,24576,1.6016432833333334,2.4620283,0.9979137182235718,miner
3,3,32768,2.0559693846153846,2.898156058823529,0.9874189496040344,miner
4,4,40960,2.4818609000000005,3.0752498399999997,0.9498136043548584,miner
5,5,49152,2.73065836,3.0889304299999996,0.8474973440170288,miner
6,6,57344,3.0050998499999997,3.2009784899999993,0.02981695346534252,miner
7,7,65536,3.0503078899999996,3.21209336,0.09811877459287643,miner
8,8,73728,3.27297234,3.00692705,0.42377397418022156,miner
9,9,81920,3.0434630200000004,3.0092169799999997,0.9857529401779175,miner
10,10,90112,3.15811991,2.83919332,0.9780460596084595,miner
11,11,98304,3.0270634599999995,2.8010706,0.960319995880127,miner
12,12,106496,2.80126072,2.7350903900000003,0.9941897392272949,miner
13,13,114688,2.68687323,2.7170778900000006,0.9998257756233215,miner
14,14,122880,2.88175177,2.9161714099999996,1.0,miner
15,15,131072,2.8809810300000005,3.17483176,1.0,miner
16,16,139264,2.87472802,2.9553245500000003,0.9987444877624512,miner
17,17,147456,2.7968872399999998,2.3061395100000004,0.9870996475219727,miner
18,18,155648,2.6169801599999998,2.18632425,0.9999247789382935,miner
19,19,163840,2.8200042400000003,2.4834031299999997,1.0,miner
20,20,172032,2.74776388,2.3116024299999993,1.0,miner
21,21,180224,2.59429552,2.4849424200000003,1.0,miner
22,22,188416,2.52579868,2.7466745399999994,1.0,miner
23,23,196608,2.79056783,2.9780559899999997,1.0,miner
24,24,204800,2.7375142400000003,3.1309094600000003,1.0,miner
25,25,212992,2.65489359,2.96351362,1.0,miner
26,26,221184,2.7651393100000003,3.2438353699999998,1.0,miner
27,27,229376,2.8390052999999993,3.36630609,1.0,miner
28,28,237568,3.0453031399999992,3.11615366,1.0,miner
29,29,245760,3.0506849799999998,3.2759583599999997,1.0,miner
30,30,253952,3.26554514,3.6365508400000004,1.0,miner
31,31,262144,3.1686162099999997,3.30424581,1.0,miner
32,32,270336,3.21598846,3.3032325999999994,1.0,miner
33,33,278528,3.2759542000000006,3.4186005500000003,1.0,miner
34,34,286720,3.21127727,3.2635089999999995,1.0,miner
35,35,294912,3.29751272,3.1386587799999996,1.0,miner
36,36,303104,3.4147396499999996,3.2281349700000006,1.0,miner
37,37,311296,3.2931212600000004,2.7715563399999996,1.0,miner
38,38,319488,3.2052491699999996,2.76067827,1.0,miner
39,39,327680,3.0882421399999997,2.81900217,1.0,miner
40,40,335872,2.9401480399999995,3.33956002,1.0,miner
41,41,344064,3.0325055099999996,3.367594659999999,1.0,miner
42,42,352256,3.0655947800000005,3.5246527600000004,1.0,miner
43,43,360448,3.2503954800000003,3.6398479900000007,1.0,miner
44,44,368640,3.23291603,3.5241540999999996,1.0,miner
45,45,376832,3.13761027,3.81355263,1.0,miner
46,46,385024,3.2957827999999996,3.72990205,1.0,miner
47,47,393216,3.20852719,3.9651369900000004,1.0,miner
48,48,401408,3.2777274400000005,3.8965994,1.0,miner
49,49,409600,3.2992321700000002,3.75235794,1.0,miner
50,50,417792,3.45568256,3.8425902600000006,1.0,miner
51,51,425984,3.27668177,3.9612200599999996,1.0,miner
52,52,434176,3.33985477,3.70925191,1.0,miner
53,53,442368,3.3770106099999997,3.3902041400000003,1.0,miner
54,54,450560,3.2864419399999996,3.2200670399999995,1.0,miner
55,55,458752,3.70899071,3.14182301,1.0,miner
56,56,466944,3.248494920000001,3.5862236099999993,1.0,miner
57,57,475136,3.47813379,3.54437762,1.0,miner
58,58,483328,3.45811805,3.4294933600000004,1.0,miner
59,59,491520,3.21117438,3.46497631,1.0,miner
60,60,499712,3.49427864,3.4396752100000003,1.0,miner
61,61,507904,3.3268374199999995,3.0573129699999995,1.0,miner
62,62,516096,3.77664415,3.2213229,1.0,miner
63,63,524288,3.99544402,3.5324828999999998,1.0,miner
64,64,532480,4.151734930000001,3.45627423,1.0,miner
65,65,540672,4.082540010000001,3.9774495600000006,1.0,miner
66,66,548864,4.144693750000001,4.4549481,1.0,miner
67,67,557056,4.1819032300000005,4.4728247,1.0,miner
68,68,565248,3.8572412000000003,4.4689918,1.0,miner
69,69,573440,3.9955069000000005,4.2232936599999995,1.0,miner
70,70,581632,3.7079691500000003,4.42990308,1.0,miner
71,71,589824,3.67712117,4.488150429999999,1.0,miner
72,72,598016,3.8037184600000002,3.8772942600000007,1.0,miner
73,73,606208,4.085531919999999,3.666005190000001,1.0,miner
74,74,614400,3.82934132,3.5484434100000004,1.0,miner
75,75,622592,3.8611600999999998,3.6082717200000003,1.0,miner
76,76,630784,3.54284508,3.52249976,1.0,miner
77,77,638976,3.5377283,3.5966910999999997,1.0,miner
78,78,647168,3.47709354,3.36481254,1.0,miner
79,79,655360,3.3854781000000003,3.2387679599999997,1.0,miner
80,80,663552,3.3330256100000004,3.12747431,1.0,miner
81,81,671744,3.2819505700000002,2.83580564,1.0,miner
