,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,1.6472100625000001,1.8412298636363635,-0.13000944256782532,miner
1,1,16384,2.5238812307692307,2.0865116451612904,-0.12373337894678116,miner
2,2,24576,2.7590165208333333,2.379556488372093,0.051082249730825424,miner
3,3,32768,2.825401626865672,3.0329217014925374,-0.10515477508306503,miner
4,4,40960,2.677560011363636,3.158389379310345,-0.04737077280879021,miner
5,5,49152,3.03448352,3.31440023,-0.04166791960597038,miner
6,6,57344,3.00622004,3.5738509899999995,-0.13900665938854218,miner
7,7,65536,3.0511178599999993,3.77553873,1.0,miner
8,8,73728,3.2623065,3.9832272900000003,1.0,miner
9,9,81920,3.5978515599999996,4.0451440100000005,1.0,miner
10,10,90112,3.47175791,4.25013061,1.0,miner
11,11,98304,3.1298789900000004,4.236536640000001,1.0,miner
12,12,106496,3.0597974000000003,4.223011400000001,1.0,miner
13,13,114688,2.72100053,4.058012740000001,1.0,miner
14,14,122880,2.58921284,3.6687786000000004,1.0,miner
15,15,131072,2.6871700499999998,3.5252085600000003,1.0,miner
16,16,139264,2.78952379,3.42567949,1.0,miner
17,17,147456,3.3558216,3.4175396400000007,1.0,miner
18,18,155648,3.58682365,3.38055394,1.0,miner
19,19,163840,3.49356693,3.27044933,1.0,miner
20,20,172032,3.46571181,3.69749701,1.0,miner
21,21,180224,3.77621592,3.6648447500000003,1.0,miner
22,22,188416,3.7404455899999993,3.6010585200000005,1.0,miner
23,23,196608,3.5021961500000005,3.58332039,1.0,miner
24,24,204800,3.7893648600000005,3.81348611,1.0,miner
25,25,212992,3.842944759999999,4.00140515,1.0,miner
26,26,221184,3.8971108899999996,4.009290129999999,1.0,miner
27,27,229376,3.64494951,3.6774753899999997,1.0,miner
28,28,237568,3.61528401,3.8349217500000004,1.0,miner
29,29,245760,3.5167688299999997,3.7102729,1.0,miner
30,30,253952,3.6166079200000003,3.25456842,1.0,miner
31,31,262144,3.3024985100000004,2.9209093299999993,1.0,miner
32,32,270336,3.0899448099999995,3.3377712,1.0,miner
33,33,278528,3.1620533500000003,3.2732292499999995,1.0,miner
34,34,286720,3.20406326,3.4895921599999995,1.0,miner
35,35,294912,3.2499195399999996,3.58065482,1.0,miner
36,36,303104,3.42427038,3.60187276,1.0,miner
37,37,311296,3.46136939,3.7632283799999997,1.0,miner
38,38,319488,3.78711471,3.53314256,1.0,miner
39,39,327680,3.85218613,3.47327476,1.0,miner
40,40,335872,3.8189938999999997,3.201969,1.0,miner
41,41,344064,4.138544990000001,3.2944726400000004,1.0,miner
42,42,352256,4.00726706,3.32648657,1.0,miner
43,43,360448,4.06908603,3.3602039500000003,1.0,miner
44,44,368640,3.7731323299999997,3.112762169999999,1.0,miner
45,45,376832,3.6754783,3.3153225400000004,1.0,miner
46,46,385024,3.4495330199999996,3.26088354,1.0,miner
47,47,393216,3.4857540299999994,3.17427143,1.0,miner
48,48,401408,3.7843768099999995,3.3647056600000003,1.0,miner
49,49,409600,3.7867074799999996,3.66381639,1.0,miner
50,50,417792,4.04408718,3.60597826,1.0,miner
51,51,425984,4.43185248,3.7623292899999994,1.0,miner
52,52,434176,4.52635446,3.63263067,1.0,miner
53,53,442368,4.55523442,3.878141489999999,1.0,miner
54,54,450560,4.44928577,3.8832442500000006,1.0,miner
55,55,458752,4.463249520000001,4.18707392,1.0,miner
56,56,466944,4.715091060000001,3.9542926400000002,1.0,miner
